"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
746793,"2024-05-24",1,"2024-05-25T03:18:17.080Z","2024-05-25T03:18:26.249Z",TRUE,"pitch","2bc2e515-d131-4905-9348-02d5c57add65",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,2,NA,NA,3.55,1.66,NA,136.46,171.41,"fly_ball","hard","8",149.47,38.63,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Tommy Pham flies out sharply to center fielder Colton Cowser.",0,6,4,74,"bottom",9,"2024-05-25T03:17:30.797Z","2024-05-25T03:18:26.249Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,502054,"Tommy Pham","/api/v1/people/502054","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.9,85.2,4,0.89,0.4047,6.7765,28.3143,-16.2867,-5.9925,8.5586,-0.5106,2.4952,7.8036,-135.1226,-3.0394,-2.652,50.0054,4.7732,-11.1284,28.8,4.8,24,2322,220,101.7,29,401,NA,NA,NA,TRUE,-16.6,15.1,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746793,"2024-05-24",0,"2024-05-25T03:17:58.665Z","2024-05-25T03:18:02.604Z",TRUE,"pitch","cc504a0b-02e5-445f-a46d-9d3cab7d203f",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4958,1.6576,NA,83.31,217.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Tommy Pham flies out sharply to center fielder Colton Cowser.",0,6,4,74,"bottom",9,"2024-05-25T03:17:30.797Z","2024-05-25T03:18:26.249Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,502054,"Tommy Pham","/api/v1/people/502054","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",83,76.9,14,0.9,0.4535,6.8148,23.5595,-37.1701,7.2127,-3.3865,0.8839,0.7752,5.9279,-120.7712,-2.1917,-2.5394,50.0008,4.9641,10.6501,16.8,10.8,24,2636,54,NA,NA,NA,NA,NA,NA,FALSE,-46.1,-6.4,-14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746793,"2024-05-24",0,"2024-05-25T03:17:15.462Z","2024-05-25T03:17:23.353Z",TRUE,"pitch","bd7822e0-93a5-4ef5-b294-6af3acd03396",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.05,1.34,NA,86.52,183.76,"ground_ball","medium","4",134.5,160.84,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","Nicky Lopez grounds out, second baseman Jorge Mateo to first baseman Ryan Mountcastle.",0,6,4,73,"bottom",9,"2024-05-25T03:16:55.301Z","2024-05-25T03:17:23.353Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,670032,"Nicky Lopez","/api/v1/people/670032","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles","true",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",83.7,77.6,6,0.9,0.449,6.7617,23.1574,-40.531,5.2543,-5.5423,0.7996,2.0378,6.3344,-121.8351,0.9896,-2.5131,50.0017,5.1197,7.9243,12,10.8,24,2411,50,71.7,-47,3,NA,NA,NA,TRUE,-48.5,-9.6,-10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746793,"2024-05-24",4,"2024-05-25T03:16:46.698Z","2024-05-25T03:16:51.743Z",TRUE,"pitch","ff3a00f0-e545-4b03-becd-8654aab4b123",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,0,NA,NA,3.371,1.535,NA,114.4,134.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Zach DeLoach strikes out swinging.",0,6,4,72,"bottom",9,"2024-05-25T03:16:07.996Z","2024-05-25T03:16:51.743Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,676113,"Zach DeLoach","/api/v1/people/676113","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.1,86.6,12,0.9,0.3965,6.7652,31.0725,-16.1848,-5.6095,8.2776,0.0681,3.8728,8.9933,-138.1721,0.2356,-2.5015,50.0013,4.8748,-10.8345,28.8,3.6,24,2357,223,NA,NA,NA,NA,NA,NA,TRUE,-15.1,15.2,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746793,"2024-05-24",3,"2024-05-25T03:16:27.119Z","2024-05-25T03:16:30.904Z",TRUE,"pitch","74e03505-6216-4941-9fb5-733bce2f1cb1",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.371,1.535,NA,96.35,177.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Zach DeLoach strikes out swinging.",0,6,4,72,"bottom",9,"2024-05-25T03:16:07.996Z","2024-05-25T03:16:51.743Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,676113,"Zach DeLoach","/api/v1/people/676113","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",84.4,78.2,6,0.9,0.4452,6.8344,23.0745,-39.912,5.4689,-5.0416,0.5417,2.282,6.2099,-122.7747,1.5758,-2.7257,50.0027,5.0147,8.3932,13.2,10.8,24,2586,57,NA,NA,NA,NA,NA,NA,FALSE,-46.8,-8.5,-11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746793,"2024-05-24",2,"2024-05-25T03:16:10.223Z","2024-05-25T03:16:14.021Z",TRUE,"pitch","c5a59b7d-b054-41cd-a5b7-3ba941fc9a6f",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.4742,1.6089,NA,96.61,165.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Zach DeLoach strikes out swinging.",0,6,4,72,"bottom",9,"2024-05-25T03:16:07.996Z","2024-05-25T03:16:51.743Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,676113,"Zach DeLoach","/api/v1/people/676113","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",83.1,76.7,6,0.9,0.4529,6.9741,23.4135,-39.814,6.9614,-5.1538,0.5349,2.7322,5.2001,-120.9048,2.3569,-2.5478,50.004,5.2368,10.3145,15.6,10.8,24,2487,53,NA,NA,NA,NA,NA,NA,FALSE,-48.1,-8.5,-13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746793,"2024-05-24",0,"2024-05-25T03:14:59.336Z","2024-05-25T03:15:10.462Z",FALSE,"action",NA,NA,"Pitching Change: Craig Kimbrel replaces Danny Coulombe.","Pitching Substitution",6,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,518886,"/api/v1/people/518886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"72","atBat","Strikeout","strikeout","Zach DeLoach strikes out swinging.",0,6,4,72,"bottom",9,"2024-05-25T03:16:07.996Z","2024-05-25T03:16:51.743Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,676113,"Zach DeLoach","/api/v1/people/676113","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746793,"2024-05-24",1,"2024-05-25T03:15:10.462Z","2024-05-25T03:16:10.223Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Zach DeLoach replaces Danny Mendick.","Offensive Substitution",6,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,676113,"/api/v1/people/676113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","801","72","atBat","Strikeout","strikeout","Zach DeLoach strikes out swinging.",0,6,4,72,"bottom",9,"2024-05-25T03:16:07.996Z","2024-05-25T03:16:51.743Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,676113,"Zach DeLoach","/api/v1/people/676113","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,664901,"/api/v1/people/664901",NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746793,"2024-05-24",4,"2024-05-25T03:13:10.690Z","2024-05-25T03:13:18.203Z",TRUE,"pitch","f15cfc39-5bdb-4401-a281-d754ed33cc37",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.47,1.61,NA,141.65,166.83,"line_drive","medium","8",109.97,74.9,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Lineout","field_out","Jordan Westburg lines out to center fielder Tommy Pham.",0,6,4,71,"top",9,"2024-05-25T03:11:34.448Z","2024-05-25T03:13:18.203Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,676059,"Jordan Westburg","/api/v1/people/676059","R","Right",621383,"Tanner Banks","/api/v1/people/621383","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Chicago White Sox","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93,85.6,4,0.89,0.4043,6.0991,27.4433,-16.086,3.5414,8.6448,-0.6467,2.6649,-8.8822,-135.0907,-6.4056,2.2134,50.0064,6.1838,6.5941,15.6,3.6,24,2372,154,86.8,23,313,NA,NA,NA,TRUE,-17,14.5,-4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746793,"2024-05-24",3,"2024-05-25T03:12:34.625Z","2024-05-25T03:12:38.596Z",TRUE,"pitch","e980fcea-63bb-491f-92a0-9215c3fb450e",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.47,1.61,NA,125.83,216.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Lineout","field_out","Jordan Westburg lines out to center fielder Tommy Pham.",0,6,4,71,"top",9,"2024-05-25T03:11:34.448Z","2024-05-25T03:13:18.203Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,676059,"Jordan Westburg","/api/v1/people/676059","R","Right",621383,"Tanner Banks","/api/v1/people/621383","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Chicago White Sox","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.5,81.5,13,0.92,0.4288,6.3045,23.8788,-27.4699,-2.4255,2.8421,-0.2316,0.8342,-6.1465,-127.2995,-7.3066,2.5205,50.0038,5.8886,-4.0178,9.6,7.2,24,2334,197,NA,NA,NA,NA,NA,NA,FALSE,-31.7,3.8,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
