"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717338,"2023-07-19",2,"2023-07-20T01:55:42.916Z","2023-07-20T01:55:47.411Z",TRUE,"pitch","d4a7c372-a60a-4234-9a21-9bbb23639ee1",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,2,NA,NA,3.51,1.59,NA,91.99,153.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","George Springer strikes out swinging.",0,2,0,76,"bottom",9,"2023-07-20T01:54:49.305Z","2023-07-20T01:55:47.411Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,543807,"George Springer","/api/v1/people/543807","R","Right",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","San Diego Padres","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.4,88.6,3,0.91,0.3873,6.8186,33.4889,-8.6754,4.8366,11.6135,0.6561,3.1674,-6.5673,-141.6214,-5.0858,2.3809,50.0065,5.5462,9.7899,39.6,2.4,24,2147,154,NA,NA,NA,NA,NA,NA,TRUE,-8.9,20.2,-7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717338,"2023-07-19",1,"2023-07-20T01:55:20.651Z","2023-07-20T01:55:24.031Z",TRUE,"pitch","c973ae96-63cc-41d6-97f8-22fa977610ed",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,2,NA,NA,3.545,1.5745,NA,107.71,178.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","George Springer strikes out swinging.",0,2,0,76,"bottom",9,"2023-07-20T01:54:49.305Z","2023-07-20T01:55:47.411Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,543807,"George Springer","/api/v1/people/543807","R","Right",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","San Diego Padres","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.7,88.1,5,0.9,0.3904,6.8135,32.4039,-10.8598,5.4783,10.6963,0.2437,2.239,-8.0776,-140.4195,-6.6274,2.4486,50.0069,5.3398,10.9212,36,3.6,24,2130,148,NA,NA,NA,NA,NA,NA,FALSE,-11.3,18.1,-8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717338,"2023-07-19",0,"2023-07-20T01:54:57.876Z","2023-07-20T01:55:01.261Z",TRUE,"pitch","80f43ba9-e472-4b6f-9b5b-28bb811bc97c",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.51,1.59,NA,148.9,164.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","George Springer strikes out swinging.",0,2,0,76,"bottom",9,"2023-07-20T01:54:49.305Z","2023-07-20T01:55:47.411Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,543807,"George Springer","/api/v1/people/543807","R","Right",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","San Diego Padres","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.3,88.5,11,0.9,0.3882,6.7563,33.2956,-10.4086,4.7065,10.8061,-0.8369,2.7339,-10.5294,-141.2788,-5.6179,2.3329,50.0002,5.4222,9.4785,31.2,2.4,24,2314,154,NA,NA,NA,NA,NA,NA,FALSE,-10.6,18.5,-6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717338,"2023-07-19",4,"2023-07-20T01:54:27.798Z","2023-07-20T01:54:31.849Z",TRUE,"pitch","04f09102-eec1-4547-b329-1cedfcb1de42",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,1,NA,NA,2.97,1.4,NA,138.92,150.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Alejandro Kirk strikes out swinging.",0,2,0,75,"bottom",9,"2023-07-20T01:53:21.998Z","2023-07-20T01:54:31.849Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,672386,"Alejandro Kirk","/api/v1/people/672386","R","Right",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.5,87.7,11,0.9,0.3914,6.6624,32.8526,-9.6395,4.7003,11.3737,-0.575,3.2589,-9.8161,-140.1561,-4.2607,2.3684,50.0063,5.4331,9.3164,33.6,2.4,24,2347,153,NA,NA,NA,NA,NA,NA,TRUE,-9.7,19.8,-6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,643376,"Danny Jansen","/api/v1/people/643376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717338,"2023-07-19",3,"2023-07-20T01:54:09.859Z","2023-07-20T01:54:13.431Z",TRUE,"pitch","feae69e9-8670-469d-9c35-fd7483506af4",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,2.9603,1.4774,NA,86.82,204.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Alejandro Kirk strikes out swinging.",0,2,0,75,"bottom",9,"2023-07-20T01:53:21.998Z","2023-07-20T01:54:31.849Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,672386,"Alejandro Kirk","/api/v1/people/672386","R","Right",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.7,89.4,14,0.91,0.386,6.8142,32.209,-9.5096,4.7924,11.1135,0.7917,1.2824,-6.4471,-141.8609,-9.8773,2.4704,50.0059,5.414,9.7771,36,2.4,24,2278,154,NA,NA,NA,NA,NA,NA,FALSE,-10.4,18.2,-7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717338,"2023-07-19",2,"2023-07-20T01:53:44.997Z","2023-07-20T01:53:48.294Z",TRUE,"pitch","e541fc86-2772-48b4-856e-f8a505d4affc",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,2.97,1.4,NA,117.04,148.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Alejandro Kirk strikes out swinging.",0,2,0,75,"bottom",9,"2023-07-20T01:53:21.998Z","2023-07-20T01:54:31.849Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,672386,"Alejandro Kirk","/api/v1/people/672386","R","Right",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.7,88.2,11,0.9,0.3896,6.7451,31.8907,-11.7539,4.7322,10.2026,-0.0011,3.3528,-8.1467,-140.58,-3.6925,2.3196,50.0023,5.4464,9.4718,31.2,2.4,24,2240,149,NA,NA,NA,NA,NA,NA,FALSE,-11.4,17.9,-6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717338,"2023-07-19",1,"2023-07-20T01:53:24.409Z","2023-07-20T01:53:27.999Z",TRUE,"pitch","19fdd199-df38-4418-b7ce-e269338b6224",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,2.9603,1.5017,NA,126.16,191.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Alejandro Kirk strikes out swinging.",0,2,0,75,"bottom",9,"2023-07-20T01:53:21.998Z","2023-07-20T01:54:31.849Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,672386,"Alejandro Kirk","/api/v1/people/672386","R","Right",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.7,88.6,8,0.9,0.3895,6.7969,30.922,-10.8194,4.5449,10.6554,-0.2404,1.753,-9.1741,-140.468,-7.8383,2.473,50.0046,5.2779,9.1107,30,2.4,24,2212,151,NA,NA,NA,NA,NA,NA,FALSE,-11.4,17.9,-6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717338,"2023-07-19",0,"2023-07-20T01:53:04.086Z","2023-07-20T01:53:24.409Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Alejandro Kirk replaces Kevin Kiermaier.","Offensive Substitution",2,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,672386,"/api/v1/people/672386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","75","atBat","Strikeout","strikeout","Alejandro Kirk strikes out swinging.",0,2,0,75,"bottom",9,"2023-07-20T01:53:21.998Z","2023-07-20T01:54:31.849Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,672386,"Alejandro Kirk","/api/v1/people/672386","R","Right",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,595281,"/api/v1/people/595281",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717338,"2023-07-19",5,"2023-07-20T01:52:35.310Z","2023-07-20T01:52:40.492Z",TRUE,"pitch","f08a5ee3-0083-488c-911b-732ae57b41a6",6,"Hit By Pitch",NA,NA,NA,NA,FALSE,"H","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"H","Hit By Pitch",2,2,1,NA,NA,3.22,1.5,NA,149.12,138.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Hit By Pitch","hit_by_pitch","Danny Jansen hit by pitch.",0,2,0,74,"bottom",9,"2023-07-20T01:50:53.954Z","2023-07-20T01:52:40.492Z",TRUE,FALSE,FALSE,FALSE,11,2,2,1,643376,"Danny Jansen","/api/v1/people/643376","R","Right",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","San Diego Padres","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.1,88.4,11,0.9,0.3887,6.7783,32.3656,-10.3917,4.7264,10.8373,-0.8427,3.7072,-10.7162,-140.9581,-2.9833,2.3961,50.0039,5.4513,9.5014,32.4,2.4,24,2215,152,NA,NA,NA,NA,NA,NA,FALSE,-10,19.2,-6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,643376,"Danny Jansen","/api/v1/people/643376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717338,"2023-07-19",4,"2023-07-20T01:52:15.217Z","2023-07-20T01:52:18.484Z",TRUE,"pitch","520471fa-fe01-43ed-a962-4241ef6b1e54",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.22,1.5,NA,140.69,143.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Hit By Pitch","hit_by_pitch","Danny Jansen hit by pitch.",0,2,0,74,"bottom",9,"2023-07-20T01:50:53.954Z","2023-07-20T01:52:40.492Z",TRUE,FALSE,FALSE,FALSE,11,2,2,1,643376,"Danny Jansen","/api/v1/people/643376","R","Right",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","San Diego Padres","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.2,87.6,11,0.9,0.3922,6.7323,32.4041,-9.1569,2.909,11.6593,-0.6216,3.5453,-9.6574,-139.8245,-3.5812,2.5035,50.0017,5.4465,5.7428,19.2,2.4,24,2214,157,NA,NA,NA,NA,NA,NA,FALSE,-9.2,20.5,-3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
