"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
718180,"2023-05-14",0,"2023-05-14T20:31:45.349Z","2023-05-14T20:31:56.385Z",TRUE,"pitch","b3140c9a-87eb-4e0a-bade-f78e674bd300",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.94,1.83,NA,108.05,157.34,"fly_ball","hard","8",94.93,40.57,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Flyout","field_out","Aaron Judge flies out sharply to center fielder Jose Siri.",0,8,7,78,"bottom",9,"2023-05-14T20:31:19.723Z","2023-05-14T20:31:56.385Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,592450,"Aaron Judge","/api/v1/people/592450","R","Right",592094,"Jason Adam","/api/v1/people/592094","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Tampa Bay Rays","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",79.5,72,5,0.94,0.4772,6.8662,25.3102,-33.8771,10.3277,-1.282,0.2348,3.0163,1.5097,-115.6062,1.1752,-1.7694,50.0026,5.8004,13.7173,22.8,10.8,24,2695,57,111.9,38,399,NA,NA,NA,TRUE,-45.6,-1.6,-19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718180,"2023-05-14",1,"2023-05-14T20:31:09.981Z","2023-05-14T20:31:18.629Z",TRUE,"pitch","8dbeda0b-c7cb-4a92-8e92-289b81ff93dc",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,1,NA,NA,3.13,1.44,NA,160.99,160.71,"fly_ball","medium","7",84.07,100.66,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Flyout","field_out","Gleyber Torres flies out to left fielder Randy Arozarena.",0,8,7,77,"bottom",9,"2023-05-14T20:30:26.922Z","2023-05-14T20:31:18.629Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,650402,"Gleyber Torres","/api/v1/people/650402","R","Right",592094,"Jason Adam","/api/v1/people/592094","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Tampa Bay Rays","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",91.8,84.3,11,0.88,0.4096,6.7972,28.3936,-23.8313,-11.4002,4.606,-1.154,2.8916,4.6007,-133.6485,-3.7397,-1.4151,50.0042,6.0176,-20.656,38.4,7.2,24,2403,227,78.5,40,268,NA,NA,NA,TRUE,-24.6,7.8,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718180,"2023-05-14",0,"2023-05-14T20:30:52.684Z","2023-05-14T20:30:59.699Z",TRUE,"pitch","99c6e5ae-57a9-4432-b128-80e2f1499390",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.1282,1.3568,NA,203.83,139.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Flyout","field_out","Gleyber Torres flies out to left fielder Randy Arozarena.",0,8,7,77,"bottom",9,"2023-05-14T20:30:26.922Z","2023-05-14T20:31:18.629Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,650402,"Gleyber Torres","/api/v1/people/650402","R","Right",592094,"Jason Adam","/api/v1/people/592094","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Tampa Bay Rays","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",77.4,70.2,11,0.95,0.4893,6.8375,22.9637,-34.6928,10.8098,-1.9949,-2.2781,3.6714,-3.8101,-112.5286,2.8605,-1.9544,50,5.9307,13.6756,20.4,12,24,2640,55,NA,NA,NA,NA,NA,NA,FALSE,-48.6,-2.4,-18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718180,"2023-05-14",2,"2023-05-14T20:30:16.414Z","2023-05-14T20:30:23.872Z",TRUE,"pitch","c9ee93bd-6a95-4cef-bd08-ff8800313f98",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,0,NA,NA,3.2,1.49,NA,133.16,189.74,"ground_ball","medium","4",149.03,156.92,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Oswaldo Cabrera grounds out, second baseman Brandon Lowe to first baseman Isaac Paredes.",0,8,7,76,"bottom",9,"2023-05-14T20:29:56.238Z","2023-05-14T20:30:23.872Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,665828,"Oswaldo Cabrera","/api/v1/people/665828","L","Left",592094,"Jason Adam","/api/v1/people/592094","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Tampa Bay Rays",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90.5,83.4,7,0.89,0.4155,6.7251,26.8862,-26.9551,-10.7013,2.9629,-0.4239,1.8162,6.3856,-131.6122,-5.172,-1.4863,50.0022,5.7931,-18.848,32.4,7.2,24,2244,234,82.1,-9,12,NA,NA,NA,TRUE,-28.9,4.4,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718180,"2023-05-14",1,"2023-05-14T20:29:58.622Z","2023-05-14T20:30:02.661Z",TRUE,"pitch","8c5d1480-5158-4732-9d64-84b6eed9ed14",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.3392,1.462,NA,75.77,128.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Oswaldo Cabrera grounds out, second baseman Brandon Lowe to first baseman Isaac Paredes.",0,8,7,76,"bottom",9,"2023-05-14T20:29:56.238Z","2023-05-14T20:30:23.872Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,665828,"Oswaldo Cabrera","/api/v1/people/665828","L","Left",592094,"Jason Adam","/api/v1/people/592094","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95,87.1,12,0.9,0.3956,7.0693,29.2631,-12.5273,-3.0493,10.1087,1.0816,4.0756,7.859,-138.1728,-2.7344,-1.3967,50.0036,5.9139,-5.9271,18,2.4,24,2711,218,NA,NA,NA,NA,NA,NA,FALSE,-12.2,18,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718180,"2023-05-14",0,"2023-05-14T20:28:36.446Z","2023-05-14T20:29:58.622Z",FALSE,"action",NA,NA,"Pitching Change: Jason Adam replaces Trevor Kelley.","Pitching Substitution",8,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,592094,"/api/v1/people/592094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"76","atBat","Groundout","field_out","Oswaldo Cabrera grounds out, second baseman Brandon Lowe to first baseman Isaac Paredes.",0,8,7,76,"bottom",9,"2023-05-14T20:29:56.238Z","2023-05-14T20:30:23.872Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,665828,"Oswaldo Cabrera","/api/v1/people/665828","L","Left",592094,"Jason Adam","/api/v1/people/592094","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Tampa Bay Rays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718180,"2023-05-14",3,"2023-05-14T20:26:52.872Z","2023-05-14T20:27:00.896Z",TRUE,"pitch","ff20371c-f615-4f09-a02a-a2a19bda3568",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,2,NA,NA,3.73,1.79,NA,133.5,185.43,"ground_ball","medium","4",147.21,147.83,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Josh Lowe grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.",0,8,7,75,"top",9,"2023-05-14T20:25:36.102Z","2023-05-14T20:27:00.896Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,666139,"Josh Lowe","/api/v1/people/666139","L","Left",676760,"Ron Marinaccio","/api/v1/people/676760","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","New York Yankees","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",81.6,74.2,7,0.9,0.4637,6.409,25.437,-29.6759,5.9637,1.7779,-0.4328,1.9758,4.3562,-118.711,-0.4556,-3.075,50.0055,4.9017,8.4044,16.8,9.6,24,2433,84,97.1,-1,38,NA,NA,NA,TRUE,-38.2,3.4,-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718180,"2023-05-14",2,"2023-05-14T20:26:35.099Z","2023-05-14T20:26:41.340Z",TRUE,"pitch","661cd26e-f577-4420-9fb6-9bdebcaeb55c",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.8144,1.778,NA,75.36,183.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Josh Lowe grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.",0,8,7,75,"top",9,"2023-05-14T20:25:36.102Z","2023-05-14T20:27:00.896Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,666139,"Josh Lowe","/api/v1/people/666139","L","Left",676760,"Ron Marinaccio","/api/v1/people/676760","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","New York Yankees","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94,85.6,14,0.9,0.4025,6.5412,30.3516,-13.4257,-8.1757,10.0022,1.0925,2.0583,12.1901,-136.1733,-6.3723,-2.3833,50.0068,5.3605,-15.3325,40.8,4.8,24,2181,220,NA,NA,NA,NA,NA,NA,FALSE,-14.4,16.8,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718180,"2023-05-14",1,"2023-05-14T20:26:16.922Z","2023-05-14T20:26:22.297Z",TRUE,"pitch","baa8bbaa-51fb-431a-b3a6-540656acbe1a",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.73,1.79,NA,107.52,158.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Josh Lowe grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.",0,8,7,75,"top",9,"2023-05-14T20:25:36.102Z","2023-05-14T20:27:00.896Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,666139,"Josh Lowe","/api/v1/people/666139","L","Left",676760,"Ron Marinaccio","/api/v1/people/676760","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","New York Yankees","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94,85.6,5,0.9,0.4015,6.3318,30.6146,-15.6519,-8.0227,8.768,0.2487,2.9692,10.0188,-136.5329,-3.5771,-2.4294,50.0027,5.3764,-15.1177,38.4,4.8,24,2111,221,NA,NA,NA,NA,NA,NA,FALSE,-15.8,15.2,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718180,"2023-05-14",0,"2023-05-14T20:26:00.807Z","2023-05-14T20:26:05.802Z",TRUE,"pitch","c8158f3f-2c1a-4d8a-9e4e-133555c20544",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.6031,1.5937,NA,134.52,206.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Josh Lowe grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.",0,8,7,75,"top",9,"2023-05-14T20:25:36.102Z","2023-05-14T20:27:00.896Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,666139,"Josh Lowe","/api/v1/people/666139","L","Left",676760,"Ron Marinaccio","/api/v1/people/676760","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","New York Yankees","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",79.6,73.6,13,0.9,0.4721,6.5637,21.4595,-30.6779,5.1615,1.1007,-0.4597,1.1901,4.5706,-115.9614,-1.513,-3.1261,50.0042,4.7746,7.0379,14.4,9.6,24,2303,78,NA,NA,NA,NA,NA,NA,FALSE,-41.2,1.9,-10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
