"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","isSubstitution","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716504,"2023-09-20",6,"2023-09-20T22:20:47.756Z","2023-09-20T22:20:52.861Z",TRUE,"pitch","04f2fc19-12e7-4707-9fcc-62325c5eb5b7",7,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,2,NA,NA,3.36,1.56,NA,96.31,160.53,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Kevin Smith strikes out swinging.",0,6,3,75,"bottom",9,"2023-09-20T22:18:24.058Z","2023-09-20T22:20:52.861Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,675656,"Kevin Smith","/api/v1/people/675656","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.8,86.6,3,0.75,0.3998,6.1362,26.5822,-28.6578,-9.0334,1.8456,0.5428,2.8983,9.9381,-136.3642,0.0203,-1.9544,50.0044,4.8482,-17.2213,27.6,7.2,24,1970,247,NA,NA,NA,NA,NA,NA,TRUE,-27.4,3.6,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716504,"2023-09-20",5,"2023-09-20T22:20:21.822Z","2023-09-20T22:20:24.822Z",TRUE,"pitch","27031860-affa-40ff-a84a-006a0706a9ed",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.3526,1.5796,NA,101.3,128.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Kevin Smith strikes out swinging.",0,6,3,75,"bottom",9,"2023-09-20T22:18:24.058Z","2023-09-20T22:20:52.861Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,675656,"Kevin Smith","/api/v1/people/675656","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.5,87.2,12,0.86,0.3968,6.108,26.3551,-30.4767,-9.7791,0.8779,0.4119,4.0722,9.8761,-137.2978,3.2438,-1.9369,50.0038,4.9322,-18.9365,30,7.2,24,1997,256,NA,NA,NA,NA,NA,NA,FALSE,-28,2.4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716504,"2023-09-20",4,"2023-09-20T22:19:53.917Z","2023-09-20T22:19:57.347Z",TRUE,"pitch","a3307e43-d125-42a2-b5dc-1675a0ef76c2",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.36,1.56,NA,107.05,163.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Kevin Smith strikes out swinging.",0,6,3,75,"bottom",9,"2023-09-20T22:18:24.058Z","2023-09-20T22:20:52.861Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,675656,"Kevin Smith","/api/v1/people/675656","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.5,87.7,5,0.91,0.3938,6.0342,29.6068,-35.2164,-10.5294,-1.5499,0.2612,2.7754,9.8668,-138.8113,0.5009,-1.9627,50.0044,4.9279,-20.654,27.6,8.4,24,2041,254,NA,NA,NA,NA,NA,NA,FALSE,-32.4,-2.5,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716504,"2023-09-20",3,"2023-09-20T22:19:31.318Z","2023-09-20T22:19:35.142Z",TRUE,"pitch","0e21f3b9-350d-4eb8-8048-e705b12e830c",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,2,NA,NA,3.3526,1.5796,NA,104.39,174.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Kevin Smith strikes out swinging.",0,6,3,75,"bottom",9,"2023-09-20T22:18:24.058Z","2023-09-20T22:20:52.861Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,675656,"Kevin Smith","/api/v1/people/675656","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95,87.7,6,0.89,0.3951,6.1312,27.5341,-34.5776,-10.3894,-1.2344,0.3309,2.3678,10.2071,-138.0399,-0.3456,-2.0452,50.0001,4.8006,-20.2697,27.6,8.4,24,2061,256,NA,NA,NA,NA,NA,NA,FALSE,-32.3,-2.2,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716504,"2023-09-20",2,"2023-09-20T22:19:10.062Z","2023-09-20T22:19:13.062Z",TRUE,"pitch","00bc0737-bb9d-4631-858d-41cb2b2da287",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.3608,1.5796,NA,70.85,166.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Kevin Smith strikes out swinging.",0,6,3,75,"bottom",9,"2023-09-20T22:18:24.058Z","2023-09-20T22:20:52.861Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,675656,"Kevin Smith","/api/v1/people/675656","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.8,87.4,12,0.89,0.3965,6.1106,27.7739,-33.7753,-10.6795,-0.823,1.2106,2.6768,12.1881,-137.6366,0.201,-1.8673,50.0051,4.872,-20.6911,28.8,8.4,24,2070,253,NA,NA,NA,NA,NA,NA,FALSE,-31.6,-1.2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716504,"2023-09-20",1,"2023-09-20T22:18:50.423Z","2023-09-20T22:18:53.611Z",TRUE,"pitch","febe287b-b062-4175-b3ab-5f02d923cf38",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.3845,1.6113,NA,46.83,197.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Kevin Smith strikes out swinging.",0,6,3,75,"bottom",9,"2023-09-20T22:18:24.058Z","2023-09-20T22:20:52.861Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,675656,"Kevin Smith","/api/v1/people/675656","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.5,78.1,14,2,0.445,5.889,23.3086,-27.0993,4.8507,3.3054,1.8408,1.5465,8.1025,-122.8607,-2.1603,-2.1243,50.0044,4.7301,7.4474,18,7.2,24,2398,71,NA,NA,NA,NA,NA,NA,FALSE,-32.5,5.8,-10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716504,"2023-09-20",0,"2023-09-20T22:18:33.414Z","2023-09-20T22:18:36.815Z",TRUE,"pitch","1a94a45a-a6e5-48a4-a3fb-819edeaf6680",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.4163,1.643,NA,148.39,160.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Kevin Smith strikes out swinging.",0,6,3,75,"bottom",9,"2023-09-20T22:18:24.058Z","2023-09-20T22:20:52.861Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,675656,"Kevin Smith","/api/v1/people/675656","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.2,86.7,1,0.88,0.3986,6.0595,28.2186,-34.5608,-10.8677,-1.2435,-0.8234,2.8837,7.1518,-137.0211,0.8427,-2.0457,50.0046,4.9203,-20.817,30,8.4,24,2025,252,NA,NA,NA,NA,NA,NA,FALSE,-32.5,-1.9,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716504,"2023-09-20",6,"2023-09-20T22:18:03.027Z","2023-09-20T22:18:07.828Z",TRUE,"pitch","de1dff04-5073-451d-b900-f1630507d491",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,2,NA,NA,3.3253,1.5524,NA,152.07,151.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Walk","walk","Tyler Soderstrom walks.",0,6,3,74,"bottom",9,"2023-09-20T22:16:05.129Z","2023-09-20T22:18:07.828Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,691016,"Tyler Soderstrom","/api/v1/people/691016","L","Left",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.3,85.5,11,0.86,0.4027,5.9771,28.869,-24.8714,-2.6199,3.8939,-0.92,3.2429,4.4993,-135.8548,0.104,-2.2547,50.0032,4.9283,-4.9139,9.6,6,24,2330,238,NA,NA,NA,NA,NA,NA,FALSE,-24,7.3,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,691016,"Tyler Soderstrom","/api/v1/people/691016",NA,NA,NA
716504,"2023-09-20",5,"2023-09-20T22:17:46.576Z","2023-09-20T22:17:49.576Z",TRUE,"pitch","55896cdf-8df6-4d11-a799-af8b1498c500",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.43,1.6249,NA,91.22,138.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Walk","walk","Tyler Soderstrom walks.",0,6,3,74,"bottom",9,"2023-09-20T22:16:05.129Z","2023-09-20T22:18:07.828Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,691016,"Tyler Soderstrom","/api/v1/people/691016","L","Left",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.7,87.2,12,0.88,0.3965,6.0929,27.2297,-32.9071,-9.7702,-0.3789,0.6763,3.7129,10.5675,-137.5343,2.5372,-1.9256,50.0015,4.9935,-18.9304,27.6,7.2,24,2042,251,NA,NA,NA,NA,NA,NA,FALSE,-30.4,0,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716504,"2023-09-20",3,"2023-09-20T22:17:17.494Z","2023-09-20T22:17:22.367Z",TRUE,"pitch","88dd40c9-bc22-4e53-b8db-ad9b07edbe09",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,2,NA,NA,3.39,1.54,NA,56.85,160.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Walk","walk","Tyler Soderstrom walks.",0,6,3,74,"bottom",9,"2023-09-20T22:16:05.129Z","2023-09-20T22:18:07.828Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,691016,"Tyler Soderstrom","/api/v1/people/691016","L","Left",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.6,84.3,12,0.86,0.4105,6.0154,26.7006,-25.2678,-3.0843,3.8254,1.5781,2.8998,10.5017,-133.0669,-0.7669,-2.007,50.0038,5.0111,-5.5711,8.4,6,24,2314,241,NA,NA,NA,NA,NA,NA,FALSE,-25.6,7,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
