"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","details.disengagementNum","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717764,"2023-06-15",3,"2023-06-15T02:50:53.476Z","2023-06-15T02:51:04.106Z",TRUE,"pitch","2f54cbc4-fdaa-476a-9d92-7b2112db2102",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,2,NA,NA,3.319,1.513,NA,118.1,175.72,"ground_ball","medium","6",116.91,157.53,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Forceout","force_out","Dairon Blanco grounds into a force out, shortstop Elly De La Cruz to second baseman Matt McLain. Nicky Lopez out at 2nd.",0,7,4,79,"bottom",9,"2023-06-15T02:49:50.350Z","2023-06-15T02:51:04.106Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,680118,"Dairon Blanco","/api/v1/people/680118","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals","Cincinnati Reds","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.2,82.2,5,0.89,0.4208,8.0631,25.5515,-29.0904,1.5317,1.7945,-0.0288,2.3354,4.9126,-129.8553,-0.0809,-2.1392,50.0037,4.5683,2.6315,7.2,7.2,24,2782,107,91.4,-1,37,NA,NA,NA,TRUE,-30.7,3.5,-3.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717764,"2023-06-15",2,"2023-06-15T02:50:31.764Z","2023-06-15T02:50:35.455Z",TRUE,"pitch","8c810bb1-710a-499b-9926-763effb857a5",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.319,1.513,NA,140.98,166.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Forceout","force_out","Dairon Blanco grounds into a force out, shortstop Elly De La Cruz to second baseman Matt McLain. Nicky Lopez out at 2nd.",0,7,4,79,"bottom",9,"2023-06-15T02:49:50.350Z","2023-06-15T02:51:04.106Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,680118,"Dairon Blanco","/api/v1/people/680118","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals","Cincinnati Reds","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.2,87.2,4,0.9,0.3949,7.8431,29.9441,-17.1948,-5.1319,7.6818,-0.6292,2.6717,5.8943,-138.5328,-1.5277,-2.1142,50.0063,4.3757,-10.012,26.4,3.6,24,2457,236,NA,NA,NA,NA,NA,NA,FALSE,-16.3,13.8,8.2,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717764,"2023-06-15",1,"2023-06-15T02:50:14.886Z","2023-06-15T02:50:18.120Z",TRUE,"pitch","76e1b8a6-65bc-4885-a9fb-216befee1b2c",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.319,1.513,NA,98.92,196.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Forceout","force_out","Dairon Blanco grounds into a force out, shortstop Elly De La Cruz to second baseman Matt McLain. Nicky Lopez out at 2nd.",0,7,4,79,"bottom",9,"2023-06-15T02:49:50.350Z","2023-06-15T02:51:04.106Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,680118,"Dairon Blanco","/api/v1/people/680118","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals","Cincinnati Reds","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.6,82.5,9,0.88,0.4194,8.208,26.7022,-27.9307,1.1391,2.4563,0.4743,1.5478,6.2422,-130.4655,-2.277,-2.0945,50.0052,4.5309,1.9683,6,7.2,24,2761,137,NA,NA,NA,NA,NA,NA,FALSE,-29.8,4.2,-3.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717764,"2023-06-15",0,"2023-06-15T02:49:58.838Z","2023-06-15T02:50:02.672Z",TRUE,"pitch","204744a1-a607-4dbc-86c8-fdb74b8fcb69",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.3492,1.4947,NA,123.7,181.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Forceout","force_out","Dairon Blanco grounds into a force out, shortstop Elly De La Cruz to second baseman Matt McLain. Nicky Lopez out at 2nd.",0,7,4,79,"bottom",9,"2023-06-15T02:49:50.350Z","2023-06-15T02:51:04.106Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,680118,"Dairon Blanco","/api/v1/people/680118","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals","Cincinnati Reds","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.4,86.8,5,0.9,0.3975,8.1772,28.3486,-16.2571,-5.0555,8.263,-0.1757,2.1304,7.1891,-137.418,-3.0414,-2.16,50.0061,4.346,-9.7429,26.4,3.6,24,2461,235,NA,NA,NA,NA,NA,NA,FALSE,-16,14.5,7.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717764,"2023-06-15",3,"2023-06-15T02:49:23.758Z","2023-06-15T02:49:29.262Z",TRUE,"pitch","fb82bad2-319e-427e-ae10-5ead0a4a4698",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,1,NA,NA,3.24,1.55,NA,69.25,208.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Strikeout","strikeout","Freddy Fermin strikes out swinging.",0,7,4,78,"bottom",9,"2023-06-15T02:48:29.544Z","2023-06-15T02:49:29.262Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,666023,"Freddy Fermin","/api/v1/people/666023","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals","Cincinnati Reds","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.2,82.7,14,0.9,0.4204,8.1069,24.8539,-28.2975,1.7361,2.2527,1.2528,1.1092,7.9464,-129.8514,-3.0451,-2.0615,50.0061,4.4293,2.9914,8.4,7.2,24,2763,133,NA,NA,NA,NA,NA,NA,TRUE,-30.5,3.6,-4.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,670032,"Nicky Lopez","/api/v1/people/670032",658668,"Edward Olivares","/api/v1/people/658668",686681,"Michael Massey","/api/v1/people/686681",NA,NA,NA,NA
717764,"2023-06-15",2,"2023-06-15T02:49:03.603Z","2023-06-15T02:49:07.067Z",TRUE,"pitch","7da31d6a-f880-45ea-818e-3cea871ec9b1",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.2911,1.5527,NA,81.22,223.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Strikeout","strikeout","Freddy Fermin strikes out swinging.",0,7,4,78,"bottom",9,"2023-06-15T02:48:29.544Z","2023-06-15T02:49:29.262Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,666023,"Freddy Fermin","/api/v1/people/666023","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals","Cincinnati Reds","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.1,81.4,14,0.9,0.4268,7.7932,25.4451,-26.4154,1.6346,3.4486,0.9385,0.5588,7.7189,-128.1311,-4.3722,-2.3202,50.0018,4.3411,2.7288,8.4,7.2,24,2679,161,NA,NA,NA,NA,NA,NA,FALSE,-29.6,5.5,-4.7,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717764,"2023-06-15",1,"2023-06-15T02:48:45.609Z","2023-06-15T02:48:52.058Z",TRUE,"pitch","7b68828b-71c5-4cba-ac7e-c2fa73de53c7",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,1,NA,NA,3.2911,1.5237,NA,103.25,151.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Strikeout","strikeout","Freddy Fermin strikes out swinging.",0,7,4,78,"bottom",9,"2023-06-15T02:48:29.544Z","2023-06-15T02:49:29.262Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,666023,"Freddy Fermin","/api/v1/people/666023","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals","Cincinnati Reds","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.8,82.7,3,0.88,0.4181,8.0777,25.7749,-30.106,2.0953,1.1904,0.3606,3.225,5.817,-130.6622,2.2438,-2.1608,50.0046,4.607,3.6476,9.6,7.2,24,2862,120,NA,NA,NA,NA,NA,NA,FALSE,-31,2.9,-5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717764,"2023-06-15",0,"2023-06-15T02:48:30.022Z","2023-06-15T02:48:33.085Z",TRUE,"pitch","148e7250-b88e-4fdf-b0d4-24e4ed0c2a23",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.24,1.55,NA,82.12,213.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Strikeout","strikeout","Freddy Fermin strikes out swinging.",0,7,4,78,"bottom",9,"2023-06-15T02:48:29.544Z","2023-06-15T02:49:29.262Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,666023,"Freddy Fermin","/api/v1/people/666023","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals","Cincinnati Reds","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.8,81.2,14,0.9,0.4277,8.0547,24.9976,-27.7492,1.6884,2.6616,0.9151,0.9386,7.2936,-127.8035,-3.6252,-2.1888,50.0045,4.5419,2.8072,8.4,7.2,24,2667,158,NA,NA,NA,NA,NA,NA,FALSE,-31.1,4.2,-4.6,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717764,"2023-06-15",3,"2023-06-15T02:47:56.322Z","2023-06-15T02:48:03.237Z",TRUE,"pitch","6ca772ee-dcc4-4b17-8daf-a2d7c291b662",2,"Hit By Pitch",NA,NA,NA,NA,FALSE,"H","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"H","Hit By Pitch",1,1,1,NA,NA,2.93,1.34,NA,29.32,165.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Hit By Pitch","hit_by_pitch","Nicky Lopez hit by pitch.",0,7,4,77,"bottom",9,"2023-06-15T02:47:37.997Z","2023-06-15T02:48:03.237Z",TRUE,FALSE,FALSE,FALSE,11,1,1,1,670032,"Nicky Lopez","/api/v1/people/670032","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.3,87.1,12,0.91,0.3961,8.1313,30.1242,-15.2157,-7.2533,8.7536,2.3001,2.7288,14.2659,-138.1582,-1.959,-1.9828,50.0036,4.467,-14.0545,34.8,3.6,24,2628,232,NA,NA,NA,NA,NA,NA,FALSE,-14.6,15.6,10.2,NA,NA,NA,NA,NA,NA,FALSE,FALSE,670032,"Nicky Lopez","/api/v1/people/670032",658668,"Edward Olivares","/api/v1/people/658668",686681,"Michael Massey","/api/v1/people/686681",NA,NA,NA,NA
717764,"2023-06-15",2,"2023-06-15T02:47:40.053Z","2023-06-15T02:47:43.272Z",TRUE,"pitch","3c42a724-d159-4fdd-b818-74768661a805",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,2.93,1.34,NA,127.31,161.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Hit By Pitch","hit_by_pitch","Nicky Lopez hit by pitch.",0,7,4,77,"bottom",9,"2023-06-15T02:47:37.997Z","2023-06-15T02:48:03.237Z",TRUE,FALSE,FALSE,FALSE,11,1,1,1,670032,"Nicky Lopez","/api/v1/people/670032","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.5,87.2,2,0.91,0.3942,8.0247,30.9576,-16.7749,-6.8906,7.8723,-0.2705,2.8722,7.6471,-138.9208,-1.321,-2.1629,50.0002,4.4683,-13.4745,34.8,4.8,24,2487,234,NA,NA,NA,NA,NA,NA,FALSE,-15.8,14.2,10.9,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
