"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","details.disengagementNum","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
717575,"2023-06-29",3,"2023-06-29T03:52:23.801Z","2023-06-29T03:52:30.432Z",TRUE,"pitch","ba9d4eea-8f51-4bad-b60d-4c1a0817cf83",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.2,1.49,NA,112.44,156.62,"line_drive","medium","5",102.01,149.93,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Alek Thomas lines out to third baseman Isaac Paredes.",0,3,2,69,"bottom",9,"2023-06-29T03:51:02.208Z","2023-06-29T03:52:30.432Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,677950,"Alek Thomas","/api/v1/people/677950","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Tampa Bay Rays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.9,89.9,2,0.9,0.384,6.8732,31.6717,-15.585,2.5985,8.0438,0.1196,3.0428,0.2813,-142.4607,-7.2651,-0.3181,50.0044,6.6048,5.3597,18,3.6,24,2227,183,88.9,8,143,NA,NA,NA,TRUE,-15.1,13.3,-4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717575,"2023-06-29",2,"2023-06-29T03:51:49.460Z","2023-06-29T03:51:55.631Z",TRUE,"pitch","f61765ed-671c-4d7b-b65e-9a190c3efb10",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.2,1.49,NA,137.23,176.48,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Alek Thomas lines out to third baseman Isaac Paredes.",0,3,2,69,"bottom",9,"2023-06-29T03:51:02.208Z","2023-06-29T03:52:30.432Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,677950,"Alek Thomas","/api/v1/people/677950","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Tampa Bay Rays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.5,81.4,4,0.9,0.4285,6.7483,24.4245,-38.0812,1.5432,-3.5608,-0.5307,2.3075,-1.4847,-127.4709,-4.0162,-0.1432,50.0047,6.8873,2.5583,3.6,9.6,24,2527,48,NA,NA,NA,NA,NA,NA,FALSE,-42.6,-7.1,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717575,"2023-06-29",1,"2023-06-29T03:51:30.491Z","2023-06-29T03:51:35.734Z",TRUE,"pitch","31e3e613-011c-4966-b615-51eb7d8919b6",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.3701,1.4883,NA,131.47,181.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Alek Thomas lines out to third baseman Isaac Paredes.",0,3,2,69,"bottom",9,"2023-06-29T03:51:02.208Z","2023-06-29T03:52:30.432Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,677950,"Alek Thomas","/api/v1/people/677950","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Tampa Bay Rays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.3,79.9,4,0.9,0.4381,6.4915,21.5387,-38.4472,2.1607,-3.952,-0.3796,2.118,-0.9563,-124.3255,-3.857,-0.2737,50.0011,6.8329,3.4311,4.8,9.6,24,2459,52,NA,NA,NA,NA,NA,NA,FALSE,-44.8,-7.7,-3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717575,"2023-06-29",0,"2023-06-29T03:51:13.945Z","2023-06-29T03:51:20.429Z",TRUE,"pitch","da844fa2-3b78-446e-a96f-87beb6983d22",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4035,1.6004,NA,120.15,204.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Alek Thomas lines out to third baseman Isaac Paredes.",0,3,2,69,"bottom",9,"2023-06-29T03:51:02.208Z","2023-06-29T03:52:30.432Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,677950,"Alek Thomas","/api/v1/people/677950","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Tampa Bay Rays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.7,89.8,13,0.88,0.3877,6.7854,27.048,-10.1395,1.7628,10.8593,-0.0827,1.263,-0.3493,-140.4287,-12.7035,-0.1872,50.0007,6.466,3.5764,15.6,2.4,24,2522,185,NA,NA,NA,NA,NA,NA,FALSE,-11.3,17.8,-3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717575,"2023-06-29",4,"2023-06-29T03:50:44.468Z","2023-06-29T03:50:55.153Z",TRUE,"pitch","b5c90bbf-6cd4-46ab-947e-e094b8760fb9",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,3,1,NA,NA,3.5352,1.6601,NA,101.52,196.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Pavin Smith called out on strikes.",0,3,2,68,"bottom",9,"2023-06-29T03:50:00.304Z","2023-06-29T03:50:55.153Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,656976,"Pavin Smith","/api/v1/people/656976","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.4,90.6,9,0.89,0.3823,6.8273,31.2172,-10.9611,0.1145,10.1929,0.406,1.5683,2.3465,-142.9518,-11.9071,-0.4384,50.0041,6.4627,0.2381,3.6,2.4,24,2386,191,NA,NA,NA,NA,NA,NA,TRUE,-11.9,16.4,-0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,672695,"Geraldo Perdomo","/api/v1/people/672695"
717575,"2023-06-29",3,"2023-06-29T03:50:24.442Z","2023-06-29T03:50:29.504Z",TRUE,"pitch","84d0bafd-b6f9-49c4-82d9-4d9bd4e4cc5b",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,1,NA,NA,3.6021,1.6976,NA,104.52,192.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Pavin Smith called out on strikes.",0,3,2,68,"bottom",9,"2023-06-29T03:50:00.304Z","2023-06-29T03:50:55.153Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,656976,"Pavin Smith","/api/v1/people/656976","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.7,90.1,9,0.88,0.3846,6.6269,30.0034,-8.8622,-0.1487,11.33,0.3274,1.6959,2.2012,-141.9655,-11.9606,-0.4361,50.0055,6.5095,-0.3058,1.2,2.4,24,2423,190,NA,NA,NA,NA,NA,NA,FALSE,-10.1,18.5,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717575,"2023-06-29",2,"2023-06-29T03:50:02.599Z","2023-06-29T03:50:08.643Z",TRUE,"pitch","8c3dc9ec-b3a1-44ce-a9d3-ca99f694a274",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.7376,1.8651,NA,126.63,181.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Pavin Smith called out on strikes.",0,3,2,68,"bottom",9,"2023-06-29T03:50:00.304Z","2023-06-29T03:50:55.153Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,656976,"Pavin Smith","/api/v1/people/656976","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.1,80.6,8,0.9,0.434,6.5274,21.9661,-34.7193,2.2328,-1.5705,-0.2526,2.1081,-0.1592,-125.5099,-4.9117,-0.4796,50.0056,6.8728,3.614,6,8.4,24,2421,62,NA,NA,NA,NA,NA,NA,FALSE,-40,-3.6,-4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717575,"2023-06-29",0,"2023-06-29T03:48:51.620Z","2023-06-29T03:49:01.341Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Pavin Smith replaces Nick Ahmed.","Offensive Substitution",3,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,656976,"/api/v1/people/656976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","801","68","atBat","Strikeout","strikeout","Pavin Smith called out on strikes.",0,3,2,68,"bottom",9,"2023-06-29T03:50:00.304Z","2023-06-29T03:50:55.153Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,656976,"Pavin Smith","/api/v1/people/656976","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Tampa Bay Rays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,605113,"/api/v1/people/605113",NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717575,"2023-06-29",1,"2023-06-29T03:49:01.341Z","2023-06-29T03:50:02.599Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",3,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Pavin Smith called out on strikes.",0,3,2,68,"bottom",9,"2023-06-29T03:50:00.304Z","2023-06-29T03:50:55.153Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,656976,"Pavin Smith","/api/v1/people/656976","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Tampa Bay Rays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717575,"2023-06-29",7,"2023-06-29T03:48:33.681Z","2023-06-29T03:48:44.128Z",TRUE,"pitch","0742a79a-c3b3-4c06-9340-e61329097d51",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,1,NA,NA,3.4035,1.5883,NA,144,206.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Walk","walk","Geraldo Perdomo walks.",0,3,2,67,"bottom",9,"2023-06-29T03:46:24.171Z","2023-06-29T03:48:44.128Z",TRUE,FALSE,FALSE,FALSE,0,4,2,1,672695,"Geraldo Perdomo","/api/v1/people/672695","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.6,78.9,13,0.9,0.4435,6.5303,22.7778,-35.8296,1.3036,-2.3642,-0.7084,1.1789,-1.1987,-123.1502,-6.337,-0.3864,50.0021,6.7899,2.017,2.4,9.6,24,2322,45,NA,NA,NA,NA,NA,NA,FALSE,-43.4,-5.4,-2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,672695,"Geraldo Perdomo","/api/v1/people/672695"
