"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
718028,"2023-05-25",5,"2023-05-26T02:27:38.263Z","2023-05-26T02:27:44.374Z",TRUE,"pitch","dd5c18ed-009b-46c0-aaa3-324ee20bd816",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,2,NA,NA,3.34,1.57,NA,88.44,176.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Brian Anderson strikes out swinging.",0,5,0,73,"bottom",9,"2023-05-26T02:25:36.510Z","2023-05-26T02:27:44.374Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605119,"Brian Anderson","/api/v1/people/605119","R","Right",605154,"John Brebbia","/api/v1/people/605154","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","San Francisco Giants","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.5,75.7,6,0.9,0.457,6.8167,24.3315,-32.3759,3.4762,-0.1417,0.7493,2.3102,5.0462,-120.0898,-1.2859,-1.8347,50.0007,5.7455,5.0509,10.8,9.6,24,2671,95,NA,NA,NA,NA,NA,NA,TRUE,-40.6,-0.2,-7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718028,"2023-05-25",4,"2023-05-26T02:27:22.089Z","2023-05-26T02:27:25.601Z",TRUE,"pitch","348baee2-46af-40e7-b103-e22b4db8a06f",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.2507,1.4804,NA,36.59,146.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Brian Anderson strikes out swinging.",0,5,0,73,"bottom",9,"2023-05-26T02:25:36.510Z","2023-05-26T02:27:44.374Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605119,"Brian Anderson","/api/v1/people/605119","R","Right",605154,"John Brebbia","/api/v1/people/605154","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","San Francisco Giants","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.4,87.1,12,0.9,0.3934,6.8009,34.6514,-7.4956,-4.2415,12.5993,2.1097,3.4266,11.1736,-139.8107,-4.9833,-1.4065,50.001,5.7364,-8.3084,32.4,2.4,24,2419,203,NA,NA,NA,NA,NA,NA,FALSE,-8.2,21.7,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718028,"2023-05-25",3,"2023-05-26T02:27:01.546Z","2023-05-26T02:27:04.977Z",TRUE,"pitch","3d51c83b-738f-4558-9211-e4dae9488758",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.34,1.57,NA,121.01,161.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Brian Anderson strikes out swinging.",0,5,0,73,"bottom",9,"2023-05-26T02:25:36.510Z","2023-05-26T02:27:44.374Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605119,"Brian Anderson","/api/v1/people/605119","R","Right",605154,"John Brebbia","/api/v1/people/605154","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","San Francisco Giants","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,86.3,2,0.9,0.3966,6.6197,34.1498,-9.9892,-6.589,11.511,-0.1051,2.8696,6.3711,-138.6885,-6.0086,-1.5882,50.0002,5.7464,-12.6954,44.4,3.6,24,2477,206,NA,NA,NA,NA,NA,NA,FALSE,-10.8,19.6,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718028,"2023-05-25",2,"2023-05-26T02:26:34.828Z","2023-05-26T02:26:42.540Z",TRUE,"pitch","a26224cb-0ba5-4e80-b1a8-f6e5c318cbf0",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.34,1.57,NA,143.05,186.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Brian Anderson strikes out swinging.",0,5,0,73,"bottom",9,"2023-05-26T02:25:36.510Z","2023-05-26T02:27:44.374Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605119,"Brian Anderson","/api/v1/people/605119","R","Right",605154,"John Brebbia","/api/v1/people/605154","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","San Francisco Giants","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.9,75.5,7,0.9,0.4589,6.9739,22.7033,-28.7422,2.8376,2.3811,-0.6835,1.9364,2.324,-119.3062,-2.9065,-2.0385,50.005,5.7577,4.0957,8.4,8.4,24,2751,99,NA,NA,NA,NA,NA,NA,FALSE,-36.7,3.8,-5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718028,"2023-05-25",1,"2023-05-26T02:26:19.036Z","2023-05-26T02:26:23.021Z",TRUE,"pitch","c22b8b60-08f9-42b0-8326-ae4173ef15bf",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.2226,1.4523,NA,144.1,137.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Brian Anderson strikes out swinging.",0,5,0,73,"bottom",9,"2023-05-26T02:25:36.510Z","2023-05-26T02:27:44.374Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605119,"Brian Anderson","/api/v1/people/605119","R","Right",605154,"John Brebbia","/api/v1/people/605154","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","San Francisco Giants","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.9,84.4,11,0.9,0.4061,6.5972,31.421,-16.2355,-6.3339,8.6644,-0.7109,3.7611,4.9752,-135.2346,-2.3075,-1.758,50.0009,5.7735,-11.6485,32.4,4.8,24,2212,209,NA,NA,NA,NA,NA,NA,FALSE,-16.4,15.4,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718028,"2023-05-25",0,"2023-05-26T02:26:02.141Z","2023-05-26T02:26:05.954Z",TRUE,"pitch","3f9c2770-ffb2-471f-bd8b-0060c5c08bb2",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.2507,1.5085,NA,118.32,154.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Brian Anderson strikes out swinging.",0,5,0,73,"bottom",9,"2023-05-26T02:25:36.510Z","2023-05-26T02:27:44.374Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605119,"Brian Anderson","/api/v1/people/605119","R","Right",605154,"John Brebbia","/api/v1/people/605154","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","San Francisco Giants","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.4,84.7,2,0.9,0.4047,6.8382,31.9098,-14.8883,-6.9293,9.3363,-0.0346,3.1123,6.8295,-135.7581,-4.1026,-1.6922,50.0057,5.6914,-12.8343,36,4.8,24,2241,206,NA,NA,NA,NA,NA,NA,FALSE,-15.5,16.1,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718028,"2023-05-25",0,"2023-05-26T02:25:11.688Z","2023-05-26T02:25:24.402Z",TRUE,"pitch","66bb874f-13db-4e67-9d3b-ba431eb18e80",1,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,0,2,NA,NA,3.24,1.68,NA,99.16,189.86,"line_drive","hard","8",159.97,48.53,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Double","double","Christian Yelich doubles (7) on a sharp line drive to center fielder Mike Yastrzemski.",0,5,0,72,"bottom",9,"2023-05-26T02:24:54.070Z","2023-05-26T02:25:24.402Z",TRUE,FALSE,FALSE,FALSE,34,0,0,2,592885,"Christian Yelich","/api/v1/people/592885","L","Left",605154,"John Brebbia","/api/v1/people/605154","R","Right","vs_RHP","vs_LHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","San Francisco Giants","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.4,77.9,9,0.91,0.4457,7.1239,24.7178,-35.0428,5.8697,-1.8804,0.4681,1.8118,3.6138,-122.956,-2.0809,-1.7839,50.0015,5.6469,8.9712,15.6,9.6,24,2733,103,109.5,18,382,NA,NA,NA,FALSE,-42,-3.6,-11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,592885,"Christian Yelich","/api/v1/people/592885",NA,NA,NA,NA,NA,NA,NA
718028,"2023-05-25",3,"2023-05-26T02:24:41.222Z","2023-05-26T02:24:48.842Z",TRUE,"pitch","aad591b1-1175-4733-bda2-4455ea1ed8b0",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,1,NA,NA,3.37,1.7,NA,110.38,200.64,"ground_ball","medium","5",104.56,162.6,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Willy Adames grounds out, third baseman J. D. Davis to first baseman LaMonte Wade Jr.",0,5,0,71,"bottom",9,"2023-05-26T02:23:32.308Z","2023-05-26T02:24:48.842Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,642715,"Willy Adames","/api/v1/people/642715","R","Right",605154,"John Brebbia","/api/v1/people/605154","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","San Francisco Giants","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.6,77.7,14,0.9,0.4487,7.1978,22.306,-31.508,5.0607,0.4427,0.1738,1.4126,3.2898,-121.7441,-3.6278,-1.8494,50.0051,5.6287,7.6508,14.4,8.4,24,2606,126,90.4,-12,8,NA,NA,NA,TRUE,-38.6,0.2,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718028,"2023-05-25",2,"2023-05-26T02:24:27.097Z","2023-05-26T02:24:31.981Z",TRUE,"pitch","02dccefd-3028-4f1a-ba38-006eb2951650",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.4166,1.7177,NA,92.16,194.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Willy Adames grounds out, third baseman J. D. Davis to first baseman LaMonte Wade Jr.",0,5,0,71,"bottom",9,"2023-05-26T02:23:32.308Z","2023-05-26T02:24:48.842Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,642715,"Willy Adames","/api/v1/people/642715","R","Right",605154,"John Brebbia","/api/v1/people/605154","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","San Francisco Giants","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.4,85.4,9,0.9,0.4037,6.9779,29.7149,-8.1129,-2.9379,12.9043,0.6517,1.6548,6.3818,-135.6866,-8.9645,-1.349,50.001,5.5669,-5.4778,22.8,2.4,24,2315,203,NA,NA,NA,NA,NA,NA,FALSE,-9.8,21.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718028,"2023-05-25",1,"2023-05-26T02:24:07.090Z","2023-05-26T02:24:14.636Z",TRUE,"pitch","82174051-c7c1-41b2-bad0-f7be12f94608",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.3089,1.5542,NA,136.77,126.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Willy Adames grounds out, third baseman J. D. Davis to first baseman LaMonte Wade Jr.",0,5,0,71,"bottom",9,"2023-05-26T02:23:32.308Z","2023-05-26T02:24:48.842Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,642715,"Willy Adames","/api/v1/people/642715","R","Right",605154,"John Brebbia","/api/v1/people/605154","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","San Francisco Giants","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.8,85.3,11,0.9,0.4017,6.9869,31.2997,-10.5898,-3.3173,11.4724,-0.5187,4.1629,3.7835,-136.5873,-2.3068,-1.4937,50.0013,5.7508,-6.2406,26.4,2.4,24,2132,209,NA,NA,NA,NA,NA,NA,FALSE,-10.7,20.4,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
