"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717887,"2023-06-05",5,"2023-06-06T01:14:09.921Z","2023-06-06T01:14:17.695Z",TRUE,"pitch","c2ca3e43-d88d-450a-8bfe-a017a790a770",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,0,1,NA,NA,3.49,1.67,NA,134.69,182.19,"ground_ball","medium","4",139.08,151.91,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Grounded Into DP","grounded_into_double_play","Bobby Witt Jr. grounds into a double play, second baseman Luis Arraez to first baseman Yuli Gurriel. Drew Waters out at 2nd. Bobby Witt Jr. out at 1st.",0,6,9,73,"top",9,"2023-06-06T01:12:20.086Z","2023-06-06T01:14:17.695Z",TRUE,FALSE,FALSE,TRUE,24,2,0,3,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",571670,"Dylan Floro","/api/v1/people/571670","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.4,84.9,7,0.9,0.4079,6.9987,27.9344,-23.5007,-11.1886,4.7466,-0.4641,2.0959,10.7285,-134.0907,-5.7604,-3.0558,50.0041,5.9397,-20.4558,37.2,7.2,24,2133,224,78.2,-21,7,NA,NA,NA,TRUE,-24.6,7.6,18.1,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717887,"2023-06-05",4,"2023-06-06T01:13:51.017Z","2023-06-06T01:13:54.262Z",TRUE,"pitch","62f2ff04-28d2-43a4-8584-9f8f3e30062f",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.5712,1.7529,NA,137.32,207.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Grounded Into DP","grounded_into_double_play","Bobby Witt Jr. grounds into a double play, second baseman Luis Arraez to first baseman Yuli Gurriel. Drew Waters out at 2nd. Bobby Witt Jr. out at 1st.",0,6,9,73,"top",9,"2023-06-06T01:12:20.086Z","2023-06-06T01:14:17.695Z",TRUE,FALSE,FALSE,TRUE,24,2,0,3,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",571670,"Dylan Floro","/api/v1/people/571670","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.4,84.9,13,0.9,0.4083,6.6499,28.4111,-23.1614,-11.2501,4.9454,-0.5331,1.1481,10.7339,-134.0367,-7.8706,-3.124,50.0046,5.771,-20.5146,36,7.2,24,2138,226,NA,NA,NA,NA,NA,NA,FALSE,-24.8,7.4,18.1,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717887,"2023-06-05",2,"2023-06-06T01:12:20.086Z","2023-06-06T01:12:25.636Z",FALSE,"no_pitch","2433d264-7909-4ebf-a094-5087eacd1eb5",0,"Automatic Ball - Pitcher Pitch Timer Violation",NA,NA,NA,NA,FALSE,"VP",NA,FALSE,FALSE,TRUE,"VP","Automatic Ball - Pitcher Pitch Timer Violation",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Grounded Into DP","grounded_into_double_play","Bobby Witt Jr. grounds into a double play, second baseman Luis Arraez to first baseman Yuli Gurriel. Drew Waters out at 2nd. Bobby Witt Jr. out at 1st.",0,6,9,73,"top",9,"2023-06-06T01:12:20.086Z","2023-06-06T01:14:17.695Z",TRUE,FALSE,FALSE,TRUE,24,2,0,3,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",571670,"Dylan Floro","/api/v1/people/571670","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"pitcher_pitch_timer","Pitcher Pitch Timer Violation",571670,"Dylan Floro",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717887,"2023-06-05",0,"2023-06-06T01:09:46.282Z","2023-06-06T01:10:14.548Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",6,9,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"73","atBat","Grounded Into DP","grounded_into_double_play","Bobby Witt Jr. grounds into a double play, second baseman Luis Arraez to first baseman Yuli Gurriel. Drew Waters out at 2nd. Bobby Witt Jr. out at 1st.",0,6,9,73,"top",9,"2023-06-06T01:12:20.086Z","2023-06-06T01:14:17.695Z",TRUE,FALSE,FALSE,TRUE,24,2,0,3,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",571670,"Dylan Floro","/api/v1/people/571670","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717887,"2023-06-05",1,"2023-06-06T01:10:14.548Z","2023-06-06T01:12:20.086Z",FALSE,"action",NA,NA,"Pitching Change: Dylan Floro replaces Steven Okert.","Pitching Substitution",6,9,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,571670,"/api/v1/people/571670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"73","atBat","Grounded Into DP","grounded_into_double_play","Bobby Witt Jr. grounds into a double play, second baseman Luis Arraez to first baseman Yuli Gurriel. Drew Waters out at 2nd. Bobby Witt Jr. out at 1st.",0,6,9,73,"top",9,"2023-06-06T01:12:20.086Z","2023-06-06T01:14:17.695Z",TRUE,FALSE,FALSE,TRUE,24,2,0,3,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",571670,"Dylan Floro","/api/v1/people/571670","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717887,"2023-06-05",3,"2023-06-06T01:13:06.955Z","2023-06-06T01:13:51.017Z",FALSE,"action",NA,NA,"On-field Delay.","Game Advisory",6,9,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,0,1,677951,"/api/v1/people/677951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"game_advisory",NA,NA,NA,NA,NA,NA,"73","atBat","Grounded Into DP","grounded_into_double_play","Bobby Witt Jr. grounds into a double play, second baseman Luis Arraez to first baseman Yuli Gurriel. Drew Waters out at 2nd. Bobby Witt Jr. out at 1st.",0,6,9,73,"top",9,"2023-06-06T01:12:20.086Z","2023-06-06T01:14:17.695Z",TRUE,FALSE,FALSE,TRUE,24,2,0,3,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",571670,"Dylan Floro","/api/v1/people/571670","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717887,"2023-06-05",5,"2023-06-06T01:09:16.454Z","2023-06-06T01:09:20.136Z",TRUE,"pitch","893bbcc8-dbce-4244-95d9-63ab7ec394a9",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,0,NA,NA,3.39,1.64,NA,129.23,192.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nick Pratto strikes out swinging.",0,6,9,72,"top",9,"2023-06-06T01:07:29.538Z","2023-06-06T01:09:20.136Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,668472,"Nick Pratto","/api/v1/people/668472","L","Left",595345,"Steven Okert","/api/v1/people/595345","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82,75.7,7,0.9,0.4586,6.5818,22.392,-25.9785,-4.8198,4.2864,-0.3208,1.7184,-5.4076,-119.323,-3.4802,2.5988,50.0038,5.5297,-6.9681,16.8,7.2,24,2352,285,NA,NA,NA,NA,NA,NA,TRUE,-33.4,7.2,10,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,671221,"Drew Waters","/api/v1/people/671221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717887,"2023-06-05",4,"2023-06-06T01:08:52.246Z","2023-06-06T01:08:55.927Z",TRUE,"pitch","790c6621-c485-4a95-86d0-14631b994c17",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,0,NA,NA,3.39,1.64,NA,113.34,178.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nick Pratto strikes out swinging.",0,6,9,72,"top",9,"2023-06-06T01:07:29.538Z","2023-06-06T01:09:20.136Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,668472,"Nick Pratto","/api/v1/people/668472","L","Left",595345,"Steven Okert","/api/v1/people/595345","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.3,75.9,5,0.9,0.4568,6.3134,22.6258,-28.8629,-3.1656,2.2775,0.0959,2.2192,-5.176,-119.7835,-1.7357,2.6942,50.0056,5.528,-4.6115,10.8,8.4,24,2196,276,NA,NA,NA,NA,NA,NA,FALSE,-36.4,4,7,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,671221,"Drew Waters","/api/v1/people/671221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717887,"2023-06-05",3,"2023-06-06T01:08:30.387Z","2023-06-06T01:08:34.600Z",TRUE,"pitch","04895a1d-59c8-414b-9838-a5673169177d",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,0,NA,NA,3.3818,1.5992,NA,83,158.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nick Pratto strikes out swinging.",0,6,9,72,"top",9,"2023-06-06T01:07:29.538Z","2023-06-06T01:09:20.136Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,668472,"Nick Pratto","/api/v1/people/668472","L","Left",595345,"Steven Okert","/api/v1/people/595345","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.9,75.4,12,0.9,0.4589,6.353,22.371,-29.8813,-4.2631,1.5935,0.8919,2.9746,-3.155,-119.2378,0.0853,2.785,50.0059,5.6287,-6.1558,13.2,8.4,24,2302,280,NA,NA,NA,NA,NA,NA,FALSE,-37.4,3.1,8.5,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,671221,"Drew Waters","/api/v1/people/671221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717887,"2023-06-05",2,"2023-06-06T01:08:06.054Z","2023-06-06T01:08:09.054Z",TRUE,"pitch","5e26cdf1-de0a-4f56-a269-35647fe86caf",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,0,NA,NA,3.39,1.64,NA,150.85,187.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Nick Pratto strikes out swinging.",0,6,9,72,"top",9,"2023-06-06T01:07:29.538Z","2023-06-06T01:09:20.136Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,668472,"Nick Pratto","/api/v1/people/668472","L","Left",595345,"Steven Okert","/api/v1/people/595345","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.7,86.3,13,0.89,0.3996,6.4875,31.1449,-15.213,6.8071,8.9206,-0.888,1.8811,-11.6459,-137.2131,-6.8846,2.5323,50.0025,5.4645,12.9434,31.2,4.8,24,2349,139,NA,NA,NA,NA,NA,NA,FALSE,-16.1,14.8,-9.8,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,671221,"Drew Waters","/api/v1/people/671221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
