"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","details.disengagementNum","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
716413,"2023-09-27",2,"2023-09-28T01:22:35.725Z","2023-09-28T01:22:44.998Z",TRUE,"pitch","8efb7f8d-5a97-4ef8-abf0-ac7c60d0b24a",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.73,1.72,NA,128.13,150.33,"ground_ball","medium","6",118.38,158.31,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Bo Bichette grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",0,6,0,67,"bottom",9,"2023-09-28T01:21:53.850Z","2023-09-28T01:22:44.998Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,666182,"Bo Bichette","/api/v1/people/666182","R","Right",543037,"Gerrit Cole","/api/v1/people/543037","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","New York Yankees","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.1,86.8,1,0.91,0.3937,6.4444,35.0457,-11.5111,-5.1278,10.5691,-0.2921,3.276,6.0589,-139.7811,-4.3956,-1.834,50.0022,5.6404,-10.025,33.6,3.6,24,2332,211,95.6,1,62,NA,NA,NA,TRUE,-11.6,18.2,7.8,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716413,"2023-09-27",1,"2023-09-28T01:22:17.871Z","2023-09-28T01:22:22.126Z",TRUE,"pitch","f4a09534-fe1f-4699-8d31-e6e908522fd1",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.6559,1.7142,NA,44.4,230.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Bo Bichette grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",0,6,0,67,"bottom",9,"2023-09-28T01:21:53.850Z","2023-09-28T01:22:44.998Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,666182,"Bo Bichette","/api/v1/people/666182","R","Right",543037,"Gerrit Cole","/api/v1/people/543037","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","New York Yankees","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.2,81.9,14,0.9,0.4243,6.2891,28.702,-30.8329,1.6419,0.7943,1.9045,0.3041,8.8001,-129.4077,-7.3213,-1.7629,50.003,5.5534,2.7635,8.4,8.4,24,2617,137,NA,NA,NA,NA,NA,NA,FALSE,-34.9,-0.1,-5,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716413,"2023-09-27",0,"2023-09-28T01:22:05.424Z","2023-09-28T01:22:09.202Z",TRUE,"pitch","a2ce108c-c3ed-4863-b76e-59243aed729f",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.7226,1.7592,NA,110.65,181.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Bo Bichette grounds out, shortstop Anthony Volpe to first baseman DJ LeMahieu.",0,6,0,67,"bottom",9,"2023-09-28T01:21:53.850Z","2023-09-28T01:22:44.998Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,666182,"Bo Bichette","/api/v1/people/666182","R","Right",543037,"Gerrit Cole","/api/v1/people/543037","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","New York Yankees","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.9,87.6,8,0.9,0.3909,6.3742,35.2759,-11.7503,-6.1546,10.297,0.1666,2.118,7.9825,-140.7331,-7.3042,-1.9219,50.0012,5.5275,-12.2064,37.2,3.6,24,2526,213,NA,NA,NA,NA,NA,NA,FALSE,-12.4,17,9.2,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716413,"2023-09-27",0,"2023-09-28T01:21:36.033Z","2023-09-28T01:21:40.771Z",TRUE,"pitch","22cf6584-ffcc-4e6e-9464-6f29c758c907",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.64,1.67,NA,104.41,189.54,"line_drive","medium","4",138.72,131.24,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Lineout","field_out","George Springer lines out to second baseman Gleyber Torres.",0,6,0,66,"bottom",9,"2023-09-28T01:21:25.657Z","2023-09-28T01:21:40.771Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,543807,"George Springer","/api/v1/people/543807","R","Right",543037,"Gerrit Cole","/api/v1/people/543037","R","Right","vs_RHP","vs_RHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","New York Yankees","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91,84,9,0.83,0.4128,6.3132,26.7517,-22.9104,2.7445,5.1878,0.3303,1.8236,4.9518,-132.3991,-5.6569,-1.9166,50.0026,5.6514,4.8995,13.2,6,24,2539,179,92.3,11,178,NA,NA,NA,TRUE,-24.5,8.4,-6,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716413,"2023-09-27",7,"2023-09-28T01:21:10.509Z","2023-09-28T01:21:14.340Z",TRUE,"pitch","96b63622-7e08-4e35-a640-6379c23e25f5",8,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,0,NA,NA,3.45,1.64,NA,114.66,151.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Kevin Kiermaier strikes out swinging.",0,6,0,65,"bottom",9,"2023-09-28T01:18:38.881Z","2023-09-28T01:21:14.340Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,595281,"Kevin Kiermaier","/api/v1/people/595281","L","Left",543037,"Gerrit Cole","/api/v1/people/543037","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","New York Yankees","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.1,87.7,2,0.91,0.3899,6.5646,35.7208,-11.4668,-4.8545,10.3915,0.0615,3.2477,7.164,-141.1248,-4.7344,-1.8935,50.0041,5.7018,-9.6754,32.4,3.6,24,2474,208,NA,NA,NA,NA,NA,NA,TRUE,-11.5,17.9,7.1,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716413,"2023-09-27",6,"2023-09-28T01:20:42.896Z","2023-09-28T01:20:47.801Z",TRUE,"pitch","e11019f3-eca5-42f5-83eb-323b71c91fcf",7,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,0,NA,NA,3.45,1.64,NA,109.27,188.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Kevin Kiermaier strikes out swinging.",0,6,0,65,"bottom",9,"2023-09-28T01:18:38.881Z","2023-09-28T01:21:14.340Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,595281,"Kevin Kiermaier","/api/v1/people/595281","L","Left",543037,"Gerrit Cole","/api/v1/people/543037","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","New York Yankees","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",83.9,75.9,8,0.9,0.4536,6.3783,29.8811,-45.5438,4.5237,-9.1154,0.2029,1.8586,3.7621,-121.9843,-0.1233,-1.9617,50.001,5.9249,6.6365,9.6,13.2,24,2875,39,NA,NA,NA,NA,NA,NA,FALSE,-55.8,-16.1,-9.2,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716413,"2023-09-27",5,"2023-09-28T01:20:14.607Z","2023-09-28T01:20:19.734Z",TRUE,"pitch","fbba0d6e-919e-4bb0-943c-e66146471903",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,0,NA,NA,3.45,1.64,NA,95.88,173.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Kevin Kiermaier strikes out swinging.",0,6,0,65,"bottom",9,"2023-09-28T01:18:38.881Z","2023-09-28T01:21:14.340Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,595281,"Kevin Kiermaier","/api/v1/people/595281","L","Left",543037,"Gerrit Cole","/api/v1/people/543037","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","New York Yankees","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.8,84.2,6,0.91,0.4101,6.4483,28.6439,-18.4625,1.521,7.5867,0.5541,2.4172,6.0662,-133.539,-4.9953,-1.9441,50.0017,5.6395,2.7457,12,4.8,24,2471,187,NA,NA,NA,NA,NA,NA,FALSE,-19.6,12.8,-4.1,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716413,"2023-09-27",4,"2023-09-28T01:19:58.819Z","2023-09-28T01:20:04.300Z",TRUE,"pitch","ed3a684e-f8ea-4def-8b65-318931aab082",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,0,NA,NA,3.3662,1.5567,NA,161.39,199.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Kevin Kiermaier strikes out swinging.",0,6,0,65,"bottom",9,"2023-09-28T01:18:38.881Z","2023-09-28T01:21:14.340Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,595281,"Kevin Kiermaier","/api/v1/people/595281","L","Left",543037,"Gerrit Cole","/api/v1/people/543037","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","New York Yankees","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.7,81.5,13,0.92,0.4217,6.5709,30.2341,-22.225,-9.3182,5.8382,-1.1645,1.4629,5.2704,-130.4301,-5.8952,-2.0123,50.0029,5.4543,-15.8791,32.4,7.2,24,1590,234,NA,NA,NA,NA,NA,NA,FALSE,-25,9.4,15.5,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716413,"2023-09-27",3,"2023-09-28T01:19:36.745Z","2023-09-28T01:19:43.555Z",TRUE,"pitch","bfb63b0e-2591-4b1e-af21-f3dd3a9a855c",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,0,NA,NA,3.45,1.64,NA,98.12,158.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Kevin Kiermaier strikes out swinging.",0,6,0,65,"bottom",9,"2023-09-28T01:18:38.881Z","2023-09-28T01:21:14.340Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,595281,"Kevin Kiermaier","/api/v1/people/595281","L","Left",543037,"Gerrit Cole","/api/v1/people/543037","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","New York Yankees","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.6,87.7,3,0.91,0.3911,6.4039,33.9483,-11.0223,-4.2044,10.6687,0.4954,2.9584,7.8705,-140.4281,-5.4396,-1.8067,50.0039,5.6479,-8.337,27.6,2.4,24,2478,212,NA,NA,NA,NA,NA,NA,FALSE,-11.3,18.2,5.9,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716413,"2023-09-27",2,"2023-09-28T01:19:20.080Z","2023-09-28T01:19:24.394Z",TRUE,"pitch","317314eb-6ee6-463a-9984-b853ca68624b",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,0,NA,NA,3.1876,1.5342,NA,144.2,128.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Kevin Kiermaier strikes out swinging.",0,6,0,65,"bottom",9,"2023-09-28T01:18:38.881Z","2023-09-28T01:21:14.340Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,595281,"Kevin Kiermaier","/api/v1/people/595281","L","Left",543037,"Gerrit Cole","/api/v1/people/543037","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","New York Yankees","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.9,86.4,11,0.9,0.3947,6.3714,35.2838,-11.5087,-5.6422,10.6288,-0.7136,4.0674,5.3571,-139.4863,-2.276,-1.9385,50.0027,5.666,-10.97,38.4,3.6,24,2467,211,NA,NA,NA,NA,NA,NA,FALSE,-11.2,18.8,8.9,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
