"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isBaseRunningPlay","isSubstitution","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717672,"2023-06-21",3,"2023-06-21T20:58:05.186Z","2023-06-21T20:58:10.078Z",TRUE,"pitch","312ef0e0-4d73-4537-9e0d-6e29d959983b",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.41,1.67,NA,107.73,165.26,"line_drive","medium","9",201.27,116.23,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Lineout","field_out","Willy Adames lines out to right fielder Jake McCarthy.",0,5,1,74,"bottom",9,"2023-06-21T20:57:01.528Z","2023-06-21T20:58:10.078Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,642715,"Willy Adames","/api/v1/people/642715","R","Right",543518,"Scott McGough","/api/v1/people/543518","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Arizona Diamondbacks","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.4,86.4,5,0.91,0.3989,5.7136,29.6118,-12.5113,-7.5345,10.2936,0.2431,2.723,7.7285,-137.1669,-5.8367,-1.6286,50.0048,5.7275,-14.3959,43.2,3.6,24,2328,215,92.8,21,278,NA,NA,NA,TRUE,-13.1,17.6,12.1,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717672,"2023-06-21",2,"2023-06-21T20:57:35.685Z","2023-06-21T20:57:41.531Z",TRUE,"pitch","2361805f-eaad-4a24-8bc8-2983582ee5a2",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.41,1.67,NA,143.64,187.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Lineout","field_out","Willy Adames lines out to right fielder Jake McCarthy.",0,5,1,74,"bottom",9,"2023-06-21T20:57:01.528Z","2023-06-21T20:58:10.078Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,642715,"Willy Adames","/api/v1/people/642715","R","Right",543518,"Scott McGough","/api/v1/people/543518","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Arizona Diamondbacks","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",85.7,78.5,7,0.89,0.4398,5.7318,26.0055,-24.3529,-6.0819,4.9834,-0.6988,1.8956,4.4978,-124.7423,-4.6619,-1.7385,50.0042,5.8061,-9.5484,19.2,7.2,24,1236,220,NA,NA,NA,NA,NA,NA,FALSE,-29.2,8.2,10,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717672,"2023-06-21",1,"2023-06-21T20:57:19.521Z","2023-06-21T20:57:23.179Z",TRUE,"pitch","fc667698-36fa-4c3b-b3d8-94b8ef0c80f4",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.2944,1.6351,NA,87.93,153.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Lineout","field_out","Willy Adames lines out to right fielder Jake McCarthy.",0,5,1,74,"bottom",9,"2023-06-21T20:57:01.528Z","2023-06-21T20:58:10.078Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,642715,"Willy Adames","/api/v1/people/642715","R","Right",543518,"Scott McGough","/api/v1/people/543518","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Arizona Diamondbacks","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.2,84.8,3,0.9,0.4049,5.903,30.4042,-11.5397,-5.9569,11.1413,0.7626,3.1651,8.1753,-135.4347,-4.7241,-1.5254,50.0027,5.7432,-11.0332,36,3.6,24,2363,207,NA,NA,NA,NA,NA,NA,FALSE,-12.4,19.3,9,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717672,"2023-06-21",0,"2023-06-21T20:57:05.497Z","2023-06-21T20:57:09.239Z",TRUE,"pitch","729fb36d-282c-42cc-b599-a7d7a8ddd71c",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.3537,1.6001,NA,118.38,193.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Lineout","field_out","Willy Adames lines out to right fielder Jake McCarthy.",0,5,1,74,"bottom",9,"2023-06-21T20:57:01.528Z","2023-06-21T20:58:10.078Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,642715,"Willy Adames","/api/v1/people/642715","R","Right",543518,"Scott McGough","/api/v1/people/543518","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Arizona Diamondbacks","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.7,85.5,8,0.9,0.4029,5.7195,30.6049,-11.7046,-6.3256,10.9446,-0.0362,1.6773,6.499,-136.0722,-8.4071,-1.6368,50.0037,5.6234,-11.8314,37.2,3.6,24,2248,211,NA,NA,NA,NA,NA,NA,FALSE,-13.2,18.1,10.1,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717672,"2023-06-21",1,"2023-06-21T20:56:30.435Z","2023-06-21T20:56:38.865Z",TRUE,"pitch","adb206e5-8762-47d1-a7ae-d4d4aedefd12",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,1,NA,NA,3.41,1.61,NA,114.27,168.93,"ground_ball","medium","6",108.48,153.15,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","William Contreras grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.",0,5,1,73,"bottom",9,"2023-06-21T20:56:09.763Z","2023-06-21T20:56:38.865Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,661388,"William Contreras","/api/v1/people/661388","R","Right",543518,"Scott McGough","/api/v1/people/543518","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Arizona Diamondbacks","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.5,86,5,0.91,0.3995,5.749,31.3373,-12.2258,-6.772,10.4861,0.0717,2.5869,7.0572,-137.2844,-6.3163,-1.6565,50.002,5.7551,-12.8827,39.6,3.6,24,2455,212,88.3,-25,7,NA,NA,NA,TRUE,-13.1,17.8,10.7,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717672,"2023-06-21",0,"2023-06-21T20:56:16.265Z","2023-06-21T20:56:23.670Z",TRUE,"pitch","1a55f3fb-a893-4e51-bdd1-9e6ba69d3beb",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.607,1.6845,NA,99.25,205.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","William Contreras grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.",0,5,1,73,"bottom",9,"2023-06-21T20:56:09.763Z","2023-06-21T20:56:38.865Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,661388,"William Contreras","/api/v1/people/661388","R","Right",543518,"Scott McGough","/api/v1/people/543518","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Arizona Diamondbacks","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.9,85.3,14,0.9,0.4054,5.7486,28.0279,-9.1877,-6.6586,12.4184,0.4658,1.2384,7.8286,-134.8564,-9.8763,-1.6032,50,5.5863,-12.3215,43.2,3.6,24,2408,211,NA,NA,NA,NA,NA,NA,FALSE,-11,20.6,10.4,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717672,"2023-06-21",4,"2023-06-21T20:55:49.204Z","2023-06-21T20:55:54.070Z",TRUE,"pitch","8291cb38-6239-41d4-b899-8befd4048003",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,0,NA,NA,3.32,1.69,NA,109.38,181.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Christian Yelich strikes out swinging.",0,5,1,72,"bottom",9,"2023-06-21T20:54:32.662Z","2023-06-21T20:55:54.070Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,592885,"Christian Yelich","/api/v1/people/592885","L","Left",543518,"Scott McGough","/api/v1/people/543518","R","Right","vs_RHP","vs_LHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Arizona Diamondbacks","true",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",85.3,78.2,8,0.9,0.4418,5.6947,25.598,-27.2432,-3.6293,3.1712,0.2,2.1344,5.6906,-124.1391,-3.467,-1.6539,50.0049,5.8251,-5.6473,9.6,7.2,24,1071,215,NA,NA,NA,NA,NA,NA,TRUE,-32.5,5.2,5.2,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717672,"2023-06-21",3,"2023-06-21T20:55:30.109Z","2023-06-21T20:55:33.558Z",TRUE,"pitch","eabee133-bb4d-488b-9940-1f42dbea39b6",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,0,NA,NA,3.2411,1.6001,NA,165.82,149.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Christian Yelich strikes out swinging.",0,5,1,72,"bottom",9,"2023-06-21T20:54:32.662Z","2023-06-21T20:55:54.070Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,592885,"Christian Yelich","/api/v1/people/592885","L","Left",543518,"Scott McGough","/api/v1/people/543518","R","Right","vs_RHP","vs_LHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Arizona Diamondbacks","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",84.1,76.5,11,0.9,0.449,5.6987,26.1965,-30.8474,-1.6952,0.8791,-1.2809,3.3153,2.2268,-122.4169,0.0387,-1.9858,50.0008,5.9598,-2.5497,3.6,8.4,24,1089,223,NA,NA,NA,NA,NA,NA,FALSE,-37.1,1.9,2.5,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717672,"2023-06-21",2,"2023-06-21T20:55:08.849Z","2023-06-21T20:55:12.133Z",TRUE,"pitch","05fe1c63-4f09-4328-bcb6-d60f7edf937f",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.32,1.69,NA,110.75,140.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Christian Yelich strikes out swinging.",0,5,1,72,"bottom",9,"2023-06-21T20:54:32.662Z","2023-06-21T20:55:54.070Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,592885,"Christian Yelich","/api/v1/people/592885","L","Left",543518,"Scott McGough","/api/v1/people/543518","R","Right","vs_RHP","vs_LHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Arizona Diamondbacks","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.3,83.8,12,0.9,0.4091,5.723,30.5109,-12.2155,-6.4886,11.005,0.164,3.6467,7.1912,-134.173,-3.65,-1.7149,50.0006,5.9024,-11.7653,38.4,3.6,24,2319,204,NA,NA,NA,NA,NA,NA,FALSE,-13.1,19.3,10.1,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717672,"2023-06-21",1,"2023-06-21T20:54:52.898Z","2023-06-21T20:54:56.921Z",TRUE,"pitch","be8b0878-2b3d-4cf8-838d-a0c133dc18cc",2,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,2,0,NA,NA,3.32,1.69,NA,108.59,182.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Christian Yelich strikes out swinging.",0,5,1,72,"bottom",9,"2023-06-21T20:54:32.662Z","2023-06-21T20:55:54.070Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,592885,"Christian Yelich","/api/v1/people/592885","L","Left",543518,"Scott McGough","/api/v1/people/543518","R","Right","vs_RHP","vs_LHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Arizona Diamondbacks","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.8,83.5,8,0.89,0.4115,5.866,30.1764,-10.346,-6.4163,12.1836,0.2206,2.0753,7.2105,-133.3808,-7.4095,-1.6912,50.0054,5.6455,-11.4987,39.6,3.6,24,2245,202,NA,NA,NA,NA,NA,NA,FALSE,-12.2,20.5,10,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
