"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717347,"2023-07-19",4,"2023-07-20T01:24:00.273Z","2023-07-20T01:24:08.238Z",TRUE,"pitch","ef885e1c-17e7-41cc-97a6-9307a92d40ca",3,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,3,2,NA,NA,3.4,1.54,NA,135.94,215.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Alec Bohm strikes out on a foul tip.",0,5,3,73,"bottom",9,"2023-07-20T01:21:39.309Z","2023-07-20T01:24:08.238Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,664761,"Alec Bohm","/api/v1/people/664761","R","Right",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Milwaukee Brewers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",86,78.7,13,0.89,0.4396,7.2936,26.6632,-33.1836,-12.8462,-0.6417,-0.4969,0.8682,7.6227,-124.9117,-3.8438,-1.9291,50.0039,5.1741,-20.1716,28.8,9.6,24,2732,274,NA,NA,NA,NA,NA,NA,TRUE,-39.1,-1.9,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717347,"2023-07-19",2,"2023-07-20T01:22:08.512Z","2023-07-20T01:22:14.118Z",TRUE,"pitch","756ee19a-fac5-44fd-b54d-11e81380e72e",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,1,NA,NA,3.5275,1.5441,NA,99.21,171.91,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Alec Bohm strikes out on a foul tip.",0,5,3,73,"bottom",9,"2023-07-20T01:21:39.309Z","2023-07-20T01:24:08.238Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,664761,"Alec Bohm","/api/v1/people/664761","R","Right",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96,86.9,6,0.9,0.3945,7.5956,34.0498,-13.384,-8.7274,9.6459,0.4666,2.4765,9.3547,-139.3362,-5.6559,-1.8155,50.002,5.4321,-16.9995,45.6,4.8,24,2351,223,NA,NA,NA,NA,NA,NA,FALSE,-13.8,16.3,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717347,"2023-07-19",1,"2023-07-20T01:21:41.677Z","2023-07-20T01:21:45.312Z",TRUE,"pitch","2f0ebadf-83df-4a48-a9c3-cb37a1cdfddf",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,3.4,1.54,NA,103.99,146.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Alec Bohm strikes out on a foul tip.",0,5,3,73,"bottom",9,"2023-07-20T01:21:39.309Z","2023-07-20T01:24:08.238Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,664761,"Alec Bohm","/api/v1/people/664761","R","Right",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.1,86,3,0.9,0.398,7.4769,33.5326,-14.6222,-7.9818,9.1725,0.3413,3.4357,8.6406,-138.1274,-2.939,-1.8049,50.0034,5.5089,-15.2755,40.8,4.8,24,2373,221,NA,NA,NA,NA,NA,NA,FALSE,-14.5,16.1,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717347,"2023-07-19",0,"2023-07-20T01:21:11.930Z","2023-07-20T01:21:41.677Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",5,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Alec Bohm strikes out on a foul tip.",0,5,3,73,"bottom",9,"2023-07-20T01:21:39.309Z","2023-07-20T01:24:08.238Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,664761,"Alec Bohm","/api/v1/people/664761","R","Right",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Milwaukee Brewers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717347,"2023-07-19",3,"2023-07-20T01:22:33.719Z","2023-07-20T01:24:00.273Z",FALSE,"action",NA,NA,"Phillies challenged (tag play), call on the field was upheld: Bryson Stott caught stealing 2nd base, catcher William Contreras to second baseman Brice Turang.","Caught Stealing 2B",5,3,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,0,2,2,681082,"/api/v1/people/681082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"756ee19a-fac5-44fd-b54d-11e81380e72e","caught_stealing_2b",NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Alec Bohm strikes out on a foul tip.",0,5,3,73,"bottom",9,"2023-07-20T01:21:39.309Z","2023-07-20T01:24:08.238Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,664761,"Alec Bohm","/api/v1/people/664761","R","Right",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Milwaukee Brewers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"MA",143,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717347,"2023-07-19",1,"2023-07-20T01:20:35.473Z","2023-07-20T01:20:46.494Z",TRUE,"pitch","8e92ef94-ff30-48c2-9853-b557da8b13ef",2,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,1,1,NA,NA,3.17,1.49,NA,90.51,158.35,"line_drive","medium","7",102.09,95.6,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Single","single","Bryson Stott singles on a line drive to left fielder Blake Perkins. Bryce Harper to 3rd.",0,5,3,72,"bottom",9,"2023-07-20T01:20:09.058Z","2023-07-20T01:20:46.494Z",TRUE,FALSE,FALSE,FALSE,33,0,1,1,681082,"Bryson Stott","/api/v1/people/681082","L","Left",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Milwaukee Brewers","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89.2,82.5,3,0.89,0.4201,7.3951,24.7755,-22.0063,1.2878,5.8926,0.6948,2.979,6.3117,-129.9056,-2.2512,-1.9242,50.0031,5.5131,2.2208,8.4,4.8,24,2446,189,75.3,27,246,NA,NA,NA,FALSE,-23.6,10.4,-3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,681082,"Bryson Stott","/api/v1/people/681082",NA,NA,NA,547180,"Bryce Harper","/api/v1/people/547180"
717347,"2023-07-19",0,"2023-07-20T01:20:18.075Z","2023-07-20T01:20:21.926Z",TRUE,"pitch","92c31939-bd59-4ce7-8367-88b643670bce",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.2158,1.496,NA,137.94,170.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Single","single","Bryson Stott singles on a line drive to left fielder Blake Perkins. Bryce Harper to 3rd.",0,5,3,72,"bottom",9,"2023-07-20T01:20:09.058Z","2023-07-20T01:20:46.494Z",TRUE,FALSE,FALSE,FALSE,33,0,1,1,681082,"Bryson Stott","/api/v1/people/681082","L","Left",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Milwaukee Brewers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.7,86.1,4,0.9,0.3986,7.3861,32.4365,-15.491,-6.8455,8.7384,-0.5494,2.5277,6.1052,-137.7627,-5.1738,-1.9119,50.0062,5.488,-13.0761,34.8,4.8,24,2325,223,NA,NA,NA,NA,NA,NA,FALSE,-15.8,14.9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717347,"2023-07-19",2,"2023-07-20T01:19:43.581Z","2023-07-20T01:19:47.358Z",TRUE,"pitch","36e19b22-f84a-44d3-a865-015a0c97b2ff",3,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",0,3,0,NA,NA,3.52,1.66,NA,117.37,223.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","J.T. Realmuto strikes out swinging.",0,5,3,71,"bottom",9,"2023-07-20T01:18:58.085Z","2023-07-20T01:19:47.358Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,592663,"J.T. Realmuto","/api/v1/people/592663","R","Right",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Milwaukee Brewers","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",84.3,77,13,0.9,0.4491,7.1814,26.6463,-34.8138,-10.802,-1.7547,-0.0096,0.5685,7.9815,-122.4759,-3.8116,-1.9249,50.0044,5.1567,-16.2336,22.8,10.8,24,2788,281,NA,NA,NA,NA,NA,NA,TRUE,-42.8,-4,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,547180,"Bryce Harper","/api/v1/people/547180",NA,NA,NA,NA,NA,NA
717347,"2023-07-19",1,"2023-07-20T01:19:24.826Z","2023-07-20T01:19:28.853Z",TRUE,"pitch","e9cd4222-7586-4003-b785-2a41876fbf68",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,0,NA,NA,3.52,1.66,NA,121.09,135.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","J.T. Realmuto strikes out swinging.",0,5,3,71,"bottom",9,"2023-07-20T01:18:58.085Z","2023-07-20T01:19:47.358Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,592663,"J.T. Realmuto","/api/v1/people/592663","R","Right",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Milwaukee Brewers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.8,85.8,11,0.9,0.3986,7.4041,32.9376,-14.807,-8.3796,9.1025,-0.1072,3.8182,7.5872,-137.8237,-1.9023,-1.8179,50.0057,5.5265,-15.9938,43.2,4.8,24,2353,226,NA,NA,NA,NA,NA,NA,FALSE,-14.5,16.2,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717347,"2023-07-19",0,"2023-07-20T01:19:06.833Z","2023-07-20T01:19:10.271Z",TRUE,"pitch","fb9fc38f-0491-4ed1-80ef-34a7f57336e7",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,0,NA,NA,3.52,1.66,NA,125.02,186.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","J.T. Realmuto strikes out swinging.",0,5,3,71,"bottom",9,"2023-07-20T01:18:58.085Z","2023-07-20T01:19:47.358Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,592663,"J.T. Realmuto","/api/v1/people/592663","R","Right",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Milwaukee Brewers","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",84.4,76.6,8,0.9,0.4492,7.1417,27.182,-36.1123,-10.3556,-2.6271,-0.2105,1.9336,7.717,-122.5464,-0.6844,-2.0754,50.0015,5.337,-15.543,21.6,10.8,24,2777,280,NA,NA,NA,NA,NA,NA,FALSE,-43.6,-4.7,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
