"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
718684,"2023-04-07",2,"2023-04-07T23:04:49.607Z","2023-04-07T23:04:59.369Z",TRUE,"pitch","7a5684e3-0d48-43d4-b317-ec2eb44c51e7",3,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,1,1,NA,NA,3.25,1.47,NA,125.43,171.49,"ground_ball","medium","8",120.87,87.38,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","Kyle Farmer singles on a ground ball to center fielder Chas McCormick. Trevor Larnach scores. Jose Miranda to 3rd. Donovan Solano to 2nd.",1,2,3,78,"bottom",10,"2023-04-07T23:03:50.799Z","2023-04-07T23:04:59.369Z",TRUE,TRUE,FALSE,FALSE,60,1,1,1,571657,"Kyle Farmer","/api/v1/people/571657","R","Right",592773,"Ryne Stanek","/api/v1/people/592773","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,87.4,5,0.9,0.3921,5.9671,34.9623,-11.9885,-8.1468,10.2404,-0.221,2.4923,3.6216,-140.2744,-8.2622,-0.4784,50.0018,6.2782,-16.057,46.8,4.8,24,2318,211,91.2,-8,18,NA,NA,NA,FALSE,-12.8,16.8,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,571657,"Kyle Farmer","/api/v1/people/571657",456781,"Donovan Solano","/api/v1/people/456781",669304,"Jose Miranda","/api/v1/people/669304",NA,NA,NA,NA
718684,"2023-04-07",1,"2023-04-07T23:04:31.195Z","2023-04-07T23:04:34.741Z",TRUE,"pitch","5cf6fec6-e568-4e9a-8865-7e76e651e8f5",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.3046,1.5842,NA,44.57,137.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","Kyle Farmer singles on a ground ball to center fielder Chas McCormick. Trevor Larnach scores. Jose Miranda to 3rd. Donovan Solano to 2nd.",1,2,3,78,"bottom",10,"2023-04-07T23:03:50.799Z","2023-04-07T23:04:59.369Z",TRUE,TRUE,FALSE,FALSE,60,1,1,1,571657,"Kyle Farmer","/api/v1/people/571657","R","Right",592773,"Ryne Stanek","/api/v1/people/592773","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.1,87.6,12,0.9,0.3901,6.1884,35.6924,-10.7744,-6.9992,10.7487,1.9002,3.7384,8.654,-141.0564,-5.0962,-0.3157,50.0006,6.2794,-13.9329,44.4,3.6,24,2449,207,NA,NA,NA,NA,NA,NA,FALSE,-10.9,18.4,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718684,"2023-04-07",0,"2023-04-07T23:04:14.592Z","2023-04-07T23:04:18.463Z",TRUE,"pitch","5284520c-b7c9-41bb-9846-0a016cbb7a93",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.1878,1.4671,NA,84.74,193.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","Kyle Farmer singles on a ground ball to center fielder Chas McCormick. Trevor Larnach scores. Jose Miranda to 3rd. Donovan Solano to 2nd.",1,2,3,78,"bottom",10,"2023-04-07T23:03:50.799Z","2023-04-07T23:04:59.369Z",TRUE,TRUE,FALSE,FALSE,60,1,1,1,571657,"Kyle Farmer","/api/v1/people/571657","R","Right",592773,"Ryne Stanek","/api/v1/people/592773","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.8,79.5,14,0.9,0.435,5.6932,27.9637,-34.8032,1.0943,-1.6364,0.8463,1.6644,3.7891,-126.348,-4.1973,-0.8207,50.0061,6.1722,1.7531,3.6,9.6,24,2572,33,NA,NA,NA,NA,NA,NA,FALSE,-40.3,-3.7,-2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718684,"2023-04-07",4,"2023-04-07T23:03:29.049Z","2023-04-07T23:03:33.988Z",TRUE,"pitch","c3ebac11-fa7f-4d1a-a565-4611455ddaad",3,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",3,0,1,NA,NA,3.1047,1.5267,NA,63.81,235.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Intent Walk","intent_walk","Ryne Stanek intentionally walks Donovan Solano.",0,2,2,77,"bottom",10,"2023-04-07T23:01:40.973Z","2023-04-07T23:03:47.076Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,456781,"Donovan Solano","/api/v1/people/456781","R","Right",592773,"Ryne Stanek","/api/v1/people/592773","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",88.7,81.2,14,0.9,0.4274,6.2247,29.2421,-31.5764,-7.8989,0.3578,1.3954,0.1332,7.2289,-128.6698,-8.8001,-0.4381,50.0021,6.0802,-13.1093,19.2,8.4,24,960,254,NA,NA,NA,NA,NA,NA,FALSE,-36.6,-1.3,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718684,"2023-04-07",5,"2023-04-07T23:03:45.867Z","2023-04-07T23:03:47.076Z",FALSE,"no_pitch","07186846-0786-1003-000c-f08cd117d70a",3,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Intent Walk","intent_walk","Ryne Stanek intentionally walks Donovan Solano.",0,2,2,77,"bottom",10,"2023-04-07T23:01:40.973Z","2023-04-07T23:03:47.076Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,456781,"Donovan Solano","/api/v1/people/456781","R","Right",592773,"Ryne Stanek","/api/v1/people/592773","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,456781,"Donovan Solano","/api/v1/people/456781",669304,"Jose Miranda","/api/v1/people/669304",663616,"Trevor Larnach","/api/v1/people/663616",NA,NA,NA,NA
718684,"2023-04-07",3,"2023-04-07T23:03:11.139Z","2023-04-07T23:03:15.367Z",TRUE,"pitch","128af7a3-4945-4658-883f-a8cf2a1f7180",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.0451,1.3809,NA,146.28,194.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Intent Walk","intent_walk","Ryne Stanek intentionally walks Donovan Solano.",0,2,2,77,"bottom",10,"2023-04-07T23:01:40.973Z","2023-04-07T23:03:47.076Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,456781,"Donovan Solano","/api/v1/people/456781","R","Right",592773,"Ryne Stanek","/api/v1/people/592773","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",89.1,81.3,7,0.9,0.4245,6.068,29.8077,-31.4671,-5.7016,0.4213,-0.7682,1.6232,1.8996,-129.5593,-5.6233,-0.7748,50.0041,6.2587,-9.5883,15.6,8.4,24,860,252,NA,NA,NA,NA,NA,NA,FALSE,-35.2,-0.4,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718684,"2023-04-07",0,"2023-04-07T23:01:50.883Z","2023-04-07T23:02:00.203Z",TRUE,"pitch","c1b1723b-0b63-4b9e-83a9-76b63b56d862",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.1674,1.5267,NA,67.54,119.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Intent Walk","intent_walk","Ryne Stanek intentionally walks Donovan Solano.",0,2,2,77,"bottom",10,"2023-04-07T23:01:40.973Z","2023-04-07T23:03:47.076Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,456781,"Donovan Solano","/api/v1/people/456781","R","Right",592773,"Ryne Stanek","/api/v1/people/592773","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.1,88.7,12,0.9,0.3855,5.8666,35.9052,-5.4071,-2.9591,13.1226,1.2975,4.4295,5.6534,-142.6388,-4.5454,-0.3349,50.0041,6.3945,-6.0373,34.8,1.2,24,2428,207,NA,NA,NA,NA,NA,NA,FALSE,-5.8,22.9,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718684,"2023-04-07",1,"2023-04-07T23:02:14.637Z","2023-04-07T23:02:21.695Z",FALSE,"action",NA,NA,"Wild pitch by pitcher Ryne Stanek. Trevor Larnach to 3rd. Jose Miranda to 2nd.","Wild Pitch",2,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,0,1,663616,"/api/v1/people/663616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c1b1723b-0b63-4b9e-83a9-76b63b56d862","wild_pitch",NA,NA,NA,NA,NA,NA,"77","atBat","Intent Walk","intent_walk","Ryne Stanek intentionally walks Donovan Solano.",0,2,2,77,"bottom",10,"2023-04-07T23:01:40.973Z","2023-04-07T23:03:47.076Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,456781,"Donovan Solano","/api/v1/people/456781","R","Right",592773,"Ryne Stanek","/api/v1/people/592773","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718684,"2023-04-07",2,"2023-04-07T23:02:21.695Z","2023-04-07T23:03:11.139Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",2,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"77","atBat","Intent Walk","intent_walk","Ryne Stanek intentionally walks Donovan Solano.",0,2,2,77,"bottom",10,"2023-04-07T23:01:40.973Z","2023-04-07T23:03:47.076Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,456781,"Donovan Solano","/api/v1/people/456781","R","Right",592773,"Ryne Stanek","/api/v1/people/592773","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718684,"2023-04-07",2,"2023-04-07T23:01:13.044Z","2023-04-07T23:01:24.640Z",TRUE,"pitch","e6189af5-cd11-4ee6-ac5d-f785015616ee",3,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,1,1,NA,NA,3.04,1.46,NA,100,186.63,"ground_ball","medium","9",186.01,103.27,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Single","single","Jose Miranda singles on a ground ball to right fielder Kyle Tucker. Byron Buxton scores. Trevor Larnach to 2nd.",1,2,2,76,"bottom",10,"2023-04-07T23:00:02.566Z","2023-04-07T23:01:24.640Z",TRUE,TRUE,FALSE,FALSE,70,1,1,1,669304,"Jose Miranda","/api/v1/people/669304","R","Right",592773,"Ryne Stanek","/api/v1/people/592773","R","Right","vs_RHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.7,79.8,9,0.89,0.4347,6.2071,26.7556,-39.2243,3.216,-4.3885,0.446,1.9315,1.8065,-126.2201,-2.7016,-0.6979,50.0043,6.188,5.1656,8.4,9.6,24,2616,34,95.6,5,110,NA,NA,NA,FALSE,-44.8,-8.3,-6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,669304,"Jose Miranda","/api/v1/people/669304",663616,"Trevor Larnach","/api/v1/people/663616",NA,NA,NA,NA,NA,NA,NA
