"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
746553,"2024-05-11",2,"2024-05-11T03:01:39.085Z","2024-05-11T03:01:47.381Z",TRUE,"pitch","919737bb-8020-4c4f-9de7-0ffc44dc1031",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,0,2,NA,NA,3.62,1.72,NA,112.47,163.1,"ground_ball","medium","6",107.33,159.09,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","Leody Taveras grounds out, shortstop Ezequiel Tovar to first baseman Elehuris Montero.",0,2,4,73,"top",9,"2024-05-11T03:00:57.287Z","2024-05-11T03:01:47.381Z",TRUE,FALSE,FALSE,TRUE,0,2,0,3,665750,"Leody Taveras","/api/v1/people/665750","R","Right",656222,"Jalen Beeks","/api/v1/people/656222","L","Left","vs_LHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Colorado Rockies","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.6,86.4,5,0.9,0.4004,6.4436,27.4132,-14.7674,2.8256,9.1667,0.1188,2.803,-2.6063,-136.3155,-5.7446,0.716,50.005,5.9417,5.3668,16.8,3.6,24,2155,151,86.6,-8,19,NA,NA,NA,TRUE,-15.2,15.7,-4.7,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746553,"2024-05-11",1,"2024-05-11T03:01:23.254Z","2024-05-11T03:01:26.436Z",TRUE,"pitch","88bf4364-fc97-47f1-a963-17989e35996d",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.5309,1.6497,NA,95.25,124.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","Leody Taveras grounds out, shortstop Ezequiel Tovar to first baseman Elehuris Montero.",0,2,4,73,"top",9,"2024-05-11T03:00:57.287Z","2024-05-11T03:01:47.381Z",TRUE,FALSE,FALSE,TRUE,0,2,0,3,665750,"Leody Taveras","/api/v1/people/665750","R","Right",656222,"Jalen Beeks","/api/v1/people/656222","L","Left","vs_LHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Colorado Rockies","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.8,86.3,12,0.9,0.3995,6.4281,28.1379,-16.6526,1.6603,8.1411,0.5706,4.2441,-1.0126,-136.7257,-1.8773,0.7286,50.0046,6.0737,3.1662,9.6,3.6,24,2186,150,NA,NA,NA,NA,NA,NA,FALSE,-16.2,14.6,-2.8,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746553,"2024-05-11",0,"2024-05-11T03:01:07.669Z","2024-05-11T03:01:11.122Z",TRUE,"pitch","69968c30-c78c-4af3-985d-75df87cd4824",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4829,1.6385,NA,153.85,233.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","Leody Taveras grounds out, shortstop Ezequiel Tovar to first baseman Elehuris Montero.",0,2,4,73,"top",9,"2024-05-11T03:00:57.287Z","2024-05-11T03:01:47.381Z",TRUE,FALSE,FALSE,TRUE,0,2,0,3,665750,"Leody Taveras","/api/v1/people/665750","R","Right",656222,"Jalen Beeks","/api/v1/people/656222","L","Left","vs_LHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Colorado Rockies","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.9,83.1,13,0.89,0.4213,6.1079,22.2124,-22.2658,7.7779,5.7668,-0.9668,0.2131,-6.6743,-129.0888,-10.0664,0.6187,50.0053,5.8216,13.3717,27.6,6,24,2193,134,NA,NA,NA,NA,NA,NA,FALSE,-25.4,8.8,-13,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746553,"2024-05-11",2,"2024-05-11T03:00:36.782Z","2024-05-11T03:00:46.561Z",TRUE,"pitch","8a16b28f-92a3-452b-b2d0-49fe804cf04e",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,0,1,NA,NA,3.319,1.513,NA,132.16,159.64,"popup","medium","6",112.18,143.34,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Pop Out","field_out","Davis Wendzel pops out to shortstop Ezequiel Tovar.",0,2,4,72,"top",9,"2024-05-11T02:59:56.413Z","2024-05-11T03:00:46.561Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,673995,"Davis Wendzel","/api/v1/people/673995","R","Right",656222,"Jalen Beeks","/api/v1/people/656222","L","Left","vs_LHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Colorado Rockies","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.7,87,1,0.91,0.3986,6.3579,25.6223,-15.0014,0.9189,8.9467,-0.3978,2.931,-3.4628,-136.59,-5.4509,0.7583,50.0032,5.9575,1.7643,3.6,3.6,24,2125,155,71.3,62,158,NA,NA,NA,TRUE,-15.2,15.5,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746553,"2024-05-11",1,"2024-05-11T03:00:23.330Z","2024-05-11T03:00:26.902Z",TRUE,"pitch","4eb9c0c7-0670-4f9e-9aeb-a81167baa165",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.242,1.5314,NA,93.13,126.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Pop Out","field_out","Davis Wendzel pops out to shortstop Ezequiel Tovar.",0,2,4,72,"top",9,"2024-05-11T02:59:56.413Z","2024-05-11T03:00:46.561Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,673995,"Davis Wendzel","/api/v1/people/673995","R","Right",656222,"Jalen Beeks","/api/v1/people/656222","L","Left","vs_LHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Colorado Rockies","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,87.6,12,0.91,0.3943,6.4825,27.5288,-15.1173,2.3067,8.7017,0.6263,4.153,-1.2228,-138.3133,-2.3777,0.7718,50.0003,6.0238,4.5199,15.6,3.6,24,2190,151,NA,NA,NA,NA,NA,NA,FALSE,-14.4,15.6,-4,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746553,"2024-05-11",0,"2024-05-11T03:00:07.014Z","2024-05-11T03:00:11.056Z",TRUE,"pitch","9bb1cc7f-5655-49b5-864b-a4dda1a2c772",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.2186,1.5076,NA,131.17,224.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Pop Out","field_out","Davis Wendzel pops out to shortstop Ezequiel Tovar.",0,2,4,72,"top",9,"2024-05-11T02:59:56.413Z","2024-05-11T03:00:46.561Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,673995,"Davis Wendzel","/api/v1/people/673995","R","Right",656222,"Jalen Beeks","/api/v1/people/656222","L","Left","vs_LHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Colorado Rockies","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.7,82.8,13,0.68,0.4219,6.2243,22.2682,-16.9592,6.2121,8.8734,-0.3716,0.5323,-4.9995,-128.9504,-10.1491,0.7682,50.0027,5.7786,10.651,27.6,4.8,24,2127,133,NA,NA,NA,NA,NA,NA,FALSE,-19.9,14.4,-10.4,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746553,"2024-05-11",5,"2024-05-11T02:59:34.485Z","2024-05-11T02:59:43.553Z",TRUE,"pitch","f0bacac1-8321-4403-b1a9-907c8d91e3c1",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,0,NA,NA,3.51,1.71,NA,116.14,152.37,"fly_ball","medium","7",55.32,95.53,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Travis Jankowski flies out to left fielder Jordan Beck.",0,2,4,71,"top",9,"2024-05-11T02:59:07.976Z","2024-05-11T02:59:43.553Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",656222,"Jalen Beeks","/api/v1/people/656222","L","Left","vs_LHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Colorado Rockies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.6,85.8,2,0.87,0.4038,6.5253,25.4854,-16.4103,3.4795,8.4276,0.0227,3.2005,-3.1907,-134.936,-4.1457,0.7604,50.0006,5.8906,6.5061,19.2,3.6,24,2060,143,89.6,27,311,NA,NA,NA,TRUE,-16.7,14.8,-5.8,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746553,"2024-05-11",4,"2024-05-11T02:59:21.618Z","2024-05-11T02:59:25.607Z",TRUE,"pitch","5ab37a9b-861d-44af-b635-2dab979c9449",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.5355,1.504,NA,178.7,184.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Travis Jankowski flies out to left fielder Jordan Beck.",0,2,4,71,"top",9,"2024-05-11T02:59:07.976Z","2024-05-11T02:59:43.553Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",656222,"Jalen Beeks","/api/v1/people/656222","L","Left","vs_LHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Colorado Rockies",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",86.2,80.5,13,2,0.4338,6.3004,21.6808,-29.2611,0.2059,1.8001,-1.6187,2.0139,-5.9507,-125.5136,-4.0249,0.7407,50.0056,5.9802,0.3346,1.2,7.2,24,2194,156,NA,NA,NA,NA,NA,NA,FALSE,-33.6,2.6,0.7,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746553,"2024-05-11",3,"2024-05-11T02:59:09.983Z","2024-05-11T02:59:13.772Z",TRUE,"pitch","9cb68f7b-a35d-4a89-9073-79b15b58827e",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.4776,1.483,NA,142.8,170.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Travis Jankowski flies out to left fielder Jordan Beck.",0,2,4,71,"top",9,"2024-05-11T02:59:07.976Z","2024-05-11T02:59:43.553Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",656222,"Jalen Beeks","/api/v1/people/656222","L","Left","vs_LHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Colorado Rockies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.2,86.9,4,0.9,0.4004,6.4851,24.2554,-14.7544,2.8238,9.1462,-0.6768,2.5324,-4.2741,-135.7914,-6.5046,0.5366,50.0006,5.9492,5.377,16.8,3.6,24,2136,147,NA,NA,NA,NA,NA,NA,FALSE,-15.2,15.7,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746553,"2024-05-11",0,"2024-05-11T02:58:16.310Z","2024-05-11T02:58:16.352Z",FALSE,"action",NA,NA,"Defensive Substitution: Jordan Beck replaces right fielder Sean Bouchard, batting 5th, playing left field.","Defensive Sub",2,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,687597,"/api/v1/people/687597",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_substitution",NA,"7","Outfielder","Outfielder","LF","501","71","atBat","Flyout","field_out","Travis Jankowski flies out to left fielder Jordan Beck.",0,2,4,71,"top",9,"2024-05-11T02:59:07.976Z","2024-05-11T02:59:43.553Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",656222,"Jalen Beeks","/api/v1/people/656222","L","Left","vs_LHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Colorado Rockies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,656248,"/api/v1/people/656248",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
