"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
718361,"2023-05-01",1,"2023-05-01T23:18:52.491Z","2023-05-01T23:19:02.151Z",TRUE,"pitch","85aa6ca1-f4e9-4294-9b2a-6d22a24c111f",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,2,NA,NA,3.34,1.59,NA,108.17,172.94,"popup","medium","2",129.03,196.31,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Pop Out","field_out","Chadwick Tromp pops out to catcher Francisco Alvarez.",0,3,5,71,"top",9,"2023-05-01T23:18:06.278Z","2023-05-01T23:19:02.151Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,644433,"Chadwick Tromp","/api/v1/people/644433","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92.5,84.7,5,0.9,0.4074,6.7732,29.1533,-14.6039,1.1191,9.6016,0.2317,2.4386,7.1332,-134.433,-5.4971,-2.6018,50.0066,5.5469,2.0473,13.2,3.6,24,2669,191,87.7,82,10,NA,NA,NA,TRUE,-15.7,16.4,-3.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718361,"2023-05-01",0,"2023-05-01T23:18:32.327Z","2023-05-01T23:18:39.309Z",TRUE,"pitch","88dce78f-eeb9-4457-a96b-8b37a423d7c7",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3454,1.5899,NA,105.08,211.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Pop Out","field_out","Chadwick Tromp pops out to catcher Francisco Alvarez.",0,3,5,71,"top",9,"2023-05-01T23:18:06.278Z","2023-05-01T23:19:02.151Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,644433,"Chadwick Tromp","/api/v1/people/644433","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",85.2,78.3,14,2,0.4436,6.7445,26.6333,-38.8787,1.8421,-4.3538,0.3128,0.9987,6.47,-123.8544,-3.1774,-2.5813,50.0019,5.5764,2.837,6,10.8,24,2744,38,NA,NA,NA,NA,NA,NA,FALSE,-46.4,-8.4,-4.9,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718361,"2023-05-01",3,"2023-05-01T23:17:59.087Z","2023-05-01T23:18:06.592Z",TRUE,"pitch","539d50bd-44e0-4100-ae7f-a69bfbf7505d",4,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",1,3,1,NA,NA,3.48,1.64,NA,153.15,175.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Michael Harris II strikes out on a foul tip.",0,3,5,70,"top",9,"2023-05-01T23:16:27.509Z","2023-05-01T23:18:06.592Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,671739,"Michael Harris II","/api/v1/people/671739","L","Left",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","true",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",84.5,77.3,13,0.9,0.4473,6.5654,26.9424,-43.794,3.8422,-7.6696,-0.9483,2.3467,3.1459,-122.9794,0.7534,-2.7485,50.0043,5.7847,5.8193,8.4,12,24,2862,44,NA,NA,NA,NA,NA,NA,TRUE,-52,-13.3,-7.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,645277,"Ozzie Albies","/api/v1/people/645277",NA,NA,NA,NA,NA,NA,NA
718361,"2023-05-01",2,"2023-05-01T23:17:38.600Z","2023-05-01T23:17:43.298Z",TRUE,"pitch","40bfa108-832d-47a3-a184-9652a4ddab63",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.5464,1.6399,NA,179.19,191.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Michael Harris II strikes out on a foul tip.",0,3,5,70,"top",9,"2023-05-01T23:16:27.509Z","2023-05-01T23:18:06.592Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,671739,"Michael Harris II","/api/v1/people/671739","L","Left",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",83.7,76.4,13,0.9,0.4523,6.6014,27.1988,-42.912,5.9518,-7.2539,-1.6314,1.7632,1.2781,-121.7833,-0.1172,-2.9377,50.003,5.5699,8.8087,12,12,24,2848,51,NA,NA,NA,NA,NA,NA,FALSE,-52.3,-12.8,-11,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718361,"2023-05-01",1,"2023-05-01T23:17:11.213Z","2023-05-01T23:17:14.925Z",TRUE,"pitch","625d492b-c3ec-4090-a748-01874e01e474",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.48,1.64,NA,130.84,209.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Michael Harris II strikes out on a foul tip.",0,3,5,70,"top",9,"2023-05-01T23:16:27.509Z","2023-05-01T23:18:06.592Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,671739,"Michael Harris II","/api/v1/people/671739","L","Left",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",84,77.5,13,2,0.4489,6.6496,25.6311,-40.7409,5.3304,-5.6893,-0.3632,1.0709,4.1075,-122.3283,-2.4875,-2.7606,50.0039,5.6159,8.0244,12,10.8,24,2638,46,NA,NA,NA,NA,NA,NA,FALSE,-49.6,-10.7,-10.7,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718361,"2023-05-01",0,"2023-05-01T23:16:51.741Z","2023-05-01T23:16:56.515Z",TRUE,"pitch","38f23811-d75b-422c-bcac-6f7047c720f6",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.48,1.64,NA,139.52,166.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Michael Harris II strikes out on a foul tip.",0,3,5,70,"top",9,"2023-05-01T23:16:27.509Z","2023-05-01T23:18:06.592Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,671739,"Michael Harris II","/api/v1/people/671739","L","Left",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92.7,84.8,4,0.9,0.4062,6.6314,29.304,-17.3907,-0.7447,8.0242,-0.5907,2.6692,5.8753,-134.8546,-4.2769,-2.7006,50.0006,5.5023,-1.3726,0,3.6,24,2627,199,NA,NA,NA,NA,NA,NA,FALSE,-18,13.8,0.1,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718361,"2023-05-01",4,"2023-05-01T23:16:19.842Z","2023-05-01T23:16:26.981Z",TRUE,"pitch","27fa1ac9-473e-40cd-b581-76931089bdb2",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,0,NA,NA,3.62,1.77,NA,154.04,203.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Sam Hilliard strikes out swinging.",0,3,5,69,"top",9,"2023-05-01T23:14:15.848Z","2023-05-01T23:16:26.981Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,656541,"Sam Hilliard","/api/v1/people/656541","L","Left",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","true",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",85,78.5,13,2,0.4427,6.6102,25.0847,-37.3368,4.6722,-3.3319,-0.9718,1.3208,3.0571,-123.7927,-2.7448,-2.8304,50.0029,5.5744,7.2393,12,9.6,24,2742,42,NA,NA,NA,NA,NA,NA,TRUE,-44.3,-6.5,-9.1,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,645277,"Ozzie Albies","/api/v1/people/645277",NA,NA,NA,NA,NA,NA,NA
718361,"2023-05-01",3,"2023-05-01T23:15:59.426Z","2023-05-01T23:16:03.702Z",TRUE,"pitch","119fda84-c6a7-40ef-a2ed-49759ec26e37",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,0,NA,NA,3.6613,1.7699,NA,122.74,192.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Sam Hilliard strikes out swinging.",0,3,5,69,"top",9,"2023-05-01T23:14:15.848Z","2023-05-01T23:16:26.981Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,656541,"Sam Hilliard","/api/v1/people/656541","L","Left",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.3,85.6,8,2,0.4035,6.9443,28.9539,-13.5858,-1.6853,9.9596,-0.1506,1.7088,7.4111,-135.5964,-7.2988,-2.6974,50.0054,5.3786,-3.1462,6,3.6,24,2688,194,NA,NA,NA,NA,NA,NA,FALSE,-14.8,16.7,1.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718361,"2023-05-01",2,"2023-05-01T23:15:28.475Z","2023-05-01T23:15:32.876Z",TRUE,"pitch","d089cf89-54f0-451d-bfd7-d158f4a374d9",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,0,NA,NA,3.6613,1.7699,NA,71.56,203.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Sam Hilliard strikes out swinging.",0,3,5,69,"top",9,"2023-05-01T23:14:15.848Z","2023-05-01T23:16:26.981Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,656541,"Sam Hilliard","/api/v1/people/656541","L","Left",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",85.2,78.7,14,2,0.4426,6.5665,25.2212,-36.9252,2.573,-3.0652,1.1921,1.3062,8.5451,-123.8464,-2.7153,-2.6401,50.0022,5.5115,3.9881,8.4,9.6,24,2776,43,NA,NA,NA,NA,NA,NA,FALSE,-43.8,-6,-6.7,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718361,"2023-05-01",1,"2023-05-01T23:15:07.164Z","2023-05-01T23:15:14.534Z",TRUE,"pitch","0a51f4e1-5271-4a84-b7c9-f36f6cd048de",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,0,NA,NA,3.7474,1.7699,NA,89.57,186.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Sam Hilliard strikes out swinging.",0,3,5,69,"top",9,"2023-05-01T23:14:15.848Z","2023-05-01T23:16:26.981Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,656541,"Sam Hilliard","/api/v1/people/656541","L","Left",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","New York Mets","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92.6,85.1,9,2,0.4065,6.8111,27.7302,-14.1049,-2.4088,9.8178,0.7196,1.9249,9.5882,-134.4709,-6.7253,-2.5713,50.0059,5.4492,-4.435,9.6,3.6,24,2695,207,NA,NA,NA,NA,NA,NA,FALSE,-15.4,16.6,2.4,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
