"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717433,"2023-07-09",2,"2023-07-09T21:06:58.891Z","2023-07-09T21:07:06.904Z",TRUE,"pitch","53bacd63-80e5-4e47-a15e-7e982f0a411e",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.02,1.43,NA,99.58,174.51,"line_drive","medium","8",121.8,61.29,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Lineout","field_out","Harrison Bader lines out to center fielder Cody Bellinger.",0,7,4,78,"bottom",9,"2023-07-09T21:05:55.605Z","2023-07-09T21:07:06.904Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,664056,"Harrison Bader","/api/v1/people/664056","R","Right",640470,"Adbert Alzolay","/api/v1/people/640470","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Chicago Cubs","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.1,80.6,6,2,0.4307,6.759,24.2074,-28.599,3.2871,2.1825,0.4569,2.3804,2.9297,-126.8258,-3.7761,-1.1375,50.0062,6.1517,5.3934,10.8,7.2,24,2464,142,99.5,19,343,NA,NA,NA,TRUE,-32.4,3.4,-6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717433,"2023-07-09",1,"2023-07-09T21:06:37.577Z","2023-07-09T21:06:41.990Z",TRUE,"pitch","2cb1ef0c-6ffc-4ac1-871c-72d83cf059f9",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.2052,1.5356,NA,104.88,223.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Lineout","field_out","Harrison Bader lines out to center fielder Cody Bellinger.",0,7,4,78,"bottom",9,"2023-07-09T21:05:55.605Z","2023-07-09T21:07:06.904Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,664056,"Harrison Bader","/api/v1/people/664056","R","Right",640470,"Adbert Alzolay","/api/v1/people/640470","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Chicago Cubs","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.1,79.4,14,2,0.4404,6.7093,22.6404,-29.9833,3.8368,1.3919,0.318,0.5624,2.7296,-123.9291,-7.0996,-1.2926,50.0007,5.9387,6.0211,12,8.4,24,2470,123,NA,NA,NA,NA,NA,NA,FALSE,-36.2,1.2,-7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717433,"2023-07-09",0,"2023-07-09T21:06:23.295Z","2023-07-09T21:06:27.557Z",TRUE,"pitch","8fc89e79-d2d5-41f9-b4a9-5ab8739a68b1",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.1524,1.4566,NA,128.07,159.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Lineout","field_out","Harrison Bader lines out to center fielder Cody Bellinger.",0,7,4,78,"bottom",9,"2023-07-09T21:05:55.605Z","2023-07-09T21:07:06.904Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,664056,"Harrison Bader","/api/v1/people/664056","R","Right",640470,"Adbert Alzolay","/api/v1/people/640470","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Chicago Cubs","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.5,80,1,2,0.4335,6.7345,24.2921,-30.4617,3.0467,1.0602,-0.2905,2.9263,1.563,-126.0682,-2.1538,-1.3133,50.004,6.2371,4.9318,9.6,8.4,24,2436,140,NA,NA,NA,NA,NA,NA,FALSE,-34.6,1.7,-5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717433,"2023-07-09",0,"2023-07-09T21:05:39.740Z","2023-07-09T21:05:52.740Z",TRUE,"pitch","28733516-2c5c-42d5-b3bb-7f3c6047a823",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.7,1.75,NA,113.3,162.53,"fly_ball","medium","8",119.47,119.27,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Flyout","field_out","Anthony Rizzo flies out to center fielder Cody Bellinger.",0,7,4,77,"bottom",9,"2023-07-09T21:05:20.348Z","2023-07-09T21:05:52.740Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,519203,"Anthony Rizzo","/api/v1/people/519203","L","Left",640470,"Adbert Alzolay","/api/v1/people/640470","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Chicago Cubs","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95,86.3,5,2,0.3977,6.7019,32.8359,-12.7101,-3.5589,10.1484,0.097,2.8239,4.5841,-138.1132,-6.5548,-1.1275,50.004,6.0953,-6.8266,21.6,3.6,24,2194,217,94.7,55,205,NA,NA,NA,TRUE,-13.4,17,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717433,"2023-07-09",3,"2023-07-09T21:05:09.544Z","2023-07-09T21:05:18.553Z",TRUE,"pitch","403cd7fd-93c6-48f6-bba1-3cfbaf6ff474",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,0,NA,NA,3.61,1.74,NA,74.59,177.95,"ground_ball","medium","3",157.92,166.44,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Giancarlo Stanton grounds out to first baseman Jared Young.",0,7,4,76,"bottom",9,"2023-07-09T21:04:36.575Z","2023-07-09T21:05:18.553Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",640470,"Adbert Alzolay","/api/v1/people/640470","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Chicago Cubs",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86,79.9,14,2,0.4359,6.7909,23.5081,-31.8508,4.7997,0.2045,1.1127,2.2528,4.3314,-125.2798,-3.3077,-1.2577,50.006,6.1732,7.6872,14.4,8.4,24,2628,129,70.8,-17,9,NA,NA,NA,TRUE,-36.8,-0.1,-9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717433,"2023-07-09",2,"2023-07-09T21:04:53.968Z","2023-07-09T21:04:58.537Z",TRUE,"pitch","e4a6a5a2-ed00-480b-852c-7f5c40b1f02b",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,0,NA,NA,3.8747,1.9247,NA,117.21,187.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Giancarlo Stanton grounds out to first baseman Jared Young.",0,7,4,76,"bottom",9,"2023-07-09T21:04:36.575Z","2023-07-09T21:05:18.553Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",640470,"Adbert Alzolay","/api/v1/people/640470","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Chicago Cubs",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.4,86.7,8,2,0.3989,6.7212,29.4037,-16.9746,-9.0795,7.9522,-0.0056,1.9109,6.1031,-137.1336,-8.2435,-1.0767,50.001,6.1066,-17.3471,40.8,4.8,24,2241,215,NA,NA,NA,NA,NA,NA,FALSE,-17.9,12.8,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717433,"2023-07-09",1,"2023-07-09T21:04:38.983Z","2023-07-09T21:04:43.921Z",TRUE,"pitch","052b2649-e19c-46ea-8fbc-a66498248ba2",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.8483,1.8721,NA,122.86,196.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Giancarlo Stanton grounds out to first baseman Jared Young.",0,7,4,76,"bottom",9,"2023-07-09T21:04:36.575Z","2023-07-09T21:05:18.553Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",640470,"Adbert Alzolay","/api/v1/people/640470","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Chicago Cubs",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.8,87,13,2,0.3973,6.7364,29.8753,-14.8206,-5.213,9.0113,-0.1538,1.5485,4.2865,-137.719,-9.3661,-1.0512,50.0028,5.9903,-10.0387,28.8,3.6,24,2286,221,NA,NA,NA,NA,NA,NA,FALSE,-15.8,14.6,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717433,"2023-07-09",0,"2023-07-09T21:03:34.262Z","2023-07-09T21:04:38.983Z",FALSE,"action",NA,NA,"Pitching Change: Adbert Alzolay replaces Michael Fulmer.","Pitching Substitution",7,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,640470,"/api/v1/people/640470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"76","atBat","Groundout","field_out","Giancarlo Stanton grounds out to first baseman Jared Young.",0,7,4,76,"bottom",9,"2023-07-09T21:04:36.575Z","2023-07-09T21:05:18.553Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",640470,"Adbert Alzolay","/api/v1/people/640470","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Chicago Cubs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717433,"2023-07-09",4,"2023-07-09T21:01:34.034Z","2023-07-09T21:01:41.549Z",TRUE,"pitch","7ff792e5-a408-494b-ab28-3ef68b59b0a3",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,2,NA,NA,3.39,1.61,NA,118.08,206.76,"ground_ball","medium","4",146.6,155.11,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Ian Happ grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.",0,7,4,75,"top",9,"2023-07-09T20:59:33.206Z","2023-07-09T21:01:41.549Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,664023,"Ian Happ","/api/v1/people/664023","L","Left",657376,"Clarke Schmidt","/api/v1/people/657376","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","New York Yankees","true",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",84.8,79.1,13,0.89,0.4418,5.7886,23.0071,-38.7504,8.5605,-4.2152,-0.0284,1.1861,0.8036,-123.6474,-3.1303,-1.4702,50.0045,5.6971,13.3502,19.2,10.8,24,3047,42,80,-35,3,NA,NA,NA,TRUE,-45.7,-8,-15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717433,"2023-07-09",3,"2023-07-09T21:01:10.648Z","2023-07-09T21:01:14.835Z",TRUE,"pitch","86eabce2-4dbb-4bca-9d6c-b24c8f6ac3d7",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.6018,1.6366,NA,201.83,112.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Ian Happ grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.",0,7,4,75,"top",9,"2023-07-09T20:59:33.206Z","2023-07-09T21:01:41.549Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,664023,"Ian Happ","/api/v1/people/664023","L","Left",657376,"Clarke Schmidt","/api/v1/people/657376","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","New York Yankees","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.2,84.7,11,0.9,0.4117,6.4125,20.0168,-31.3254,4.0673,0.4734,-2.2255,4.6875,-2.1247,-131.5481,3.3243,-1.9485,50.0061,5.6887,7.3445,13.2,7.2,24,2900,145,NA,NA,NA,NA,NA,NA,FALSE,-31.2,1.6,-7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
