"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717460,"2023-07-07",3,"2023-07-08T00:58:48.862Z","2023-07-08T00:58:52.434Z",TRUE,"pitch","cad03600-7698-4c7c-85bd-d7edb41b097c",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.46,1.61,NA,137.96,207.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Taylor Walls strikes out swinging.",0,2,1,64,"bottom",9,"2023-07-08T00:57:48.753Z","2023-07-08T00:58:52.434Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,670764,"Taylor Walls","/api/v1/people/670764","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","Atlanta Braves","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.8,81.1,13,2,0.4251,6.1559,28.6041,-28.451,-10.6581,2.2227,-0.5498,1.16,6.0922,-129.1731,-4.282,-1.5623,50.0062,5.0438,-17.8932,30,8.4,24,1972,242,NA,NA,NA,NA,NA,NA,TRUE,-31.7,3.2,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717460,"2023-07-07",2,"2023-07-08T00:58:28.722Z","2023-07-08T00:58:31.722Z",TRUE,"pitch","e5681ce1-b308-422c-aa0a-704e9040fd4b",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,2,NA,NA,3.46,1.61,NA,137.42,197.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Taylor Walls strikes out swinging.",0,2,1,64,"bottom",9,"2023-07-08T00:57:48.753Z","2023-07-08T00:58:52.434Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,670764,"Taylor Walls","/api/v1/people/670764","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","Atlanta Braves","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.2,80.8,7,2,0.4246,6.3016,30.2056,-22.1437,-10.0823,5.967,-0.5357,1.547,6.014,-129.6236,-4.7411,-1.5909,50.0026,5.1175,-16.9458,33.6,7.2,24,2043,238,NA,NA,NA,NA,NA,NA,FALSE,-25,9.8,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717460,"2023-07-07",1,"2023-07-08T00:58:13.122Z","2023-07-08T00:58:16.316Z",TRUE,"pitch","d3caa0e0-47aa-418a-b020-261f3a0c5e31",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.5129,1.6753,NA,158.94,151.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Taylor Walls strikes out swinging.",0,2,1,64,"bottom",9,"2023-07-08T00:57:48.753Z","2023-07-08T00:58:52.434Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,670764,"Taylor Walls","/api/v1/people/670764","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","Atlanta Braves","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,87.1,11,2,0.392,6.1044,35.3916,-12.9994,-6.0608,9.7276,-1.1002,3.2153,3.6625,-140.3777,-3.1532,-1.6427,50.0056,5.2139,-11.9504,38.4,3.6,24,2462,220,NA,NA,NA,NA,NA,NA,FALSE,-12.6,17,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717460,"2023-07-07",0,"2023-07-08T00:57:58.083Z","2023-07-08T00:58:01.083Z",TRUE,"pitch","861d5ce5-d4b3-413d-bcdb-13a185c77764",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.4601,1.625,NA,135.9,163.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Taylor Walls strikes out swinging.",0,2,1,64,"bottom",9,"2023-07-08T00:57:48.753Z","2023-07-08T00:58:52.434Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,670764,"Taylor Walls","/api/v1/people/670764","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","Atlanta Braves","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.9,86.8,4,2,0.3943,5.8545,34.1808,-12.145,-6.4401,10.2745,-0.496,2.7725,5.378,-139.4232,-4.462,-1.6224,50.0062,5.2084,-12.5586,40.8,3.6,24,2476,216,NA,NA,NA,NA,NA,NA,FALSE,-12.2,17.8,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717460,"2023-07-07",1,"2023-07-08T00:57:11.851Z","2023-07-08T00:57:26.467Z",TRUE,"pitch","b1c9cb4a-0532-441e-a279-0b22961de460",2,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,0,2,NA,NA,3.29,1.52,NA,134.51,166.11,"ground_ball","medium","7",72.85,152.37,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Double","double","Harold Ramirez doubles (11) on a ground ball to left fielder Eddie Rosario.",0,2,1,63,"bottom",9,"2023-07-08T00:56:50.492Z","2023-07-08T00:57:26.467Z",TRUE,FALSE,FALSE,FALSE,34,1,0,2,623912,"Harold Ramírez","/api/v1/people/623912","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","Atlanta Braves","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.3,81.1,4,2,0.423,6.21,29.2495,-25.5336,-10.2732,3.9182,-0.4594,2.6913,6.5508,-129.8734,-1.1857,-1.6902,50.0022,5.1104,-17.4071,31.2,7.2,24,2107,241,94,-2,37,NA,NA,NA,FALSE,-27.5,7.1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,623912,"Harold Ramírez","/api/v1/people/623912",NA,NA,NA
717460,"2023-07-07",0,"2023-07-08T00:56:58.877Z","2023-07-08T00:57:02.526Z",TRUE,"pitch","f8fc3e62-741d-492b-b9a6-b9ae8e664b48",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.2099,1.5221,NA,171.49,176.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Double","double","Harold Ramirez doubles (11) on a ground ball to left fielder Eddie Rosario.",0,2,1,63,"bottom",9,"2023-07-08T00:56:50.492Z","2023-07-08T00:57:26.467Z",TRUE,FALSE,FALSE,FALSE,34,1,0,2,623912,"Harold Ramírez","/api/v1/people/623912","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","Atlanta Braves","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.1,87.4,13,2,0.393,6.0125,33.5522,-21.8781,-11.7835,5.2411,-1.4296,2.3077,4.5787,-139.7506,-3.9777,-1.565,50.003,5.1993,-23.1437,44.4,6,24,2331,225,NA,NA,NA,NA,NA,NA,FALSE,-21,8.8,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717460,"2023-07-07",0,"2023-07-08T00:56:26.836Z","2023-07-08T00:56:35.447Z",TRUE,"pitch","0fbe35bf-0642-48fd-ab1b-0f2821394549",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.32,1.62,NA,100.85,176.28,"ground_ball","medium","5",110.13,171.61,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Groundout","field_out","Randy Arozarena grounds out, third baseman Austin Riley to first baseman Matt Olson.",0,2,1,62,"bottom",9,"2023-07-08T00:56:09.408Z","2023-07-08T00:56:35.447Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,668227,"Randy Arozarena","/api/v1/people/668227","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","Atlanta Braves","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.9,77.9,6,2,0.4407,6.1649,28.315,-25.0769,1.9306,4.5484,0.4236,2.3149,4.6528,-124.926,-1.9763,-1.7237,50.0011,5.2054,3.0088,8.4,7.2,24,2718,92,85.5,-46,5,NA,NA,NA,TRUE,-29.5,7.9,-4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717460,"2023-07-07",3,"2023-07-08T00:55:52.973Z","2023-07-08T00:56:01.034Z",TRUE,"pitch","efaf9824-c50b-4dd6-b6fe-71c034baf08b",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,0,NA,NA,3.8,1.85,NA,138.11,191.66,"ground_ball","medium","4",142.2,146.8,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Groundout","field_out","Josh Lowe grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",0,2,1,61,"bottom",9,"2023-07-08T00:55:20.467Z","2023-07-08T00:56:01.034Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,666139,"Josh Lowe","/api/v1/people/666139","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","Atlanta Braves",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.9,81.9,7,2,0.4202,6.0128,29.3622,-30.7344,-11.4104,0.8357,-0.5538,1.7453,7.1048,-130.7171,-2.4403,-1.8344,50.0018,5.0148,-19.6062,30,8.4,24,2098,243,79,-8,13,NA,NA,NA,TRUE,-32.9,1.2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717460,"2023-07-07",2,"2023-07-08T00:55:39.762Z","2023-07-08T00:55:42.827Z",TRUE,"pitch","f1a41fcf-312e-443d-b444-d1ead402aff8",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.7909,1.7508,NA,175.22,176.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Groundout","field_out","Josh Lowe grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",0,2,1,61,"bottom",9,"2023-07-08T00:55:20.467Z","2023-07-08T00:56:01.034Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,666139,"Josh Lowe","/api/v1/people/666139","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","Atlanta Braves",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.2,81.4,13,2,0.4227,6.0065,28.4202,-29.8471,-10.9873,1.3705,-1.5273,2.293,4.6778,-129.8336,-1.2547,-1.9298,50.0034,5.0642,-18.6669,30,8.4,24,2128,249,NA,NA,NA,NA,NA,NA,FALSE,-32,2.4,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717460,"2023-07-07",1,"2023-07-08T00:55:22.843Z","2023-07-08T00:55:26.512Z",TRUE,"pitch","15eb99a7-e069-4c87-871c-042a5811a0ed",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,0,NA,NA,3.8,1.85,NA,113.16,169.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Groundout","field_out","Josh Lowe grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",0,2,1,61,"bottom",9,"2023-07-08T00:55:20.467Z","2023-07-08T00:56:01.034Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,666139,"Josh Lowe","/api/v1/people/666139","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95,86.1,5,2,0.3978,5.8842,33.0561,-13.6677,-6.0861,9.6563,0.1007,2.5618,6.8062,-138.1166,-4.4876,-1.6142,50.0022,5.1384,-11.6642,34.8,3.6,24,2274,222,NA,NA,NA,NA,NA,NA,FALSE,-13.9,16.7,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
