"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717518,"2023-07-02",2,"2023-07-02T23:03:13.159Z","2023-07-02T23:03:20.590Z",TRUE,"pitch","613bcca1-8bc5-4443-978d-1c3547458ac2",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.22,1.47,NA,114.31,165.52,"line_drive","hard","9",174.65,77,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Lineout","field_out","Jace Peterson lines out sharply to right fielder Clint Frazier.",0,8,7,84,"bottom",9,"2023-07-02T23:02:52.844Z","2023-07-02T23:03:20.590Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,607054,"Jace Peterson","/api/v1/people/607054","L","Left",666619,"Gregory Santos","/api/v1/people/666619","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Chicago White Sox",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",91.8,84.8,2,2,0.4087,6.5577,27.3038,-30.3375,1.9224,1.007,0.0707,2.7134,4.4777,-133.7191,-2.3865,-1.8715,50.0014,5.7816,3.5002,8.4,7.2,24,2583,124,101.5,20,327,NA,NA,NA,TRUE,-30.7,1.6,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717518,"2023-07-02",1,"2023-07-02T23:02:54.979Z","2023-07-02T23:02:58.877Z",TRUE,"pitch","d65e3a01-92d7-4513-9f19-c2f17ed5aa48",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.22,1.47,NA,63.32,181.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Lineout","field_out","Jace Peterson lines out sharply to right fielder Clint Frazier.",0,8,7,84,"bottom",9,"2023-07-02T23:02:52.844Z","2023-07-02T23:03:20.590Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,607054,"Jace Peterson","/api/v1/people/607054","L","Left",666619,"Gregory Santos","/api/v1/people/666619","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Chicago White Sox",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",92.8,86.2,14,2,0.4038,6.5686,26.19,-26.5977,1.674,2.9848,1.4083,2.1154,7.6403,-135.0452,-4.4717,-1.6617,50.0032,5.6376,3.1275,9.6,6,24,2488,164,NA,NA,NA,NA,NA,NA,FALSE,-26.8,4.7,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717518,"2023-07-02",0,"2023-07-02T23:02:34.527Z","2023-07-02T23:02:54.979Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",8,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"84","atBat","Lineout","field_out","Jace Peterson lines out sharply to right fielder Clint Frazier.",0,8,7,84,"bottom",9,"2023-07-02T23:02:52.844Z","2023-07-02T23:03:20.590Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,607054,"Jace Peterson","/api/v1/people/607054","L","Left",666619,"Gregory Santos","/api/v1/people/666619","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Chicago White Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717518,"2023-07-02",0,"2023-07-02T23:01:52.729Z","2023-07-02T23:02:08.691Z",TRUE,"pitch","b74cc4f1-53ed-44fc-9c4b-f37552878f8e",1,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,0,2,NA,NA,3.39,1.64,NA,109.1,169.04,"line_drive","medium","9",186.3,94.22,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Single","single","Seth Brown singles on a line drive to right fielder Clint Frazier. JJ Bleday scores.",1,8,7,83,"bottom",9,"2023-07-02T23:01:48.868Z","2023-07-02T23:02:08.691Z",TRUE,TRUE,FALSE,FALSE,33,0,0,2,664913,"Seth Brown","/api/v1/people/664913","L","Left",666619,"Gregory Santos","/api/v1/people/666619","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Chicago White Sox","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",91.7,84.6,5,2,0.4093,6.7179,27.5087,-27.2518,2.1147,2.7076,0.2071,2.5828,4.005,-133.5717,-3.2102,-1.5835,50.0006,5.7498,3.8368,9.6,6,24,2512,149,79.6,24,266,NA,NA,NA,FALSE,-27.8,4.4,-4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,664913,"Seth Brown","/api/v1/people/664913",NA,NA,NA,NA,NA,NA
717518,"2023-07-02",0,"2023-07-02T23:01:02.687Z","2023-07-02T23:01:17.179Z",TRUE,"pitch","b655c43c-33bc-4070-bee4-0b81f9ff3a31",1,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,0,2,NA,NA,3.41,1.68,NA,102.96,183.67,"line_drive","medium","7",41.18,123.23,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Double","double","JJ Bleday doubles (8) on a line drive to left fielder Andrew Benintendi. Tony Kemp scores.",1,8,6,82,"bottom",9,"2023-07-02T23:00:40.859Z","2023-07-02T23:01:17.179Z",TRUE,TRUE,FALSE,FALSE,34,0,0,2,668709,"JJ Bleday","/api/v1/people/668709","L","Left",666619,"Gregory Santos","/api/v1/people/666619","R","Right","vs_RHP","vs_LHB","RISP",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Chicago White Sox","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.9,89.8,9,2,0.3847,6.6479,32.1651,-22.1986,-9.1324,4.8605,0.3682,2.0411,7.7088,-142.301,-6.5929,-1.1872,50.0068,5.791,-18.7633,36,6,24,2336,220,91,14,204,NA,NA,NA,FALSE,-20.9,7.7,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,668709,"JJ Bleday","/api/v1/people/668709"
717518,"2023-07-02",6,"2023-07-02T23:00:22.756Z","2023-07-02T23:00:28.641Z",TRUE,"pitch","2a3db4e2-a33b-486f-bcec-015502c467f8",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,1,NA,NA,3.34,1.57,NA,89.59,190.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Strikeout","strikeout","Ryan Noda strikes out swinging.",0,8,5,81,"bottom",9,"2023-07-02T22:57:40.716Z","2023-07-02T23:00:28.641Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,676116,"Ryan Noda","/api/v1/people/676116","L","Left",666619,"Gregory Santos","/api/v1/people/666619","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Chicago White Sox",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",92.8,85.5,9,2,0.4054,6.5991,28.8057,-28.404,0.2529,2.038,0.719,1.8052,5.9408,-135.0049,-5.0415,-1.5409,50.0039,5.6909,0.4665,3.6,6,24,2411,158,NA,NA,NA,NA,NA,NA,TRUE,-28.9,2.9,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,643393,"Tony Kemp","/api/v1/people/643393",NA,NA,NA,NA,NA,NA
717518,"2023-07-02",5,"2023-07-02T23:00:02.721Z","2023-07-02T23:00:07.441Z",TRUE,"pitch","6f8355dc-29bc-425f-90d2-a4493a48ac83",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.419,1.5714,NA,102.56,200.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Strikeout","strikeout","Ryan Noda strikes out swinging.",0,8,5,81,"bottom",9,"2023-07-02T22:57:40.716Z","2023-07-02T23:00:28.641Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,676116,"Ryan Noda","/api/v1/people/676116","L","Left",666619,"Gregory Santos","/api/v1/people/666619","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Chicago White Sox",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",91.1,84,14,2,0.4128,6.4045,27.8108,-29.0544,0.3086,1.7499,0.3788,1.4345,5.5442,-132.5753,-5.2553,-1.7779,50.0051,5.5581,0.5491,3.6,7.2,24,2397,137,NA,NA,NA,NA,NA,NA,FALSE,-30.6,2.3,-1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717518,"2023-07-02",3,"2023-07-02T22:59:25.340Z","2023-07-02T22:59:29.655Z",TRUE,"pitch","ed108c44-8bce-4737-b9f6-f80591ec8b64",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,1,NA,NA,3.34,1.57,NA,108.56,192.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Strikeout","strikeout","Ryan Noda strikes out swinging.",0,8,5,81,"bottom",9,"2023-07-02T22:57:40.716Z","2023-07-02T23:00:28.641Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,676116,"Ryan Noda","/api/v1/people/676116","L","Left",666619,"Gregory Santos","/api/v1/people/666619","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Chicago White Sox",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.9,83.3,8,2,0.4146,6.444,28.8478,-27.4998,0.3573,2.6419,0.2215,1.7245,4.7209,-132.2262,-4.8373,-1.6352,50.0004,5.6015,0.6294,3.6,6,24,2314,164,NA,NA,NA,NA,NA,NA,FALSE,-29.3,4,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717518,"2023-07-02",2,"2023-07-02T22:59:08.524Z","2023-07-02T22:59:12.409Z",TRUE,"pitch","40798a8d-0031-4819-9ad1-690049e412f1",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,1,NA,NA,3.484,1.6995,NA,124.31,202.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Strikeout","strikeout","Ryan Noda strikes out swinging.",0,8,5,81,"bottom",9,"2023-07-02T22:57:40.716Z","2023-07-02T23:00:28.641Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,676116,"Ryan Noda","/api/v1/people/676116","L","Left",666619,"Gregory Santos","/api/v1/people/666619","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Chicago White Sox",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.5,87.7,13,2,0.3923,6.3044,34.9688,-25.8278,-9.9507,3.2226,-0.1917,1.3469,6.6596,-140.2083,-7.4135,-1.3184,50.0031,5.7388,-19.5929,33.6,7.2,24,2230,231,NA,NA,NA,NA,NA,NA,FALSE,-25.4,4.3,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717518,"2023-07-02",0,"2023-07-02T22:58:04.855Z","2023-07-02T22:58:10.357Z",TRUE,"pitch","6bf9c524-f633-4a7e-b5e5-23ebf52d12d6",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.4822,1.5707,NA,209.11,148.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Strikeout","strikeout","Ryan Noda strikes out swinging.",0,8,5,81,"bottom",9,"2023-07-02T22:57:40.716Z","2023-07-02T23:00:28.641Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,676116,"Ryan Noda","/api/v1/people/676116","L","Left",666619,"Gregory Santos","/api/v1/people/666619","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Chicago White Sox",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",93.6,85.7,11,2,0.4021,6.2141,30.6895,-28.4455,-8.7317,1.9833,-2.4166,3.3459,1.0488,-136.353,-1.5773,-1.6728,50.001,5.8993,-16.3977,28.8,7.2,24,2149,224,NA,NA,NA,NA,NA,NA,FALSE,-27.7,3.5,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
