"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","details.disengagementNum","base","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717862,"2023-06-08",3,"2023-06-09T00:47:54.157Z","2023-06-09T00:48:04.998Z",TRUE,"pitch","11ef65b4-86e6-4469-9aff-c46969c3bde0",4,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",2,1,2,NA,NA,3.53,1.71,NA,122.67,168.4,"line_drive","medium","9",177.93,130.79,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Double","double","Kody Clemens doubles (4) on a line drive to right fielder Akil Baddoo. Trea Turner scores. Bryson Stott to 3rd.",1,2,3,69,"bottom",9,"2023-06-09T00:46:37.894Z","2023-06-09T00:48:04.998Z",TRUE,TRUE,FALSE,FALSE,61,2,1,2,665019,"Kody Clemens","/api/v1/people/665019","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies","Detroit Tigers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.8,87.9,5,0.91,0.3907,6.1283,33.9134,-19.9972,-9.7873,6.1259,-0.1487,2.6065,9.1634,-140.5742,-4.9104,-2.1901,50.0009,5.6865,-19.4513,39.6,6,24,2138,224,99.1,15,216,NA,NA,NA,FALSE,-19.3,10.2,15.7,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,681082,"Bryson Stott","/api/v1/people/681082",665019,"Kody Clemens","/api/v1/people/665019",NA,NA,NA,NA
717862,"2023-06-08",2,"2023-06-09T00:47:30.871Z","2023-06-09T00:47:34.663Z",TRUE,"pitch","91784bc1-8a0e-448b-a655-97cdfae2a39d",3,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,1,2,NA,NA,3.2907,1.6139,NA,98.99,224.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Double","double","Kody Clemens doubles (4) on a line drive to right fielder Akil Baddoo. Trea Turner scores. Bryson Stott to 3rd.",1,2,3,69,"bottom",9,"2023-06-09T00:46:37.894Z","2023-06-09T00:48:04.998Z",TRUE,TRUE,FALSE,FALSE,61,2,1,2,665019,"Kody Clemens","/api/v1/people/665019","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies","Detroit Tigers","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",91.1,83.9,14,0.83,0.4142,6.2497,27.4746,-27.8408,-10.818,2.4451,0.4725,0.5384,10.2426,-132.1165,-8.0459,-2.0443,50.0049,5.6622,-19.1759,30,7.2,24,1754,246,NA,NA,NA,NA,NA,NA,FALSE,-30.2,2.9,17.4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717862,"2023-06-08",1,"2023-06-09T00:47:09.681Z","2023-06-09T00:47:13.915Z",TRUE,"pitch","9c9dad34-9075-42f9-bae0-55fd825a5842",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.3386,1.5899,NA,137.38,195.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Double","double","Kody Clemens doubles (4) on a line drive to right fielder Akil Baddoo. Trea Turner scores. Bryson Stott to 3rd.",1,2,3,69,"bottom",9,"2023-06-09T00:46:37.894Z","2023-06-09T00:48:04.998Z",TRUE,TRUE,FALSE,FALSE,61,2,1,2,665019,"Kody Clemens","/api/v1/people/665019","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.7,89.1,7,2,0.3887,6.1079,29.9248,-21.7278,-8.5818,5.1832,-0.5346,1.609,7.8845,-140.5751,-7.1577,-2.2519,50.0011,5.5842,-17.2862,33.6,6,24,2231,226,NA,NA,NA,NA,NA,NA,FALSE,-21,8.2,14,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717862,"2023-06-08",0,"2023-06-09T00:46:48.458Z","2023-06-09T00:46:52.467Z",TRUE,"pitch","17813ebe-2ce3-4c23-9171-cf0318f677f3",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3865,1.5899,NA,144.5,140.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Double","double","Kody Clemens doubles (4) on a line drive to right fielder Akil Baddoo. Trea Turner scores. Bryson Stott to 3rd.",1,2,3,69,"bottom",9,"2023-06-09T00:46:37.894Z","2023-06-09T00:48:04.998Z",TRUE,TRUE,FALSE,FALSE,61,2,1,2,665019,"Kody Clemens","/api/v1/people/665019","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97,89,11,0.91,0.3873,6.2403,30.7662,-20.2102,-9.1085,5.9051,-0.7215,3.6309,7.3507,-141.1632,-2.3664,-2.1699,50.007,5.7747,-18.4706,39.6,4.8,24,2301,224,NA,NA,NA,NA,NA,NA,FALSE,-18.6,10.4,15.1,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717862,"2023-06-08",1,"2023-06-09T00:46:02.326Z","2023-06-09T00:46:14.356Z",TRUE,"pitch","a507df64-f2a2-4a31-83c1-bf0045531958",2,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,0,1,NA,NA,3.03,1.46,NA,117.12,191.95,"line_drive","medium","7",59.28,84.37,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Sac Fly","sac_fly","Brandon Marsh out on a sacrifice fly to left fielder Tyler Nevin. Bryce Harper scores.",1,2,2,68,"bottom",9,"2023-06-09T00:45:36.676Z","2023-06-09T00:46:14.356Z",TRUE,TRUE,FALSE,TRUE,0,1,0,2,669016,"Brandon Marsh","/api/v1/people/669016","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies","Detroit Tigers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.4,89.5,8,0.91,0.3865,6.515,31.0579,-23.7101,-9.737,4.1565,-0.0032,1.7346,9.2234,-141.4946,-6.7243,-2.0337,50.0033,5.6521,-19.8248,36,6,24,2290,224,99.7,21,329,NA,NA,NA,TRUE,-22.4,6.4,15.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,681082,"Bryson Stott","/api/v1/people/681082",NA,NA,NA,607208,"Trea Turner","/api/v1/people/607208",NA,NA,NA,NA
717862,"2023-06-08",0,"2023-06-09T00:45:44.339Z","2023-06-09T00:45:47.932Z",TRUE,"pitch","3807a6cd-bca2-4133-9b7b-bb17bb1beb94",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,2.8143,1.3879,NA,62.19,211.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Sac Fly","sac_fly","Brandon Marsh out on a sacrifice fly to left fielder Tyler Nevin. Bryce Harper scores.",1,2,2,68,"bottom",9,"2023-06-09T00:45:36.676Z","2023-06-09T00:46:14.356Z",TRUE,TRUE,FALSE,TRUE,0,1,0,2,669016,"Brandon Marsh","/api/v1/people/669016","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies","Detroit Tigers","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",89.5,83.2,14,2,0.4198,6.3118,25.1719,-33.0311,-1.9427,-0.4968,1.438,1.0076,9.597,-130.0735,-5.5483,-2.0339,50.0036,5.6485,-3.3586,2.4,8.4,24,2446,30,NA,NA,NA,NA,NA,NA,FALSE,-35.9,-1.9,1.6,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717862,"2023-06-08",2,"2023-06-09T00:44:57.820Z","2023-06-09T00:45:07.327Z",TRUE,"pitch","3109f64c-a9a4-4948-9a15-083a2be6be3a",3,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,1,1,NA,NA,3.19,1.51,NA,149.37,175.73,"ground_ball","medium","6",105.55,148.13,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Bryson Stott singles on a ground ball to shortstop Javier Baez. Bryce Harper to 3rd. Trea Turner to 2nd.",0,2,1,67,"bottom",9,"2023-06-09T00:44:08.309Z","2023-06-09T00:45:07.327Z",TRUE,FALSE,FALSE,FALSE,33,1,1,1,681082,"Bryson Stott","/api/v1/people/681082","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies","Detroit Tigers","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90.3,83.5,13,0.79,0.4155,6.1337,26.196,-32.7169,-9.0477,-0.3038,-0.8493,2.3353,6.3604,-131.4878,-3.051,-2.1162,50.0062,5.9222,-15.948,24,8.4,24,1649,243,80.9,-16,8,NA,NA,NA,FALSE,-34.3,-1,15.1,NA,NA,NA,NA,NA,NA,FALSE,FALSE,681082,"Bryson Stott","/api/v1/people/681082",547180,"Bryce Harper","/api/v1/people/547180",607208,"Trea Turner","/api/v1/people/607208",NA,NA,NA,NA
717862,"2023-06-08",1,"2023-06-09T00:44:37.541Z","2023-06-09T00:44:42.486Z",TRUE,"pitch","c9f1e381-0287-48f3-a994-891f2a213484",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.1183,1.462,NA,166.74,207.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Bryson Stott singles on a ground ball to shortstop Javier Baez. Bryce Harper to 3rd. Trea Turner to 2nd.",0,2,1,67,"bottom",9,"2023-06-09T00:44:08.309Z","2023-06-09T00:45:07.327Z",TRUE,FALSE,FALSE,FALSE,33,1,1,1,681082,"Bryson Stott","/api/v1/people/681082","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies","Detroit Tigers","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90.9,84.1,13,0.72,0.4133,6.1745,26.4201,-29.111,-8.8634,1.7167,-1.305,1.1554,5.6731,-132.2022,-6.1542,-2.3199,50.0023,5.632,-15.7933,26.4,7.2,24,1578,245,NA,NA,NA,NA,NA,NA,FALSE,-31,2,14.9,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717862,"2023-06-08",0,"2023-06-09T00:44:20.402Z","2023-06-09T00:44:24.282Z",TRUE,"pitch","c87b1771-69e2-4c60-a203-acf7cc5fba9f",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.0224,1.4379,NA,132.32,198.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Bryson Stott singles on a ground ball to shortstop Javier Baez. Bryce Harper to 3rd. Trea Turner to 2nd.",0,2,1,67,"bottom",9,"2023-06-09T00:44:08.309Z","2023-06-09T00:45:07.327Z",TRUE,FALSE,FALSE,FALSE,33,1,1,1,681082,"Bryson Stott","/api/v1/people/681082","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.8,90,7,0.91,0.385,6.1486,30.9178,-22.768,-10.9497,4.5815,-0.402,1.4759,8.6091,-142.0013,-7.6576,-2.0425,50.003,5.6439,-22.4797,40.8,6,24,2314,220,NA,NA,NA,NA,NA,NA,FALSE,-21.6,7,18.2,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717862,"2023-06-08",6,"2023-06-09T00:43:48.086Z","2023-06-09T00:43:53.680Z",TRUE,"pitch","145d084d-52d2-4943-b5fb-1ad652f14248",6,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",3,3,0,NA,NA,3.53,1.66,NA,133.48,205.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","J.T. Realmuto strikes out on a foul tip.",0,2,1,66,"bottom",9,"2023-06-09T00:42:11.065Z","2023-06-09T00:43:53.680Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,592663,"J.T. Realmuto","/api/v1/people/592663","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies","Detroit Tigers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.3,89.6,13,0.91,0.3867,6.3139,30.7054,-24.7591,-10.1915,3.6442,-0.4324,1.245,8.6931,-141.3528,-7.8597,-2.216,50.0001,5.6385,-20.7239,36,6,24,2246,218,NA,NA,NA,NA,NA,NA,TRUE,-23.6,5.2,16.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,607208,"Trea Turner","/api/v1/people/607208",NA,NA,NA,547180,"Bryce Harper","/api/v1/people/547180",NA,NA,NA,NA
