"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716979,"2023-08-16",3,"2023-08-16T04:20:04.435Z","2023-08-16T04:20:08.041Z",TRUE,"pitch","20be5a9c-7388-4867-a785-a980751b4877",3,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,3,2,NA,NA,3.31,1.58,NA,139,195.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Carlos Santana strikes out on a foul tip.",0,2,6,65,"top",9,"2023-08-16T04:19:23.915Z","2023-08-16T04:20:08.041Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,467793,"Carlos Santana","/api/v1/people/467793","R","Right",642232,"Ryan Yarbrough","/api/v1/people/642232","L","Left","vs_LHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Los Angeles Dodgers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",72.4,66.9,7,2,0.52,6.7266,17.8263,-29.7281,-4.2294,2.1742,-0.5772,1.5865,-6.7312,-105.328,0.3579,3.2089,50.0023,4.851,-4.752,10.8,10.8,24,2199,265,NA,NA,NA,NA,NA,NA,TRUE,-47.8,4.4,9.5,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716979,"2023-08-16",1,"2023-08-16T04:19:38.775Z","2023-08-16T04:19:41.801Z",TRUE,"pitch","2cbc964f-0e04-428c-84d7-89dbcda7ac35",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.31,1.58,NA,127.46,183.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Carlos Santana strikes out on a foul tip.",0,2,6,65,"top",9,"2023-08-16T04:19:23.915Z","2023-08-16T04:20:08.041Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,467793,"Carlos Santana","/api/v1/people/467793","R","Right",642232,"Ryan Yarbrough","/api/v1/people/642232","L","Left","vs_LHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Los Angeles Dodgers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",72.9,66.8,8,2,0.518,6.9942,19.4049,-26.636,-6.2324,4.8989,-0.2745,2.0498,-5.8012,-106.0505,0.4799,3.3139,50.0036,4.8773,-7.0442,16.8,9.6,24,2149,261,NA,NA,NA,NA,NA,NA,FALSE,-42.5,9.4,13,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716979,"2023-08-16",0,"2023-08-16T04:19:24.614Z","2023-08-16T04:19:28.185Z",TRUE,"pitch","a90ae0a9-6624-4130-827d-88041c7da82a",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.5895,1.6627,NA,141.52,181.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Carlos Santana strikes out on a foul tip.",0,2,6,65,"top",9,"2023-08-16T04:19:23.915Z","2023-08-16T04:20:08.041Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,467793,"Carlos Santana","/api/v1/people/467793","R","Right",642232,"Ryan Yarbrough","/api/v1/people/642232","L","Left","vs_LHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Los Angeles Dodgers",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",84.8,78.3,7,0.89,0.4434,6.9037,22.5148,-23.4559,3.173,5.6288,-0.6433,2.1341,-10.0726,-123.1433,-1.8473,3.0726,50.0028,4.8618,4.9157,7.2,6,24,1935,128,NA,NA,NA,NA,NA,NA,FALSE,-28,10.1,-3.6,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716979,"2023-08-16",2,"2023-08-16T04:19:49.345Z","2023-08-16T04:20:04.435Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",2,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,2,2,467793,"/api/v1/people/467793",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Carlos Santana strikes out on a foul tip.",0,2,6,65,"top",9,"2023-08-16T04:19:23.915Z","2023-08-16T04:20:08.041Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,467793,"Carlos Santana","/api/v1/people/467793","R","Right",642232,"Ryan Yarbrough","/api/v1/people/642232","L","Left","vs_LHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Los Angeles Dodgers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716979,"2023-08-16",1,"2023-08-16T04:18:49.042Z","2023-08-16T04:18:57.424Z",TRUE,"pitch","21e2b495-7690-452e-92dc-02d78dea1115",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,1,NA,NA,3.42,1.61,NA,77.78,168.04,"ground_ball","medium","6",112.57,151.18,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","William Contreras grounds out, shortstop Miguel Rojas to first baseman Freddie Freeman.",0,2,6,64,"top",9,"2023-08-16T04:18:26.738Z","2023-08-16T04:18:57.424Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,661388,"William Contreras","/api/v1/people/661388","R","Right",642232,"Ryan Yarbrough","/api/v1/people/642232","L","Left","vs_LHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Los Angeles Dodgers","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",78.2,71.3,12,2,0.4831,6.5592,21.8972,-26.9026,9.6354,4.0522,1.0288,2.62,-7.0086,-113.6178,0.2125,2.9101,50.0003,5.2108,12.5256,22.8,9.6,24,1918,88,84.6,-12,12,NA,NA,NA,TRUE,-37.3,7.7,-15.5,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716979,"2023-08-16",0,"2023-08-16T04:18:34.249Z","2023-08-16T04:18:37.803Z",TRUE,"pitch","e30834c8-b175-4089-969a-b996dbd2897d",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.7005,1.7365,NA,125.86,170.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","William Contreras grounds out, shortstop Miguel Rojas to first baseman Freddie Freeman.",0,2,6,64,"top",9,"2023-08-16T04:18:26.738Z","2023-08-16T04:18:57.424Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,661388,"William Contreras","/api/v1/people/661388","R","Right",642232,"Ryan Yarbrough","/api/v1/people/642232","L","Left","vs_LHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Los Angeles Dodgers","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",84.9,78.1,5,0.91,0.4429,6.7199,23.7354,-24.8263,2.2345,4.7381,-0.2323,2.5262,-8.6956,-123.4893,-0.9107,3.0385,50.0014,4.9813,3.465,4.8,6,24,1886,128,NA,NA,NA,NA,NA,NA,FALSE,-29.3,8.6,-2,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716979,"2023-08-16",1,"2023-08-16T04:17:58.095Z","2023-08-16T04:18:07.557Z",TRUE,"pitch","a6cbf3da-981f-46d1-a464-3b8937895f92",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,0,NA,NA,3.3,1.69,NA,85.67,181.24,"fly_ball","medium","7",65.46,115.85,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Flyout","field_out","Christian Yelich flies out to left fielder Enrique Hernandez.",0,2,6,63,"top",9,"2023-08-16T04:17:35.077Z","2023-08-16T04:18:07.557Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,592885,"Christian Yelich","/api/v1/people/592885","L","Left",642232,"Ryan Yarbrough","/api/v1/people/642232","L","Left","vs_LHP","vs_LHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Los Angeles Dodgers","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",73.1,67,9,2,0.5155,6.7546,18.9024,-26.2521,-4.1566,5.1838,0.8218,2.1311,-4.0459,-106.397,0.4623,3.2906,50.0017,4.895,-4.7467,12,9.6,24,2160,263,88.7,47,257,NA,NA,NA,TRUE,-41.4,9.8,8.6,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716979,"2023-08-16",0,"2023-08-16T04:17:43.816Z","2023-08-16T04:17:47.751Z",TRUE,"pitch","85e43643-ce45-4e0e-b970-50fdf82f4081",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.5155,1.7365,NA,116.64,147.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Flyout","field_out","Christian Yelich flies out to left fielder Enrique Hernandez.",0,2,6,63,"top",9,"2023-08-16T04:17:35.077Z","2023-08-16T04:18:07.557Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,592885,"Christian Yelich","/api/v1/people/592885","L","Left",642232,"Ryan Yarbrough","/api/v1/people/642232","L","Left","vs_LHP","vs_LHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Los Angeles Dodgers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",86.8,78.9,2,2,0.4354,6.7071,27.0907,-22.0353,9.2842,6.3355,0.0094,3.3656,-9.3838,-126.0888,-0.9684,2.5838,50.0027,5.5427,14.8585,30,6,24,1898,115,NA,NA,NA,NA,NA,NA,FALSE,-25.1,11.5,-14.5,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716979,"2023-08-16",0,"2023-08-16T04:15:09.568Z","2023-08-16T04:15:19.818Z",TRUE,"pitch","9f26fe32-5872-4e88-9d9d-1016920d2b90",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.39,1.66,NA,108.27,174.5,"fly_ball","medium","7",79.17,69.83,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Flyout","field_out","Miguel Rojas flies out to left fielder Christian Yelich.",0,2,6,62,"bottom",8,"2023-08-16T04:14:58.262Z","2023-08-16T04:15:19.818Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,500743,"Miguel Rojas","/api/v1/people/500743","R","Right",669060,"Bryse Wilson","/api/v1/people/669060","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","Milwaukee Brewers","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",88.9,81.9,5,0.9,0.4229,6.466,26.301,-27.4161,0.9605,2.7995,0.229,2.3808,7.0951,-129.3924,-2.9656,-2.6704,50.0051,5.6365,1.6315,6,7.2,24,2091,204,89.9,31,341,NA,NA,NA,TRUE,-29.9,4.7,-3.2,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716979,"2023-08-16",4,"2023-08-16T04:14:34.103Z","2023-08-16T04:14:44.370Z",TRUE,"pitch","7ea61dfc-8fda-48ae-b0a5-873f5dcbbe09",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,1,NA,NA,3.47,1.7,NA,104.54,189.11,"fly_ball","medium","8",108.19,107.77,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Flyout","field_out","James Outman flies out to center fielder Sal Frelick.",0,2,6,61,"bottom",8,"2023-08-16T04:13:08.231Z","2023-08-16T04:14:44.370Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,681546,"James Outman","/api/v1/people/681546","L","Left",669060,"Bryse Wilson","/api/v1/people/669060","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","Milwaukee Brewers","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.7,83.5,9,0.91,0.415,6.7291,27.4552,-23.1136,0.0319,5.1346,0.3268,1.8395,8.5374,-131.8638,-4.9388,-2.954,50.0053,5.4372,0.0544,3.6,6,24,2104,212,89.2,53,235,NA,NA,NA,TRUE,-24.8,8.4,-1.9,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
