"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716570,"2023-09-16",3,"2023-09-16T04:14:37.234Z","2023-09-16T04:14:43.473Z",TRUE,"pitch","8ff298d4-bdd3-426e-b881-f7a2ed5ee0f3",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,2,NA,NA,3.467,1.589,NA,105.09,173.57,"line_drive","hard","4",148.05,153.55,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Lineout","field_out","Jordyn Adams lines out sharply to second baseman Andy Ibanez.",0,11,2,79,"bottom",9,"2023-09-16T04:13:34.969Z","2023-09-16T04:14:43.473Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,677941,"Jordyn Adams","/api/v1/people/677941","R","Right",622259,"Trey Wingenter","/api/v1/people/622259","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Detroit Tigers","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.5,86.2,6,0.89,0.3996,6.9126,30.8182,-17.1022,-6.2226,7.9276,0.3124,2.415,10.0961,-137.1511,-5.3544,-2.611,50.0064,5.5622,-11.8369,27.6,4.8,24,2013,217,105,8,152,NA,NA,NA,TRUE,-17.5,13.3,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716570,"2023-09-16",2,"2023-09-16T04:14:20.283Z","2023-09-16T04:14:24.025Z",TRUE,"pitch","437a2972-a33d-4682-9bbe-74ea752a4e43",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.4674,1.6351,NA,71.91,193.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Lineout","field_out","Jordyn Adams lines out sharply to second baseman Andy Ibanez.",0,11,2,79,"bottom",9,"2023-09-16T04:13:34.969Z","2023-09-16T04:14:43.473Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,677941,"Jordyn Adams","/api/v1/people/677941","R","Right",622259,"Trey Wingenter","/api/v1/people/622259","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Detroit Tigers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.5,77.9,14,0.9,0.4461,6.7559,24.4018,-35.4362,-1.5352,-2.1324,1.1828,1.6684,9.5254,-122.7989,-1.9543,-2.5478,50.0061,5.4903,-2.3452,1.2,9.6,24,1960,32,NA,NA,NA,NA,NA,NA,FALSE,-42.5,-4.1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716570,"2023-09-16",1,"2023-09-16T04:14:03.254Z","2023-09-16T04:14:07.006Z",TRUE,"pitch","d12138c3-73b1-4813-8382-9a31c7cf7f25",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.5138,1.6813,NA,107.94,194.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Lineout","field_out","Jordyn Adams lines out sharply to second baseman Andy Ibanez.",0,11,2,79,"bottom",9,"2023-09-16T04:13:34.969Z","2023-09-16T04:14:43.473Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,677941,"Jordyn Adams","/api/v1/people/677941","R","Right",622259,"Trey Wingenter","/api/v1/people/622259","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Detroit Tigers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,86.9,8,0.9,0.3965,6.9945,31.9077,-15.346,-6.7971,8.7146,0.2378,1.6302,10.1529,-138.3392,-7.7389,-2.6029,50.0037,5.5,-13.1274,32.4,4.8,24,1972,212,NA,NA,NA,NA,NA,NA,FALSE,-16.2,14.2,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716570,"2023-09-16",0,"2023-09-16T04:13:47.553Z","2023-09-16T04:13:50.927Z",TRUE,"pitch","3d9da97e-e090-4023-b2da-244a91cf59bf",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4674,1.6351,NA,60.22,184.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Lineout","field_out","Jordyn Adams lines out sharply to second baseman Andy Ibanez.",0,11,2,79,"bottom",9,"2023-09-16T04:13:34.969Z","2023-09-16T04:14:43.473Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,677941,"Jordyn Adams","/api/v1/people/677941","R","Right",622259,"Trey Wingenter","/api/v1/people/622259","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Detroit Tigers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,86.8,14,0.89,0.398,6.9831,30.4327,-16.0723,-5.1777,8.3923,1.4897,2.0226,12.2788,-137.6196,-6.6591,-2.3566,50.0063,5.5619,-9.9397,22.8,3.6,24,1955,219,NA,NA,NA,NA,NA,NA,FALSE,-16.7,13.9,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716570,"2023-09-16",1,"2023-09-16T04:13:08.122Z","2023-09-16T04:13:18.838Z",TRUE,"pitch","a8b293dc-e664-4264-a5f4-a02e2269095a",2,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,0,2,NA,NA,3.23,1.5,NA,129.28,186.53,"ground_ball","medium","8",120.02,108.75,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","David Fletcher singles on a ground ball to center fielder Parker Meadows.",0,11,2,78,"bottom",9,"2023-09-16T04:12:47.964Z","2023-09-16T04:13:18.838Z",TRUE,FALSE,FALSE,FALSE,33,1,0,2,664058,"David Fletcher","/api/v1/people/664058","R","Right",622259,"Trey Wingenter","/api/v1/people/622259","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Detroit Tigers","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96,88.1,7,0.89,0.3922,7.0031,30.449,-18.0158,-6.6252,7.1645,-0.3222,1.9351,8.9877,-139.497,-6.561,-2.7204,50.0065,5.4991,-13.1012,30,4.8,24,1901,219,98.3,-1,37,NA,NA,NA,FALSE,-17.9,11.8,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,664058,"David Fletcher","/api/v1/people/664058",NA,NA,NA,NA,NA,NA
716570,"2023-09-16",0,"2023-09-16T04:12:53.722Z","2023-09-16T04:12:57.106Z",TRUE,"pitch","efd4ba04-7f36-4d0e-a610-6c0eb776761d",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.184,1.4075,NA,167.62,138.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","David Fletcher singles on a ground ball to center fielder Parker Meadows.",0,11,2,78,"bottom",9,"2023-09-16T04:12:47.964Z","2023-09-16T04:13:18.838Z",TRUE,FALSE,FALSE,FALSE,33,1,0,2,664058,"David Fletcher","/api/v1/people/664058","R","Right",622259,"Trey Wingenter","/api/v1/people/622259","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Detroit Tigers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.4,75.9,11,0.9,0.456,6.7042,22.2182,-36.2886,1.0024,-2.814,-1.3279,3.7194,3.4127,-119.9112,2.9239,-2.8971,50.0021,5.7122,1.4658,3.6,9.6,24,1861,46,NA,NA,NA,NA,NA,NA,FALSE,-44.3,-4.2,-2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716570,"2023-09-16",1,"2023-09-16T04:12:07.293Z","2023-09-16T04:12:32.085Z",TRUE,"pitch","d441e62c-094e-4c60-b0a0-5893a514588f",2,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,0,2,NA,NA,3.48,1.59,NA,115.36,175.28,"fly_ball","hard","89",212.72,44.73,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Home Run","home_run","Jared Walsh homers (2) on a fly ball to right center field.",1,11,2,77,"bottom",9,"2023-09-16T04:11:34.822Z","2023-09-16T04:12:32.085Z",TRUE,TRUE,FALSE,FALSE,38,1,0,2,665120,"Jared Walsh","/api/v1/people/665120","L","Left",622259,"Trey Wingenter","/api/v1/people/622259","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Detroit Tigers","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.5,87.8,5,0.9,0.394,6.8104,29.2153,-15.8718,-5.3077,8.3141,0.0429,2.3519,9.4743,-138.7009,-5.7455,-2.7179,50.0027,5.4978,-10.4076,26.4,3.6,24,1917,209,109.1,29,435,NA,NA,NA,FALSE,-15.8,14,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716570,"2023-09-16",0,"2023-09-16T04:11:43.624Z","2023-09-16T04:11:47.467Z",TRUE,"pitch","822409cb-1821-4c3d-892d-c41649e3344d",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4805,1.5437,NA,73.46,221.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Home Run","home_run","Jared Walsh homers (2) on a fly ball to right center field.",1,11,2,77,"bottom",9,"2023-09-16T04:11:34.822Z","2023-09-16T04:12:32.085Z",TRUE,TRUE,FALSE,FALSE,38,1,0,2,665120,"Jared Walsh","/api/v1/people/665120","L","Left",622259,"Trey Wingenter","/api/v1/people/622259","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Detroit Tigers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.3,87.1,14,0.9,0.3973,6.8908,31.3563,-12.7009,-3.9631,10.1195,1.1424,0.6256,11.6058,-137.9813,-10.6616,-2.6074,50.0001,5.4007,-7.6255,19.2,3.6,24,1970,213,NA,NA,NA,NA,NA,NA,FALSE,-14.4,16.1,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716570,"2023-09-16",5,"2023-09-16T04:11:12.172Z","2023-09-16T04:11:16.494Z",TRUE,"pitch","c51ebeaa-921f-49cb-bcaf-a1964da7c98f",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,1,NA,NA,3.05,1.43,NA,75.58,202.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Eduardo Escobar strikes out swinging.",0,11,1,76,"bottom",9,"2023-09-16T04:09:39.521Z","2023-09-16T04:11:16.494Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,500871,"Eduardo Escobar","/api/v1/people/500871","L","Left",622259,"Trey Wingenter","/api/v1/people/622259","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Detroit Tigers","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.9,87,14,0.9,0.3957,7.0874,33.3781,-12.6088,-4.4757,10.1006,1.0867,1.3395,11.7601,-138.8409,-8.8271,-2.6372,50.0036,5.4154,-8.6715,21.6,3.6,24,1951,211,NA,NA,NA,NA,NA,NA,TRUE,-13.9,16.3,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716570,"2023-09-16",4,"2023-09-16T04:10:55.503Z","2023-09-16T04:11:00.195Z",TRUE,"pitch","02b35d72-ac0f-413d-ba0f-8469505940c7",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,1,NA,NA,3.0503,1.4298,NA,152.38,204.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Eduardo Escobar strikes out swinging.",0,11,1,76,"bottom",9,"2023-09-16T04:09:39.521Z","2023-09-16T04:11:16.494Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,500871,"Eduardo Escobar","/api/v1/people/500871","L","Left",622259,"Trey Wingenter","/api/v1/people/622259","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Detroit Tigers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84,77.4,13,0.9,0.4486,6.9148,24.7015,-37.5061,-0.4862,-3.5357,-0.9281,1.2862,5.1932,-122.2142,-2.1771,-3.0198,50.002,5.4181,-0.7339,0,9.6,24,2029,33,NA,NA,NA,NA,NA,NA,FALSE,-45.5,-6.7,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
