"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
718270,"2023-05-07",4,"2023-05-07T19:52:53.684Z","2023-05-07T19:53:02.109Z",TRUE,"pitch","e897e146-ee81-4ef1-8233-f77cf16d6601",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,2,NA,NA,3.39,1.63,NA,145.97,171.68,"popup","medium","6",116.22,153.73,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Pop Out","field_out","Raimel Tapia pops out to shortstop Edmundo Sosa.",0,1,6,66,"top",9,"2023-05-07T19:51:27.189Z","2023-05-07T19:53:02.109Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,606132,"Raimel Tapia","/api/v1/people/606132","L","Left",621381,"Matt Strahm","/api/v1/people/621381","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Philadelphia Phillies","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.9,76.1,4,2,0.4551,6.0982,24.0101,-27.4629,-3.7246,3.2173,-0.76,2.4852,-8.0709,-120.4775,-1.3678,3.1213,50.0058,5.4938,-5.46,14.4,8.4,24,2706,279,74.8,65,130,NA,NA,NA,TRUE,-34.2,5.8,8.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718270,"2023-05-07",3,"2023-05-07T19:52:33.470Z","2023-05-07T19:52:37.113Z",TRUE,"pitch","09393033-1c7a-4d41-aa56-483fb2c610ab",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,2,NA,NA,3.39,1.63,NA,92.5,200.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Pop Out","field_out","Raimel Tapia pops out to shortstop Edmundo Sosa.",0,1,6,66,"top",9,"2023-05-07T19:51:27.189Z","2023-05-07T19:53:02.109Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,606132,"Raimel Tapia","/api/v1/people/606132","L","Left",621381,"Matt Strahm","/api/v1/people/621381","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Philadelphia Phillies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.5,84,14,2,0.4096,6.2561,30.9258,-22.0662,12.7268,5.5901,0.6428,1.4314,-10.668,-134.1035,-5.7855,3.0329,50.0033,5.2067,23.0163,42,7.2,24,2345,133,NA,NA,NA,NA,NA,NA,FALSE,-23.5,8.9,-20.5,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718270,"2023-05-07",2,"2023-05-07T19:52:12.565Z","2023-05-07T19:52:16.920Z",TRUE,"pitch","633b6f7f-5902-4333-8b9c-f9e65db39a92",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.3195,1.5531,NA,121.81,221.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Pop Out","field_out","Raimel Tapia pops out to shortstop Edmundo Sosa.",0,1,6,66,"top",9,"2023-05-07T19:51:27.189Z","2023-05-07T19:53:02.109Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,606132,"Raimel Tapia","/api/v1/people/606132","L","Left",621381,"Matt Strahm","/api/v1/people/621381","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Philadelphia Phillies","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.4,76.4,13,2,0.4534,6.3404,25.5109,-26.7909,-2.4397,3.6511,-0.1263,0.6427,-7.1825,-121.1894,-5.4,3.2029,50.0041,5.2639,-3.5989,9.6,7.2,24,2666,262,NA,NA,NA,NA,NA,NA,FALSE,-34.2,5.4,6.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718270,"2023-05-07",1,"2023-05-07T19:51:54.370Z","2023-05-07T19:51:58.211Z",TRUE,"pitch","b5278610-6be4-43a3-9090-07224421a734",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.3434,1.5531,NA,82.19,156.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Pop Out","field_out","Raimel Tapia pops out to shortstop Edmundo Sosa.",0,1,6,66,"top",9,"2023-05-07T19:51:27.189Z","2023-05-07T19:53:02.109Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,606132,"Raimel Tapia","/api/v1/people/606132","L","Left",621381,"Matt Strahm","/api/v1/people/621381","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Philadelphia Phillies","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.8,74.6,12,2,0.4614,6.067,24.4541,-27.0063,-4.6632,3.6247,0.9133,3.0472,-4.2417,-119.0496,0.018,3.3286,50.0006,5.4994,-6.6415,15.6,8.4,24,2707,292,NA,NA,NA,NA,NA,NA,FALSE,-34.2,6.8,9.5,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718270,"2023-05-07",0,"2023-05-07T19:51:38.082Z","2023-05-07T19:51:42.027Z",TRUE,"pitch","708d5c40-3a56-4950-976e-b9fda1290598",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.4153,1.6295,NA,114.6,160.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Pop Out","field_out","Raimel Tapia pops out to shortstop Edmundo Sosa.",0,1,6,66,"top",9,"2023-05-07T19:51:27.189Z","2023-05-07T19:53:02.109Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,606132,"Raimel Tapia","/api/v1/people/606132","L","Left",621381,"Matt Strahm","/api/v1/people/621381","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Philadelphia Phillies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.7,84.2,2,2,0.4081,6.2755,30.3303,-22.2274,12.1222,5.4575,0.0628,2.9026,-12.1031,-134.4549,-2.3113,3.057,50.0054,5.3581,22.1031,40.8,7.2,24,2392,128,NA,NA,NA,NA,NA,NA,FALSE,-22.6,9.5,-19.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718270,"2023-05-07",5,"2023-05-07T19:51:01.090Z","2023-05-07T19:51:08.099Z",TRUE,"pitch","923b4f12-6901-4c9d-ad30-fb83b146523f",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,1,NA,NA,3.23,1.43,NA,84.57,184.73,"ground_ball","medium","1",127.9,181.22,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Masataka Yoshida grounds out, pitcher Matt Strahm to first baseman Alec Bohm.",0,1,6,65,"top",9,"2023-05-07T19:49:04.426Z","2023-05-07T19:51:08.099Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,807799,"Masataka Yoshida","/api/v1/people/807799","L","Left",621381,"Matt Strahm","/api/v1/people/621381","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Philadelphia Phillies","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.9,85.6,14,2,0.4022,6.1885,30.8625,-23.3318,12.1482,4.7109,0.8507,2.002,-10.399,-136.3306,-4.1453,3.1423,50.0015,5.1589,22.7932,40.8,7.2,24,2434,124,78.9,-22,5,NA,NA,NA,TRUE,-23.4,7.8,-19.7,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718270,"2023-05-07",4,"2023-05-07T19:50:40.059Z","2023-05-07T19:50:45.558Z",TRUE,"pitch","50b6da5a-22d5-4884-8a41-a4c2b54f301b",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,1,NA,NA,3.1278,1.3609,NA,196.17,211.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Masataka Yoshida grounds out, pitcher Matt Strahm to first baseman Alec Bohm.",0,1,6,65,"top",9,"2023-05-07T19:49:04.426Z","2023-05-07T19:51:08.099Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,807799,"Masataka Yoshida","/api/v1/people/807799","L","Left",621381,"Matt Strahm","/api/v1/people/621381","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Philadelphia Phillies","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.6,76.3,13,2,0.4571,6.2619,23.4899,-26.7392,-5.0321,3.7376,-2.077,1.0273,-10.3367,-119.893,-4.5446,2.9464,50.002,5.3377,-7.3135,18,8.4,24,2938,299,NA,NA,NA,NA,NA,NA,FALSE,-34.4,5.9,11.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718270,"2023-05-07",3,"2023-05-07T19:50:20.902Z","2023-05-07T19:50:25.489Z",TRUE,"pitch","d58bcba5-4d2b-4e6e-bd7c-071122dd4def",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,1,NA,NA,3.1757,1.3849,NA,145.6,176.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Masataka Yoshida grounds out, pitcher Matt Strahm to first baseman Alec Bohm.",0,1,6,65,"top",9,"2023-05-07T19:49:04.426Z","2023-05-07T19:51:08.099Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,807799,"Masataka Yoshida","/api/v1/people/807799","L","Left",621381,"Matt Strahm","/api/v1/people/621381","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Philadelphia Phillies","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.2,75.8,4,2,0.458,6.1369,22.7209,-26.477,-4.4594,3.9307,-0.7504,2.3227,-7.8091,-119.5153,-1.8216,3.1367,50.0023,5.4694,-6.4578,16.8,8.4,24,2783,282,NA,NA,NA,NA,NA,NA,FALSE,-33.6,7,10,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718270,"2023-05-07",2,"2023-05-07T19:50:04.159Z","2023-05-07T19:50:09.184Z",TRUE,"pitch","555b0e82-0c5c-4452-b3c4-3cb3525fff95",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,1,1,NA,NA,3.1278,1.3609,NA,109.21,183.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Masataka Yoshida grounds out, pitcher Matt Strahm to first baseman Alec Bohm.",0,1,6,65,"top",9,"2023-05-07T19:49:04.426Z","2023-05-07T19:51:08.099Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,807799,"Masataka Yoshida","/api/v1/people/807799","L","Left",621381,"Matt Strahm","/api/v1/people/621381","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Philadelphia Phillies","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.5,84.4,5,2,0.408,6.1717,29.2308,-13.3184,8.2491,10.3315,0.2043,2.0528,-10.4411,-134.2873,-5.8712,3.0721,50.0039,5.2159,15.0582,40.8,4.8,24,2397,136,NA,NA,NA,NA,NA,NA,FALSE,-14.5,17.5,-12.7,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718270,"2023-05-07",1,"2023-05-07T19:49:46.537Z","2023-05-07T19:49:50.389Z",TRUE,"pitch","d0ff0882-4204-4100-82e5-88c2b23f5990",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.1985,1.4326,NA,106.3,203.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Masataka Yoshida grounds out, pitcher Matt Strahm to first baseman Alec Bohm.",0,1,6,65,"top",9,"2023-05-07T19:49:04.426Z","2023-05-07T19:51:08.099Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,807799,"Masataka Yoshida","/api/v1/people/807799","L","Left",621381,"Matt Strahm","/api/v1/people/621381","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Philadelphia Phillies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.4,85,9,2,0.4074,6.3204,27.186,-20.7583,11.0409,6.2284,0.2808,1.3129,-11.0644,-134.0934,-6.1898,3.0129,50.0055,5.1177,20.2444,39.6,6,24,2399,132,NA,NA,NA,NA,NA,NA,FALSE,-21.8,10.2,-17.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
