"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
747127,"2024-05-08",4,"2024-05-09T01:43:52.203Z","2024-05-09T01:43:57.325Z",TRUE,"pitch","407c30bb-860f-462b-9207-0e774049384e",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.44,1.63,NA,96.99,161.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Ceddanne Rafaela strikes out swinging.",0,0,5,69,"top",9,"2024-05-09T01:42:27.989Z","2024-05-09T01:43:57.325Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,678882,"Ceddanne Rafaela","/api/v1/people/678882","R","Right",678061,"Ray Kerr","/api/v1/people/678061","L","Left","vs_LHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,87.5,3,2,0.3915,6.111,34.3372,-11.0019,3.5092,10.7021,0.5248,2.8791,-3.1817,-140.3604,-6.453,1.222,50.0002,5.9379,6.9405,26.4,2.4,24,2298,149,NA,NA,NA,NA,NA,NA,TRUE,-11.5,18.1,-5.6,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747127,"2024-05-08",3,"2024-05-09T01:43:31.891Z","2024-05-09T01:43:36.084Z",TRUE,"pitch","30c0756c-fc93-4c56-853c-ebfb68f2f416",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.3359,1.5879,NA,156.76,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Ceddanne Rafaela strikes out swinging.",0,0,5,69,"top",9,"2024-05-09T01:42:27.989Z","2024-05-09T01:43:57.325Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,678882,"Ceddanne Rafaela","/api/v1/people/678882","R","Right",678061,"Ray Kerr","/api/v1/people/678061","L","Left","vs_LHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.1,89.9,13,2,0.3845,6.2788,32.4899,-13.4151,2.5674,9.1243,-1.0431,1.14,-6.8644,-142.4243,-10.5883,1.064,50.0052,5.7529,5.2803,13.2,3.6,24,2364,154,NA,NA,NA,NA,NA,NA,FALSE,-14,14.5,-3.2,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747127,"2024-05-08",1,"2024-05-09T01:43:01.729Z","2024-05-09T01:43:06.410Z",TRUE,"pitch","1288ed69-5143-4650-bf17-c27d346b991d",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.44,1.63,NA,158.86,180.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Ceddanne Rafaela strikes out swinging.",0,0,5,69,"top",9,"2024-05-09T01:42:27.989Z","2024-05-09T01:43:57.325Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,678882,"Ceddanne Rafaela","/api/v1/people/678882","R","Right",678061,"Ray Kerr","/api/v1/people/678061","L","Left","vs_LHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.1,88.5,13,2,0.3887,6.1484,33.4977,-12.5311,2.2599,9.7801,-1.0982,2.1738,-6.4027,-141.1465,-7.9819,0.9107,50.0054,5.8541,4.541,12,2.4,24,2226,158,NA,NA,NA,NA,NA,NA,FALSE,-13.1,16.2,-2.8,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747127,"2024-05-08",0,"2024-05-09T01:42:46.748Z","2024-05-09T01:42:51.861Z",TRUE,"pitch","db67d3f9-23fc-40e1-a2e6-be12481b2dff",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.4074,1.6594,NA,88.52,165.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Ceddanne Rafaela strikes out swinging.",0,0,5,69,"top",9,"2024-05-09T01:42:27.989Z","2024-05-09T01:43:57.325Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,678882,"Ceddanne Rafaela","/api/v1/people/678882","R","Right",678061,"Ray Kerr","/api/v1/people/678061","L","Left","vs_LHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Atlanta Braves",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",81.9,75.5,6,2,0.4589,6.0222,22.8089,-36.6319,-0.4576,-3.0855,0.7472,2.7,-1.2787,-119.3339,0.3413,1.3493,50.0043,5.8531,-0.6605,1.2,10.8,24,1769,325,NA,NA,NA,NA,NA,NA,FALSE,-45.8,-5.3,1.1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747127,"2024-05-08",2,"2024-05-09T01:43:18.835Z","2024-05-09T01:43:31.891Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",0,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,2,2,678882,"/api/v1/people/678882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Ceddanne Rafaela strikes out swinging.",0,0,5,69,"top",9,"2024-05-09T01:42:27.989Z","2024-05-09T01:43:57.325Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,678882,"Ceddanne Rafaela","/api/v1/people/678882","R","Right",678061,"Ray Kerr","/api/v1/people/678061","L","Left","vs_LHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Atlanta Braves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747127,"2024-05-08",2,"2024-05-09T01:42:14.821Z","2024-05-09T01:42:22.671Z",TRUE,"pitch","d0891a55-eb71-4f77-a89e-287da61bb63b",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,1,NA,NA,3.45,1.67,NA,108.65,189.53,"ground_ball","medium","4",150.96,150.61,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Wilyer Abreu grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",0,0,5,68,"top",9,"2024-05-09T01:41:21.256Z","2024-05-09T01:42:22.671Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,677800,"Wilyer Abreu","/api/v1/people/677800","L","Left",678061,"Ray Kerr","/api/v1/people/678061","L","Left","vs_LHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Atlanta Braves","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.7,87.9,8,2,0.393,6.2769,30.5014,-14.8765,3.3636,8.7906,0.2189,1.8241,-3.9979,-139.2212,-8.2568,1.2348,50.0053,5.8077,6.6209,19.2,3.6,24,2136,152,NA,NA,NA,NA,NA,NA,TRUE,-15.4,14.4,-5.3,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747127,"2024-05-08",1,"2024-05-09T01:41:55.582Z","2024-05-09T01:42:00.047Z",TRUE,"pitch","50ac67ea-7bc1-4b5d-a939-245c1bf1cb5f",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,1,NA,NA,3.45,1.67,NA,132.35,155.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Wilyer Abreu grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",0,0,5,68,"top",9,"2024-05-09T01:41:21.256Z","2024-05-09T01:42:22.671Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,677800,"Wilyer Abreu","/api/v1/people/677800","L","Left",678061,"Ray Kerr","/api/v1/people/678061","L","Left","vs_LHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Atlanta Braves","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,88.3,1,2,0.3901,6.1568,31.5438,-16.2635,3.5609,7.9636,-0.4026,3.0812,-5.6714,-140.3766,-4.7923,1.1804,50.0002,5.868,7.1122,19.2,3.6,24,2193,154,NA,NA,NA,NA,NA,NA,FALSE,-15.7,13.7,-5.3,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747127,"2024-05-08",0,"2024-05-09T01:41:38.412Z","2024-05-09T01:41:43.328Z",TRUE,"pitch","ad343941-315f-49e9-9f92-e3e230a55e62",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.4227,1.7538,NA,48.76,166.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Wilyer Abreu grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",0,0,5,68,"top",9,"2024-05-09T01:41:21.256Z","2024-05-09T01:42:22.671Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,677800,"Wilyer Abreu","/api/v1/people/677800","L","Left",678061,"Ray Kerr","/api/v1/people/678061","L","Left","vs_LHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Atlanta Braves","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.1,75.7,12,2,0.4574,5.9871,22.7638,-33.9059,-1.7557,-1.1932,1.7903,2.6729,0.9691,-119.6682,-0.3264,1.6085,50.0028,5.8445,-2.5502,3.6,9.6,24,1784,315,NA,NA,NA,NA,NA,NA,FALSE,-42.4,-1.9,3,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747127,"2024-05-08",4,"2024-05-09T01:41:05.572Z","2024-05-09T01:41:14.637Z",TRUE,"pitch","06504d70-defd-42bc-ac33-98a5e77f01cc",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,0,NA,NA,3.35,1.63,NA,150.96,163.76,"popup","medium","3",143.53,159.65,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Pop Out","field_out","Romy Gonzalez pops out to first baseman Matt Olson.",0,0,5,67,"top",9,"2024-05-09T01:40:18.235Z","2024-05-09T01:41:14.637Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,663853,"Romy Gonzalez","/api/v1/people/663853","R","Right",678061,"Ray Kerr","/api/v1/people/678061","L","Left","vs_LHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96,87.5,11,2,0.3929,6.35,32.3081,-11.9638,2.1822,10.2775,-0.891,2.7785,-6.2633,-139.5542,-6.2758,1.1019,50.0022,5.8494,4.2917,12,2.4,24,2311,154,67.1,68,115,NA,NA,NA,TRUE,-12.4,17.4,-2.6,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747127,"2024-05-08",3,"2024-05-09T01:40:51.561Z","2024-05-09T01:40:55.949Z",TRUE,"pitch","6a59d650-0402-4bd8-b3f9-63352a4d1663",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,0,NA,NA,3.6392,1.7543,NA,87.18,129.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Pop Out","field_out","Romy Gonzalez pops out to first baseman Matt Olson.",0,0,5,67,"top",9,"2024-05-09T01:40:18.235Z","2024-05-09T01:41:14.637Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,663853,"Romy Gonzalez","/api/v1/people/663853","R","Right",678061,"Ray Kerr","/api/v1/people/678061","L","Left","vs_LHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Atlanta Braves",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",81.2,74.4,12,2,0.4634,5.8587,23.0005,-33.0581,0.0181,-0.6235,0.7824,4.064,-1.4958,-118.2831,2.54,1.4212,50.0037,6.0116,0.0257,0,9.6,24,1734,313,NA,NA,NA,NA,NA,NA,FALSE,-41.6,-0.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
