"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718758,"2023-04-01",6,"2023-04-01T20:51:32.073Z","2023-04-01T20:51:36.681Z",TRUE,"pitch","67825107-7df7-433c-8b17-b64b747dacec",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,2,NA,NA,3.319,1.513,NA,103.52,203.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Miles Mastrobuoni strikes out swinging.",0,3,1,67,"bottom",9,"2023-04-01T20:49:17.329Z","2023-04-01T20:51:36.681Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,670156,"Miles Mastrobuoni","/api/v1/people/670156","L","Left",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Milwaukee Brewers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",84.5,77,14,0.9,0.4481,7.4106,25.9845,-31.6297,-13.253,0.355,0.3537,1.295,9.3518,-122.6036,-2.9474,-1.803,50.0002,5.2335,-20.0178,30,9.6,24,2616,271,NA,NA,NA,NA,NA,NA,TRUE,-38.6,0.1,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718758,"2023-04-01",5,"2023-04-01T20:51:02.499Z","2023-04-01T20:51:06.900Z",TRUE,"pitch","e7cb1bad-2a0d-4aef-b937-79de826017e8",5,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",3,2,2,NA,NA,2.8952,1.2998,NA,68.54,234.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Miles Mastrobuoni strikes out swinging.",0,3,1,67,"bottom",9,"2023-04-01T20:49:17.329Z","2023-04-01T20:51:36.681Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,670156,"Miles Mastrobuoni","/api/v1/people/670156","L","Left",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Milwaukee Brewers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",85.2,78.2,14,0.9,0.4439,7.3573,25.1846,-31.0537,-13.2303,0.7254,1.2712,0.1676,11.3844,-123.5088,-5.9095,-1.6847,50.0008,5.2107,-20.3857,30,9.6,24,2792,268,NA,NA,NA,NA,NA,NA,FALSE,-38,0,21.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718758,"2023-04-01",4,"2023-04-01T20:50:37.980Z","2023-04-01T20:50:42.867Z",TRUE,"pitch","682a5ac4-6489-4477-b7ad-f1bd912870de",4,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,2,2,NA,NA,2.8729,1.4105,NA,128.46,238.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Miles Mastrobuoni strikes out swinging.",0,3,1,67,"bottom",9,"2023-04-01T20:49:17.329Z","2023-04-01T20:51:36.681Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,670156,"Miles Mastrobuoni","/api/v1/people/670156","L","Left",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Milwaukee Brewers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",84,76.7,13,0.91,0.4511,7.3987,26.6775,-33.4256,-12.0188,-0.8425,-0.3007,0.0039,7.1094,-121.9894,-5.4435,-1.7093,50.0023,5.1861,-17.8972,25.2,10.8,24,2684,272,NA,NA,NA,NA,NA,NA,FALSE,-42,-2.8,19.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718758,"2023-04-01",3,"2023-04-01T20:50:17.172Z","2023-04-01T20:50:20.843Z",TRUE,"pitch","acb0a199-5578-4dce-a23d-0512db242254",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,2,NA,NA,2.8952,1.4105,NA,130.59,195.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Miles Mastrobuoni strikes out swinging.",0,3,1,67,"bottom",9,"2023-04-01T20:49:17.329Z","2023-04-01T20:51:36.681Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,670156,"Miles Mastrobuoni","/api/v1/people/670156","L","Left",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Milwaukee Brewers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",84.1,77,7,0.9,0.4487,7.2862,24.9953,-30.4733,-11.8531,1.1254,-0.3565,1.6054,7.4164,-122.251,-2.8384,-1.8957,50.0007,5.4078,-17.8678,27.6,9.6,24,2688,272,NA,NA,NA,NA,NA,NA,FALSE,-37.3,1.6,19.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718758,"2023-04-01",2,"2023-04-01T20:49:57.467Z","2023-04-01T20:50:00.900Z",TRUE,"pitch","e9d5ab12-e12d-428a-89b8-74602f954880",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,2.9174,1.4327,NA,112.01,206.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Miles Mastrobuoni strikes out swinging.",0,3,1,67,"bottom",9,"2023-04-01T20:49:17.329Z","2023-04-01T20:51:36.681Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,670156,"Miles Mastrobuoni","/api/v1/people/670156","L","Left",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Milwaukee Brewers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",84.6,77.6,14,0.89,0.4459,7.3524,24.9315,-28.7545,-11.6179,2.2348,0.131,1.1774,8.3801,-122.9445,-4.0139,-1.8165,50.0006,5.2783,-17.7399,28.8,8.4,24,2549,268,NA,NA,NA,NA,NA,NA,FALSE,-35,3.4,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718758,"2023-04-01",1,"2023-04-01T20:49:40.091Z","2023-04-01T20:49:43.817Z",TRUE,"pitch","40548e3a-fe9e-4a31-96cc-47d4b59c463c",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,2.8729,1.4327,NA,144.26,146.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Miles Mastrobuoni strikes out swinging.",0,3,1,67,"bottom",9,"2023-04-01T20:49:17.329Z","2023-04-01T20:51:36.681Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,670156,"Miles Mastrobuoni","/api/v1/people/670156","L","Left",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.7,84,11,0.86,0.4098,7.5616,27.807,-14.4039,-4.3881,9.8165,-0.7151,3.4146,4.0458,-133.4741,-2.8265,-1.6779,50.004,5.52,-7.9452,25.2,3.6,24,2203,204,NA,NA,NA,NA,NA,NA,FALSE,-15,17.4,7.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718758,"2023-04-01",0,"2023-04-01T20:49:17.329Z","2023-04-01T20:49:29.868Z",FALSE,"stepoff","33845f7d-382a-4ad0-9add-ebf881b5380a",NA,"Pitcher Step Off",NA,NA,NA,NA,FALSE,"PSO",NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Miles Mastrobuoni strikes out swinging.",0,3,1,67,"bottom",9,"2023-04-01T20:49:17.329Z","2023-04-01T20:51:36.681Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,670156,"Miles Mastrobuoni","/api/v1/people/670156","L","Left",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Milwaukee Brewers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718758,"2023-04-01",1,"2023-04-01T20:48:46.865Z","2023-04-01T20:48:55.646Z",TRUE,"pitch","dc9af7ed-1d41-43c1-902c-f0c00c11b62f",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,0,NA,NA,3.82,1.75,NA,154.58,160.5,"ground_ball","medium","4",150.67,155.67,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Grounded Into DP","grounded_into_double_play","Cody Bellinger grounds into a double play, second baseman Brice Turang to shortstop Willy Adames to first baseman Rowdy Tellez. Dansby Swanson to 3rd. Ian Happ out at 2nd. Cody Bellinger out at 1st.",0,3,1,66,"bottom",9,"2023-04-01T20:48:00.349Z","2023-04-01T20:48:55.646Z",TRUE,FALSE,FALSE,TRUE,24,1,0,2,641355,"Cody Bellinger","/api/v1/people/641355","L","Left",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Milwaukee Brewers","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",83.6,76.2,11,0.9,0.4517,7.2127,25.4557,-32.4497,-12.9845,-0.1856,-0.9858,2.8993,6.2432,-121.5852,0.6917,-1.9098,50.0032,5.4434,-19.2993,28.8,9.6,24,2557,265,98.4,0,51,NA,NA,NA,TRUE,-39.2,0.1,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,621020,"Dansby Swanson","/api/v1/people/621020"
718758,"2023-04-01",0,"2023-04-01T20:48:23.813Z","2023-04-01T20:48:28.402Z",TRUE,"pitch","7154d2ac-7c42-4d7c-8c7d-db2f44ef9c6e",1,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,0,0,NA,NA,3.6747,1.6543,NA,142.75,226.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Grounded Into DP","grounded_into_double_play","Cody Bellinger grounds into a double play, second baseman Brice Turang to shortstop Willy Adames to first baseman Rowdy Tellez. Dansby Swanson to 3rd. Ian Happ out at 2nd. Cody Bellinger out at 1st.",0,3,1,66,"bottom",9,"2023-04-01T20:48:00.349Z","2023-04-01T20:48:55.646Z",TRUE,FALSE,FALSE,TRUE,24,1,0,2,641355,"Cody Bellinger","/api/v1/people/641355","L","Left",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Milwaukee Brewers","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",83.5,76.2,13,0.91,0.4539,7.3509,26.3876,-32.7841,-12.2261,-0.4145,-0.6757,0.4655,6.5583,-121.2426,-4.7523,-1.8445,50.0024,5.3513,-17.9807,26.4,10.8,24,2853,269,NA,NA,NA,NA,NA,NA,FALSE,-41.5,-1.8,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718758,"2023-04-01",3,"2023-04-01T20:47:34.505Z","2023-04-01T20:47:45.209Z",TRUE,"pitch","65e2632e-7b19-478c-87f2-7aa2778e449a",3,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,1,0,NA,NA,3.47,1.64,NA,113.28,185.32,"ground_ball","medium","9",173.44,139.19,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Single","single","Ian Happ singles on a ground ball to right fielder Brian Anderson. Dansby Swanson to 2nd.",0,3,1,65,"bottom",9,"2023-04-01T20:46:53.618Z","2023-04-01T20:47:45.209Z",TRUE,FALSE,FALSE,FALSE,33,1,1,0,664023,"Ian Happ","/api/v1/people/664023","L","Left",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Milwaukee Brewers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",83,75.4,8,0.9,0.4564,7.2135,25.6721,-31.2069,-14.4635,0.6661,0.0976,1.9801,8.7987,-120.4923,-1.4253,-1.7415,50.0032,5.3632,-21.0476,31.2,10.8,24,2592,272,77.9,11,118,NA,NA,NA,FALSE,-39.1,1.1,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,664023,"Ian Happ","/api/v1/people/664023",621020,"Dansby Swanson","/api/v1/people/621020",NA,NA,NA
