"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","details.disengagementNum","isBaseRunningPlay","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
716904,"2023-08-22",3,"2023-08-22T04:22:44.338Z","2023-08-22T04:23:08.855Z",TRUE,"pitch","465c7ff1-3f5d-4e33-8413-b6a00cd3af4f",3,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",2,0,0,NA,NA,3.6,1.69,NA,101.11,165.71,"fly_ball","medium","78",66,49.05,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Home Run","home_run","Brent Rooker homers (21) on a fly ball to left center field. Ryan Noda scores.",2,4,6,73,"bottom",9,"2023-08-22T04:21:42.792Z","2023-08-22T04:23:08.855Z",TRUE,TRUE,FALSE,FALSE,75,2,0,0,667670,"Brent Rooker","/api/v1/people/667670","R","Right",669395,"Dylan Coleman","/api/v1/people/669395","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Kansas City Royals",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89.3,82,6,2,0.4211,6.6376,27.1019,-22.474,2.0759,5.6622,0.4169,2.7063,5.6102,-130.0337,-3.586,-2.0377,50.0036,5.807,3.5575,10.8,6,24,2370,182,97.6,28,380,NA,NA,NA,FALSE,-24.6,9.7,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716904,"2023-08-22",2,"2023-08-22T04:22:23.095Z","2023-08-22T04:22:28.134Z",TRUE,"pitch","1b380f05-ee76-4e6d-a9d1-dfe5a30640d4",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,0,NA,NA,3.5344,1.6242,NA,140.03,199.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Home Run","home_run","Brent Rooker homers (21) on a fly ball to left center field. Ryan Noda scores.",2,4,6,73,"bottom",9,"2023-08-22T04:21:42.792Z","2023-08-22T04:23:08.855Z",TRUE,TRUE,FALSE,FALSE,75,2,0,0,667670,"Brent Rooker","/api/v1/people/667670","R","Right",669395,"Dylan Coleman","/api/v1/people/669395","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Kansas City Royals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94,86.9,13,0.9,0.3993,6.8067,27.4098,-17.3673,-4.1396,7.7522,-0.6041,1.448,5.148,-136.6855,-8.2349,-1.9657,50.0063,5.671,-7.9103,20.4,4.8,24,2386,213,NA,NA,NA,NA,NA,NA,FALSE,-18.1,12.7,6.5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716904,"2023-08-22",1,"2023-08-22T04:22:01.095Z","2023-08-22T04:22:05.899Z",TRUE,"pitch","59da3f28-ef01-4963-9a50-1e717ce02c9d",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.5344,1.6559,NA,83.47,141.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Home Run","home_run","Brent Rooker homers (21) on a fly ball to left center field. Ryan Noda scores.",2,4,6,73,"bottom",9,"2023-08-22T04:21:42.792Z","2023-08-22T04:23:08.855Z",TRUE,TRUE,FALSE,FALSE,75,2,0,0,667670,"Brent Rooker","/api/v1/people/667670","R","Right",669395,"Dylan Coleman","/api/v1/people/669395","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Kansas City Royals",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90,82.6,12,2,0.4179,6.773,26.978,-22.5221,1.5189,5.5455,0.8796,3.6087,6.5856,-130.9278,-1.7431,-1.8629,50.0026,5.9642,2.6434,9.6,6,24,2362,180,NA,NA,NA,NA,NA,NA,FALSE,-23.9,9.8,-4.2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716904,"2023-08-22",0,"2023-08-22T04:21:42.792Z","2023-08-22T04:21:48.058Z",FALSE,"stepoff","86afbb1d-ae83-45d4-acb6-f29726742676",NA,"Pitcher Step Off",NA,NA,NA,NA,FALSE,"PSO",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Home Run","home_run","Brent Rooker homers (21) on a fly ball to left center field. Ryan Noda scores.",2,4,6,73,"bottom",9,"2023-08-22T04:21:42.792Z","2023-08-22T04:23:08.855Z",TRUE,TRUE,FALSE,FALSE,75,2,0,0,667670,"Brent Rooker","/api/v1/people/667670","R","Right",669395,"Dylan Coleman","/api/v1/people/669395","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Kansas City Royals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716904,"2023-08-22",1,"2023-08-22T04:21:07.743Z","2023-08-22T04:21:13.577Z",TRUE,"pitch","6415a4e0-723f-4a80-bf99-373f2a6a408a",1,"Hit By Pitch",NA,NA,NA,NA,FALSE,"H","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"H","Hit By Pitch",1,0,0,NA,NA,3.36,1.62,NA,24.86,176.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Hit By Pitch","hit_by_pitch","Ryan Noda hit by pitch.",0,4,4,72,"bottom",9,"2023-08-22T04:21:05.455Z","2023-08-22T04:21:13.577Z",TRUE,FALSE,FALSE,FALSE,11,1,0,0,676116,"Ryan Noda","/api/v1/people/676116","L","Left",669395,"Dylan Coleman","/api/v1/people/669395","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Kansas City Royals",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",81.4,74.8,14,0.9,0.464,6.6559,24.433,-29.3484,11.4598,2.007,2.4172,2.3005,6.3606,-118.4318,-1.9199,-1.7998,50.0029,5.8281,16.1386,30,9.6,24,2342,69,NA,NA,NA,NA,NA,NA,FALSE,-38.2,3.4,-22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,676116,"Ryan Noda","/api/v1/people/676116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716904,"2023-08-22",0,"2023-08-22T04:20:42.293Z","2023-08-22T04:21:07.743Z",FALSE,"action",NA,NA,"Pitching Change: Dylan Coleman replaces Taylor Clarke, batting 8th, replacing pitcher Taylor Clarke.","Pitching Substitution",4,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,669395,"/api/v1/people/669395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P","803","72","atBat","Hit By Pitch","hit_by_pitch","Ryan Noda hit by pitch.",0,4,4,72,"bottom",9,"2023-08-22T04:21:05.455Z","2023-08-22T04:21:13.577Z",TRUE,FALSE,FALSE,FALSE,11,1,0,0,676116,"Ryan Noda","/api/v1/people/676116","L","Left",669395,"Dylan Coleman","/api/v1/people/669395","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Kansas City Royals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,664199,"/api/v1/people/664199",FALSE,FALSE,676116,"Ryan Noda","/api/v1/people/676116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716904,"2023-08-22",4,"2023-08-22T04:18:19.592Z","2023-08-22T04:18:24.460Z",TRUE,"pitch","152398fa-b5cc-40a7-8ab9-8ccc673637d9",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.23,1.52,NA,102.02,141.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Freddy Fermin strikes out swinging.",0,4,4,71,"top",9,"2023-08-22T04:16:58.129Z","2023-08-22T04:18:24.460Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,666023,"Freddy Fermin","/api/v1/people/666023","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Oakland Athletics","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",80.6,73.2,12,0.92,0.4691,6.9629,24.8969,-30.6921,10.1161,1.0723,0.3931,3.5896,1.0564,-117.3448,1.6475,-1.3765,50.0002,5.7653,13.9209,25.2,9.6,24,2448,55,NA,NA,NA,NA,NA,NA,TRUE,-39.7,2.8,-18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,676116,"Ryan Noda","/api/v1/people/676116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716904,"2023-08-22",3,"2023-08-22T04:18:04.398Z","2023-08-22T04:18:08.745Z",TRUE,"pitch","631417be-1b55-4dac-8645-6b8544f69580",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.1962,1.5493,NA,47.38,172.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Freddy Fermin strikes out swinging.",0,4,4,71,"top",9,"2023-08-22T04:16:58.129Z","2023-08-22T04:18:24.460Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,666023,"Freddy Fermin","/api/v1/people/666023","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Oakland Athletics","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",82,74.4,12,0.93,0.4627,6.9599,26.8166,-30.2458,9.9779,1.3686,1.8264,2.4721,4.209,-119.2165,-1.0887,-1.2683,50.0055,5.7103,14.1022,26.4,9.6,24,2501,56,NA,NA,NA,NA,NA,NA,FALSE,-38.9,2.5,-19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,676116,"Ryan Noda","/api/v1/people/676116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716904,"2023-08-22",2,"2023-08-22T04:17:45.361Z","2023-08-22T04:17:49.144Z",TRUE,"pitch","434cb903-1182-413f-b4cb-f761a5874858",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.23,1.52,NA,113.92,137.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Freddy Fermin strikes out swinging.",0,4,4,71,"top",9,"2023-08-22T04:16:58.129Z","2023-08-22T04:18:24.460Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,666023,"Freddy Fermin","/api/v1/people/666023","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Oakland Athletics","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.1,85.7,12,0.88,0.3983,7.0011,34.8667,-12.099,-5.6438,10.5186,0.0809,3.7675,4.5767,-138.2617,-3.413,-0.8742,50.0056,5.8469,-10.775,37.2,3.6,24,2249,211,NA,NA,NA,NA,NA,NA,FALSE,-12.2,18.4,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,676116,"Ryan Noda","/api/v1/people/676116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716904,"2023-08-22",1,"2023-08-22T04:17:28.249Z","2023-08-22T04:17:33.281Z",TRUE,"pitch","85615a9b-09f8-432c-acb1-bb39c22d1515",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,2,NA,NA,3.2897,1.5469,NA,76.59,158.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Freddy Fermin strikes out swinging.",0,4,4,71,"top",9,"2023-08-22T04:16:58.129Z","2023-08-22T04:18:24.460Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,666023,"Freddy Fermin","/api/v1/people/666023","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Oakland Athletics","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,86.9,12,0.92,0.3965,7.0889,30.165,-15.0906,-4.1613,8.8326,1.06,2.98,6.5961,-138.0438,-4.8705,-0.8175,50.0003,5.78,-8.0466,22.8,3.6,24,2162,214,NA,NA,NA,NA,NA,NA,FALSE,-15.1,15.2,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,676116,"Ryan Noda","/api/v1/people/676116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
