"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
746794,"2024-05-25",4,"2024-05-25T21:02:21.984Z","2024-05-25T21:02:25.198Z",TRUE,"pitch","f705a32d-41bf-4839-aa7c-a59d146bd746",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.57,1.62,NA,124.71,139.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Korey Lee strikes out swinging.",0,5,3,75,"bottom",9,"2024-05-25T20:58:08.353Z","2024-05-25T21:02:25.198Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,686676,"Korey Lee","/api/v1/people/686676","R","Right",672335,"Cionel Pérez","/api/v1/people/672335","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.1,86.7,2,0.91,0.394,5.758,35.3589,-13.4438,4.3945,9.6012,-0.2023,3.6593,-6.2731,-139.7253,-2.7931,1.5148,50.0048,5.5707,8.5753,26.4,3.6,24,2146,141,NA,NA,NA,NA,NA,NA,TRUE,-13.1,16.9,-6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746794,"2024-05-25",3,"2024-05-25T20:58:43.895Z","2024-05-25T20:58:53.904Z",TRUE,"pitch","b12f7aff-3b0e-4ba5-aa38-c566b514a171",3,"Foul",NA,NA,NA,NA,TRUE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.57,1.62,NA,107.93,152.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Korey Lee strikes out swinging.",0,5,3,75,"bottom",9,"2024-05-25T20:58:08.353Z","2024-05-25T21:02:25.198Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,686676,"Korey Lee","/api/v1/people/686676","R","Right",672335,"Cionel Pérez","/api/v1/people/672335","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.9,75.2,2,0.91,0.4602,5.8307,23.5297,-42.4948,-7.8591,-7.1985,0.2379,3.2034,-0.8176,-119.1622,3.2046,1.6064,50.002,5.6879,-11.2683,15.6,12,24,2562,319,NA,NA,NA,NA,NA,NA,FALSE,-52.8,-12,14.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"MO",145,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746794,"2024-05-25",2,"2024-05-25T20:58:28.840Z","2024-05-25T20:58:32.407Z",TRUE,"pitch","9a212f1c-4598-4409-8f63-50765a3ae01b",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.3737,1.4864,NA,99.82,182.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Korey Lee strikes out swinging.",0,5,3,75,"bottom",9,"2024-05-25T20:58:08.353Z","2024-05-25T21:02:25.198Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,686676,"Korey Lee","/api/v1/people/686676","R","Right",672335,"Cionel Pérez","/api/v1/people/672335","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83,76.9,6,0.91,0.4522,5.7297,22.7669,-39.8359,-7.1484,-5.1526,0.4506,2.1014,-0.9886,-120.9624,0.1674,1.7933,50.0023,5.5132,-10.6318,15.6,10.8,24,2540,311,NA,NA,NA,NA,NA,NA,FALSE,-48.5,-9,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746794,"2024-05-25",1,"2024-05-25T20:58:10.677Z","2024-05-25T20:58:14.274Z",TRUE,"pitch","641cb4a6-bfa3-40e8-97ba-bb1a3fd22646",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.5031,1.4647,NA,164.12,243.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Korey Lee strikes out swinging.",0,5,3,75,"bottom",9,"2024-05-25T20:58:08.353Z","2024-05-25T21:02:25.198Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,686676,"Korey Lee","/api/v1/people/686676","R","Right",672335,"Cionel Pérez","/api/v1/people/672335","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.7,76.8,13,0.89,0.4526,5.9009,26.9855,-35.1393,-6.7514,-2.0106,-1.2362,-0.1664,-4.3552,-121.6815,-5.7993,1.4622,50,5.3422,-9.98,16.8,10.8,24,2568,327,NA,NA,NA,NA,NA,NA,FALSE,-44.4,-4.9,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746794,"2024-05-25",0,"2024-05-25T20:57:57.710Z","2024-05-25T20:58:10.677Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Korey Lee replaces Martín Maldonado.","Offensive Substitution",5,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,686676,"/api/v1/people/686676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","75","atBat","Strikeout","strikeout","Korey Lee strikes out swinging.",0,5,3,75,"bottom",9,"2024-05-25T20:58:08.353Z","2024-05-25T21:02:25.198Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,686676,"Korey Lee","/api/v1/people/686676","R","Right",672335,"Cionel Pérez","/api/v1/people/672335","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,455117,"/api/v1/people/455117",NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746794,"2024-05-25",4,"2024-05-25T20:57:28.488Z","2024-05-25T20:57:36.523Z",TRUE,"pitch","aa857d17-a9b5-42e1-9251-33217e33104f",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,1,NA,NA,3.39,1.62,NA,129.25,161.06,"ground_ball","medium","6",103.47,141.36,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Danny Mendick grounds out, shortstop Gunnar Henderson to first baseman Ryan Mountcastle.",0,5,3,74,"bottom",9,"2024-05-25T20:56:35.197Z","2024-05-25T20:57:36.523Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,664901,"Danny Mendick","/api/v1/people/664901","R","Right",672335,"Cionel Pérez","/api/v1/people/672335","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96,88.6,1,0.9,0.3903,5.7444,28.678,-19.4051,3.8131,6.3893,-0.3213,2.8785,-6.223,-139.8121,-3.6866,1.4282,50.0041,5.4723,7.6226,18,4.8,24,2085,139,84.4,10,127,NA,NA,NA,TRUE,-18.4,11,-5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746794,"2024-05-25",3,"2024-05-25T20:57:10.601Z","2024-05-25T20:57:13.640Z",TRUE,"pitch","f94568b9-6740-4ab8-9e2f-9de1e2ee437e",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,1,1,NA,NA,3.39,1.62,NA,101.44,169.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Danny Mendick grounds out, shortstop Gunnar Henderson to first baseman Ryan Mountcastle.",0,5,3,74,"bottom",9,"2024-05-25T20:56:35.197Z","2024-05-25T20:57:36.523Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,664901,"Danny Mendick","/api/v1/people/664901","R","Right",672335,"Cionel Pérez","/api/v1/people/672335","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.7,88.9,6,0.9,0.3883,5.8237,30.1788,-15.9437,3.6272,8.0435,0.4083,2.5674,-4.6527,-140.7367,-4.9885,1.6071,50.0044,5.3863,7.3203,20.4,3.6,24,2261,140,NA,NA,NA,NA,NA,NA,FALSE,-15.4,13.8,-5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746794,"2024-05-25",2,"2024-05-25T20:56:55.079Z","2024-05-25T20:56:59.087Z",TRUE,"pitch","297cba81-3855-4cd2-b7c4-9fe8e624eada",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.2421,1.5274,NA,147.15,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Danny Mendick grounds out, shortstop Gunnar Henderson to first baseman Ryan Mountcastle.",0,5,3,74,"bottom",9,"2024-05-25T20:56:35.197Z","2024-05-25T20:57:36.523Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,664901,"Danny Mendick","/api/v1/people/664901","R","Right",672335,"Cionel Pérez","/api/v1/people/672335","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.7,89.2,13,0.9,0.3886,5.8547,29.4825,-22.2077,7.6647,4.9453,-0.791,1.3623,-8.5465,-140.5082,-7.0993,1.2829,50.0031,5.347,15.4473,30,6,24,2232,148,NA,NA,NA,NA,NA,NA,FALSE,-21.4,7.8,-12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746794,"2024-05-25",1,"2024-05-25T20:56:37.550Z","2024-05-25T20:56:41.448Z",TRUE,"pitch","8daedef8-632b-45d8-aca1-492c0f2ef136",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.3091,1.4647,NA,133.52,206.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Danny Mendick grounds out, shortstop Gunnar Henderson to first baseman Ryan Mountcastle.",0,5,3,74,"bottom",9,"2024-05-25T20:56:35.197Z","2024-05-25T20:57:36.523Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,664901,"Danny Mendick","/api/v1/people/664901","R","Right",672335,"Cionel Pérez","/api/v1/people/672335","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.4,88.6,13,0.9,0.3907,5.8542,30.9956,-25.2555,7.8447,3.4747,-0.4333,1.2134,-7.9143,-140.0622,-7.0337,1.4069,50.0028,5.4035,15.6198,27.6,6,24,2212,146,NA,NA,NA,NA,NA,NA,FALSE,-24.5,5,-12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746794,"2024-05-25",0,"2024-05-25T20:56:21.104Z","2024-05-25T20:56:37.550Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Danny Mendick replaces Nicky Lopez.","Offensive Substitution",5,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,664901,"/api/v1/people/664901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","801","74","atBat","Groundout","field_out","Danny Mendick grounds out, shortstop Gunnar Henderson to first baseman Ryan Mountcastle.",0,5,3,74,"bottom",9,"2024-05-25T20:56:35.197Z","2024-05-25T20:57:36.523Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,664901,"Danny Mendick","/api/v1/people/664901","R","Right",672335,"Cionel Pérez","/api/v1/people/672335","L","Left","vs_LHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox","Baltimore Orioles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,670032,"/api/v1/people/670032",NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
