"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","details.disengagementNum","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717125,"2023-08-05",1,"2023-08-05T22:56:55.348Z","2023-08-05T22:57:09.555Z",TRUE,"pitch","4017ee8d-81da-45d5-9c89-c21223072ee6",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,1,NA,NA,3.27,1.44,NA,107.71,164.82,"fly_ball","hard","8",89.35,59.62,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Double Play","double_play","Connor Wong flies into a double play, center fielder Kevin Kiermaier to second baseman Santiago Espinal. Reese McGuire out at 2nd.",0,5,4,79,"bottom",9,"2023-08-05T22:56:37.072Z","2023-08-05T22:57:09.555Z",TRUE,FALSE,FALSE,TRUE,25,1,0,3,657136,"Connor Wong","/api/v1/people/657136","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Toronto Blue Jays","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.1,79.9,2,0.9,0.4319,6.696,26.2485,-27.6188,0.7111,2.7946,0.2436,2.7394,4.0328,-126.8844,-1.503,-1.4594,50.0017,5.5426,1.1567,3.6,7.2,24,2325,124,101.5,38,358,NA,NA,NA,TRUE,-31.1,4.9,-2.2,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717125,"2023-08-05",0,"2023-08-05T22:56:37.072Z","2023-08-05T22:56:40.628Z",TRUE,"pitch","8fb62ac3-22b1-41ea-849f-746ebb4d81f8",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.2871,1.4779,NA,78.38,210.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Double Play","double_play","Connor Wong flies into a double play, center fielder Kevin Kiermaier to second baseman Santiago Espinal. Reese McGuire out at 2nd.",0,5,4,79,"bottom",9,"2023-08-05T22:56:37.072Z","2023-08-05T22:57:09.555Z",TRUE,FALSE,FALSE,TRUE,25,1,0,3,657136,"Connor Wong","/api/v1/people/657136","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.1,81.2,14,0.9,0.4272,6.8642,26.1669,-24.948,-0.1715,4.336,1.013,1.0298,5.7724,-128.1445,-6.2606,-1.2451,50.0003,5.4502,-0.2867,1.2,6,24,2279,150,NA,NA,NA,NA,NA,NA,FALSE,-28.6,6.7,-1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717125,"2023-08-05",3,"2023-08-05T22:55:59.260Z","2023-08-05T22:56:08.940Z",TRUE,"pitch","1bfd8788-f277-4701-bee6-f9c78a20f06e",3,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,2,1,NA,NA,3.36,1.59,NA,115.09,197.17,"ground_ball","medium","7",82.67,107.18,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","Luis Urias singles on a ground ball to left fielder Whit Merrifield. Adam Duvall scores. Reese McGuire to 2nd.",1,5,4,78,"bottom",9,"2023-08-05T22:55:11.675Z","2023-08-05T22:56:08.940Z",TRUE,TRUE,FALSE,FALSE,33,0,2,1,649966,"Luis Urías","/api/v1/people/649966","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","RISP",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Toronto Blue Jays",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",85.6,78.8,8,0.9,0.4397,6.8404,24.719,-28.1935,-7.182,2.5353,0.0501,1.5413,5.2375,-124.511,-4.1366,-1.1463,50.0053,5.554,-11.2918,19.2,8.4,24,1374,235,97.4,3,63,NA,NA,NA,FALSE,-33.5,3.8,11.8,NA,NA,NA,NA,NA,NA,FALSE,FALSE,649966,"Luis Urías","/api/v1/people/649966",NA,NA,NA,624512,"Reese McGuire","/api/v1/people/624512"
717125,"2023-08-05",2,"2023-08-05T22:55:31.968Z","2023-08-05T22:55:36.523Z",TRUE,"pitch","cbd36f0a-c1d1-49ba-8bc4-841ff388a8fe",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.36,1.59,NA,143.3,181.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","Luis Urias singles on a ground ball to left fielder Whit Merrifield. Adam Duvall scores. Reese McGuire to 2nd.",1,5,4,78,"bottom",9,"2023-08-05T22:55:11.675Z","2023-08-05T22:56:08.940Z",TRUE,TRUE,FALSE,FALSE,33,0,2,1,649966,"Luis Urías","/api/v1/people/649966","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","RISP",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Toronto Blue Jays",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",85.2,78.6,7,0.91,0.4407,6.8575,24.0089,-30.0034,-8.5862,1.3905,-0.6899,2.1161,3.9391,-124.1257,-2.7388,-1.1787,50.0054,5.7228,-13.4484,22.8,8.4,24,1254,231,NA,NA,NA,NA,NA,NA,FALSE,-35.4,2.2,14.6,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717125,"2023-08-05",1,"2023-08-05T22:55:14.005Z","2023-08-05T22:55:18.389Z",TRUE,"pitch","3ccc150d-fc94-46df-a126-8af424f9f42f",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.404,1.5889,NA,120.69,184.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","Luis Urias singles on a ground ball to left fielder Whit Merrifield. Adam Duvall scores. Reese McGuire to 2nd.",1,5,4,78,"bottom",9,"2023-08-05T22:55:11.675Z","2023-08-05T22:56:08.940Z",TRUE,TRUE,FALSE,FALSE,33,0,2,1,649966,"Luis Urías","/api/v1/people/649966","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","RISP",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.2,81.6,8,0.9,0.4225,6.7062,27.9297,-22.7507,-0.8275,5.542,-0.0967,2.0082,3.9723,-129.7778,-4.4999,-1.5417,50.0047,5.5042,-1.4081,1.2,6,24,2219,168,NA,NA,NA,NA,NA,NA,FALSE,-25.2,9.2,0.6,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717125,"2023-08-05",0,"2023-08-05T22:54:14.466Z","2023-08-05T22:55:14.005Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",5,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","Luis Urias singles on a ground ball to left fielder Whit Merrifield. Adam Duvall scores. Reese McGuire to 2nd.",1,5,4,78,"bottom",9,"2023-08-05T22:55:11.675Z","2023-08-05T22:56:08.940Z",TRUE,TRUE,FALSE,FALSE,33,0,2,1,649966,"Luis Urías","/api/v1/people/649966","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","RISP",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717125,"2023-08-05",9,"2023-08-05T22:53:48.827Z","2023-08-05T22:54:00.099Z",TRUE,"pitch","de0580c2-ed96-47eb-8ff8-0ee2dff11ee8",7,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,2,1,NA,NA,3.33,1.65,NA,129.93,208.85,"line_drive","medium","9",188.44,106.17,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Single","single","Reese McGuire singles on a line drive to right fielder George Springer. Adam Duvall to 3rd.",0,5,3,77,"bottom",9,"2023-08-05T22:50:56.496Z","2023-08-05T22:54:00.099Z",TRUE,FALSE,FALSE,FALSE,33,2,2,1,624512,"Reese McGuire","/api/v1/people/624512","L","Left",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_LHB","RISP",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Toronto Blue Jays",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",86.7,79.7,13,0.89,0.4343,6.7609,25.4166,-25.32,-8.4556,4.2533,-0.3393,1.1085,5.031,-126.0847,-5.6769,-1.261,50.003,5.43,-13.6265,25.2,7.2,24,1397,231,75.7,14,167,NA,NA,NA,FALSE,-29.8,6.6,14.2,NA,NA,NA,NA,NA,NA,FALSE,FALSE,624512,"Reese McGuire","/api/v1/people/624512",594807,"Adam Duvall","/api/v1/people/594807",NA,NA,NA
717125,"2023-08-05",8,"2023-08-05T22:53:27.501Z","2023-08-05T22:53:32.256Z",TRUE,"pitch","8ba5ab45-1b06-481e-adc0-4a28b08dfad8",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.4624,1.7123,NA,150.59,199.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Single","single","Reese McGuire singles on a line drive to right fielder George Springer. Adam Duvall to 3rd.",0,5,3,77,"bottom",9,"2023-08-05T22:50:56.496Z","2023-08-05T22:54:00.099Z",TRUE,FALSE,FALSE,FALSE,33,2,2,1,624512,"Reese McGuire","/api/v1/people/624512","L","Left",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_LHB","RISP",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Toronto Blue Jays",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",86.4,79.8,13,0.88,0.4347,6.853,24.3502,-25.6127,-7.5585,4.0751,-0.8811,1.4485,3.1265,-125.7724,-5.1785,-1.155,50.0018,5.5986,-12.1674,24,7.2,24,1340,230,NA,NA,NA,NA,NA,NA,FALSE,-30,6.5,13.1,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717125,"2023-08-05",6,"2023-08-05T22:52:49.552Z","2023-08-05T22:52:54.305Z",TRUE,"pitch","fc8c1638-5f71-4f8b-a5b2-ee0d9832d688",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.4332,1.683,NA,76.44,129.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Single","single","Reese McGuire singles on a line drive to right fielder George Springer. Adam Duvall to 3rd.",0,5,3,77,"bottom",9,"2023-08-05T22:50:56.496Z","2023-08-05T22:54:00.099Z",TRUE,FALSE,FALSE,FALSE,33,2,2,1,624512,"Reese McGuire","/api/v1/people/624512","L","Left",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_LHB","RISP",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.1,87.7,12,0.9,0.3918,6.6074,31.7925,-11.3271,-6.8555,10.5334,1.064,4.0429,7.0581,-139.8515,-3.3211,-0.6028,50.0017,5.9897,-13.5674,44.4,3.6,24,2312,215,NA,NA,NA,NA,NA,NA,FALSE,-11,18.6,10.9,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717125,"2023-08-05",5,"2023-08-05T22:52:24.242Z","2023-08-05T22:52:30.372Z",TRUE,"pitch","f51c3788-ca31-42b5-beca-1943a9b199a1",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.33,1.65,NA,149.84,149.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Single","single","Reese McGuire singles on a line drive to right fielder George Springer. Adam Duvall to 3rd.",0,5,3,77,"bottom",9,"2023-08-05T22:50:56.496Z","2023-08-05T22:54:00.099Z",TRUE,FALSE,FALSE,FALSE,33,2,2,1,624512,"Reese McGuire","/api/v1/people/624512","L","Left",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_LHB","RISP",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.4,85.8,11,0.9,0.3997,6.5743,32.5955,-15.5057,-7.1992,8.78,-0.8616,3.3209,2.8339,-137.4348,-4.1381,-0.9752,50.0033,5.9106,-13.6687,38.4,4.8,24,2356,218,NA,NA,NA,NA,NA,NA,FALSE,-15.7,15.1,12.4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
