"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
745115,"2024-03-31",1,"2024-03-31T20:27:02.261Z","2024-03-31T20:27:06.979Z",TRUE,"pitch","e0b4096c-d02c-4a7f-87c4-94439be61f64",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.41,1.64,NA,101.1,203.12,"line_drive","medium","4",129.06,134.69,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Lineout","field_out","Jose Siri lines out to second baseman Isiah Kiner-Falefa.",0,9,2,77,"bottom",9,"2024-03-31T20:27:00.500Z","2024-03-31T20:27:06.979Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,642350,"Jose Siri","/api/v1/people/642350","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.6,86.6,14,0.91,0.3966,6.7727,33.7494,-9.3284,-5.1662,11.8527,0.4172,1.3206,6.6777,-138.6141,-10.525,-1.3627,50.0013,5.81,-9.9566,34.8,3.6,24,2504,208,88.9,10,167,NA,NA,NA,TRUE,-11.2,19.2,7.8,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745115,"2024-03-31",0,"2024-03-31T20:26:33.678Z","2024-03-31T20:27:02.261Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",9,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"77","atBat","Lineout","field_out","Jose Siri lines out to second baseman Isiah Kiner-Falefa.",0,9,2,77,"bottom",9,"2024-03-31T20:27:00.500Z","2024-03-31T20:27:06.979Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,642350,"Jose Siri","/api/v1/people/642350","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745115,"2024-03-31",6,"2024-03-31T20:26:13.020Z","2024-03-31T20:26:18.394Z",TRUE,"pitch","9a32972a-015c-48ad-a9e3-355c5d8b0efa",7,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,2,NA,NA,3.2895,1.6959,NA,65.02,173.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Walk","walk","Amed Rosario walks.",0,9,2,76,"bottom",9,"2024-03-31T20:24:31.420Z","2024-03-31T20:26:18.394Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,642708,"Amed Rosario","/api/v1/people/642708","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Toronto Blue Jays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,86.5,14,0.9,0.397,6.7796,33.2941,-10.5386,-4.3453,11.2438,1.3638,2.421,8.3663,-138.4125,-7.6161,-1.1449,50.0009,5.9285,-8.3604,27.6,2.4,24,2429,203,NA,NA,NA,NA,NA,NA,FALSE,-11.6,18.7,6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,642708,"Amed Rosario","/api/v1/people/642708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745115,"2024-03-31",5,"2024-03-31T20:25:53.575Z","2024-03-31T20:25:58.290Z",TRUE,"pitch","aecd69e2-725e-4599-ab38-00e713f998b6",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.36,1.61,NA,102.32,177.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Walk","walk","Amed Rosario walks.",0,9,2,76,"bottom",9,"2024-03-31T20:24:31.420Z","2024-03-31T20:26:18.394Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,642708,"Amed Rosario","/api/v1/people/642708","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.7,86.1,6,0.91,0.3968,6.7552,36.0111,-8.211,-6.3699,12.4723,0.3852,2.2817,6.6139,-138.922,-8.2839,-1.2183,50.0061,5.8774,-12.243,45.6,3.6,24,2586,210,NA,NA,NA,NA,NA,NA,FALSE,-9.7,20.6,9.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,642708,"Amed Rosario","/api/v1/people/642708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745115,"2024-03-31",4,"2024-03-31T20:25:30.028Z","2024-03-31T20:25:34.558Z",TRUE,"pitch","fcd4dfdd-331b-4fb6-b68c-190e88a6a6b5",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.36,1.61,NA,99.8,186.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Walk","walk","Amed Rosario walks.",0,9,2,76,"bottom",9,"2024-03-31T20:24:31.420Z","2024-03-31T20:26:18.394Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,642708,"Amed Rosario","/api/v1/people/642708","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.4,80.1,9,2,0.4315,6.7027,27.122,-29.4677,1.7379,1.6563,0.4512,1.9539,3.911,-127.1473,-4.0957,-1.3352,50.0012,5.9354,2.8314,7.2,7.2,24,2166,165,NA,NA,NA,NA,NA,NA,FALSE,-33.7,2.3,-4.1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,642708,"Amed Rosario","/api/v1/people/642708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745115,"2024-03-31",3,"2024-03-31T20:25:16.253Z","2024-03-31T20:25:21.089Z",TRUE,"pitch","c1414231-203d-4710-a9c7-b8f929123b39",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,1,2,NA,NA,3.2614,1.5243,NA,137.84,151.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Walk","walk","Amed Rosario walks.",0,9,2,76,"bottom",9,"2024-03-31T20:24:31.420Z","2024-03-31T20:26:18.394Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,642708,"Amed Rosario","/api/v1/people/642708","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.1,85.8,1,0.91,0.3981,6.491,34.571,-9.2957,-5.6719,11.9698,-0.5467,3.2173,4.6132,-138.2768,-5.7283,-1.5106,50.0047,5.9579,-10.8423,42,3.6,24,2574,207,NA,NA,NA,NA,NA,NA,FALSE,-10.2,20.4,9.1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,642708,"Amed Rosario","/api/v1/people/642708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745115,"2024-03-31",2,"2024-03-31T20:25:00.552Z","2024-03-31T20:25:06.794Z",TRUE,"pitch","56f7872b-e7af-46b3-bbc6-c57b35926d12",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,2,NA,NA,3.315,1.6857,NA,97.11,226.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Walk","walk","Amed Rosario walks.",0,9,2,76,"bottom",9,"2024-03-31T20:24:31.420Z","2024-03-31T20:26:18.394Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,642708,"Amed Rosario","/api/v1/people/642708","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.2,82.1,14,2,0.4255,6.6822,24.348,-27.8558,-0.0503,2.5669,0.5218,0.4698,5.0205,-128.3094,-8.0451,-1.4465,50.0037,5.7892,-0.0854,1.2,7.2,24,2223,190,NA,NA,NA,NA,NA,NA,FALSE,-31.8,3.2,-1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,642708,"Amed Rosario","/api/v1/people/642708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745115,"2024-03-31",1,"2024-03-31T20:24:45.255Z","2024-03-31T20:24:51.920Z",TRUE,"pitch","340e450b-631f-4caa-99e1-9eb6a8460b1e",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.288,1.6943,NA,81.33,135.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Walk","walk","Amed Rosario walks.",0,9,2,76,"bottom",9,"2024-03-31T20:24:31.420Z","2024-03-31T20:26:18.394Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,642708,"Amed Rosario","/api/v1/people/642708","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.3,86.6,12,0.91,0.3962,6.5075,32.284,-10.9291,-5.7677,10.9909,0.9358,3.821,7.9948,-138.4841,-4.2785,-1.2456,50.0056,6.1232,-11.1523,38.4,3.6,24,2518,201,NA,NA,NA,NA,NA,NA,FALSE,-11.2,19.1,8.6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,642708,"Amed Rosario","/api/v1/people/642708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745115,"2024-03-31",0,"2024-03-31T20:24:31.511Z","2024-03-31T20:24:37.797Z",TRUE,"pitch","091f7112-9eed-4a27-9be1-56d5c8a7dc22",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3788,1.6777,NA,82.53,222.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Walk","walk","Amed Rosario walks.",0,9,2,76,"bottom",9,"2024-03-31T20:24:31.420Z","2024-03-31T20:26:18.394Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,642708,"Amed Rosario","/api/v1/people/642708","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.1,80.2,14,2,0.4305,6.7285,30.1489,-26.7305,-0.7201,3.3331,0.9043,0.5994,6.0325,-127.9627,-7.9002,-1.4057,50.0035,5.8678,-1.177,0,7.2,24,2282,172,NA,NA,NA,NA,NA,NA,FALSE,-31.6,4.2,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,642708,"Amed Rosario","/api/v1/people/642708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745115,"2024-03-31",0,"2024-03-31T20:23:48.364Z","2024-03-31T20:24:14.236Z",TRUE,"pitch","8e631f4d-0254-48ec-9f1a-fc5cacee273f",1,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,0,2,NA,NA,3.25,1.57,NA,124.21,180.58,"fly_ball","medium","7",30.87,90.12,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Home Run","home_run","Isaac Paredes homers (1) on a fly ball to left field.",1,9,2,75,"bottom",9,"2024-03-31T20:23:44.021Z","2024-03-31T20:24:14.236Z",TRUE,TRUE,FALSE,FALSE,38,0,0,2,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Toronto Blue Jays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.8,86.3,5,0.91,0.396,6.6887,35.3284,-6.9285,-6.493,13.0783,-0.1892,2.1557,5.4974,-139.0541,-9.0069,-1.3623,50.0011,5.9214,-12.533,50.4,3.6,24,2463,211,95.7,28,356,NA,NA,NA,FALSE,-8.6,21.6,10.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,642708,"Amed Rosario","/api/v1/people/642708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
