"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
745591,"2024-04-17",7,"2024-04-18T00:56:31.443Z","2024-04-18T00:56:41.194Z",TRUE,"pitch","fb537b7a-598b-481d-b6a3-25ef90350bf7",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,2,NA,NA,3.5,1.69,NA,125.36,168.94,"popup","medium","4",158,140.5,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Pop Out","field_out","Sean Bouchard pops out to second baseman Bryson Stott.",0,6,7,79,"top",9,"2024-04-18T00:52:30.792Z","2024-04-18T00:56:41.194Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,656248,"Sean Bouchard","/api/v1/people/656248","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","Philadelphia Phillies",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.6,82.3,5,0.86,0.4178,6.8969,31.7905,-29.6811,1.6696,1.4382,-0.2194,2.5866,-3.8019,-131.8294,-4.7696,1.0339,50.0049,6.6481,2.8973,3.6,7.2,24,2208,185,89.9,61,168,NA,NA,NA,TRUE,-32,1.7,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745591,"2024-04-17",6,"2024-04-18T00:55:59.194Z","2024-04-18T00:56:04.037Z",TRUE,"pitch","32ecdc27-240f-4dae-a378-ffa08c9fe7bb",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.5,1.69,NA,157.39,181.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Pop Out","field_out","Sean Bouchard pops out to second baseman Bryson Stott.",0,6,7,79,"top",9,"2024-04-18T00:52:30.792Z","2024-04-18T00:56:41.194Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,656248,"Sean Bouchard","/api/v1/people/656248","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","Philadelphia Phillies",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.6,83.4,13,0.88,0.4154,6.8121,27.6602,-26.803,1.8075,3.0473,-1.0596,2.1311,-5.3636,-131.7904,-6.3805,0.7659,50.0022,6.5597,3.1846,4.8,6,24,2228,173,NA,NA,NA,NA,NA,NA,FALSE,-28.9,4.3,-2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745591,"2024-04-17",4,"2024-04-18T00:53:37.267Z","2024-04-18T00:53:44.307Z",TRUE,"pitch","c17f03ce-a67f-4926-92f7-a04626468bf6",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,2,NA,NA,3.5152,1.7489,NA,143.96,171.65,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"79","atBat","Pop Out","field_out","Sean Bouchard pops out to second baseman Bryson Stott.",0,6,7,79,"top",9,"2024-04-18T00:52:30.792Z","2024-04-18T00:56:41.194Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,656248,"Sean Bouchard","/api/v1/people/656248","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","Philadelphia Phillies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.6,88.2,4,0.9,0.3907,6.9063,32.382,-12.324,8.7361,9.9776,-0.7074,2.4862,-6.8018,-140.3029,-8.8576,0.616,50.001,6.4915,17.3775,48,4.8,24,2186,158,NA,NA,NA,NA,NA,NA,FALSE,-13.1,16.3,-14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745591,"2024-04-17",3,"2024-04-18T00:53:15.645Z","2024-04-18T00:53:20.589Z",TRUE,"pitch","5f1fed47-bc9a-47ea-a754-0b7de6cf9723",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.6125,1.7,NA,105.74,142.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Pop Out","field_out","Sean Bouchard pops out to second baseman Bryson Stott.",0,6,7,79,"top",9,"2024-04-18T00:52:30.792Z","2024-04-18T00:56:41.194Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,656248,"Sean Bouchard","/api/v1/people/656248","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","Philadelphia Phillies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.4,88.1,3,0.91,0.3886,6.7879,35.9124,-13.3428,9.736,9.3855,0.2953,3.583,-4.9106,-141.603,-5.9381,0.7982,50.0056,6.5801,19.5401,51.6,4.8,24,2138,155,NA,NA,NA,NA,NA,NA,FALSE,-13.3,15.7,-16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745591,"2024-04-17",2,"2024-04-18T00:52:54.872Z","2024-04-18T00:52:59.430Z",TRUE,"pitch","1b377dc8-9bae-4de5-83f1-85acf30d2635",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.6124,1.6509,NA,115.94,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Pop Out","field_out","Sean Bouchard pops out to second baseman Bryson Stott.",0,6,7,79,"top",9,"2024-04-18T00:52:30.792Z","2024-04-18T00:56:41.194Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,656248,"Sean Bouchard","/api/v1/people/656248","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","Philadelphia Phillies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.6,88.6,5,0.91,0.3873,6.9382,34.4259,-8.088,9.1988,11.9124,0.0279,2.8436,-5.5808,-141.7656,-8.7778,0.8338,50.0011,6.5079,18.5968,60,3.6,24,2158,156,NA,NA,NA,NA,NA,NA,FALSE,-9.1,19.8,-15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745591,"2024-04-17",1,"2024-04-18T00:52:32.812Z","2024-04-18T00:52:37.722Z",TRUE,"pitch","47f1dece-1e34-48bf-a62c-4b78d559c7d8",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.5001,1.6509,NA,154.48,209.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Pop Out","field_out","Sean Bouchard pops out to second baseman Bryson Stott.",0,6,7,79,"top",9,"2024-04-18T00:52:30.792Z","2024-04-18T00:56:41.194Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,656248,"Sean Bouchard","/api/v1/people/656248","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","Philadelphia Phillies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98,89.4,13,0.89,0.3863,7.0085,33.5792,-11.4764,7.528,10.1735,-0.9832,1.0904,-7.9096,-141.969,-12.6645,0.8657,50.0018,6.3485,15.3121,43.2,3.6,24,2187,154,NA,NA,NA,NA,NA,NA,FALSE,-13,15.8,-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745591,"2024-04-17",0,"2024-04-18T00:52:00.244Z","2024-04-18T00:52:32.812Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-runner Nolan Jones replaces Elehuris Montero.","Offensive Substitution",6,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,666134,"/api/v1/people/666134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"12","Pinch Runner","Runner","PR","501","79","atBat","Pop Out","field_out","Sean Bouchard pops out to second baseman Bryson Stott.",0,6,7,79,"top",9,"2024-04-18T00:52:30.792Z","2024-04-18T00:56:41.194Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,656248,"Sean Bouchard","/api/v1/people/656248","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,660707,"/api/v1/people/660707",1,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745591,"2024-04-17",5,"2024-04-18T00:53:46.135Z","2024-04-18T00:55:59.194Z",FALSE,"action",NA,NA,"Phillies challenged (tag play), call on the field was upheld: Nolan Jones steals (2) 2nd base.","Stolen Base 2B",6,7,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,2,2,2,666134,"/api/v1/people/666134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c17f03ce-a67f-4926-92f7-a04626468bf6","stolen_base_2b",NA,NA,NA,NA,NA,NA,"79","atBat","Pop Out","field_out","Sean Bouchard pops out to second baseman Bryson Stott.",0,6,7,79,"top",9,"2024-04-18T00:52:30.792Z","2024-04-18T00:56:41.194Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,656248,"Sean Bouchard","/api/v1/people/656248","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"MA",143,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745591,"2024-04-17",4,"2024-04-18T00:51:27.957Z","2024-04-18T00:51:39.706Z",TRUE,"pitch","2bb0ad8b-56c6-48ad-bd4a-49bf792c81af",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,2,2,NA,NA,3.26,1.63,NA,131.32,170.53,"ground_ball","medium","7",80.28,103.34,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","Elehuris Montero singles on a ground ball to left fielder Brandon Marsh.",0,6,7,78,"top",9,"2024-04-18T00:50:00.590Z","2024-04-18T00:51:39.706Z",TRUE,FALSE,FALSE,FALSE,33,0,2,2,660707,"Elehuris Montero","/api/v1/people/660707","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","Philadelphia Phillies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.8,89.8,4,0.89,0.3846,7.0084,31.1076,-12.1633,7.1303,9.7318,-0.3756,2.5278,-6.513,-142.1548,-8.7158,1.0133,50.0057,6.3966,14.6664,43.2,3.6,24,2198,147,91.4,-1,39,NA,NA,NA,FALSE,-12.5,16.1,-11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,660707,"Elehuris Montero","/api/v1/people/660707",NA,NA,NA,NA,NA,NA
745591,"2024-04-17",3,"2024-04-18T00:51:07.725Z","2024-04-18T00:51:11.144Z",TRUE,"pitch","69267956-c06a-40f7-b478-eebd6f68e6ab",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.26,1.63,NA,94.68,148.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","Elehuris Montero singles on a ground ball to left fielder Brandon Marsh.",0,6,7,78,"top",9,"2024-04-18T00:50:00.590Z","2024-04-18T00:51:39.706Z",TRUE,FALSE,FALSE,FALSE,33,0,2,2,660707,"Elehuris Montero","/api/v1/people/660707","R","Right",621237,"José Alvarado","/api/v1/people/621237","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","Philadelphia Phillies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.3,88.5,3,0.9,0.3879,6.8591,33.9414,-12.1547,7.9258,9.9283,0.5855,3.3467,-4.1856,-141.4942,-6.4237,1.0586,50.0028,6.4341,15.9825,48,3.6,24,2111,150,NA,NA,NA,NA,NA,NA,FALSE,-12.2,16.8,-13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,660707,"Elehuris Montero","/api/v1/people/660707",NA,NA,NA,NA,NA,NA
