"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
718196,"2023-05-13",4,"2023-05-13T22:34:13.265Z","2023-05-13T22:34:21.011Z",TRUE,"pitch","bb197166-fc97-4bcf-aebc-587cf08d655b",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.34,1.64,NA,109.98,175.12,"ground_ball","medium","5",112.03,160.32,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Reese McGuire grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",0,4,3,70,"bottom",9,"2023-05-13T22:33:49.251Z","2023-05-13T22:34:21.011Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,624512,"Reese McGuire","/api/v1/people/624512","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.7,87,5,0.9,0.3973,6.0724,29.049,-10.5886,-5.1418,11.1984,0.1841,2.3579,6.8054,-137.6032,-8.962,-1.6471,50.0054,6.3645,-9.9136,34.8,3.6,24,2404,207,94.3,-15,8,NA,NA,NA,TRUE,-11.8,18.7,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718196,"2023-05-13",3,"2023-05-13T22:33:51.629Z","2023-05-13T22:33:56.356Z",TRUE,"pitch","8bfe783d-acff-46ae-beb9-99b1629e7d65",1,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,1,2,NA,NA,3.34,1.64,NA,112.68,168.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Reese McGuire grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",0,4,3,70,"bottom",9,"2023-05-13T22:33:49.251Z","2023-05-13T22:34:21.011Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,624512,"Reese McGuire","/api/v1/people/624512","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.4,86.4,5,0.89,0.4014,5.9658,26.1039,-11.1666,-5.0157,11.1042,0.1134,2.5867,6.3609,-135.7875,-8.3096,-1.5937,50.0014,6.4384,-9.488,33.6,3.6,24,2360,207,NA,NA,NA,NA,NA,NA,FALSE,-12.4,18.8,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718196,"2023-05-13",0,"2023-05-13T22:32:32.916Z","2023-05-13T22:32:43.847Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-runner Enmanuel Valdez replaces Triston Casas.","Offensive Substitution",4,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,665839,"/api/v1/people/665839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"12","Pinch Runner","Runner","PR","802","70","atBat","Groundout","field_out","Reese McGuire grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",0,4,3,70,"bottom",9,"2023-05-13T22:33:49.251Z","2023-05-13T22:34:21.011Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,624512,"Reese McGuire","/api/v1/people/624512","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,671213,"/api/v1/people/671213",1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718196,"2023-05-13",1,"2023-05-13T22:32:43.847Z","2023-05-13T22:32:50.427Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Reese McGuire replaces Pablo Reyes.","Offensive Substitution",4,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,624512,"/api/v1/people/624512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","70","atBat","Groundout","field_out","Reese McGuire grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",0,4,3,70,"bottom",9,"2023-05-13T22:33:49.251Z","2023-05-13T22:34:21.011Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,624512,"Reese McGuire","/api/v1/people/624512","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,622569,"/api/v1/people/622569",NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718196,"2023-05-13",2,"2023-05-13T22:32:50.427Z","2023-05-13T22:33:51.629Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",4,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Reese McGuire grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",0,4,3,70,"bottom",9,"2023-05-13T22:33:49.251Z","2023-05-13T22:34:21.011Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,624512,"Reese McGuire","/api/v1/people/624512","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718196,"2023-05-13",3,"2023-05-13T22:31:56.236Z","2023-05-13T22:32:06.442Z",TRUE,"pitch","27282e3f-caf8-47b6-8a2c-e6259501b9f2",3,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,1,2,NA,NA,3.52,1.68,NA,145.44,151.46,"line_drive","medium","8",143.52,78.01,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Single","single","Triston Casas singles on a line drive to center fielder Lars Nootbaar.",0,4,3,69,"bottom",9,"2023-05-13T22:31:15.667Z","2023-05-13T22:32:06.442Z",TRUE,FALSE,FALSE,FALSE,33,1,1,2,671213,"Triston Casas","/api/v1/people/671213","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.1,85.3,1,0.89,0.4041,5.9458,29.0367,-12.8391,-6.4527,10.385,-0.7461,3.234,4.5232,-135.4507,-6.3445,-1.5976,50.0035,6.501,-12.0143,38.4,3.6,24,2263,209,99.2,13,238,NA,NA,NA,FALSE,-13.8,17.6,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,671213,"Triston Casas","/api/v1/people/671213"
718196,"2023-05-13",2,"2023-05-13T22:31:35.344Z","2023-05-13T22:31:39.183Z",TRUE,"pitch","a29bfe8c-8602-48a3-80db-1079ffbfa4e9",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.52,1.68,NA,139.5,182.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Single","single","Triston Casas singles on a line drive to center fielder Lars Nootbaar.",0,4,3,69,"bottom",9,"2023-05-13T22:31:15.667Z","2023-05-13T22:32:06.442Z",TRUE,FALSE,FALSE,FALSE,33,1,1,2,671213,"Triston Casas","/api/v1/people/671213","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.1,86.5,7,0.9,0.3997,5.851,28.948,-13.5188,-6.5254,9.7999,-0.5904,2.0725,5.2059,-136.8,-8.9293,-1.6662,50.0028,6.2963,-12.4218,36,3.6,24,2311,207,NA,NA,NA,NA,NA,NA,FALSE,-14.8,16.1,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718196,"2023-05-13",1,"2023-05-13T22:31:17.996Z","2023-05-13T22:31:22.444Z",TRUE,"pitch","d773416f-63b4-4957-9882-67878ade3d41",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.46,1.6797,NA,94.08,233.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Single","single","Triston Casas singles on a line drive to center fielder Lars Nootbaar.",0,4,3,69,"bottom",9,"2023-05-13T22:31:15.667Z","2023-05-13T22:32:06.442Z",TRUE,FALSE,FALSE,FALSE,33,1,1,2,671213,"Triston Casas","/api/v1/people/671213","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85,78.7,14,0.9,0.4435,6.1358,24.2763,-28.0614,-1.948,2.6642,0.6013,0.1994,6.1903,-123.4423,-9.0727,-1.6845,50.0045,6.2803,-3.0105,3.6,8.4,24,2522,293,NA,NA,NA,NA,NA,NA,FALSE,-35,2.9,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718196,"2023-05-13",0,"2023-05-13T22:30:49.806Z","2023-05-13T22:31:17.996Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Triston Casas replaces Connor Wong.","Offensive Substitution",4,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,671213,"/api/v1/people/671213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","801","69","atBat","Single","single","Triston Casas singles on a line drive to center fielder Lars Nootbaar.",0,4,3,69,"bottom",9,"2023-05-13T22:31:15.667Z","2023-05-13T22:32:06.442Z",TRUE,FALSE,FALSE,FALSE,33,1,1,2,671213,"Triston Casas","/api/v1/people/671213","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,657136,"/api/v1/people/657136",NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718196,"2023-05-13",2,"2023-05-13T22:30:18.769Z","2023-05-13T22:30:26.274Z",TRUE,"pitch","14684474-aff2-42b2-8510-33928901ccbe",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,1,NA,NA,3.41,1.64,NA,132.44,183.68,"line_drive","medium","7",68.61,116.97,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Lineout","field_out","Jarren Duran lines out to left fielder Alec Burleson.",0,4,3,68,"bottom",9,"2023-05-13T22:29:43.232Z","2023-05-13T22:30:26.274Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,680776,"Jarren Duran","/api/v1/people/680776","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.8,84.5,7,0.89,0.4074,5.7394,30.8835,-13.5534,-6.7039,10.1872,-0.4051,2.0407,5.3569,-134.7412,-8.952,-1.5538,50.002,6.3766,-12.2536,36,4.8,24,2289,207,94,14,251,NA,NA,NA,TRUE,-15.5,16.6,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
