"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","isBaseRunningPlay","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716380,"2023-09-30",2,"2023-09-30T20:45:40.984Z","2023-09-30T20:45:48.094Z",TRUE,"pitch","44466c0d-dfc0-479e-861d-bee08c9e6d82",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.28,1.46,NA,106.73,193.41,"line_drive","medium","9",165.73,77.42,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Lineout","field_out","Tyler Freeman lines out to right fielder Kerry Carpenter.",0,0,8,78,"top",9,"2023-09-30T20:45:22.755Z","2023-09-30T20:45:48.094Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,671289,"Tyler Freeman","/api/v1/people/671289","R","Right",669724,"Brenan Hanifee","/api/v1/people/669724","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.8,86.9,8,0.8,0.3977,6.3213,29.4729,-15.5683,-8.4977,8.6378,0.2694,1.6802,10.2914,-137.5228,-7.4587,-2.4109,50.0029,5.4764,-16.3363,39.6,4.8,24,2055,229,95.2,19,319,NA,NA,NA,TRUE,-16.3,14.3,13.3,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716380,"2023-09-30",1,"2023-09-30T20:45:25.143Z","2023-09-30T20:45:29.537Z",TRUE,"pitch","e78de9f0-9254-469e-8846-8dc6a05846e2",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.2537,1.4855,NA,108.05,181.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Lineout","field_out","Tyler Freeman lines out to right fielder Kerry Carpenter.",0,0,8,78,"top",9,"2023-09-30T20:45:22.755Z","2023-09-30T20:45:48.094Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,671289,"Tyler Freeman","/api/v1/people/671289","R","Right",669724,"Brenan Hanifee","/api/v1/people/669724","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.7,86.8,5,0.91,0.398,6.3091,29.114,-17.0702,-10.1563,7.8708,0.2348,2.1187,10.8991,-137.3608,-6.0272,-2.4562,50.0068,5.4935,-19.502,43.2,4.8,24,2011,229,NA,NA,NA,NA,NA,NA,FALSE,-17.4,13.2,16.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716380,"2023-09-30",0,"2023-09-30T20:44:33.465Z","2023-09-30T20:45:25.143Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",0,8,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"78","atBat","Lineout","field_out","Tyler Freeman lines out to right fielder Kerry Carpenter.",0,0,8,78,"top",9,"2023-09-30T20:45:22.755Z","2023-09-30T20:45:48.094Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,671289,"Tyler Freeman","/api/v1/people/671289","R","Right",669724,"Brenan Hanifee","/api/v1/people/669724","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716380,"2023-09-30",4,"2023-09-30T20:44:04.055Z","2023-09-30T20:44:11.670Z",TRUE,"pitch","3c7388f9-281f-451e-bf52-af433d61efe8",5,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",3,1,2,NA,NA,3.35,1.55,NA,124.15,159.77,"ground_ball","medium","3",160.91,166.67,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Single","single","Jose Ramirez singles on a ground ball to first baseman Spencer Torkelson. Oscar Gonzalez to 3rd. Myles Straw to 2nd.",0,0,8,77,"top",9,"2023-09-30T20:42:20.551Z","2023-09-30T20:44:11.670Z",TRUE,FALSE,FALSE,FALSE,33,3,1,2,608070,"José Ramírez","/api/v1/people/608070","L","Left",669724,"Brenan Hanifee","/api/v1/people/669724","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.9,83.8,2,0.9,0.413,6.0953,26.5758,-28.0786,1.3493,2.2939,-0.1876,2.9264,5.8424,-132.2942,-1.7071,-2.5941,50.0008,5.6259,2.4052,7.2,6,24,2120,194,95.8,4,98,NA,NA,NA,FALSE,-28.9,4,-3.6,NA,NA,NA,NA,NA,NA,FALSE,TRUE,664702,"Myles Straw","/api/v1/people/664702",608070,"José Ramírez","/api/v1/people/608070",660757,"Oscar Gonzalez","/api/v1/people/660757"
716380,"2023-09-30",3,"2023-09-30T20:43:43.813Z","2023-09-30T20:43:48.038Z",TRUE,"pitch","c8c43303-4e45-4b56-b8ac-3c0c64dc1a29",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,1,2,NA,NA,3.2461,1.4981,NA,112.13,191.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Single","single","Jose Ramirez singles on a ground ball to first baseman Spencer Torkelson. Oscar Gonzalez to 3rd. Myles Straw to 2nd.",0,0,8,77,"top",9,"2023-09-30T20:42:20.551Z","2023-09-30T20:44:11.670Z",TRUE,FALSE,FALSE,FALSE,33,3,1,2,608070,"José Ramírez","/api/v1/people/608070","L","Left",669724,"Brenan Hanifee","/api/v1/people/669724","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.3,87,8,0.91,0.3986,6.3018,27.6564,-23.386,-9.3215,4.5822,0.1278,1.769,10.0702,-136.9359,-5.8292,-2.3704,50.0004,5.5051,-17.8627,32.4,6,24,1827,237,NA,NA,NA,NA,NA,NA,FALSE,-23.4,7.3,15,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716380,"2023-09-30",2,"2023-09-30T20:43:24.781Z","2023-09-30T20:43:32.066Z",TRUE,"pitch","e1356455-e279-42a0-8ea4-644baa9e797b",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,2,NA,NA,3.3496,1.4723,NA,136.58,139.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Single","single","Jose Ramirez singles on a ground ball to first baseman Spencer Torkelson. Oscar Gonzalez to 3rd. Myles Straw to 2nd.",0,0,8,77,"top",9,"2023-09-30T20:42:20.551Z","2023-09-30T20:44:11.670Z",TRUE,FALSE,FALSE,FALSE,33,3,1,2,608070,"José Ramírez","/api/v1/people/608070","L","Left",669724,"Brenan Hanifee","/api/v1/people/669724","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.9,88.3,11,0.92,0.3915,6.4009,28.8781,-26.6291,-8.7504,2.7883,-0.5136,3.6843,8.5236,-139.4497,-0.7453,-2.4605,50.0001,5.6987,-17.3774,30,6,24,1921,229,NA,NA,NA,NA,NA,NA,FALSE,-24.5,5.2,14.3,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716380,"2023-09-30",1,"2023-09-30T20:43:05.495Z","2023-09-30T20:43:10.021Z",TRUE,"pitch","9d086439-1cc8-4ef9-aca6-3cac00a6e039",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.2202,1.4465,NA,175.55,162.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Single","single","Jose Ramirez singles on a ground ball to first baseman Spencer Torkelson. Oscar Gonzalez to 3rd. Myles Straw to 2nd.",0,0,8,77,"top",9,"2023-09-30T20:42:20.551Z","2023-09-30T20:44:11.670Z",TRUE,FALSE,FALSE,FALSE,33,3,1,2,608070,"José Ramírez","/api/v1/people/608070","L","Left",669724,"Brenan Hanifee","/api/v1/people/669724","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.4,87.3,11,0.91,0.3967,6.2333,27.6945,-26.8872,-7.4823,2.7311,-1.536,2.8303,5.2785,-137.564,-2.7467,-2.4981,50.0014,5.6453,-14.4809,26.4,6,24,1826,232,NA,NA,NA,NA,NA,NA,FALSE,-25.8,4.6,12.6,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716380,"2023-09-30",0,"2023-09-30T20:42:47.206Z","2023-09-30T20:42:51.859Z",TRUE,"pitch","550ec174-aff4-43d9-94b7-de9f6cfd9feb",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.5822,1.601,NA,138.61,148.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Single","single","Jose Ramirez singles on a ground ball to first baseman Spencer Torkelson. Oscar Gonzalez to 3rd. Myles Straw to 2nd.",0,0,8,77,"top",9,"2023-09-30T20:42:20.551Z","2023-09-30T20:44:11.670Z",TRUE,FALSE,FALSE,FALSE,33,3,1,2,608070,"José Ramírez","/api/v1/people/608070","L","Left",669724,"Brenan Hanifee","/api/v1/people/669724","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.9,87.9,1,0.92,0.3942,6.1994,26.5825,-25.1899,-8.8526,3.5621,-0.567,3.3425,8.2397,-138.1715,-1.8251,-2.4167,50.0045,5.68,-17.3682,32.4,6,24,1879,238,NA,NA,NA,NA,NA,NA,FALSE,-23.6,6.4,14.6,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716380,"2023-09-30",1,"2023-09-30T20:42:07.042Z","2023-09-30T20:42:18.114Z",TRUE,"pitch","a1a60112-7a39-4f22-a79e-82c311a26167",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,1,NA,NA,3.26,1.48,NA,127.78,189.23,"line_drive","medium","7",60.33,102.09,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Lineout","field_out","Steven Kwan lines out to left fielder Matt Vierling.",0,0,8,76,"top",9,"2023-09-30T20:41:26.499Z","2023-09-30T20:42:18.114Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,680757,"Steven Kwan","/api/v1/people/680757","L","Left",669724,"Brenan Hanifee","/api/v1/people/669724","R","Right","vs_RHP","vs_LHB","RISP",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.8,88.2,7,0.88,0.3945,6.1487,25.7735,-24.8234,-7.9148,3.7537,-0.2829,1.8353,8.8181,-137.9344,-5.5204,-2.4673,50.0062,5.4989,-15.5148,28.8,6,24,1995,237,91.9,21,291,NA,NA,NA,TRUE,-24.1,6,12.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,660757,"Oscar Gonzalez","/api/v1/people/660757",664702,"Myles Straw","/api/v1/people/664702",NA,NA,NA
716380,"2023-09-30",0,"2023-09-30T20:41:49.860Z","2023-09-30T20:41:54.154Z",TRUE,"pitch","da59b75b-2976-45c2-aa7c-f3732990e021",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.2337,1.4023,NA,105.71,160.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Lineout","field_out","Steven Kwan lines out to left fielder Matt Vierling.",0,0,8,76,"top",9,"2023-09-30T20:41:26.499Z","2023-09-30T20:42:18.114Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,680757,"Steven Kwan","/api/v1/people/680757","L","Left",669724,"Brenan Hanifee","/api/v1/people/669724","R","Right","vs_RHP","vs_LHB","RISP",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.4,83.8,3,0.9,0.4143,6.0848,25.0875,-26.1746,0.0787,3.3832,0.2962,2.909,7.1138,-131.6585,-1.8384,-2.4389,50.0063,5.5329,0.1382,3.6,6,24,2066,222,NA,NA,NA,NA,NA,NA,FALSE,-27.1,6,-1.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
