"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
717687,"2023-06-20",5,"2023-06-21T01:52:12.798Z","2023-06-21T01:52:17.258Z",TRUE,"pitch","5f243ff9-da68-436c-ba2d-6461d1e0f5ca",5,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",2,3,2,NA,NA,3.25,1.56,NA,87.16,228.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Strikeout","strikeout","Isaac Paredes strikes out swinging.",0,8,6,82,"bottom",9,"2023-06-21T01:50:07.463Z","2023-06-21T01:52:17.258Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",89.5,82.8,14,0.9,0.4212,6.6195,26.6136,-27.3999,-6.5343,2.7861,0.7828,0.3683,4.2476,-129.9309,-10.4489,-0.0222,50.0024,6.5157,-11.1988,19.2,7.2,24,912,218,NA,NA,NA,NA,NA,NA,TRUE,-31.3,3,10.9,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717687,"2023-06-20",3,"2023-06-21T01:51:40.952Z","2023-06-21T01:51:44.108Z",TRUE,"pitch","76fbc256-3f24-41fb-bb0f-5864c1c40674",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,2,NA,NA,3.1589,1.4465,NA,81.42,191.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Strikeout","strikeout","Isaac Paredes strikes out swinging.",0,8,6,82,"bottom",9,"2023-06-21T01:50:07.463Z","2023-06-21T01:52:17.258Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",100.2,91.2,14,2,0.3775,6.5779,35.5877,-5.559,-6.4938,12.4974,0.9335,1.7551,4.3438,-145.3598,-12.3605,0.2599,50.0067,6.4103,-13.8334,56.4,2.4,24,2339,191,NA,NA,NA,NA,NA,NA,FALSE,-7.3,20.2,10.8,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717687,"2023-06-20",2,"2023-06-21T01:51:15.644Z","2023-06-21T01:51:18.644Z",TRUE,"pitch","6d95371b-b587-4ccb-a0f5-707ccabf19f3",3,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",2,1,2,NA,NA,3.25,1.56,NA,109.53,146.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Strikeout","strikeout","Isaac Paredes strikes out swinging.",0,8,6,82,"bottom",9,"2023-06-21T01:50:07.463Z","2023-06-21T01:52:17.258Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",100.3,91.2,12,2,0.3763,6.6236,35.8088,-4.1159,-2.8933,13.0931,0.1961,3.436,1.5182,-145.8055,-8.608,0.0432,50.0007,6.6818,-6.199,43.2,1.2,24,2551,191,NA,NA,NA,NA,NA,NA,FALSE,-5.3,22.1,4.9,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717687,"2023-06-20",1,"2023-06-21T01:50:50.457Z","2023-06-21T01:50:54.163Z",TRUE,"pitch","d8a07684-91bc-4e2a-95a8-e2692f233bed",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.1842,1.5221,NA,77.16,186.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Strikeout","strikeout","Isaac Paredes strikes out swinging.",0,8,6,82,"bottom",9,"2023-06-21T01:50:07.463Z","2023-06-21T01:52:17.258Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",101.3,92.3,14,2,0.3732,6.537,35.8005,-3.6822,-5.1169,13.0664,1.0453,1.9209,4.1791,-146.9465,-12.6659,0.2673,50.0043,6.5122,-11.1577,56.4,2.4,24,2457,191,NA,NA,NA,NA,NA,NA,FALSE,-5.6,21.2,8.4,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717687,"2023-06-20",0,"2023-06-21T01:50:29.268Z","2023-06-21T01:50:32.850Z",TRUE,"pitch","ed1c141f-c486-4e26-bdf5-8398e946f918",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.25,1.4717,NA,88.21,146.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Strikeout","strikeout","Isaac Paredes strikes out swinging.",0,8,6,82,"bottom",9,"2023-06-21T01:50:07.463Z","2023-06-21T01:52:17.258Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",100.8,91.6,12,2,0.3745,6.5725,36.0914,-2.5564,-4.0677,13.6876,0.7553,3.4155,3.568,-146.5021,-9.0502,0.0473,50.0041,6.7043,-8.8024,58.8,1.2,24,2536,190,NA,NA,NA,NA,NA,NA,FALSE,-4,23,6.6,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717687,"2023-06-20",4,"2023-06-21T01:51:51.281Z","2023-06-21T01:52:12.798Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",8,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,2,2,670623,"/api/v1/people/670623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"82","atBat","Strikeout","strikeout","Isaac Paredes strikes out swinging.",0,8,6,82,"bottom",9,"2023-06-21T01:50:07.463Z","2023-06-21T01:52:17.258Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717687,"2023-06-20",4,"2023-06-21T01:49:45.160Z","2023-06-21T01:49:58.748Z",TRUE,"pitch","e3f30c43-2d1f-4230-b2b9-742bf484979d",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,1,NA,NA,3.79,1.83,NA,94.02,166.91,"fly_ball","medium","7",68.11,141.03,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Flyout","field_out","Josh Lowe flies out to left fielder Austin Hays.",0,8,6,81,"bottom",9,"2023-06-21T01:47:50.907Z","2023-06-21T01:49:58.748Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,666139,"Josh Lowe","/api/v1/people/666139","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",100.3,91.4,6,2,0.3763,6.5577,34.8261,-4.5509,-5.3812,12.8813,0.603,2.6617,3.6112,-145.6581,-10.4034,0.0451,50.0064,6.5584,-11.5431,56.4,2.4,24,2352,189,82.5,58,206,NA,NA,NA,TRUE,-6,21.4,9,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,668227,"Randy Arozarena","/api/v1/people/668227"
717687,"2023-06-20",3,"2023-06-21T01:49:20.600Z","2023-06-21T01:49:23.600Z",TRUE,"pitch","62e9cd84-c0ac-4eec-b884-1090e5c2f140",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,1,NA,NA,3.79,1.83,NA,127.6,150.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Flyout","field_out","Josh Lowe flies out to left fielder Austin Hays.",0,8,6,81,"bottom",9,"2023-06-21T01:47:50.907Z","2023-06-21T01:49:58.748Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,666139,"Josh Lowe","/api/v1/people/666139","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",100.2,91.2,1,2,0.3765,6.4772,35.7105,-4.9655,-5.4935,12.7125,-0.278,3.2672,1.4745,-145.7135,-8.6578,-0.0784,50.0033,6.5838,-11.7592,57.6,2.4,24,2383,193,NA,NA,NA,NA,NA,NA,FALSE,-6,21.4,9.6,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717687,"2023-06-20",2,"2023-06-21T01:48:55.041Z","2023-06-21T01:48:58.041Z",TRUE,"pitch","3edc21de-14a3-4cf5-9eb3-770663f34999",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.8166,1.7741,NA,172.47,188.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Flyout","field_out","Josh Lowe flies out to left fielder Austin Hays.",0,8,6,81,"bottom",9,"2023-06-21T01:47:50.907Z","2023-06-21T01:49:58.748Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,666139,"Josh Lowe","/api/v1/people/666139","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.5,89.8,13,2,0.3838,6.5537,33.9256,-3.5594,-4.7636,13.8814,-1.4552,1.8726,-1.9753,-142.9011,-12.5005,-0.1354,50.0049,6.5341,-9.8211,57.6,2.4,24,2533,191,NA,NA,NA,NA,NA,NA,FALSE,-5.8,22.7,9,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717687,"2023-06-20",1,"2023-06-21T01:48:31.951Z","2023-06-21T01:48:34.951Z",TRUE,"pitch","8b74a1bb-3d30-41fa-89a2-054aeb2bec6e",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,1,NA,NA,3.79,1.83,NA,120.38,142.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Flyout","field_out","Josh Lowe flies out to left fielder Austin Hays.",0,8,6,81,"bottom",9,"2023-06-21T01:47:50.907Z","2023-06-21T01:49:58.748Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,666139,"Josh Lowe","/api/v1/people/666139","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.9,90.9,2,2,0.3775,6.6164,35.3994,-5.7077,-4.8262,12.4227,-0.0886,3.5594,1.698,-145.3404,-7.8316,-0.0549,50.0001,6.6414,-10.28,52.8,2.4,24,2351,189,NA,NA,NA,NA,NA,NA,FALSE,-6.5,21,8.4,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
