"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","base","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
716510,"2023-09-20",1,"2023-09-20T04:43:51.464Z","2023-09-20T04:44:01.693Z",TRUE,"pitch","ba76730d-7a4a-4fc7-a98b-a9f707c17a85",2,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,0,2,NA,NA,3.18,1.58,NA,129.72,184.03,"line_drive","hard","9",165.57,125.74,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Single","single","Max Muncy singles on a sharp line drive to right fielder Kerry Carpenter. Mookie Betts scores. Will Smith to 2nd.",1,2,3,73,"bottom",9,"2023-09-20T04:43:18.692Z","2023-09-20T04:44:01.693Z",TRUE,TRUE,FALSE,FALSE,60,1,0,2,571970,"Max Muncy","/api/v1/people/571970","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers","Detroit Tigers","true",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",89.1,83.2,7,2,0.4193,6.2013,23.0445,-32.1541,-1.5653,0.0065,-0.3337,2.0277,4.7885,-129.8292,-3.334,-1.9855,50.0002,5.7345,-2.7164,3.6,7.2,24,2280,347,109.7,12,211,NA,NA,NA,FALSE,-34.3,-0.4,1.9,NA,NA,NA,NA,NA,NA,FALSE,FALSE,669257,"Will Smith","/api/v1/people/669257",571970,"Max Muncy","/api/v1/people/571970",NA,NA,NA,NA,NA,NA,NA
716510,"2023-09-20",0,"2023-09-20T04:43:37.977Z","2023-09-20T04:43:42.705Z",TRUE,"pitch","e04cb625-c083-4a22-b640-dc90021b5f2a",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.1299,1.58,NA,157.04,157.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Single","single","Max Muncy singles on a sharp line drive to right fielder Kerry Carpenter. Mookie Betts scores. Will Smith to 2nd.",1,2,3,73,"bottom",9,"2023-09-20T04:43:18.692Z","2023-09-20T04:44:01.693Z",TRUE,TRUE,FALSE,FALSE,60,1,0,2,571970,"Max Muncy","/api/v1/people/571970","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers","Detroit Tigers","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",88.8,80.6,11,2,0.4256,6.2481,30.0494,-32.3682,-1.2655,-0.1198,-1.0504,3.0089,2.8759,-129.3131,-0.8442,-2.0186,50.0008,5.8501,-2.1172,2.4,8.4,24,2257,14,NA,NA,NA,NA,NA,NA,FALSE,-35.2,-0.1,1.6,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716510,"2023-09-20",1,"2023-09-20T04:43:00.542Z","2023-09-20T04:43:04.109Z",TRUE,"pitch","6fe3fd3c-739e-43a5-8952-6f0b0ff6b62d",2,"Hit By Pitch",NA,NA,NA,NA,FALSE,"H","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"H","Hit By Pitch",2,0,2,NA,NA,3.28,1.56,NA,180.27,130.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Hit By Pitch","hit_by_pitch","Will Smith hit by pitch. Mookie Betts to 2nd.",0,2,2,72,"bottom",9,"2023-09-20T04:42:42.051Z","2023-09-20T04:43:04.109Z",TRUE,FALSE,FALSE,FALSE,11,2,0,2,669257,"Will Smith","/api/v1/people/669257","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","RISP",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers","Detroit Tigers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.7,87.4,11,0.9,0.3932,6.2044,31.8388,-22.2596,-9.74,5.0443,-1.6599,4.0014,3.9749,-139.406,-1.1829,-1.8402,50.0008,5.903,-19.1353,39.6,6,24,2150,219,NA,NA,NA,NA,NA,NA,FALSE,-20.8,9.1,16.8,NA,NA,NA,NA,NA,NA,FALSE,FALSE,605141,"Mookie Betts","/api/v1/people/605141",669257,"Will Smith","/api/v1/people/669257",NA,NA,NA,NA,NA,NA,NA
716510,"2023-09-20",0,"2023-09-20T04:42:42.717Z","2023-09-20T04:42:46.010Z",TRUE,"pitch","33879a86-4614-4651-b50a-b823721ecb55",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.2132,1.56,NA,94.96,203.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Hit By Pitch","hit_by_pitch","Will Smith hit by pitch. Mookie Betts to 2nd.",0,2,2,72,"bottom",9,"2023-09-20T04:42:42.051Z","2023-09-20T04:43:04.109Z",TRUE,FALSE,FALSE,FALSE,11,2,0,2,669257,"Will Smith","/api/v1/people/669257","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","RISP",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers","Detroit Tigers","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",88.5,82,14,2,0.4245,6.3725,25.2806,-30.7972,-1.0625,0.8107,0.5782,1.315,6.2771,-128.7514,-5.0993,-1.7471,50.0006,5.6883,-1.7957,1.2,7.2,24,2202,344,NA,NA,NA,NA,NA,NA,FALSE,-34.2,0.6,0.6,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716510,"2023-09-20",1,"2023-09-20T04:42:07.314Z","2023-09-20T04:42:19.079Z",TRUE,"pitch","4c591e40-5273-4627-af42-e3554ed214cd",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,1,NA,NA,3.62,1.79,NA,109.48,162.91,"line_drive","medium","8",109.63,82.65,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Lineout","field_out","Freddie Freeman lines out to center fielder Parker Meadows.",0,2,2,71,"bottom",9,"2023-09-20T04:41:35.786Z","2023-09-20T04:42:19.079Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,518692,"Freddie Freeman","/api/v1/people/518692","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers","Detroit Tigers","true",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.7,81,5,2,0.4281,6.256,25.1621,-35.3849,-1.5404,-1.9367,0.1972,2.81,6.0292,-127.7196,-0.5079,-1.9891,50.001,5.7831,-2.5569,2.4,8.4,24,2172,17,81.3,27,294,NA,NA,NA,TRUE,-38.8,-3.4,1.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,605141,"Mookie Betts","/api/v1/people/605141",NA,NA,NA,NA,NA,NA,NA
716510,"2023-09-20",0,"2023-09-20T04:41:52.921Z","2023-09-20T04:41:57.550Z",TRUE,"pitch","242d99d7-aadf-451f-b0d2-b31897785ef9",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.5698,1.8066,NA,140.31,129.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Lineout","field_out","Freddie Freeman lines out to center fielder Parker Meadows.",0,2,2,71,"bottom",9,"2023-09-20T04:41:35.786Z","2023-09-20T04:42:19.079Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,518692,"Freddie Freeman","/api/v1/people/518692","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers","Detroit Tigers","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",88.3,81.2,11,2,0.4252,6.1692,25.7088,-32.5382,-3.0849,-0.2127,-0.6116,4.0652,4.9058,-128.621,1.5805,-2.1395,50.0058,5.9588,-5.19,7.2,8.4,24,2118,343,NA,NA,NA,NA,NA,NA,FALSE,-34.7,0.2,4.6,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716510,"2023-09-20",3,"2023-09-20T04:41:15.328Z","2023-09-20T04:41:26.964Z",TRUE,"pitch","479e26df-2e14-4698-9b15-2c129db0e7c8",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,1,1,NA,NA,3.07,1.44,NA,127.78,165.11,"line_drive","medium","8",119.3,74.28,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","Mookie Betts singles on a line drive to center fielder Parker Meadows.",0,2,2,70,"bottom",9,"2023-09-20T04:40:16.577Z","2023-09-20T04:41:26.964Z",TRUE,FALSE,FALSE,FALSE,33,2,1,1,605141,"Mookie Betts","/api/v1/people/605141","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers","Detroit Tigers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.8,87.9,1,0.91,0.3926,6.3826,30.1976,-20.9562,-9.1636,5.6845,-0.2828,2.7286,7.5405,-139.3285,-4.6358,-1.8287,50.0042,5.792,-18.0859,37.2,6,24,2173,223,94.9,17,262,NA,NA,NA,FALSE,-20.2,9.6,15.1,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,605141,"Mookie Betts","/api/v1/people/605141",NA,NA,NA,NA,NA,NA,NA
716510,"2023-09-20",2,"2023-09-20T04:40:56.987Z","2023-09-20T04:40:59.987Z",TRUE,"pitch","40be9489-54bb-4ce5-98dd-6c5876746a78",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,2.9699,1.3569,NA,68.29,223.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","Mookie Betts singles on a line drive to center fielder Parker Meadows.",0,2,2,70,"bottom",9,"2023-09-20T04:40:16.577Z","2023-09-20T04:41:26.964Z",TRUE,FALSE,FALSE,FALSE,33,2,1,1,605141,"Mookie Betts","/api/v1/people/605141","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers","Detroit Tigers","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.7,82.2,14,0.92,0.4241,6.3879,24.2077,-22.3484,-9.5033,5.8012,1.2779,0.5835,10.465,-128.6682,-8.6206,-1.5882,50.003,5.6809,-16.0942,31.2,7.2,24,1666,244,NA,NA,NA,NA,NA,NA,FALSE,-25.8,8.9,15.1,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716510,"2023-09-20",1,"2023-09-20T04:40:43.121Z","2023-09-20T04:40:47.540Z",TRUE,"pitch","11d4d100-f999-407f-90d8-a155df42671e",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,1,NA,NA,2.9532,1.3569,NA,96.82,171.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","Mookie Betts singles on a line drive to center fielder Parker Meadows.",0,2,2,70,"bottom",9,"2023-09-20T04:40:16.577Z","2023-09-20T04:41:26.964Z",TRUE,FALSE,FALSE,FALSE,33,2,1,1,605141,"Mookie Betts","/api/v1/people/605141","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers","Detroit Tigers","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.7,81.1,3,2,0.428,6.2883,24.5666,-32.725,-1.1411,-0.3311,0.5295,2.4913,6.3272,-127.6392,-2.1625,-1.8259,50.0042,5.9092,-1.8973,1.2,8.4,24,2113,357,NA,NA,NA,NA,NA,NA,FALSE,-36.2,-0.8,0.7,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716510,"2023-09-20",0,"2023-09-20T04:40:30.331Z","2023-09-20T04:40:34.611Z",TRUE,"pitch","81a8b320-d9a0-4cda-b1d5-ee473d06ec5e",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,2.9699,1.3402,NA,134.59,208.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","Mookie Betts singles on a line drive to center fielder Parker Meadows.",0,2,2,70,"bottom",9,"2023-09-20T04:40:16.577Z","2023-09-20T04:41:26.964Z",TRUE,FALSE,FALSE,FALSE,33,2,1,1,605141,"Mookie Betts","/api/v1/people/605141","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Dodgers","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.2,88.7,13,0.91,0.3907,6.4928,29.6838,-20.5715,-10.1463,5.8208,-0.4616,1.1039,7.1017,-139.8479,-8.6429,-1.7076,50.0021,5.5687,-20.2227,39.6,6,24,2095,228,NA,NA,NA,NA,NA,NA,FALSE,-20.4,9,17,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
