"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
745416,"2024-05-27",7,"2024-05-28T01:18:55.358Z","2024-05-28T01:19:03.219Z",TRUE,"pitch","d8a26cb4-7f68-4298-9a0a-0efbfeb72d3d",7,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,2,NA,NA,3.56,1.62,NA,168.31,144.63,"ground_ball","soft","5",105.91,173.34,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Dane Myers grounds out softly, third baseman Manny Machado to first baseman Luis Arraez.",0,1,2,68,"top",9,"2024-05-28T01:16:45.368Z","2024-05-28T01:19:03.219Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,667472,"Dane Myers","/api/v1/people/667472","R","Right",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.6,89.2,11,0.89,0.3835,6.7055,36.8079,-13.1895,-8.1575,9.2124,-1.3461,3.4872,2.104,-143.477,-4.9266,-1.0349,50.0002,6.0649,-16.8064,48,4.8,24,2069,203,43.6,-15,13,NA,NA,NA,TRUE,-12.7,15.7,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745416,"2024-05-27",6,"2024-05-28T01:18:33.854Z","2024-05-28T01:18:37.787Z",TRUE,"pitch","7e3a6be4-b015-4226-bf72-35e383516437",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.56,1.62,NA,104.45,130.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Dane Myers grounds out softly, third baseman Manny Machado to first baseman Luis Arraez.",0,1,2,68,"top",9,"2024-05-28T01:16:45.368Z","2024-05-28T01:19:03.219Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,667472,"Dane Myers","/api/v1/people/667472","R","Right",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.9,90.4,12,0.94,0.3784,6.7207,36.9941,-11.0907,-4.5751,9.9553,0.3293,4.0219,5.3522,-145.2811,-4.1297,-0.9506,50.0005,6.1466,-9.6878,34.8,2.4,24,2423,202,NA,NA,NA,NA,NA,NA,FALSE,-10.3,17.3,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745416,"2024-05-27",5,"2024-05-28T01:18:13.258Z","2024-05-28T01:18:16.462Z",TRUE,"pitch","39e0f674-2c0d-4d21-bfa3-41bf56c58786",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.56,1.62,NA,100.24,176.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Dane Myers grounds out softly, third baseman Manny Machado to first baseman Luis Arraez.",0,1,2,68,"top",9,"2024-05-28T01:16:45.368Z","2024-05-28T01:19:03.219Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,667472,"Dane Myers","/api/v1/people/667472","R","Right",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.6,89.9,6,0.94,0.3807,6.7375,38.0604,-8.1899,-4.5368,11.4785,0.4397,2.2951,5.9048,-144.6336,-9.1821,-1.0522,50.0034,6.0376,-9.4804,37.2,2.4,24,2408,206,NA,NA,NA,NA,NA,NA,FALSE,-9.2,18.8,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745416,"2024-05-27",3,"2024-05-28T01:17:46.564Z","2024-05-28T01:17:49.602Z",TRUE,"pitch","7471bfdc-34c8-42bf-9671-6cc6bfb8a0c5",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,2,NA,NA,3.56,1.62,NA,102.98,150.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Dane Myers grounds out softly, third baseman Manny Machado to first baseman Luis Arraez.",0,1,2,68,"top",9,"2024-05-28T01:16:45.368Z","2024-05-28T01:19:03.219Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,667472,"Dane Myers","/api/v1/people/667472","R","Right",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.6,90,3,0.93,0.38,6.7602,37.0464,-6.8253,-4.91,12.0757,0.3677,3.2531,5.3377,-144.717,-6.9736,-0.8719,50.0006,6.1263,-10.3054,45.6,2.4,24,2473,208,NA,NA,NA,NA,NA,NA,FALSE,-7.4,20.4,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745416,"2024-05-27",2,"2024-05-28T01:17:28.905Z","2024-05-28T01:17:32.797Z",TRUE,"pitch","e763bfed-62a9-495f-9708-aa1434c2a0fd",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.5064,1.6153,NA,168.74,187.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Dane Myers grounds out softly, third baseman Manny Machado to first baseman Luis Arraez.",0,1,2,68,"top",9,"2024-05-28T01:16:45.368Z","2024-05-28T01:19:03.219Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,667472,"Dane Myers","/api/v1/people/667472","R","Right",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.5,88.5,13,0.94,0.3881,6.7438,35.3485,-11.9061,-8.8652,10.0738,-1.3574,1.9051,2.2616,-141.6511,-9.222,-1.0196,50.003,5.9841,-17.837,50.4,4.8,24,2337,212,NA,NA,NA,NA,NA,NA,FALSE,-12.7,16.3,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745416,"2024-05-27",1,"2024-05-28T01:17:10.034Z","2024-05-28T01:17:13.447Z",TRUE,"pitch","fe70a4f4-96ae-45f6-aa21-5fe8d5bd9f8e",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.56,1.62,NA,99.2,149.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Dane Myers grounds out softly, third baseman Manny Machado to first baseman Luis Arraez.",0,1,2,68,"top",9,"2024-05-28T01:16:45.368Z","2024-05-28T01:19:03.219Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,667472,"Dane Myers","/api/v1/people/667472","R","Right",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.3,89.3,3,2,0.382,6.7006,38.5345,-7.2497,-6.3714,12.0166,0.4669,3.3007,5.9838,-144.2619,-6.6427,-0.8227,50.0059,6.1019,-13.2186,52.8,2.4,24,2460,204,NA,NA,NA,NA,NA,NA,FALSE,-7.9,20.3,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745416,"2024-05-27",0,"2024-05-28T01:16:53.556Z","2024-05-28T01:16:56.958Z",TRUE,"pitch","a89f3a72-ff06-4357-95c7-32642f3a72bb",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.5522,1.6153,NA,179.65,168.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Dane Myers grounds out softly, third baseman Manny Machado to first baseman Luis Arraez.",0,1,2,68,"top",9,"2024-05-28T01:16:45.368Z","2024-05-28T01:19:03.219Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,667472,"Dane Myers","/api/v1/people/667472","R","Right",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.9,88.5,11,0.93,0.3868,6.6999,36.4845,-11.1409,-8.6122,10.3865,-1.6436,2.6142,1.5451,-142.3073,-7.3551,-1.0798,50.0062,5.9595,-17.4447,52.8,4.8,24,2346,207,NA,NA,NA,NA,NA,NA,FALSE,-11.6,17.3,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745416,"2024-05-27",4,"2024-05-28T01:17:58.512Z","2024-05-28T01:18:13.258Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",1,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,2,2,667472,"/api/v1/people/667472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Dane Myers grounds out softly, third baseman Manny Machado to first baseman Luis Arraez.",0,1,2,68,"top",9,"2024-05-28T01:16:45.368Z","2024-05-28T01:19:03.219Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,667472,"Dane Myers","/api/v1/people/667472","R","Right",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745416,"2024-05-27",0,"2024-05-28T01:16:16.236Z","2024-05-28T01:16:26.188Z",TRUE,"pitch","46185f42-9677-4725-b157-994b86fe285a",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.28,1.53,NA,100.43,163.27,"popup","medium","6",120.64,155.06,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Pop Out","field_out","Jake Burger pops out to shortstop Ha-Seong Kim.",0,1,2,67,"top",9,"2024-05-28T01:16:04.865Z","2024-05-28T01:16:26.188Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,669394,"Jake Burger","/api/v1/people/669394","R","Right",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.3,88.5,3,0.95,0.386,6.7343,37.7128,-6.9125,-4.3288,12.4329,0.4346,2.7966,5.5391,-142.778,-7.7371,-0.9827,50.0053,6.0007,-8.7976,39.6,2.4,24,2369,205,89,69,114,NA,NA,NA,TRUE,-7.9,20.8,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745416,"2024-05-27",8,"2024-05-28T01:15:44.300Z","2024-05-28T01:15:47.419Z",TRUE,"pitch","a3bea264-8a6b-4ca4-a67c-f71e6f5c4a1f",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,0,NA,NA,3.58,1.7,NA,118.88,179.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Jesús Sánchez strikes out swinging.",0,1,2,66,"top",9,"2024-05-28T01:14:15.991Z","2024-05-28T01:15:47.419Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",663158,"Robert Suarez","/api/v1/people/663158","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.4,88.8,8,0.93,0.3853,6.6441,37.1574,-8.388,-4.8568,11.662,-0.0492,2.2078,4.528,-142.8994,-9.3947,-1.034,50.0042,6.0905,-9.9072,39.6,2.4,24,2364,208,NA,NA,NA,NA,NA,NA,TRUE,-9.6,19.1,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
