"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
716807,"2023-08-29",2,"2023-08-30T01:52:37.703Z","2023-08-30T01:52:45.201Z",TRUE,"pitch","6c1f68e3-6d61-4f59-973b-877735dfb04f",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.5,1.67,NA,90.94,188.53,"ground_ball","medium","1",131.51,183.18,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Groundout","field_out","Jesus Sanchez grounds out, pitcher Jake Diekman to first baseman Yandy Diaz.",0,11,2,82,"bottom",9,"2023-08-30T01:52:14.682Z","2023-08-30T01:52:45.201Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Tampa Bay Rays",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.9,86.3,9,0.94,0.399,6.5946,32.0548,-26.5403,11.505,2.9566,0.6836,1.861,-12.3106,-137.5777,-4.2728,3.733,50.0062,5.2449,21.9415,34.8,7.2,24,2098,109,62.4,-54,4,NA,NA,NA,TRUE,-26.2,4.6,-18.1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716807,"2023-08-29",1,"2023-08-30T01:52:17.005Z","2023-08-30T01:52:20.686Z",TRUE,"pitch","8d4fd02a-7d1b-4b2b-a07b-5cf5ff569ff8",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.5407,1.5581,NA,114.63,197.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Groundout","field_out","Jesus Sanchez grounds out, pitcher Jake Diekman to first baseman Yandy Diaz.",0,11,2,82,"bottom",9,"2023-08-30T01:52:14.682Z","2023-08-30T01:52:45.201Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Tampa Bay Rays",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.6,86.4,8,2,0.3998,6.5632,30.2305,-21.2991,10.485,5.7196,0.0622,1.527,-13.3662,-136.9975,-6.1495,3.6418,50.003,5.2565,19.9341,37.2,6,24,2170,111,NA,NA,NA,NA,NA,NA,FALSE,-21.7,9.1,-16.2,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716807,"2023-08-29",0,"2023-08-30T01:51:24.389Z","2023-08-30T01:52:17.005Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",11,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"82","atBat","Groundout","field_out","Jesus Sanchez grounds out, pitcher Jake Diekman to first baseman Yandy Diaz.",0,11,2,82,"bottom",9,"2023-08-30T01:52:14.682Z","2023-08-30T01:52:45.201Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Tampa Bay Rays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716807,"2023-08-29",12,"2023-08-30T01:51:02.929Z","2023-08-30T01:51:08.302Z",TRUE,"pitch","c651db96-6c55-4cb4-b570-6d745c423fc5",11,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,2,NA,NA,3.318,1.5775,NA,108.65,136.68,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"81","atBat","Walk","walk","Garrett Hampson walks. Jon Berti to 2nd.",0,11,2,81,"bottom",9,"2023-08-30T01:46:49.161Z","2023-08-30T01:51:08.302Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,641658,"Garrett Hampson","/api/v1/people/641658","R","Right",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Tampa Bay Rays",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95,86.5,12,2,0.3979,6.3879,30.6465,-25.5193,11.9502,3.4697,0.2192,3.7815,-13.5542,-137.6683,0.1935,3.6545,50.0046,5.438,22.9344,38.4,7.2,24,2106,111,NA,NA,NA,NA,NA,NA,FALSE,-24,6.6,-18.8,NA,NA,NA,NA,NA,NA,FALSE,FALSE,641658,"Garrett Hampson","/api/v1/people/641658",NA,NA,NA,542932,"Jon Berti","/api/v1/people/542932",NA,NA,NA,NA
716807,"2023-08-29",11,"2023-08-30T01:50:33.972Z","2023-08-30T01:50:39.109Z",TRUE,"pitch","3375a871-1894-4322-8147-db09a82d790c",10,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.39,1.57,NA,108.89,189.45,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"81","atBat","Walk","walk","Garrett Hampson walks. Jon Berti to 2nd.",0,11,2,81,"bottom",9,"2023-08-30T01:46:49.161Z","2023-08-30T01:51:08.302Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,641658,"Garrett Hampson","/api/v1/people/641658","R","Right",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Tampa Bay Rays",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.4,86.8,8,2,0.3969,6.4824,31.4449,-18.623,11.5235,7.0267,0.2127,1.827,-13.3161,-138.1425,-5.9003,3.6037,50.0029,5.2471,22.2214,44.4,6,24,2324,113,NA,NA,NA,NA,NA,NA,FALSE,-18.8,11.5,-18,NA,NA,NA,NA,NA,NA,FALSE,FALSE,641658,"Garrett Hampson","/api/v1/people/641658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716807,"2023-08-29",9,"2023-08-30T01:49:56.565Z","2023-08-30T01:50:01.100Z",TRUE,"pitch","2f38874e-95d9-43c7-b32c-d4cbc359baa9",9,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.39,1.57,NA,113.8,168.03,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"81","atBat","Walk","walk","Garrett Hampson walks. Jon Berti to 2nd.",0,11,2,81,"bottom",9,"2023-08-30T01:46:49.161Z","2023-08-30T01:51:08.302Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,641658,"Garrett Hampson","/api/v1/people/641658","R","Right",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Tampa Bay Rays",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.7,87,5,2,0.3955,6.4374,31.8921,-23.666,11.8018,4.3831,0.084,2.6205,-13.6465,-138.6478,-3.2136,3.5436,50.0016,5.3794,22.9049,39.6,6,24,2269,117,NA,NA,NA,NA,NA,NA,FALSE,-22.8,7.4,-18.5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,641658,"Garrett Hampson","/api/v1/people/641658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716807,"2023-08-29",8,"2023-08-30T01:49:33.649Z","2023-08-30T01:49:37.637Z",TRUE,"pitch","8768b82e-16fe-41b2-887a-f16ee67efed1",8,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.2574,1.5775,NA,50.14,160.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Walk","walk","Garrett Hampson walks. Jon Berti to 2nd.",0,11,2,81,"bottom",9,"2023-08-30T01:46:49.161Z","2023-08-30T01:51:08.302Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,641658,"Garrett Hampson","/api/v1/people/641658","R","Right",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Tampa Bay Rays",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.8,86.2,12,2,0.3986,6.3218,32.0048,-23.5799,10.5141,4.4988,1.754,2.8913,-9.5393,-137.6898,-2.4599,3.9059,50.0022,5.4004,20.086,36,6,24,2102,108,NA,NA,NA,NA,NA,NA,FALSE,-22.9,7.8,-16.9,NA,NA,NA,NA,NA,NA,FALSE,FALSE,641658,"Garrett Hampson","/api/v1/people/641658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716807,"2023-08-29",7,"2023-08-30T01:49:12.123Z","2023-08-30T01:49:15.454Z",TRUE,"pitch","39082af2-7302-48a4-95d1-132a080ef4de",7,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.2574,1.5158,NA,65.56,131.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Walk","walk","Garrett Hampson walks. Jon Berti to 2nd.",0,11,2,81,"bottom",9,"2023-08-30T01:46:49.161Z","2023-08-30T01:51:08.302Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,641658,"Garrett Hampson","/api/v1/people/641658","R","Right",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96,87.3,12,2,0.3933,6.305,32.3784,-21.3769,10.4795,5.5032,1.3496,3.9696,-10.5784,-139.4501,-0.3687,3.837,50.0059,5.518,20.572,39.6,6,24,2387,114,NA,NA,NA,NA,NA,NA,FALSE,-19.8,10.1,-16.7,NA,NA,NA,NA,NA,NA,FALSE,FALSE,641658,"Garrett Hampson","/api/v1/people/641658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716807,"2023-08-29",6,"2023-08-30T01:48:45.857Z","2023-08-30T01:48:49.645Z",TRUE,"pitch","9d7168ce-71f3-49ad-b9e7-ef4e46dbb595",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.39,1.57,NA,92.28,191.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Walk","walk","Garrett Hampson walks. Jon Berti to 2nd.",0,11,2,81,"bottom",9,"2023-08-30T01:46:49.161Z","2023-08-30T01:51:08.302Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,641658,"Garrett Hampson","/api/v1/people/641658","R","Right",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.7,88,9,0.92,0.3914,6.4923,32.3489,-19.4402,11.6356,6.4255,0.6486,1.733,-12.6091,-140.0564,-6.4363,3.7025,50.0023,5.3371,23.0594,44.4,6,24,2321,110,NA,NA,NA,NA,NA,NA,FALSE,-19.2,10.3,-18.4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,641658,"Garrett Hampson","/api/v1/people/641658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716807,"2023-08-29",5,"2023-08-30T01:48:23.890Z","2023-08-30T01:48:27.365Z",TRUE,"pitch","1adfd8aa-171b-4c18-a9f8-1b73f60120e4",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.2776,1.5364,NA,64.09,151.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Walk","walk","Garrett Hampson walks. Jon Berti to 2nd.",0,11,2,81,"bottom",9,"2023-08-30T01:46:49.161Z","2023-08-30T01:51:08.302Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,641658,"Garrett Hampson","/api/v1/people/641658","R","Right",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Tampa Bay Rays",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.2,86.7,12,2,0.3967,6.3493,31.5135,-24.8461,11.4599,3.7961,1.3882,3.2267,-10.6228,-138.1969,-1.4184,3.7977,50.0012,5.4195,22.1098,38.4,7.2,24,2208,109,NA,NA,NA,NA,NA,NA,FALSE,-23.6,6.7,-18.5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,641658,"Garrett Hampson","/api/v1/people/641658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
