"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718675,"2023-04-07",4,"2023-04-07T20:37:26.882Z","2023-04-07T20:37:31.776Z",TRUE,"pitch","1ad91b87-4646-4615-8bd1-0489df575207",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,2,NA,NA,3.06,1.45,NA,134.37,196.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Robbie Grossman strikes out swinging.",0,0,2,62,"top",9,"2023-04-07T20:36:20.882Z","2023-04-07T20:37:31.776Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,543257,"Robbie Grossman","/api/v1/people/543257","L","Left",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Chicago Cubs","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.3,83.2,7,2,0.4184,6.6878,23.1439,-22.7977,-6.2417,5.3826,-0.4556,1.579,4.6505,-130.1081,-5.7579,-1.4409,50.0044,5.5106,-10.8761,22.8,6,24,1569,220,NA,NA,NA,NA,NA,NA,TRUE,-24.8,8.9,10.4,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718675,"2023-04-07",3,"2023-04-07T20:37:11.006Z","2023-04-07T20:37:14.780Z",TRUE,"pitch","bfcdb783-5a97-4701-a617-a3248d08b31d",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,2,NA,NA,3.0646,1.4686,NA,91.18,148.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Robbie Grossman strikes out swinging.",0,0,2,62,"top",9,"2023-04-07T20:36:20.882Z","2023-04-07T20:37:31.776Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,543257,"Robbie Grossman","/api/v1/people/543257","L","Left",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Chicago Cubs","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.7,88.7,12,0.83,0.3907,6.8034,26.8524,-17.3638,-6.3227,7.4156,0.6774,3.3439,6.6277,-139.3737,-3.7601,-0.8928,50.0031,5.8343,-12.6289,32.4,4.8,24,2239,194,NA,NA,NA,NA,NA,NA,FALSE,-16.4,13,10.3,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718675,"2023-04-07",2,"2023-04-07T20:36:52.716Z","2023-04-07T20:36:57.050Z",TRUE,"pitch","28dd7bad-4c2c-488e-82df-1b0f8c182d07",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,2.865,1.3805,NA,70.84,201.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Robbie Grossman strikes out swinging.",0,0,2,62,"top",9,"2023-04-07T20:36:20.882Z","2023-04-07T20:37:31.776Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,543257,"Robbie Grossman","/api/v1/people/543257","L","Left",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Chicago Cubs","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89.6,83.7,14,0.9,0.4174,6.9349,23.8521,-27.0481,5.3199,2.9278,1.2109,1.3872,3.9713,-130.5226,-6.4065,-1.0142,50.0028,5.8725,9.306,19.2,7.2,24,2552,147,NA,NA,NA,NA,NA,NA,FALSE,-29.3,4.3,-10.4,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718675,"2023-04-07",1,"2023-04-07T20:36:39.325Z","2023-04-07T20:36:43.330Z",TRUE,"pitch","77fc11aa-10b8-4876-94ce-aa9b3104eb14",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,2.8872,1.3805,NA,152.25,218.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Robbie Grossman strikes out swinging.",0,0,2,62,"top",9,"2023-04-07T20:36:20.882Z","2023-04-07T20:37:31.776Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,543257,"Robbie Grossman","/api/v1/people/543257","L","Left",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Chicago Cubs","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.1,83.1,13,2,0.4201,6.6689,23.4279,-27.3683,-7.368,2.786,-0.9249,0.7661,3.8117,-129.6581,-6.8503,-1.4455,50.0062,5.4902,-12.7293,22.8,7.2,24,1678,215,NA,NA,NA,NA,NA,NA,FALSE,-30.1,4,12.7,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718675,"2023-04-07",0,"2023-04-07T20:36:26.008Z","2023-04-07T20:36:29.623Z",TRUE,"pitch","638deea1-23bb-4078-aeda-a8ce073639f4",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,2.954,1.3805,NA,128.76,185.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Robbie Grossman strikes out swinging.",0,0,2,62,"top",9,"2023-04-07T20:36:20.882Z","2023-04-07T20:37:31.776Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,543257,"Robbie Grossman","/api/v1/people/543257","L","Left",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Chicago Cubs","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89.2,83,4,0.89,0.4196,6.9699,24.0074,-28.1202,1.8379,2.3419,-0.3085,1.9642,1.5606,-129.9272,-4.782,-1.153,50.0037,5.9337,3.1816,7.2,7.2,24,2345,143,NA,NA,NA,NA,NA,NA,FALSE,-30.5,3.5,-3.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718675,"2023-04-07",0,"2023-04-07T20:35:50.804Z","2023-04-07T20:35:59.247Z",TRUE,"pitch","14a2ef5f-56bf-450e-8f66-39bd1cfa9c8d",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.64,1.72,NA,93.71,184.48,"ground_ball","medium","6",98.98,157.35,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Groundout","field_out","Josh Jung grounds out, shortstop Dansby Swanson to first baseman Eric Hosmer.",0,0,2,61,"top",9,"2023-04-07T20:35:46.523Z","2023-04-07T20:35:59.247Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,673962,"Josh Jung","/api/v1/people/673962","R","Right",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Chicago Cubs","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",88.9,82.2,9,0.89,0.4221,6.829,25.6967,-27.402,4.5798,2.7949,0.611,2.0111,2.5227,-129.5113,-4.8771,-0.9691,50.0027,6.0009,7.8215,16.8,7.2,24,2361,143,71.1,8,82,NA,NA,NA,TRUE,-30.1,4.2,-8.9,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718675,"2023-04-07",2,"2023-04-07T20:35:17.267Z","2023-04-07T20:35:26.008Z",TRUE,"pitch","4118259a-ef9c-4535-b291-64f68e691d42",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,0,NA,NA,3.43,1.74,NA,102.54,183.22,"popup","medium","3",168.48,173.49,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Pop Out","field_out","Adolis Garcia pops out to first baseman Eric Hosmer in foul territory.",0,0,2,60,"top",9,"2023-04-07T20:34:49.991Z","2023-04-07T20:35:26.008Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,666969,"Adolis García","/api/v1/people/666969","R","Right",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Chicago Cubs","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.5,76.9,9,2,0.4506,6.7316,24.441,-30.5718,9.1847,1.0675,0.3792,2.0578,1.4189,-121.6697,-2.5604,-1.4047,50.0009,5.7799,13.732,24,9.6,24,2717,70,74.6,62,126,NA,NA,NA,TRUE,-37.6,1.6,-16.9,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718675,"2023-04-07",1,"2023-04-07T20:35:03.096Z","2023-04-07T20:35:06.785Z",TRUE,"pitch","168e3f88-7ca3-4404-be65-7645010323bc",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,0,NA,NA,3.43,1.74,NA,80.67,183.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Pop Out","field_out","Adolis Garcia pops out to first baseman Eric Hosmer in foul territory.",0,0,2,60,"top",9,"2023-04-07T20:34:49.991Z","2023-04-07T20:35:26.008Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,666969,"Adolis García","/api/v1/people/666969","R","Right",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Chicago Cubs","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.6,86.3,14,2,0.4011,6.8703,27.8499,-13.7955,0.4206,9.7138,0.9532,2.0583,4.4384,-136.177,-7.5912,-0.7475,50.0015,5.822,0.7953,6,3.6,24,2362,202,NA,NA,NA,NA,NA,NA,FALSE,-14.8,16.3,-1.7,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718675,"2023-04-07",0,"2023-04-07T20:34:49.991Z","2023-04-07T20:34:53.825Z",TRUE,"pitch","6a2373a0-5a01-4bc9-b1a4-741f30f7e96d",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.2655,1.5135,NA,83.26,195.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Pop Out","field_out","Adolis Garcia pops out to first baseman Eric Hosmer in foul territory.",0,0,2,60,"top",9,"2023-04-07T20:34:49.991Z","2023-04-07T20:35:26.008Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,666969,"Adolis García","/api/v1/people/666969","R","Right",605242,"Michael Fulmer","/api/v1/people/605242","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Chicago Cubs","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.6,84.3,14,2,0.4134,6.7598,25.2466,-27.3787,5.3462,2.6942,0.8852,1.5882,2.7609,-131.9454,-6.2197,-0.866,50.0052,5.965,9.5296,19.2,7.2,24,2551,163,NA,NA,NA,NA,NA,NA,FALSE,-29.2,3.8,-10.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718675,"2023-04-07",4,"2023-04-07T20:32:13.700Z","2023-04-07T20:32:20.856Z",TRUE,"pitch","8cf6c2f6-975d-4c8d-a7dc-56dcf3150476",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.45,1.64,NA,130.34,204.04,"line_drive","medium","7",63.6,123.9,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Lineout","field_out","Ian Happ lines out to left fielder Josh H. Smith.",0,0,2,59,"bottom",8,"2023-04-07T20:30:52.027Z","2023-04-07T20:32:20.856Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,664023,"Ian Happ","/api/v1/people/664023","L","Left",453178,"Ian Kennedy","/api/v1/people/453178","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs","Texas Rangers","true",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",84.7,78.2,13,2,0.4435,6.8745,23.268,-22.2803,-6.3893,6.3981,-0.3501,1.2866,3.3959,-123.2535,-5.3614,-0.9118,50.0037,5.3582,-9.8836,21.6,6,24,1075,219,78.3,29,244,NA,NA,NA,TRUE,-27.4,10.7,10.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
