"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717855,"2023-06-08",6,"2023-06-08T04:09:18.620Z","2023-06-08T04:09:26.521Z",TRUE,"pitch","1d161e63-84e3-490a-a180-ccd0e6371a7e",7,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,2,NA,NA,3.6,1.64,NA,118.28,189.85,"line_drive","medium","8",129.34,68.75,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Lineout","field_out","Trey Mancini lines out to center fielder Mike Trout.",0,2,6,70,"top",9,"2023-06-08T04:07:29.090Z","2023-06-08T04:09:26.521Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,641820,"Trey Mancini","/api/v1/people/641820","R","Right",696147,"Sam Bachman","/api/v1/people/696147","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Los Angeles Angels","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.8,81.8,8,0.85,0.4207,6.3872,30.046,-31.0007,-1.8341,0.6816,-0.0336,1.8124,4.3253,-130.6962,-2.7038,-1.4789,50.0012,5.2119,-3.1426,3.6,7.2,24,2340,268,96.9,20,325,NA,NA,NA,TRUE,-33.4,0.8,2.3,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717855,"2023-06-08",5,"2023-06-08T04:09:01.677Z","2023-06-08T04:09:05.021Z",TRUE,"pitch","231af6e3-d591-48bd-8f00-aa51da60f3b1",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.5472,1.6379,NA,142.01,114.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Lineout","field_out","Trey Mancini lines out to center fielder Mike Trout.",0,2,6,70,"top",9,"2023-06-08T04:07:29.090Z","2023-06-08T04:09:26.521Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,641820,"Trey Mancini","/api/v1/people/641820","R","Right",696147,"Sam Bachman","/api/v1/people/696147","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Los Angeles Angels","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.7,88.8,11,0.96,0.3858,6.3863,33.9306,-20.7279,-9.7148,5.613,-0.6562,4.6199,5.0698,-142.1949,1.2231,-1.2043,50.0018,5.5033,-19.8056,42,6,24,2263,219,NA,NA,NA,NA,NA,NA,FALSE,-18.1,10.6,16.4,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717855,"2023-06-08",4,"2023-06-08T04:08:41.207Z","2023-06-08T04:08:46.213Z",TRUE,"pitch","3c0a50ff-7668-401d-9d0d-14f29d4cf365",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.6,1.64,NA,70.13,190.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Lineout","field_out","Trey Mancini lines out to center fielder Mike Trout.",0,2,6,70,"top",9,"2023-06-08T04:07:29.090Z","2023-06-08T04:09:26.521Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,641820,"Trey Mancini","/api/v1/people/641820","R","Right",696147,"Sam Bachman","/api/v1/people/696147","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Los Angeles Angels","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.3,83.1,14,0.87,0.4168,6.3886,27.5285,-30.4283,-1.8404,0.9969,1.2295,1.8014,7.1177,-131.3686,-3.225,-1.2745,50.002,5.304,-3.2208,3.6,7.2,24,2458,293,NA,NA,NA,NA,NA,NA,FALSE,-32.2,1.3,1.8,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717855,"2023-06-08",3,"2023-06-08T04:08:25.510Z","2023-06-08T04:08:30.556Z",TRUE,"pitch","f083674b-8446-4ede-9231-a85fb85a6832",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.4963,1.6379,NA,82.66,198.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Lineout","field_out","Trey Mancini lines out to center fielder Mike Trout.",0,2,6,70,"top",9,"2023-06-08T04:07:29.090Z","2023-06-08T04:09:26.521Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,641820,"Trey Mancini","/api/v1/people/641820","R","Right",696147,"Sam Bachman","/api/v1/people/696147","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Los Angeles Angels","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.7,82.2,14,0.9,0.423,6.5639,24.9597,-32.2139,-1.0602,-0.023,0.9008,1.4959,6.0668,-129.121,-3.3872,-1.3338,50.0022,5.2834,-1.8037,1.2,8.4,24,2542,352,NA,NA,NA,NA,NA,NA,FALSE,-35,-0.6,0.7,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717855,"2023-06-08",2,"2023-06-08T04:08:10.319Z","2023-06-08T04:08:15.298Z",TRUE,"pitch","46075a36-71a0-425d-b585-6debb5d49ba8",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,2,NA,NA,3.6,1.64,NA,89.67,178.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Lineout","field_out","Trey Mancini lines out to center fielder Mike Trout.",0,2,6,70,"top",9,"2023-06-08T04:07:29.090Z","2023-06-08T04:09:26.521Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,641820,"Trey Mancini","/api/v1/people/641820","R","Right",696147,"Sam Bachman","/api/v1/people/696147","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Los Angeles Angels","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.5,80.7,9,0.9,0.4293,6.0248,24.8689,-29.2525,-1.176,1.7678,0.717,2.2272,5.6016,-127.3372,-1.874,-1.3534,50.0008,5.2754,-1.9415,1.2,7.2,24,2453,298,NA,NA,NA,NA,NA,NA,FALSE,-32.5,3,1,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717855,"2023-06-08",1,"2023-06-08T04:07:54.109Z","2023-06-08T04:07:59.220Z",TRUE,"pitch","c947aadc-c3ff-4574-ae6d-cf3239166790",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.4963,1.6379,NA,64.25,149.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Lineout","field_out","Trey Mancini lines out to center fielder Mike Trout.",0,2,6,70,"top",9,"2023-06-08T04:07:29.090Z","2023-06-08T04:09:26.521Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,641820,"Trey Mancini","/api/v1/people/641820","R","Right",696147,"Sam Bachman","/api/v1/people/696147","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Los Angeles Angels","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98,89.7,12,0.95,0.384,6.3341,31.687,-18.6231,-9.7661,6.5737,1.3838,3.3207,10.2959,-142.4413,-2.1891,-1.0029,50.0047,5.2723,-20.1384,43.2,4.8,24,2333,229,NA,NA,NA,NA,NA,NA,FALSE,-16.8,11.6,15.7,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717855,"2023-06-08",0,"2023-06-08T04:07:41.150Z","2023-06-08T04:07:45.663Z",TRUE,"pitch","3f2d585e-510f-4f01-8ed8-3a4c16b2d61e",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.5472,1.6379,NA,91.63,156.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Lineout","field_out","Trey Mancini lines out to center fielder Mike Trout.",0,2,6,70,"top",9,"2023-06-08T04:07:29.090Z","2023-06-08T04:09:26.521Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,641820,"Trey Mancini","/api/v1/people/641820","R","Right",696147,"Sam Bachman","/api/v1/people/696147","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Los Angeles Angels","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.5,90.2,3,0.95,0.3819,6.4628,31.7902,-19.0285,-9.2173,6.3049,0.6656,3.0547,8.1874,-143.2083,-3.0266,-1.027,50.0046,5.3096,-19.2262,42,4.8,24,2286,222,NA,NA,NA,NA,NA,NA,FALSE,-17.2,11,15.1,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717855,"2023-06-08",5,"2023-06-08T04:07:12.441Z","2023-06-08T04:07:17.523Z",TRUE,"pitch","35862c7c-649e-4e2c-8807-8dc4f6de5656",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,3,1,NA,NA,3.589,1.6511,NA,104.57,144.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Mike Tauchman called out on strikes.",0,2,6,69,"top",9,"2023-06-08T04:05:36.968Z","2023-06-08T04:07:17.523Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,643565,"Mike Tauchman","/api/v1/people/643565","L","Left",696147,"Sam Bachman","/api/v1/people/696147","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Los Angeles Angels",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.7,81.3,3,0.9,0.424,6.1443,26.9103,-29.8835,-1.1286,1.3531,0.3261,3.4883,4.5538,-129.1784,0.6528,-1.3128,50.0005,5.5297,-1.9075,2.4,7.2,24,2474,291,NA,NA,NA,NA,NA,NA,TRUE,-31.9,2.9,1.1,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717855,"2023-06-08",3,"2023-06-08T04:06:37.075Z","2023-06-08T04:06:41.435Z",TRUE,"pitch","db83b467-6c6d-4e13-a57f-b722b8669a8a",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,1,NA,NA,3.44,1.63,NA,111.83,152.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Mike Tauchman called out on strikes.",0,2,6,69,"top",9,"2023-06-08T04:05:36.968Z","2023-06-08T04:07:17.523Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,643565,"Mike Tauchman","/api/v1/people/643565","L","Left",696147,"Sam Bachman","/api/v1/people/696147","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Los Angeles Angels",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.2,88.7,2,0.93,0.3875,6.4656,32.5065,-17.8499,-8.6651,7.0794,0.1358,3.1955,6.9076,-141.4067,-2.8151,-1.2139,50.0039,5.3504,-17.5342,40.8,4.8,24,2168,226,NA,NA,NA,NA,NA,NA,FALSE,-16.6,12.4,14.3,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717855,"2023-06-08",2,"2023-06-08T04:06:22.557Z","2023-06-08T04:06:27.161Z",TRUE,"pitch","d79a3bff-4aad-447e-a571-3c940790a495",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.4127,1.6279,NA,148.8,159.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Mike Tauchman called out on strikes.",0,2,6,69,"top",9,"2023-06-08T04:05:36.968Z","2023-06-08T04:07:17.523Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,643565,"Mike Tauchman","/api/v1/people/643565","L","Left",696147,"Sam Bachman","/api/v1/people/696147","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Los Angeles Angels",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90.2,81.7,11,2,0.4193,6.4962,30.8278,-29.2434,-11.0879,1.7019,-0.8343,2.9545,5.6545,-131.234,0.1608,-1.5899,50.0051,5.0921,-19.1143,31.2,8.4,24,1628,246,NA,NA,NA,NA,NA,NA,FALSE,-30.6,3.4,18.6,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
