"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718307,"2023-05-05",2,"2023-05-06T01:01:29.568Z","2023-05-06T01:01:38.596Z",TRUE,"pitch","dafe1cb0-a260-45c2-bb8f-88c3cae50844",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.21,1.52,NA,124.41,175.46,"ground_ball","medium","5",95.38,168.43,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Groundout","field_out","Miguel Andujar grounds out, third baseman Matt Chapman to first baseman Vladimir Guerrero Jr.",0,4,0,69,"bottom",9,"2023-05-06T01:00:42.483Z","2023-05-06T01:01:38.596Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,609280,"Miguel Andujar","/api/v1/people/609280","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.1,76.4,5,0.91,0.4535,7.3579,24.5204,-33.3002,3.0744,-0.7664,-0.1944,2.3452,4.9745,-120.9705,-1.5907,-2.68,50.0014,5.9419,4.5356,9.6,9.6,24,2274,57,93.3,-1,42,NA,NA,NA,TRUE,-41.2,-1.6,-6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718307,"2023-05-05",1,"2023-05-06T01:01:13.988Z","2023-05-06T01:01:19.934Z",TRUE,"pitch","5d4e6dd4-caac-4f25-963c-bd2888d234f0",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.082,1.5203,NA,111.88,185.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Groundout","field_out","Miguel Andujar grounds out, third baseman Matt Chapman to first baseman Vladimir Guerrero Jr.",0,4,0,69,"bottom",9,"2023-05-06T01:00:42.483Z","2023-05-06T01:01:38.596Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,609280,"Miguel Andujar","/api/v1/people/609280","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84,77.5,8,0.91,0.4482,7.6231,23.9269,-33.2506,2.2047,-0.7133,0.1344,1.9896,6.5502,-122.1857,-2.166,-2.8668,50.002,5.7429,3.3342,7.2,9.6,24,2283,67,NA,NA,NA,NA,NA,NA,FALSE,-40.3,-1.6,-5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718307,"2023-05-05",0,"2023-05-06T01:01:00.687Z","2023-05-06T01:01:04.462Z",TRUE,"pitch","63a050bf-032f-4f9f-a8fa-d4463452b412",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.1591,1.5203,NA,80.91,209.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Groundout","field_out","Miguel Andujar grounds out, third baseman Matt Chapman to first baseman Vladimir Guerrero Jr.",0,4,0,69,"bottom",9,"2023-05-06T01:00:42.483Z","2023-05-06T01:01:38.596Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,609280,"Miguel Andujar","/api/v1/people/609280","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.1,80.5,14,0.9,0.4329,7.6154,25.9053,-34.1103,1.9264,-1.1992,0.9467,1.0736,8.6885,-126.5473,-4.9681,-2.7816,50.0008,5.7958,3.1202,7.2,8.4,24,2223,64,NA,NA,NA,NA,NA,NA,FALSE,-39.2,-3.1,-5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718307,"2023-05-05",3,"2023-05-06T01:00:31.524Z","2023-05-06T01:00:36.528Z",TRUE,"pitch","eb295352-3460-4b07-883e-de173f608d31",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,1,NA,NA,3.45,1.58,NA,110.62,152.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Jack Suwinski strikes out swinging.",0,4,0,68,"bottom",9,"2023-05-06T00:59:29.781Z","2023-05-06T01:00:36.528Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,669261,"Jack Suwinski","/api/v1/people/669261","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.9,88.3,2,0.9,0.3896,7.5941,32.7869,-9.6211,-0.9909,11.2723,0.1675,3.1965,8.1992,-140.7551,-5.7918,-2.6581,50.0039,5.9078,-1.9831,0,2.4,24,2440,198,NA,NA,NA,NA,NA,NA,TRUE,-10,19.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718307,"2023-05-05",2,"2023-05-06T01:00:15.447Z","2023-05-06T01:00:18.718Z",TRUE,"pitch","0b581456-cab4-4b79-9839-da62a6898855",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,1,NA,NA,3.45,1.58,NA,136.13,157.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Jack Suwinski strikes out swinging.",0,4,0,68,"bottom",9,"2023-05-06T00:59:29.781Z","2023-05-06T01:00:36.528Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,669261,"Jack Suwinski","/api/v1/people/669261","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.2,85.9,1,0.89,0.4004,7.8284,30.6648,-11.7687,-2.3905,10.7747,-0.502,3.0113,7.7992,-136.8695,-4.9173,-3.08,50.0067,5.6395,-4.5293,12,2.4,24,2352,208,NA,NA,NA,NA,NA,NA,FALSE,-12.4,18.6,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718307,"2023-05-05",1,"2023-05-06T01:00:00.732Z","2023-05-06T01:00:03.732Z",TRUE,"pitch","63bb41d0-2834-4473-9c15-7a1f282a2c9f",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.2964,1.5803,NA,163.49,112.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Jack Suwinski strikes out swinging.",0,4,0,68,"bottom",9,"2023-05-06T00:59:29.781Z","2023-05-06T01:00:36.528Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,669261,"Jack Suwinski","/api/v1/people/669261","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.1,88.4,11,0.9,0.3879,7.2903,32.9717,-14.0418,-2.1811,8.9843,-1.2197,4.669,5.1871,-141.3513,-1.2259,-2.7973,50.0056,6.0123,-4.4041,13.2,2.4,24,2276,200,NA,NA,NA,NA,NA,NA,FALSE,-12.8,16.2,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718307,"2023-05-05",0,"2023-05-06T00:59:46.272Z","2023-05-06T00:59:50.080Z",TRUE,"pitch","44642ab8-7a15-4ca4-b12a-8f5d15556583",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.1936,1.5803,NA,106.03,191.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Jack Suwinski strikes out swinging.",0,4,0,68,"bottom",9,"2023-05-06T00:59:29.781Z","2023-05-06T01:00:36.528Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,669261,"Jack Suwinski","/api/v1/people/669261","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.5,79.9,9,0.9,0.4351,7.6024,25.4433,-32.8791,2.9266,-0.4343,0.2879,1.7463,7.1717,-125.8507,-3.3824,-2.9787,50.0055,5.7696,4.6978,9.6,8.4,24,2127,73,NA,NA,NA,NA,NA,NA,FALSE,-37.9,-1.3,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718307,"2023-05-05",2,"2023-05-06T00:59:10.323Z","2023-05-06T00:59:19.330Z",TRUE,"pitch","8de67f68-1f62-4663-b985-35407a9fbf54",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,0,NA,NA,3.39,1.67,NA,100.26,165.43,"popup","medium","4",143.59,139.96,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Pop Out","field_out","Carlos Santana pops out to second baseman Santiago Espinal.",0,4,0,67,"bottom",9,"2023-05-06T00:58:53.452Z","2023-05-06T00:59:19.330Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,467793,"Carlos Santana","/api/v1/people/467793","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,86.8,6,0.9,0.3973,7.7147,30.0046,-13.2287,-4.3346,9.8387,0.4392,2.7167,10.7016,-137.7418,-5.5208,-2.9296,50.0027,5.6383,-8.3479,22.8,3.6,24,2284,202,79.2,63,160,NA,NA,NA,TRUE,-13.7,16.8,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718307,"2023-05-05",1,"2023-05-06T00:58:55.583Z","2023-05-06T00:58:59.730Z",TRUE,"pitch","dfc62d90-dc20-473e-809e-c2608546c6e0",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.1336,1.6703,NA,88.5,206.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Pop Out","field_out","Carlos Santana pops out to second baseman Santiago Espinal.",0,4,0,67,"bottom",9,"2023-05-06T00:58:53.452Z","2023-05-06T00:59:19.330Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,467793,"Carlos Santana","/api/v1/people/467793","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85,78.6,14,0.9,0.4433,7.5711,24.4148,-32.6878,2.06,-0.3359,0.7478,1.2115,8.3991,-123.5073,-4.3243,-2.9633,50.0014,5.7317,3.1824,8.4,8.4,24,2079,66,NA,NA,NA,NA,NA,NA,FALSE,-39.4,-1.4,-5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718307,"2023-05-05",0,"2023-05-06T00:58:20.867Z","2023-05-06T00:58:55.583Z",FALSE,"action",NA,NA,"Pitching Change: Jordan Romano replaces Erik Swanson.","Pitching Substitution",4,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,605447,"/api/v1/people/605447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"67","atBat","Pop Out","field_out","Carlos Santana pops out to second baseman Santiago Espinal.",0,4,0,67,"bottom",9,"2023-05-06T00:58:53.452Z","2023-05-06T00:59:19.330Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,467793,"Carlos Santana","/api/v1/people/467793","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
