"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718113,"2023-05-20",3,"2023-05-20T03:09:44.537Z","2023-05-20T03:09:53.283Z",TRUE,"pitch","5b8b344c-2d2d-4580-bad8-2fc7558577ca",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.31,1.61,NA,127.75,173.47,"fly_ball","medium","7",60.23,74.95,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Brendan Donovan flies out to left fielder David Peralta.",0,5,0,76,"bottom",9,"2023-05-20T03:08:50.606Z","2023-05-20T03:09:53.283Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,680977,"Brendan Donovan","/api/v1/people/680977","L","Left",664202,"Tyler Cyr","/api/v1/people/664202","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Los Angeles Dodgers","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.6,86.6,4,0.9,0.3982,6.9076,30.3305,-10.914,-4.5566,11.0895,-0.2821,2.4189,3.4673,-137.5355,-8.1297,-0.9667,50.0008,6.1521,-8.7338,32.4,3.6,24,2301,203,98.5,34,348,NA,NA,NA,TRUE,-12,18.6,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718113,"2023-05-20",2,"2023-05-20T03:09:29.462Z","2023-05-20T03:09:34.766Z",TRUE,"pitch","db453349-9aee-4324-97df-053c19cb71cd",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,2,NA,NA,3.3341,1.7073,NA,109.61,180.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Brendan Donovan flies out to left fielder David Peralta.",0,5,0,76,"bottom",9,"2023-05-20T03:08:50.606Z","2023-05-20T03:09:53.283Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,680977,"Brendan Donovan","/api/v1/people/680977","L","Left",664202,"Tyler Cyr","/api/v1/people/664202","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Los Angeles Dodgers","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",86,79.7,8,0.91,0.436,6.9257,23.1335,-26.8888,-6.9302,3.2968,0.1939,2.1754,5.586,-125.2081,-4.1122,-1.1558,50.0024,6.0168,-11.1033,20.4,7.2,24,1324,223,NA,NA,NA,NA,NA,NA,FALSE,-31.3,5.3,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718113,"2023-05-20",1,"2023-05-20T03:09:12.157Z","2023-05-20T03:09:16.005Z",TRUE,"pitch","eb733d92-4b38-428e-be41-40518360318b",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.3829,1.7317,NA,56.29,233.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Brendan Donovan flies out to left fielder David Peralta.",0,5,0,76,"bottom",9,"2023-05-20T03:08:50.606Z","2023-05-20T03:09:53.283Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,680977,"Brendan Donovan","/api/v1/people/680977","L","Left",664202,"Tyler Cyr","/api/v1/people/664202","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Los Angeles Dodgers","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.8,83.8,14,0.92,0.4154,6.9063,27.2492,-19.3915,0.9227,7.2544,1.5927,0.2078,7.0982,-131.7225,-10.7432,-1.2538,50.0053,5.7651,1.6246,8.4,4.8,24,2236,192,NA,NA,NA,NA,NA,NA,FALSE,-22.3,11,-3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718113,"2023-05-20",0,"2023-05-20T03:08:56.504Z","2023-05-20T03:09:00.622Z",TRUE,"pitch","8d42fefc-38cb-42dc-89ba-c8f8fe580650",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.31,1.61,NA,122.4,154.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Brendan Donovan flies out to left fielder David Peralta.",0,5,0,76,"bottom",9,"2023-05-20T03:08:50.606Z","2023-05-20T03:09:53.283Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,680977,"Brendan Donovan","/api/v1/people/680977","L","Left",664202,"Tyler Cyr","/api/v1/people/664202","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Los Angeles Dodgers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95,86.9,2,0.91,0.3961,6.9489,30.6105,-11.1516,-3.4596,10.8545,-0.1417,3.13,3.3808,-138.2341,-6.2812,-0.9307,50.0011,6.1792,-6.6995,25.2,2.4,24,2228,199,NA,NA,NA,NA,NA,NA,FALSE,-11.8,18.6,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718113,"2023-05-20",3,"2023-05-20T03:08:25.056Z","2023-05-20T03:08:32.377Z",TRUE,"pitch","ecc0e3d4-c8db-46fd-94e3-da1bd6aca462",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,1,NA,NA,3.31,1.58,NA,94.52,196.52,"ground_ball","medium","5",101.43,161.03,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Willson Contreras grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",0,5,0,75,"bottom",9,"2023-05-20T03:07:18.173Z","2023-05-20T03:08:32.377Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,575929,"Willson Contreras","/api/v1/people/575929","R","Right",664202,"Tyler Cyr","/api/v1/people/664202","R","Right","vs_RHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Los Angeles Dodgers","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",87.4,80.8,9,0.91,0.43,6.9922,24.4263,-26.5682,-6.9523,3.4073,0.5898,1.5652,6.5429,-127.0475,-5.9103,-1.1076,50.0037,6.0154,-11.4408,20.4,7.2,24,1341,216,95.6,-37,4,NA,NA,NA,TRUE,-30.6,5.2,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718113,"2023-05-20",2,"2023-05-20T03:08:05.257Z","2023-05-20T03:08:09.749Z",TRUE,"pitch","a58d301d-a8bd-4a5c-b023-ec38a46408d7",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.3829,1.6039,NA,38.11,196.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Willson Contreras grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",0,5,0,75,"bottom",9,"2023-05-20T03:07:18.173Z","2023-05-20T03:08:32.377Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,575929,"Willson Contreras","/api/v1/people/575929","R","Right",664202,"Tyler Cyr","/api/v1/people/664202","R","Right","vs_RHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Los Angeles Dodgers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,87.1,14,0.9,0.3973,7.016,29.7516,-10.1817,-2.5593,11.4189,2.0696,1.5709,7.9392,-137.7079,-10.6832,-0.5146,50.0039,6.1831,-4.93,14.4,2.4,24,2288,196,NA,NA,NA,NA,NA,NA,FALSE,-11.9,18.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718113,"2023-05-20",1,"2023-05-20T03:07:45.461Z","2023-05-20T03:07:48.993Z",TRUE,"pitch","530a7c59-1ae4-4269-9d8b-23453b7f69a4",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.31,1.58,NA,112.66,181.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Willson Contreras grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",0,5,0,75,"bottom",9,"2023-05-20T03:07:18.173Z","2023-05-20T03:08:32.377Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,575929,"Willson Contreras","/api/v1/people/575929","R","Right",664202,"Tyler Cyr","/api/v1/people/664202","R","Right","vs_RHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Los Angeles Dodgers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,86.8,5,0.9,0.3971,6.9719,30.8974,-11.5277,-4.7041,10.7125,0.1139,2.1341,4.3198,-137.9845,-8.5266,-0.8612,50.0009,6.0422,-9.0641,31.2,3.6,24,2078,208,NA,NA,NA,NA,NA,NA,FALSE,-12.6,17.8,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718113,"2023-05-20",0,"2023-05-20T03:07:29.564Z","2023-05-20T03:07:33.785Z",TRUE,"pitch","f07de266-52fa-4c37-87e0-a0d4d3a96349",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.31,1.58,NA,87.39,156.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Willson Contreras grounds out, third baseman Max Muncy to first baseman Freddie Freeman.",0,5,0,75,"bottom",9,"2023-05-20T03:07:18.173Z","2023-05-20T03:08:32.377Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,575929,"Willson Contreras","/api/v1/people/575929","R","Right",664202,"Tyler Cyr","/api/v1/people/664202","R","Right","vs_RHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Los Angeles Dodgers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.3,86.4,3,0.9,0.399,7.1204,29.8015,-11.2546,-3.1628,10.9602,0.7768,3.0456,5.2943,-137.1661,-6.5563,-0.7659,50.0059,6.2311,-6.0389,21.6,2.4,24,2133,198,NA,NA,NA,NA,NA,NA,FALSE,-12,18.7,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718113,"2023-05-20",4,"2023-05-20T03:07:00.889Z","2023-05-20T03:07:05.586Z",TRUE,"pitch","59f5a509-7be3-4295-910c-9ae716d2a9e6",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,0,NA,NA,3.26,1.6,NA,118.23,191.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Nolan Arenado strikes out swinging.",0,5,0,74,"bottom",9,"2023-05-20T03:06:07.504Z","2023-05-20T03:07:05.586Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,571448,"Nolan Arenado","/api/v1/people/571448","R","Right",664202,"Tyler Cyr","/api/v1/people/664202","R","Right","vs_RHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Los Angeles Dodgers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",87.9,81,8,0.89,0.4276,7.0145,25.4509,-23.1517,-7.0187,5.4254,-0.0322,1.7416,4.8348,-127.9048,-6.3996,-1.0315,50.0027,6.0818,-11.6729,24,6,24,1253,219,NA,NA,NA,NA,NA,NA,TRUE,-26.6,8.6,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718113,"2023-05-20",3,"2023-05-20T03:06:46.050Z","2023-05-20T03:06:51.881Z",TRUE,"pitch","feb85952-afce-4fd2-b088-f255835482a9",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,0,NA,NA,3.4628,1.6973,NA,96.88,166.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Nolan Arenado strikes out swinging.",0,5,0,74,"bottom",9,"2023-05-20T03:06:07.504Z","2023-05-20T03:07:05.586Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,571448,"Nolan Arenado","/api/v1/people/571448","R","Right",664202,"Tyler Cyr","/api/v1/people/664202","R","Right","vs_RHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Los Angeles Dodgers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.6,86,6,0.91,0.3992,6.9844,32.2435,-10.2191,-2.6002,11.5316,0.5278,2.6917,5.0443,-137.5353,-7.4749,-0.9974,50.0066,6.1486,-4.9526,18,2.4,24,2182,200,NA,NA,NA,NA,NA,NA,FALSE,-11.4,19.3,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
