"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","base","details.disengagementNum","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718769,"2023-03-31",8,"2023-03-31T04:45:05.273Z","2023-03-31T04:45:14.254Z",TRUE,"pitch","8004f669-bb1c-47f4-b145-6f7c4fd8a96a",7,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,2,NA,NA,3.44,1.61,NA,99.21,156.52,"fly_ball","medium","9",191.8,85.04,NA,NA,TRUE,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Gio Urshela flies out to right fielder Ramon Laureano.",0,1,2,67,"top",9,"2023-03-31T04:41:43.912Z","2023-03-31T04:45:14.254Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,570482,"Gio Urshela","/api/v1/people/570482","R","Right",666204,"Dany Jiménez","/api/v1/people/666204","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Oakland Athletics",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",80.7,74.3,3,2,0.466,5.6003,22.3556,-31.4679,0.7622,0.5003,0.4668,3.0467,2.4463,-117.5477,-1.0283,-0.6865,50.0002,6.4123,1.0655,2.4,9.6,24,2241,108,96,34,349,NA,NA,NA,TRUE,-41,1,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718769,"2023-03-31",6,"2023-03-31T04:44:20.459Z","2023-03-31T04:44:26.841Z",TRUE,"pitch","09300207-a63c-41ff-b045-f3254c776621",6,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",3,2,2,NA,NA,3.509,1.6341,NA,63.3,233.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Gio Urshela flies out to right fielder Ramon Laureano.",0,1,2,67,"top",9,"2023-03-31T04:41:43.912Z","2023-03-31T04:45:14.254Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,570482,"Gio Urshela","/api/v1/people/570482","R","Right",666204,"Dany Jiménez","/api/v1/people/666204","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Oakland Athletics",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.9,76.9,14,2,0.4538,5.6014,22.9545,-29.8795,-0.1062,1.5514,1.4087,0.2,3.8589,-120.5818,-7.7457,-0.197,50.0017,6.0822,-0.1575,1.2,8.4,24,2358,114,NA,NA,NA,NA,NA,NA,FALSE,-38.5,1.2,-0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718769,"2023-03-31",5,"2023-03-31T04:43:55.908Z","2023-03-31T04:44:00.171Z",TRUE,"pitch","c7e14636-c470-411d-b29c-acf23f136937",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.44,1.61,NA,94.32,171.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Gio Urshela flies out to right fielder Ramon Laureano.",0,1,2,67,"top",9,"2023-03-31T04:41:43.912Z","2023-03-31T04:45:14.254Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,570482,"Gio Urshela","/api/v1/people/570482","R","Right",666204,"Dany Jiménez","/api/v1/people/666204","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Oakland Athletics",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.1,75.7,6,2,0.4578,5.7771,23.0066,-29.1117,-0.193,2.1124,0.595,2.4798,3.0535,-119.6409,-2.7366,-0.6725,50.0043,6.2467,-0.2806,0,8.4,24,2415,91,NA,NA,NA,NA,NA,NA,FALSE,-37,3.5,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718769,"2023-03-31",4,"2023-03-31T04:43:26.392Z","2023-03-31T04:43:31.675Z",TRUE,"pitch","d6b82ad5-3abb-4759-93c4-b8a87e70405d",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.44,1.61,NA,109.4,151.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Gio Urshela flies out to right fielder Ramon Laureano.",0,1,2,67,"top",9,"2023-03-31T04:41:43.912Z","2023-03-31T04:45:14.254Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,570482,"Gio Urshela","/api/v1/people/570482","R","Right",666204,"Dany Jiménez","/api/v1/people/666204","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Oakland Athletics",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",90.3,83.2,2,2,0.4151,5.7327,25.8454,-12.8194,-2.6055,10.9572,0.1994,3.2327,2.7354,-131.5461,-5.351,-0.5115,50.0027,6.2307,-4.6024,16.8,3.6,24,2195,202,NA,NA,NA,NA,NA,NA,FALSE,-14.3,19,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718769,"2023-03-31",3,"2023-03-31T04:43:05.011Z","2023-03-31T04:43:09.670Z",TRUE,"pitch","4ea56ba5-958a-4a73-8bf9-24bbbcaaa7b3",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.509,1.6341,NA,79.84,211.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Gio Urshela flies out to right fielder Ramon Laureano.",0,1,2,67,"top",9,"2023-03-31T04:41:43.912Z","2023-03-31T04:45:14.254Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,570482,"Gio Urshela","/api/v1/people/570482","R","Right",666204,"Dany Jiménez","/api/v1/people/666204","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Oakland Athletics",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.2,75.3,14,2,0.4631,5.6988,21.9184,-31.5305,0.3032,0.4546,0.9749,0.9998,3.1239,-118.1559,-5.4988,-0.4022,50.0027,6.2449,0.4298,1.2,9.6,24,2414,66,NA,NA,NA,NA,NA,NA,FALSE,-41.6,-0.2,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718769,"2023-03-31",2,"2023-03-31T04:42:42.605Z","2023-03-31T04:42:47.185Z",TRUE,"pitch","4d545c69-2478-4e8f-badf-aa3fa283f003",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.44,1.61,NA,99.73,181.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Gio Urshela flies out to right fielder Ramon Laureano.",0,1,2,67,"top",9,"2023-03-31T04:41:43.912Z","2023-03-31T04:45:14.254Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,570482,"Gio Urshela","/api/v1/people/570482","R","Right",666204,"Dany Jiménez","/api/v1/people/666204","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Oakland Athletics",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",80.8,74.4,9,2,0.4659,5.5565,22.9717,-31.0681,-0.2883,0.7936,0.4531,2.1118,2.8794,-117.7054,-3.171,-0.7502,50.0051,6.3622,-0.4036,0,9.6,24,2321,89,NA,NA,NA,NA,NA,NA,FALSE,-41,1,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718769,"2023-03-31",0,"2023-03-31T04:42:02.126Z","2023-03-31T04:42:06.646Z",TRUE,"pitch","85a2584c-dfe2-4332-9d22-577046bb8ace",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.509,1.7753,NA,97,133.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Gio Urshela flies out to right fielder Ramon Laureano.",0,1,2,67,"top",9,"2023-03-31T04:41:43.912Z","2023-03-31T04:45:14.254Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,570482,"Gio Urshela","/api/v1/people/570482","R","Right",666204,"Dany Jiménez","/api/v1/people/666204","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Oakland Athletics",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81,74.3,12,2,0.4645,5.4914,22.9584,-30.4919,2.1204,1.1999,0.5247,3.8984,2.4412,-118.0327,0.5291,-0.7995,50.0055,6.4843,2.9854,6,8.4,24,2279,144,NA,NA,NA,NA,NA,NA,FALSE,-39.1,2.5,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718769,"2023-03-31",1,"2023-03-31T04:42:20.664Z","2023-03-31T04:42:25.459Z",FALSE,"pickoff","9e9c93b9-ff12-41c7-bc38-46fb14c77ec3",NA,"Pickoff Attempt 1B",NA,NA,NA,NA,FALSE,"1",NA,NA,NA,NA,NA,NA,1,0,2,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Gio Urshela flies out to right fielder Ramon Laureano.",0,1,2,67,"top",9,"2023-03-31T04:41:43.912Z","2023-03-31T04:45:14.254Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,570482,"Gio Urshela","/api/v1/people/570482","R","Right",666204,"Dany Jiménez","/api/v1/people/666204","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Oakland Athletics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718769,"2023-03-31",7,"2023-03-31T04:44:44.660Z","2023-03-31T04:44:48.893Z",FALSE,"pickoff","619128e0-c1ac-464c-a3d7-3e76307a9c4e",NA,"Pickoff Attempt 1B",NA,NA,NA,NA,FALSE,"1",NA,NA,NA,NA,NA,NA,3,2,2,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Gio Urshela flies out to right fielder Ramon Laureano.",0,1,2,67,"top",9,"2023-03-31T04:41:43.912Z","2023-03-31T04:45:14.254Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,570482,"Gio Urshela","/api/v1/people/570482","R","Right",666204,"Dany Jiménez","/api/v1/people/666204","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Oakland Athletics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718769,"2023-03-31",9,"2023-03-31T04:41:23.485Z","2023-03-31T04:41:32.675Z",TRUE,"pitch","a1055c4f-fae2-4f8f-9873-eec69c5ad59f",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,1,NA,NA,3.57,1.7,NA,108.64,193.65,"popup","medium","3",157.8,164.87,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Pop Out","field_out","Brandon Drury pops out to first baseman Ryan Noda.",0,1,2,66,"top",9,"2023-03-31T04:38:39.089Z","2023-03-31T04:41:32.675Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,592273,"Brandon Drury","/api/v1/people/592273","R","Right",666204,"Dany Jiménez","/api/v1/people/666204","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Oakland Athletics",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",80.2,74.3,8,2,0.4681,5.5049,21.0793,-29.2492,-0.2066,2.1079,0.2193,1.6716,2.2148,-116.8125,-4.3498,-0.7125,50.0029,6.2939,-0.2868,0,8.4,24,2267,187,75.1,68,116,NA,NA,NA,TRUE,-39.2,3,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,621433,"Brett Phillips","/api/v1/people/621433",NA,NA,NA,NA,NA,NA
