"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717886,"2023-06-05",7,"2023-06-06T01:30:24.017Z","2023-06-06T01:30:31.699Z",TRUE,"pitch","5ec298aa-a21f-4bf7-b711-c729f434a4a4",7,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,2,NA,NA,3.27,1.47,NA,136.36,195.17,"line_drive","medium","7",74.38,97.84,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Lineout","field_out","Eric Haase lines out to left fielder Kyle Schwarber.",0,3,8,74,"top",9,"2023-06-06T01:28:07.663Z","2023-06-06T01:30:31.699Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,606992,"Eric Haase","/api/v1/people/606992","R","Right",607755,"Andrew Vasquez","/api/v1/people/607755","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Philadelphia Phillies",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81,75.4,7,2,0.464,5.8787,21.8578,-35.9635,-12.4608,-2.6773,-0.508,1.6152,-3.8178,-117.9225,-2.1626,2.7502,50.0058,5.8534,-17.6,26.4,12,24,2666,304,83.8,23,284,NA,NA,NA,TRUE,-46.7,-5.2,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717886,"2023-06-05",6,"2023-06-06T01:30:01.313Z","2023-06-06T01:30:06.352Z",TRUE,"pitch","da9b1f74-cd17-42ca-99c4-ae65dfb0e64d",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.27,1.47,NA,157.9,187.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Lineout","field_out","Eric Haase lines out to left fielder Kyle Schwarber.",0,3,8,74,"top",9,"2023-06-06T01:28:07.663Z","2023-06-06T01:30:31.699Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,606992,"Eric Haase","/api/v1/people/606992","R","Right",607755,"Andrew Vasquez","/api/v1/people/607755","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Philadelphia Phillies",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.7,75.6,13,2,0.4611,5.8039,23.5258,-38.1564,-8.9226,-4.1885,-1.073,1.9031,-5.7903,-118.9374,-1.5353,2.5552,50.0046,6.028,-12.7393,19.2,12,24,2800,309,NA,NA,NA,NA,NA,NA,FALSE,-48.7,-7.7,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717886,"2023-06-05",5,"2023-06-06T01:29:37.671Z","2023-06-06T01:29:42.251Z",TRUE,"pitch","86349ad5-6975-4133-90cf-d0ff4011c395",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.27,1.47,NA,140.59,201.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Lineout","field_out","Eric Haase lines out to left fielder Kyle Schwarber.",0,3,8,74,"top",9,"2023-06-06T01:28:07.663Z","2023-06-06T01:30:31.699Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,606992,"Eric Haase","/api/v1/people/606992","R","Right",607755,"Andrew Vasquez","/api/v1/people/607755","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Philadelphia Phillies",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.4,75.6,7,2,0.4623,5.9678,22.5019,-34.7734,-10.1221,-1.8268,-0.6189,1.3942,-4.4672,-118.4653,-3.0485,2.606,50.0042,5.8745,-14.3951,22.8,10.8,24,2770,307,NA,NA,NA,NA,NA,NA,FALSE,-45,-3.8,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717886,"2023-06-05",4,"2023-06-06T01:29:22.377Z","2023-06-06T01:29:27.989Z",TRUE,"pitch","98e47ad8-3534-46be-b32d-9d55a8398102",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.0093,1.4094,NA,166.24,167.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Lineout","field_out","Eric Haase lines out to left fielder Kyle Schwarber.",0,3,8,74,"top",9,"2023-06-06T01:28:07.663Z","2023-06-06T01:30:31.699Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,606992,"Eric Haase","/api/v1/people/606992","R","Right",607755,"Andrew Vasquez","/api/v1/people/607755","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",89.7,82.9,11,2,0.4189,6.14,24.1902,-18.3319,7.471,7.9734,-1.2917,2.6258,-11.3033,-130.1348,-5.7702,2.1133,50.0023,6.2353,12.9701,30,4.8,24,2272,134,NA,NA,NA,NA,NA,NA,FALSE,-20.4,13.4,-11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717886,"2023-06-05",2,"2023-06-06T01:28:56.711Z","2023-06-06T01:29:00.353Z",TRUE,"pitch","61d5ac0b-1e9a-49b5-ab3b-25ce037dcd97",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.27,1.47,NA,129.79,186.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Lineout","field_out","Eric Haase lines out to left fielder Kyle Schwarber.",0,3,8,74,"top",9,"2023-06-06T01:28:07.663Z","2023-06-06T01:30:31.699Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,606992,"Eric Haase","/api/v1/people/606992","R","Right",607755,"Andrew Vasquez","/api/v1/people/607755","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Philadelphia Phillies",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.1,74.7,7,2,0.4652,5.998,23.9275,-36.5474,-10.6269,-3.117,-0.3356,1.9479,-3.8069,-118.0604,-1.5253,2.6818,50.0047,5.9875,-14.8982,22.8,12,24,2668,316,NA,NA,NA,NA,NA,NA,FALSE,-47.5,-5.8,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717886,"2023-06-05",1,"2023-06-06T01:28:41.159Z","2023-06-06T01:28:45.094Z",TRUE,"pitch","bdfb0330-7224-4624-afb7-e45569a9fa18",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.2491,1.4575,NA,30.76,114.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Lineout","field_out","Eric Haase lines out to left fielder Kyle Schwarber.",0,3,8,74,"top",9,"2023-06-06T01:28:07.663Z","2023-06-06T01:30:31.699Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,606992,"Eric Haase","/api/v1/people/606992","R","Right",607755,"Andrew Vasquez","/api/v1/people/607755","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",88,80.4,12,2,0.4276,6.0021,26.6663,-19.8961,4.8626,7.392,2.2625,4.6025,-2.4621,-128.1389,-0.6524,2.6044,50.0062,6.416,8.0817,20.4,4.8,24,2255,127,NA,NA,NA,NA,NA,NA,FALSE,-21.8,13.4,-8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717886,"2023-06-05",0,"2023-06-06T01:28:26.899Z","2023-06-06T01:28:30.788Z",TRUE,"pitch","130557ba-4c2a-4afd-ba00-fd05aa926665",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.2703,1.4334,NA,126.37,164.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Lineout","field_out","Eric Haase lines out to left fielder Kyle Schwarber.",0,3,8,74,"top",9,"2023-06-06T01:28:07.663Z","2023-06-06T01:30:31.699Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,606992,"Eric Haase","/api/v1/people/606992","R","Right",607755,"Andrew Vasquez","/api/v1/people/607755","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Philadelphia Phillies",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",80.1,73.4,2,2,0.472,5.7949,24.0482,-35.6208,-11.453,-2.5294,-0.2458,2.7544,-3.3099,-116.5177,0.1795,2.685,50.0054,6.0717,-15.583,24,12,24,2679,313,NA,NA,NA,NA,NA,NA,FALSE,-47.2,-4.2,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717886,"2023-06-05",3,"2023-06-06T01:29:13.360Z","2023-06-06T01:29:22.377Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",3,8,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,2,606992,"/api/v1/people/606992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"74","atBat","Lineout","field_out","Eric Haase lines out to left fielder Kyle Schwarber.",0,3,8,74,"top",9,"2023-06-06T01:28:07.663Z","2023-06-06T01:30:31.699Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,606992,"Eric Haase","/api/v1/people/606992","R","Right",607755,"Andrew Vasquez","/api/v1/people/607755","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717886,"2023-06-05",4,"2023-06-06T01:27:45.231Z","2023-06-06T01:27:55.236Z",TRUE,"pitch","b6f0a213-ff4c-493c-a00c-b7877fe32992",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,1,NA,NA,3.58,1.71,NA,142,187.77,"line_drive","medium","6",90.5,140.32,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Lineout","field_out","Jonathan Schoop lines out to shortstop Trea Turner.",0,3,8,73,"top",9,"2023-06-06T01:26:55.363Z","2023-06-06T01:27:55.236Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,570731,"Jonathan Schoop","/api/v1/people/570731","R","Right",607755,"Andrew Vasquez","/api/v1/people/607755","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Philadelphia Phillies",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.4,74.6,7,2,0.4649,6.0322,25.4992,-36.3262,-10.4383,-2.9652,-0.6559,1.8893,-4.627,-118.4459,-1.6298,2.6871,50.0022,5.9501,-14.6268,22.8,12,24,2843,316,66.1,21,176,NA,NA,NA,TRUE,-47.2,-5.5,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,670097,"Zack Short","/api/v1/people/670097",NA,NA,NA,NA,NA,NA
717886,"2023-06-05",3,"2023-06-06T01:27:30.174Z","2023-06-06T01:27:36.383Z",TRUE,"pitch","bbeff088-533e-40a5-84f0-a359e7e958d7",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.5367,1.7101,NA,24.04,147.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Lineout","field_out","Jonathan Schoop lines out to shortstop Trea Turner.",0,3,8,73,"top",9,"2023-06-06T01:26:55.363Z","2023-06-06T01:27:55.236Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,570731,"Jonathan Schoop","/api/v1/people/570731","R","Right",607755,"Andrew Vasquez","/api/v1/people/607755","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Philadelphia Phillies",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",77.2,70.9,12,2,0.4871,5.5189,19.9974,-31.8868,-10.6055,0.2234,2.4387,3.3773,-0.4636,-112.3568,5.3352,4.0258,50.0015,4.209,-13.5842,24,10.8,24,2758,276,NA,NA,NA,NA,NA,NA,FALSE,-43.8,2,19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
