"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717929,"2023-06-02",2,"2023-06-03T03:17:04.146Z","2023-06-03T03:17:11.645Z",TRUE,"pitch","6900c98f-13ed-42ea-b660-b44afec81f63",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,2,NA,NA,3.59,1.66,NA,139.11,209.15,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Brett Baty strikes out swinging.",0,3,0,67,"bottom",9,"2023-06-03T03:15:46.812Z","2023-06-03T03:17:11.645Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,683146,"Brett Baty","/api/v1/people/683146","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.9,82.2,13,0.9,0.4257,7.5907,23.1905,-35.574,1.8444,-2.0155,-0.5799,1.0974,4.4382,-128.0364,-4.894,-2.5667,50.0062,5.777,3.1033,6,8.4,24,2218,90,NA,NA,NA,NA,NA,NA,TRUE,-39.4,-4.4,-4.2,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717929,"2023-06-02",1,"2023-06-03T03:16:42.800Z","2023-06-03T03:16:47.521Z",TRUE,"pitch","e5228c1e-767c-4a58-a092-6cddb5a6de89",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.59,1.66,NA,107.11,145.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Brett Baty strikes out swinging.",0,3,0,67,"bottom",9,"2023-06-03T03:15:46.812Z","2023-06-03T03:17:11.645Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,683146,"Brett Baty","/api/v1/people/683146","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.9,90.2,2,0.88,0.3832,7.6694,29.6985,-10.2933,-2.3237,10.5532,0.2594,3.4413,8.0538,-142.3917,-4.6825,-2.2918,50.0063,5.7465,-4.8209,15.6,2.4,24,2458,214,NA,NA,NA,NA,NA,NA,FALSE,-10,18.5,2.8,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717929,"2023-06-02",0,"2023-06-03T03:16:15.109Z","2023-06-03T03:16:23.202Z",TRUE,"pitch","9e4bc51f-34ce-48bf-94f5-b0a44f633715",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.59,1.66,NA,99.95,172.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Brett Baty strikes out swinging.",0,3,0,67,"bottom",9,"2023-06-03T03:15:46.812Z","2023-06-03T03:17:11.645Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,683146,"Brett Baty","/api/v1/people/683146","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.6,88.1,6,0.88,0.391,7.678,31.9643,-9.0987,-5.4638,11.6123,0.4472,2.4402,9.9519,-140.1371,-7.1541,-2.4417,50.0008,5.6221,-10.8565,38.4,2.4,24,2396,216,NA,NA,NA,NA,NA,NA,FALSE,-9.8,19.7,7.8,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717929,"2023-06-02",1,"2023-06-03T03:15:34.485Z","2023-06-03T03:15:45.487Z",TRUE,"pitch","d49939bf-dad0-45aa-b0fd-4a0a07c856e7",2,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,1,2,NA,NA,3.28,1.54,NA,86.84,174.62,"ground_ball","medium","8",119.33,146.62,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","Pete Alonso singles on a ground ball to center fielder Kevin Kiermaier.",0,3,0,66,"bottom",9,"2023-06-03T03:14:55.818Z","2023-06-03T03:15:45.487Z",TRUE,FALSE,FALSE,FALSE,33,0,1,2,624413,"Pete Alonso","/api/v1/people/624413","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.1,83,6,0.9,0.4201,7.5576,24.1017,-32.1972,3.2566,-0.0159,0.7912,2.3763,6.8843,-129.7929,-2.7616,-2.306,50.0003,5.8761,5.622,12,8.4,24,2303,76,95,-2,37,NA,NA,NA,FALSE,-34.4,-0.4,-7.3,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,624413,"Pete Alonso","/api/v1/people/624413",NA,NA,NA,NA,NA,NA
717929,"2023-06-02",0,"2023-06-03T03:15:19.975Z","2023-06-03T03:15:27.290Z",TRUE,"pitch","62bbfee5-4de1-4424-82a6-ffc7def2efbf",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.1938,1.5399,NA,121.56,173.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","Pete Alonso singles on a ground ball to center fielder Kevin Kiermaier.",0,3,0,66,"bottom",9,"2023-06-03T03:14:55.818Z","2023-06-03T03:15:45.487Z",TRUE,FALSE,FALSE,FALSE,33,0,1,2,624413,"Pete Alonso","/api/v1/people/624413","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.1,80.9,5,0.91,0.4302,7.563,23.9712,-36.7225,2.2985,-2.7654,-0.1197,2.4336,5.2474,-126.9205,-1.4199,-2.5059,50.0032,5.903,3.7796,7.2,9.6,24,2006,56,NA,NA,NA,NA,NA,NA,FALSE,-40.8,-5,-5.3,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717929,"2023-06-02",2,"2023-06-03T03:14:43.372Z","2023-06-03T03:14:55.457Z",TRUE,"pitch","e1de2cb3-29b8-4ae5-9f28-376216782071",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,1,NA,NA,3.55,1.7,NA,120.09,163.9,"popup","medium","4",142.97,167.23,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Pop Out","field_out","Jeff McNeil pops out to second baseman Whit Merrifield.",0,3,0,65,"bottom",9,"2023-06-03T03:13:23.860Z","2023-06-03T03:14:55.457Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,643446,"Jeff McNeil","/api/v1/people/643446","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.3,88.8,5,0.88,0.3896,7.7693,28.6239,-10.5697,-3.3063,10.7681,-0.0812,2.7734,7.9884,-140.0431,-5.9585,-2.5283,50.0053,5.6054,-6.6363,22.8,2.4,24,2330,209,84.6,73,78,NA,NA,NA,TRUE,-10.7,18.6,4.6,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717929,"2023-06-02",1,"2023-06-03T03:14:27.074Z","2023-06-03T03:14:31.659Z",TRUE,"pitch","ffb6ad75-c86f-4232-9ff8-71cc158d2510",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.4637,1.6999,NA,111.29,126.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Pop Out","field_out","Jeff McNeil pops out to second baseman Whit Merrifield.",0,3,0,65,"bottom",9,"2023-06-03T03:13:23.860Z","2023-06-03T03:14:55.457Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,643446,"Jeff McNeil","/api/v1/people/643446","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.4,89.3,12,0.88,0.3858,7.6559,31.2097,-11.2025,-2.9613,10.2651,0.1498,4.1491,7.6515,-141.752,-3.1643,-2.195,50.0034,5.9909,-6.0512,20.4,2.4,24,2352,197,NA,NA,NA,NA,NA,NA,FALSE,-10.6,18.1,3.8,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717929,"2023-06-02",0,"2023-06-03T03:14:07.725Z","2023-06-03T03:14:13.162Z",TRUE,"pitch","22b9a185-f2a5-4a68-bbc0-a5bc3804b71e",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,3.55,1.7,NA,107.22,178.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Pop Out","field_out","Jeff McNeil pops out to second baseman Whit Merrifield.",0,3,0,65,"bottom",9,"2023-06-03T03:13:23.860Z","2023-06-03T03:14:55.457Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,643446,"Jeff McNeil","/api/v1/people/643446","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98,90.2,8,0.88,0.3836,7.7653,30.2711,-11.4675,-4.0864,10.01,0.2567,2.2427,9.2928,-142.3631,-7.6589,-2.5076,50.0069,5.6804,-8.4572,26.4,2.4,24,2337,210,NA,NA,NA,NA,NA,NA,FALSE,-11.5,16.8,5.6,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717929,"2023-06-02",2,"2023-06-03T03:13:10.386Z","2023-06-03T03:13:23.881Z",TRUE,"pitch","12a40d82-46fd-4616-8981-529847699ee7",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,0,NA,NA,3.22,1.48,NA,137.82,189.07,"fly_ball","medium","7",63.1,72.99,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Flyout","field_out","Francisco Lindor flies out to left fielder Daulton Varsho.",0,3,0,64,"bottom",9,"2023-06-03T03:12:23.301Z","2023-06-03T03:13:23.881Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.2,80.4,7,0.91,0.4343,7.6044,22.8968,-38.2396,1.6475,-3.7562,-0.5462,1.841,4.9685,-125.6084,-2.0868,-2.7554,50.0022,5.7607,2.6603,4.8,9.6,24,2004,59,99.7,36,349,NA,NA,NA,TRUE,-43.4,-7.1,-4,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717929,"2023-06-02",1,"2023-06-03T03:12:25.473Z","2023-06-03T03:12:30.098Z",TRUE,"pitch","e0e7487f-1bf8-4151-92c8-27a0c6d5a3b6",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,2.9903,1.4799,NA,162.17,174.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Flyout","field_out","Francisco Lindor flies out to left fielder Daulton Varsho.",0,3,0,64,"bottom",9,"2023-06-03T03:12:23.301Z","2023-06-03T03:13:23.881Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.7,79.6,11,0.91,0.4371,7.6575,22.8201,-34.9228,3.0835,-1.7269,-1.1851,2.3637,3.2412,-124.8303,-1.3769,-2.8962,50.0015,5.7719,4.9129,8.4,9.6,24,2093,78,NA,NA,NA,NA,NA,NA,FALSE,-40.1,-3.2,-6.2,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
