"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716909,"2023-08-19",1,"2023-08-19T21:10:21.394Z","2023-08-19T21:10:31.040Z",TRUE,"pitch","9986d468-c1f6-4c72-94ec-0092cda1789b",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.36,1.65,NA,102.4,179.72,"fly_ball","medium","4",123.18,119.77,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Flyout","field_out","Bryan De La Cruz flies out to second baseman Amed Rosario.",0,1,3,64,"top",9,"2023-08-19T21:09:56.257Z","2023-08-19T21:10:31.040Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,650559,"Bryan De La Cruz","/api/v1/people/650559","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Los Angeles Dodgers","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.1,78.2,6,0.9,0.4425,6.1591,25.3538,-29.9805,8.3614,1.4157,0.3831,2.1873,3.2476,-123.9138,-1.0444,-2.0319,50.005,5.125,12.969,24,8.4,24,2351,58,85,57,203,NA,NA,NA,TRUE,-35.3,2.5,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716909,"2023-08-19",0,"2023-08-19T21:10:06.727Z","2023-08-19T21:10:10.591Z",TRUE,"pitch","b58345c3-5db0-458f-bc64-ef1924b82655",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.619,1.8945,NA,94.49,192.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Flyout","field_out","Bryan De La Cruz flies out to second baseman Amed Rosario.",0,1,3,64,"top",9,"2023-08-19T21:09:56.257Z","2023-08-19T21:10:31.040Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,650559,"Bryan De La Cruz","/api/v1/people/650559","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Los Angeles Dodgers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.2,88.5,14,0.91,0.3907,6.644,29.2393,-16.8861,-5.9795,7.6658,0.5906,1.7314,8.4263,-139.7879,-6.1482,-1.6752,50.0048,5.0539,-11.9275,28.8,4.8,24,2268,221,NA,NA,NA,NA,NA,NA,FALSE,-16.6,12.8,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716909,"2023-08-19",1,"2023-08-19T21:09:33.419Z","2023-08-19T21:09:42.111Z",TRUE,"pitch","60c6a6f0-3cc7-4c75-9286-b1b8ac07f45f",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,1,NA,NA,3.29,1.55,NA,125.93,176.61,"ground_ball","medium","4",148.81,152.33,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Groundout","field_out","Jake Burger grounds out, second baseman Amed Rosario to first baseman Freddie Freeman.",0,1,3,63,"top",9,"2023-08-19T21:09:13.712Z","2023-08-19T21:09:42.111Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,669394,"Jake Burger","/api/v1/people/669394","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Los Angeles Dodgers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.7,87.7,5,0.9,0.3935,6.6204,30.9759,-28.0832,-9.4623,2.0823,-0.2343,2.3024,7.7033,-139.1641,-2.7626,-1.8077,50.0021,5.1666,-18.5752,30,7.2,24,2107,231,87.8,-20,7,NA,NA,NA,TRUE,-26.5,3.4,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716909,"2023-08-19",0,"2023-08-19T21:09:18.424Z","2023-08-19T21:09:23.153Z",TRUE,"pitch","93475226-cb68-46a4-a75e-d8644db60cdf",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.545,1.6545,NA,121.15,205.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Groundout","field_out","Jake Burger grounds out, second baseman Amed Rosario to first baseman Freddie Freeman.",0,1,3,63,"top",9,"2023-08-19T21:09:13.712Z","2023-08-19T21:09:42.111Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,669394,"Jake Burger","/api/v1/people/669394","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Los Angeles Dodgers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,89,13,0.91,0.3892,6.5568,29.0729,-16.602,-6.9812,7.7498,-0.1089,1.2319,7.2121,-140.2446,-7.4829,-1.7958,50.0059,4.9998,-14.0333,34.8,4.8,24,2302,225,NA,NA,NA,NA,NA,NA,FALSE,-16.4,12.8,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716909,"2023-08-19",1,"2023-08-19T21:08:47.032Z","2023-08-19T21:08:55.787Z",TRUE,"pitch","620527e8-c93d-4482-9db8-cdb108fd7cdf",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,0,NA,NA,3.57,1.7,NA,99.79,159.87,"fly_ball","medium","8",130.37,93.15,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Flyout","field_out","Jazz Chisholm Jr. flies out to center fielder James Outman.",0,1,3,62,"top",9,"2023-08-19T21:08:44.797Z","2023-08-19T21:08:55.787Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,665862,"Jazz Chisholm Jr.","/api/v1/people/665862","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Los Angeles Dodgers",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.1,86.9,6,0.9,0.4006,6.2638,23.7296,-24.2963,0.333,4.1413,0.4514,2.9224,6.3845,-135.6407,-1.5285,-1.9555,50.005,5.1529,0.6331,3.6,4.8,24,2400,208,83,45,267,NA,NA,NA,TRUE,-23.5,7.4,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716909,"2023-08-19",0,"2023-08-19T21:07:32.560Z","2023-08-19T21:08:47.032Z",FALSE,"action",NA,NA,"Pitching Change: Evan Phillips replaces Ryan Yarbrough.","Pitching Substitution",1,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,623465,"/api/v1/people/623465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"62","atBat","Flyout","field_out","Jazz Chisholm Jr. flies out to center fielder James Outman.",0,1,3,62,"top",9,"2023-08-19T21:08:44.797Z","2023-08-19T21:08:55.787Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,665862,"Jazz Chisholm Jr.","/api/v1/people/665862","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Los Angeles Dodgers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716909,"2023-08-19",4,"2023-08-19T21:05:47.012Z","2023-08-19T21:05:54.478Z",TRUE,"pitch","21e70453-ad03-49ee-b96d-ce288b8d8a48",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,1,2,NA,NA,3.29,1.59,NA,123.92,202.64,"ground_ball","medium","3",154.87,163.24,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Groundout","field_out","Amed Rosario grounds out, first baseman Josh Bell to pitcher David Robertson.",0,1,3,61,"bottom",8,"2023-08-19T21:04:16.578Z","2023-08-19T21:05:54.478Z",TRUE,FALSE,FALSE,TRUE,0,3,1,3,642708,"Amed Rosario","/api/v1/people/642708","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","Miami Marlins","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.4,86.4,13,0.9,0.402,6.7154,27.2642,-18.8538,1.3322,7.0696,-0.1815,1.3385,5.729,-135.7889,-7.6814,-2.4841,50.0009,5.4954,2.5095,9.6,4.8,24,2681,198,94.6,-7,11,NA,NA,NA,TRUE,-19.7,11.5,-3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716909,"2023-08-19",3,"2023-08-19T21:05:27.846Z","2023-08-19T21:05:32.078Z",TRUE,"pitch","7cd6e1e0-e2c4-4292-9e61-198bd8c05fba",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,1,2,NA,NA,3.2489,1.5438,NA,118.62,173.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Groundout","field_out","Amed Rosario grounds out, first baseman Josh Bell to pitcher David Robertson.",0,1,3,61,"bottom",8,"2023-08-19T21:04:16.578Z","2023-08-19T21:05:54.478Z",TRUE,FALSE,FALSE,TRUE,0,3,1,3,642708,"Amed Rosario","/api/v1/people/642708","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","Miami Marlins","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92.1,86,5,0.89,0.4052,6.5283,23.3739,-19.7093,0.3041,6.7062,-0.0426,2.4125,6.4752,-134.115,-5.0309,-2.5073,50.0064,5.6787,0.5648,4.8,4.8,24,2721,190,NA,NA,NA,NA,NA,NA,FALSE,-20.2,11.5,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716909,"2023-08-19",2,"2023-08-19T21:05:06.723Z","2023-08-19T21:05:11.932Z",TRUE,"pitch","78f61a36-0eed-4447-bbd0-3313161ebb66",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,2,NA,NA,3.3784,1.673,NA,157.87,191.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Groundout","field_out","Amed Rosario grounds out, first baseman Josh Bell to pitcher David Robertson.",0,1,3,61,"bottom",8,"2023-08-19T21:04:16.578Z","2023-08-19T21:05:54.478Z",TRUE,FALSE,FALSE,TRUE,0,3,1,3,642708,"Amed Rosario","/api/v1/people/642708","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","Miami Marlins","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.4,86.4,13,0.9,0.4013,6.6331,27.1402,-19.8392,0.8695,6.5227,-1.0723,1.7483,4.2756,-135.9848,-6.304,-2.7717,50.0005,5.4525,1.6438,7.2,4.8,24,2656,196,NA,NA,NA,NA,NA,NA,FALSE,-20.3,10.8,-2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716909,"2023-08-19",1,"2023-08-19T21:04:41.084Z","2023-08-19T21:04:45.325Z",TRUE,"pitch","e0e00452-2f8c-47ce-9914-86a30d52f1c7",2,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,0,2,NA,NA,3.3784,1.5992,NA,101.6,221.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Groundout","field_out","Amed Rosario grounds out, first baseman Josh Bell to pitcher David Robertson.",0,1,3,61,"bottom",8,"2023-08-19T21:04:16.578Z","2023-08-19T21:05:54.478Z",TRUE,FALSE,FALSE,TRUE,0,3,1,3,642708,"Amed Rosario","/api/v1/people/642708","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","Miami Marlins","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.3,86.4,14,0.91,0.4028,6.8648,26.822,-13.6919,1.054,9.8468,0.4041,0.6394,7.3553,-135.4552,-10.3181,-2.4723,50.0028,5.4316,1.9766,12,3.6,24,2689,200,NA,NA,NA,NA,NA,NA,FALSE,-15.2,16.1,-3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
