"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType"
718686,"2023-04-06",2,"2023-04-06T20:40:15.643Z","2023-04-06T20:40:20.327Z",TRUE,"pitch","dc7971e8-8408-4e77-8c9e-0a453bf7022a",3,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,3,2,NA,NA,3.43,1.68,NA,161.14,158.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","MJ Melendez strikes out on a foul tip.",0,6,3,75,"bottom",9,"2023-04-06T20:39:37.851Z","2023-04-06T20:40:20.327Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,669004,"MJ Melendez","/api/v1/people/669004","L","Left",643256,"Adam Cimber","/api/v1/people/643256","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",85.6,78,11,0.92,0.441,6.3565,23.9109,-29.7888,-7.909,1.5273,-1.158,2.9655,9.3229,-124.0136,7.7901,-3.9318,50.0041,2.2654,-12.3682,20.4,8.4,24,2149,286,NA,NA,NA,NA,NA,NA,TRUE,-32.6,4.9,12.2,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718686,"2023-04-06",1,"2023-04-06T20:39:57.914Z","2023-04-06T20:40:01.040Z",TRUE,"pitch","b37b05b5-f12c-496f-aeb7-381949f34607",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.43,1.68,NA,130.89,190.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","MJ Melendez strikes out on a foul tip.",0,6,3,75,"bottom",9,"2023-04-06T20:39:37.851Z","2023-04-06T20:40:20.327Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,669004,"MJ Melendez","/api/v1/people/669004","L","Left",643256,"Adam Cimber","/api/v1/people/643256","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",85.5,77.9,7,0.86,0.4421,6.3447,24.2733,-33.1316,-9.6635,-0.6139,-0.3644,1.7835,11.1523,-123.8149,5.946,-3.6675,50.0038,2.1209,-15.0342,21.6,8.4,24,2509,356,NA,NA,NA,NA,NA,NA,FALSE,-37.1,0.6,15,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718686,"2023-04-06",0,"2023-04-06T20:39:44.751Z","2023-04-06T20:39:47.788Z",TRUE,"pitch","36d9d00e-9954-449e-be08-5d8e2cf57442",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.43,1.68,NA,130.4,150.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","MJ Melendez strikes out on a foul tip.",0,6,3,75,"bottom",9,"2023-04-06T20:39:37.851Z","2023-04-06T20:40:20.327Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,669004,"MJ Melendez","/api/v1/people/669004","L","Left",643256,"Adam Cimber","/api/v1/people/643256","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",84.1,76.4,1,0.92,0.4502,6.5101,23.5765,-29.1887,-8.1049,1.9946,-0.3516,3.2591,10.9061,-121.6024,8.497,-3.8392,50.0051,2.2509,-12.155,20.4,8.4,24,1996,181,NA,NA,NA,NA,NA,NA,FALSE,-33.1,6.1,12.1,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718686,"2023-04-06",9,"2023-04-06T20:39:14.317Z","2023-04-06T20:39:21.673Z",TRUE,"pitch","9f2321c5-9650-4780-a9a3-2732a5409408",9,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,1,NA,NA,3.48,1.62,NA,86.29,178.3,"ground_ball","soft","1",131.7,187.48,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Bobby Witt Jr. grounds out softly, pitcher Adam Cimber to first baseman Brandon Belt.",0,6,3,74,"bottom",9,"2023-04-06T20:36:28.029Z","2023-04-06T20:39:21.673Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",643256,"Adam Cimber","/api/v1/people/643256","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",86.1,78.5,6,0.93,0.44,6.5103,24.1709,-43.2492,-7.2482,-7.0565,0.8056,2.2401,13.2908,-124.328,8.7069,-3.6597,50.0001,2.2773,-11.384,12,10.8,24,2381,248,65,-62,2,NA,NA,NA,TRUE,-47.6,-10.3,10.2,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718686,"2023-04-06",7,"2023-04-06T20:38:49.618Z","2023-04-06T20:38:53.016Z",TRUE,"pitch","1ccecac9-d528-41f4-95b9-b464248c10bb",8,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,1,NA,NA,3.48,1.62,NA,126.4,197.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Bobby Witt Jr. grounds out softly, pitcher Adam Cimber to first baseman Brandon Belt.",0,6,3,74,"bottom",9,"2023-04-06T20:36:28.029Z","2023-04-06T20:39:21.673Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",643256,"Adam Cimber","/api/v1/people/643256","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",86,78.9,8,0.91,0.4387,6.3991,23.2707,-41.396,-9.2075,-5.8335,-0.2466,1.5455,11.9806,-124.5163,6.8548,-3.9077,50.0006,2.1698,-14.5643,16.8,10.8,24,2166,283,NA,NA,NA,NA,NA,NA,FALSE,-45.8,-8.6,14.2,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718686,"2023-04-06",6,"2023-04-06T20:38:33.787Z","2023-04-06T20:38:37.496Z",TRUE,"pitch","bc376f30-48b7-4270-98d4-e6581f07da56",7,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,1,NA,NA,3.4755,1.6152,NA,51.36,146.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Bobby Witt Jr. grounds out softly, pitcher Adam Cimber to first baseman Brandon Belt.",0,6,3,74,"bottom",9,"2023-04-06T20:36:28.029Z","2023-04-06T20:39:21.673Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",643256,"Adam Cimber","/api/v1/people/643256","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",85.5,78,12,0.89,0.4433,6.5961,22.6106,-31.4011,-9.1584,0.4971,1.722,3.4345,15.6619,-123.1726,9.3272,-3.5057,50.0007,2.2491,-14.1856,20.4,8.4,24,2109,245,NA,NA,NA,NA,NA,NA,FALSE,-34.3,3.6,13.2,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718686,"2023-04-06",5,"2023-04-06T20:38:18.000Z","2023-04-06T20:38:21.629Z",TRUE,"pitch","41391b98-34c7-4ef3-b83e-fd8f50033a53",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.4755,1.6152,NA,66.76,137.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Bobby Witt Jr. grounds out softly, pitcher Adam Cimber to first baseman Brandon Belt.",0,6,3,74,"bottom",9,"2023-04-06T20:36:28.029Z","2023-04-06T20:39:21.673Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",643256,"Adam Cimber","/api/v1/people/643256","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",76.9,70.7,12,0.84,0.4905,6.4295,18.0417,-25.5678,1.5009,5.2162,1.3181,3.7516,10.5057,-111.2349,8.9537,-3.6408,50.0005,2.3201,1.8975,8.4,8.4,24,2455,101,NA,NA,NA,NA,NA,NA,FALSE,-34.3,12.1,-5.2,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718686,"2023-04-06",4,"2023-04-06T20:37:59.532Z","2023-04-06T20:38:03.495Z",TRUE,"pitch","08b987c2-70c9-4483-a501-42c41786c5cc",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.48,1.62,NA,109.05,140.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Bobby Witt Jr. grounds out softly, pitcher Adam Cimber to first baseman Brandon Belt.",0,6,3,74,"bottom",9,"2023-04-06T20:36:28.029Z","2023-04-06T20:39:21.673Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",643256,"Adam Cimber","/api/v1/people/643256","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",85.9,78.6,12,0.9,0.4392,6.4628,22.9613,-31.1085,-5.0964,0.6735,0.2084,3.6224,11.3223,-124.3094,9.2174,-3.7261,50.0009,2.4441,-8.0433,10.8,7.2,24,2375,317,NA,NA,NA,NA,NA,NA,FALSE,-33.6,3.6,6.8,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718686,"2023-04-06",3,"2023-04-06T20:37:19.910Z","2023-04-06T20:37:23.576Z",TRUE,"pitch","19c3dcb1-4256-4c53-9f6d-aeaee746b59c",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.48,1.62,NA,111.75,143.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Bobby Witt Jr. grounds out softly, pitcher Adam Cimber to first baseman Brandon Belt.",0,6,3,74,"bottom",9,"2023-04-06T20:36:28.029Z","2023-04-06T20:39:21.673Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",643256,"Adam Cimber","/api/v1/people/643256","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",84.8,77.7,2,0.9,0.4448,6.5033,21.6833,-30.8104,-7.1795,0.8858,0.1377,3.5175,11.5162,-122.623,9.019,-3.6628,50.0024,2.4134,-11.0569,16.8,8.4,24,2157,274,NA,NA,NA,NA,NA,NA,FALSE,-34.2,4,10.7,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718686,"2023-04-06",2,"2023-04-06T20:37:02.883Z","2023-04-06T20:37:06.085Z",TRUE,"pitch","f32161be-04d8-467e-b5c8-95b8f8e65d83",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.48,1.62,NA,115.45,136.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Bobby Witt Jr. grounds out softly, pitcher Adam Cimber to first baseman Brandon Belt.",0,6,3,74,"bottom",9,"2023-04-06T20:36:28.029Z","2023-04-06T20:39:21.673Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",643256,"Adam Cimber","/api/v1/people/643256","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",84,76,12,0.91,0.4517,6.5905,24.0031,-30.5,-8.0643,1.1235,0.0408,3.7827,11.4403,-121.3131,9.6896,-3.691,50.0015,2.3961,-12.0052,19.2,8.4,24,2207,278,NA,NA,NA,NA,NA,NA,FALSE,-34.4,4.9,11.9,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
