"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
716432,"2023-09-26",3,"2023-09-27T01:33:23.212Z","2023-09-27T01:33:32.771Z",TRUE,"pitch","d49d6413-acea-4d8c-bf82-33d3d86eb0a4",4,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,2,1,NA,NA,3.35,1.62,NA,128.53,152.74,"ground_ball","medium","8",123.46,97.74,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","Johan Rojas singles on a ground ball to center fielder Jack Suwinski. Cristian Pache scores.",1,2,3,70,"bottom",10,"2023-09-27T01:31:54.845Z","2023-09-27T01:33:32.771Z",TRUE,TRUE,FALSE,FALSE,60,1,2,1,679032,"Johan Rojas","/api/v1/people/679032","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Pittsburgh Pirates","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.3,88,1,0.92,0.3888,6.6026,35.5796,-9.1325,-4.2777,11.4909,-0.3024,3.1867,5.4742,-141.4755,-6.1858,-1.7167,50.0006,6.0024,-8.5762,33.6,2.4,24,2476,208,100.1,-9,19,NA,NA,NA,FALSE,-9.6,19.6,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,679032,"Johan Rojas","/api/v1/people/679032",NA,NA,NA,NA,NA,NA
716432,"2023-09-26",2,"2023-09-27T01:32:51.886Z","2023-09-27T01:32:56.250Z",TRUE,"pitch","6a154f16-ce03-4bf8-9a62-d87c03dda99a",3,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,2,1,NA,NA,3.277,1.5054,NA,24.73,234.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","Johan Rojas singles on a ground ball to center fielder Jack Suwinski. Cristian Pache scores.",1,2,3,70,"bottom",10,"2023-09-27T01:31:54.845Z","2023-09-27T01:33:32.771Z",TRUE,TRUE,FALSE,FALSE,60,1,2,1,679032,"Johan Rojas","/api/v1/people/679032","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Pittsburgh Pirates","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",78.8,73.2,14,0.91,0.4796,6.209,22.6177,-42.1024,5.0993,-7.5293,2.4207,0.1546,7.6938,-114.5305,-3.7751,-1.6543,50.0029,5.9725,6.7233,10.8,13.2,24,2734,39,NA,NA,NA,NA,NA,NA,FALSE,-58.8,-14.4,-11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716432,"2023-09-26",1,"2023-09-27T01:32:29.198Z","2023-09-27T01:32:34.065Z",TRUE,"pitch","640479e9-e6ab-43de-ad3a-ec905cd4c8c7",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,1,NA,NA,3.35,1.62,NA,69.33,214.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","Johan Rojas singles on a ground ball to center fielder Jack Suwinski. Cristian Pache scores.",1,2,3,70,"bottom",10,"2023-09-27T01:31:54.845Z","2023-09-27T01:33:32.771Z",TRUE,TRUE,FALSE,FALSE,60,1,2,1,679032,"Johan Rojas","/api/v1/people/679032","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Pittsburgh Pirates","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",78.3,71.9,14,0.91,0.4843,6.1449,24.206,-42.9179,6.0486,-8.3281,1.2507,0.8846,5.1041,-113.8331,-1.872,-1.8204,50.0029,6.0334,7.8025,10.8,14.4,24,2708,46,NA,NA,NA,NA,NA,NA,FALSE,-60.5,-15.2,-12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716432,"2023-09-26",0,"2023-09-27T01:32:09.215Z","2023-09-27T01:32:13.661Z",TRUE,"pitch","0665dfd6-4344-4a38-9c8a-6169c2bab823",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.5358,1.6347,NA,105.49,175.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","Johan Rojas singles on a ground ball to center fielder Jack Suwinski. Cristian Pache scores.",1,2,3,70,"bottom",10,"2023-09-27T01:31:54.845Z","2023-09-27T01:33:32.771Z",TRUE,TRUE,FALSE,FALSE,60,1,2,1,679032,"Johan Rojas","/api/v1/people/679032","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Pittsburgh Pirates","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.4,88.6,6,0.92,0.3879,6.6379,33.4112,-7.1006,-6.3032,12.4301,0.3019,2.35,7.9133,-141.4083,-8.4255,-1.719,50.0058,5.8302,-12.7182,50.4,2.4,24,2533,209,NA,NA,NA,NA,NA,NA,FALSE,-8.2,20.9,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716432,"2023-09-26",7,"2023-09-27T01:31:37.922Z","2023-09-27T01:31:44.283Z",TRUE,"pitch","4947edc7-7e1f-4bcf-869f-0c5a38d342fe",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,0,NA,NA,3.17,1.55,NA,108.35,164.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Brandon Marsh strikes out swinging.",0,2,2,69,"bottom",10,"2023-09-27T01:30:02.522Z","2023-09-27T01:31:44.283Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,669016,"Brandon Marsh","/api/v1/people/669016","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Pittsburgh Pirates",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.1,88.4,2,0.92,0.3886,6.5761,32.8392,-7.0518,-5.9453,12.4924,0.2269,2.7618,7.3993,-141.0862,-7.6955,-1.6603,50.0006,5.9828,-11.9545,49.2,2.4,24,2417,210,NA,NA,NA,NA,NA,NA,TRUE,-8,21.1,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,665506,"Cristian Pache","/api/v1/people/665506"
716432,"2023-09-26",6,"2023-09-27T01:31:06.055Z","2023-09-27T01:31:10.182Z",TRUE,"pitch","95049703-d1cb-49b1-ba34-55725d18fea7",4,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,2,0,NA,NA,3.1477,1.5313,NA,99.11,236.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Brandon Marsh strikes out swinging.",0,2,2,69,"bottom",10,"2023-09-27T01:30:02.522Z","2023-09-27T01:31:44.283Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,669016,"Brandon Marsh","/api/v1/people/669016","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Pittsburgh Pirates",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",92.2,85.4,14,0.88,0.4081,6.633,26.9875,-25.8961,-6.0757,3.4373,0.4694,0.0743,8.0119,-133.8547,-9.8254,-1.7635,50.0051,5.6253,-11.1047,19.2,6,24,1693,219,NA,NA,NA,NA,NA,NA,FALSE,-27.7,4.4,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716432,"2023-09-26",5,"2023-09-27T01:30:44.829Z","2023-09-27T01:30:49.171Z",TRUE,"pitch","f1905d27-76e9-47f4-8071-2a212fa7b4f0",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,0,NA,NA,3.1994,1.583,NA,146.45,176.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Brandon Marsh strikes out swinging.",0,2,2,69,"bottom",10,"2023-09-27T01:30:02.522Z","2023-09-27T01:31:44.283Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,669016,"Brandon Marsh","/api/v1/people/669016","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Pittsburgh Pirates",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,88.1,4,0.9,0.3906,6.5812,32.5695,-12.1328,-4.3611,10.0711,-0.7726,2.3009,4.6228,-140.3586,-7.7676,-1.8765,50.0007,5.8991,-8.677,28.8,3.6,24,2386,210,NA,NA,NA,NA,NA,NA,FALSE,-12.7,16.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716432,"2023-09-26",4,"2023-09-27T01:30:23.553Z","2023-09-27T01:30:27.889Z",TRUE,"pitch","17818f7d-90d5-4bdc-944d-6e95052c811f",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,0,NA,NA,3.1477,1.4279,NA,116.14,170.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Brandon Marsh strikes out swinging.",0,2,2,69,"bottom",10,"2023-09-27T01:30:02.522Z","2023-09-27T01:31:44.283Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,669016,"Brandon Marsh","/api/v1/people/669016","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Pittsburgh Pirates",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",91.7,83.7,5,2,0.4114,6.301,29.1915,-22.1329,-8.776,5.5958,0.0226,2.5429,7.706,-133.2383,-4.5408,-1.7699,50.0023,5.873,-15.7452,31.2,6,24,1859,215,NA,NA,NA,NA,NA,NA,FALSE,-23.4,9.4,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716432,"2023-09-26",3,"2023-09-27T01:30:04.867Z","2023-09-27T01:30:08.533Z",TRUE,"pitch","f757f7f3-4b61-464b-9af9-cbbdb2ad8be8",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.0442,1.4279,NA,148.33,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Brandon Marsh strikes out swinging.",0,2,2,69,"bottom",10,"2023-09-27T01:30:02.522Z","2023-09-27T01:31:44.283Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,669016,"Brandon Marsh","/api/v1/people/669016","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Pittsburgh Pirates",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.6,87,11,0.89,0.3941,6.3293,32.427,-13.0567,-3.5548,9.7803,-0.8219,4.0288,3.7454,-139.1958,-3.3617,-1.7257,50.0004,6.1216,-6.9467,24,3.6,24,2290,207,NA,NA,NA,NA,NA,NA,FALSE,-12.8,17.2,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716432,"2023-09-26",0,"2023-09-27T01:28:33.319Z","2023-09-27T01:28:50.848Z",FALSE,"action",NA,NA,"Pitching Change: David Bednar replaces Carmen Mlodzinski.","Pitching Substitution",2,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,670280,"/api/v1/people/670280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"69","atBat","Strikeout","strikeout","Brandon Marsh strikes out swinging.",0,2,2,69,"bottom",10,"2023-09-27T01:30:02.522Z","2023-09-27T01:31:44.283Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,669016,"Brandon Marsh","/api/v1/people/669016","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Pittsburgh Pirates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
