"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717682,"2023-06-21",6,"2023-06-21T02:23:40.689Z","2023-06-21T02:23:45.140Z",TRUE,"pitch","a019b2be-bb0a-484f-afa4-2d9a54d78141",7,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,2,NA,NA,3.47,1.63,NA,94.65,181.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Tommy Pham strikes out swinging.",0,2,4,66,"top",9,"2023-06-21T02:21:18.734Z","2023-06-21T02:23:45.140Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,502054,"Tommy Pham","/api/v1/people/502054","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Houston Astros","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.4,82.7,9,2,0.4195,6.2603,25.6231,-29.6703,4.3937,1.4454,0.5863,2.1169,0.1154,-130.2296,-4.195,-0.0299,50.0003,5.9757,7.5965,14.4,7.2,24,2905,127,NA,NA,NA,NA,NA,NA,TRUE,-32,1.9,-8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717682,"2023-06-21",5,"2023-06-21T02:23:14.017Z","2023-06-21T02:23:17.727Z",TRUE,"pitch","776eaa55-e00e-4bf0-8c4d-aee39a6f2450",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.47,1.63,NA,139.39,206.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Tommy Pham strikes out swinging.",0,2,4,66,"top",9,"2023-06-21T02:21:18.734Z","2023-06-21T02:23:45.140Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,502054,"Tommy Pham","/api/v1/people/502054","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Houston Astros","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",91,82.7,13,2,0.4162,6.273,32.0181,-30.4046,-8.4835,1.0124,-0.5875,1.1783,2.7136,-132.3421,-5.8496,-0.5329,50.003,5.6846,-14.8328,24,8.4,24,1894,226,NA,NA,NA,NA,NA,NA,FALSE,-32.9,0.6,14.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717682,"2023-06-21",4,"2023-06-21T02:22:48.642Z","2023-06-21T02:22:53.045Z",TRUE,"pitch","2fdd4066-2e00-4a25-97b7-3b076753f425",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.47,1.63,NA,151.37,178.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Tommy Pham strikes out swinging.",0,2,4,66,"top",9,"2023-06-21T02:21:18.734Z","2023-06-21T02:23:45.140Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,502054,"Tommy Pham","/api/v1/people/502054","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Houston Astros","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.6,81.4,13,2,0.4222,6.2991,31.1706,-31.0068,-9.8437,0.6861,-0.9018,2.2278,2.3625,-130.4526,-3.0539,-0.549,50.003,5.7871,-16.7182,27.6,8.4,24,2083,226,NA,NA,NA,NA,NA,NA,FALSE,-33.7,0.7,17.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717682,"2023-06-21",3,"2023-06-21T02:22:29.808Z","2023-06-21T02:22:33.318Z",TRUE,"pitch","9e826307-59d9-45b0-a8b7-2973fd08298e",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,2,NA,NA,3.3634,1.6287,NA,99.26,158.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Tommy Pham strikes out swinging.",0,2,4,66,"top",9,"2023-06-21T02:21:18.734Z","2023-06-21T02:23:45.140Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,502054,"Tommy Pham","/api/v1/people/502054","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Houston Astros","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",81.6,73.8,3,2,0.4659,5.8454,27.409,-44.7873,8.7702,-9.0583,0.4653,2.9804,-0.7227,-118.598,2.1165,-0.3581,50.0025,6.2302,12.2132,15.6,13.2,24,3371,23,NA,NA,NA,NA,NA,NA,FALSE,-57.2,-15.4,-15.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717682,"2023-06-21",2,"2023-06-21T02:22:07.158Z","2023-06-21T02:22:13.743Z",TRUE,"pitch","6870ce73-d57a-4504-bb9f-32ea9b41892e",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.3066,1.5314,NA,76.74,171.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Tommy Pham strikes out swinging.",0,2,4,66,"top",9,"2023-06-21T02:21:18.734Z","2023-06-21T02:23:45.140Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,502054,"Tommy Pham","/api/v1/people/502054","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Houston Astros","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",81.7,74.3,12,2,0.4644,5.9179,26.865,-43.7856,7.3042,-8.2821,1.0561,2.4956,0.748,-118.8303,0.8377,-0.2111,50.0009,6.1783,10.243,13.2,13.2,24,3328,33,NA,NA,NA,NA,NA,NA,FALSE,-55.9,-14.4,-13.3,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717682,"2023-06-21",1,"2023-06-21T02:21:46.713Z","2023-06-21T02:21:50.887Z",TRUE,"pitch","9afb06e6-8068-408e-b52e-2b05843452fe",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.5052,1.6176,NA,60.04,217.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Tommy Pham strikes out swinging.",0,2,4,66,"top",9,"2023-06-21T02:21:18.734Z","2023-06-21T02:23:45.140Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,502054,"Tommy Pham","/api/v1/people/502054","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Houston Astros","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.8,83.2,14,2,0.4185,6.2177,26.5528,-30.2117,2.8629,1.1312,1.4942,0.7969,2.7976,-130.6718,-7.4225,0.0392,50.0039,5.9324,4.9696,9.6,7.2,24,2828,118,NA,NA,NA,NA,NA,NA,FALSE,-33.1,0.7,-5.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717682,"2023-06-21",0,"2023-06-21T02:21:29.138Z","2023-06-21T02:21:32.138Z",TRUE,"pitch","333b3e82-321e-4c2f-ba30-459791fa2650",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.47,1.63,NA,72.43,180.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Tommy Pham strikes out swinging.",0,2,4,66,"top",9,"2023-06-21T02:21:18.734Z","2023-06-21T02:23:45.140Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,502054,"Tommy Pham","/api/v1/people/502054","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Houston Astros","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.6,82.5,14,2,0.4197,6.1839,27.0162,-27.4423,2.8239,2.7437,1.1694,2.1613,2.1987,-130.4352,-4.5154,-0.051,50.0058,5.9803,4.8738,10.8,7.2,24,2704,153,NA,NA,NA,NA,NA,NA,FALSE,-29.8,4.2,-5.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717682,"2023-06-21",3,"2023-06-21T02:21:00.088Z","2023-06-21T02:21:06.446Z",TRUE,"pitch","30680473-6956-4880-b906-142b040a4c62",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,0,2,NA,NA,3.3066,1.6176,NA,117.05,205.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Walk","walk","Pete Alonso walks.",0,2,4,65,"top",9,"2023-06-21T02:19:44.238Z","2023-06-21T02:21:06.446Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,624413,"Pete Alonso","/api/v1/people/624413","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Houston Astros","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94,85.7,13,2,0.4019,6.3507,31.0135,-9.6874,-1.3623,11.9619,-0.0012,1.2307,0.5752,-136.4822,-10.6329,-0.0381,50.005,5.8521,-2.5613,12,2.4,24,2548,198,NA,NA,NA,NA,NA,NA,FALSE,-11.6,19.6,2.3,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,624413,"Pete Alonso","/api/v1/people/624413",NA,NA,NA
717682,"2023-06-21",2,"2023-06-21T02:20:42.497Z","2023-06-21T02:20:46.209Z",TRUE,"pitch","d107e9ad-77b6-41eb-851b-ca00847bdae3",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,2,NA,NA,3.1929,1.5787,NA,153.78,140.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Walk","walk","Pete Alonso walks.",0,2,4,65,"top",9,"2023-06-21T02:19:44.238Z","2023-06-21T02:21:06.446Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,624413,"Pete Alonso","/api/v1/people/624413","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Houston Astros","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.3,84.7,11,2,0.4044,6.2184,32.0935,-11.3578,-1.5546,11.2267,-0.9649,3.6454,-1.8538,-135.8723,-4.1645,-0.0697,50.003,5.9982,-2.8817,15.6,2.4,24,2488,199,NA,NA,NA,NA,NA,NA,FALSE,-12,19.6,3.2,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717682,"2023-06-21",1,"2023-06-21T02:20:23.531Z","2023-06-21T02:20:29.173Z",TRUE,"pitch","4b139c92-0465-40f9-a269-e8c7d06b6d48",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.2498,1.5787,NA,87.46,228.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Walk","walk","Pete Alonso walks.",0,2,4,65,"top",9,"2023-06-21T02:19:44.238Z","2023-06-21T02:21:06.446Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,624413,"Pete Alonso","/api/v1/people/624413","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Houston Astros","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.4,82.7,14,2,0.4209,6.1927,26.511,-27.6117,2.3813,2.6612,0.7751,0.393,1.4011,-129.9922,-8.7688,-0.0798,50.0057,5.8972,4.0877,8.4,7.2,24,2771,147,NA,NA,NA,NA,NA,NA,FALSE,-31.1,3.1,-4.6,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
