"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","isBaseRunningPlay","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
716726,"2023-09-04",2,"2023-09-04T23:07:38.190Z","2023-09-04T23:07:46.176Z",TRUE,"pitch","13d69316-9bd4-4184-b5c4-17cd06caae1b",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,1,NA,NA,3.35,1.54,NA,107.95,197.27,"ground_ball","medium","6",113.18,159.3,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Grounded Into DP","grounded_into_double_play","Zack Gelof grounds into a double play, shortstop Mason McCoy to second baseman Cavan Biggio to first baseman Spencer Horwitz. Tony Kemp out at 2nd. Zack Gelof out at 1st.",0,6,5,80,"bottom",10,"2023-09-04T23:06:43.127Z","2023-09-04T23:07:46.176Z",TRUE,FALSE,FALSE,TRUE,24,1,1,3,680869,"Zack Gelof","/api/v1/people/680869","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Toronto Blue Jays","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86,78.8,8,0.9,0.4393,7.5971,27.1914,-34.689,0.5533,-1.5989,0.2375,1.5375,6.7877,-125.0923,-3.2161,-2.5925,50.004,5.7081,0.8689,3.6,9.6,24,1878,80,93.6,-23,5,NA,NA,NA,TRUE,-40.7,-3.5,-2.6,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716726,"2023-09-04",1,"2023-09-04T23:07:15.301Z","2023-09-04T23:07:19.802Z",TRUE,"pitch","8051c1de-3f2b-49a6-8bf3-7840cc4cf4ea",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.3504,1.5087,NA,97.44,140.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Grounded Into DP","grounded_into_double_play","Zack Gelof grounds into a double play, shortstop Mason McCoy to second baseman Cavan Biggio to first baseman Spencer Horwitz. Tony Kemp out at 2nd. Zack Gelof out at 1st.",0,6,5,80,"bottom",10,"2023-09-04T23:06:43.127Z","2023-09-04T23:07:46.176Z",TRUE,FALSE,FALSE,TRUE,24,1,1,3,680869,"Zack Gelof","/api/v1/people/680869","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.1,88.5,12,0.88,0.3886,7.5687,32.7458,-11.6469,-4.6392,10.2047,0.513,3.6368,9.8724,-141.0824,-4.7374,-2.4322,50.0006,6.0911,-9.3306,28.8,2.4,24,2281,208,NA,NA,NA,NA,NA,NA,FALSE,-11.5,17.6,6.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716726,"2023-09-04",0,"2023-09-04T23:06:54.468Z","2023-09-04T23:06:58.857Z",TRUE,"pitch","168232f9-b485-4d13-8120-0c664fdced42",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.4159,1.6108,NA,84.86,168.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Grounded Into DP","grounded_into_double_play","Zack Gelof grounds into a double play, shortstop Mason McCoy to second baseman Cavan Biggio to first baseman Spencer Horwitz. Tony Kemp out at 2nd. Zack Gelof out at 1st.",0,6,5,80,"bottom",10,"2023-09-04T23:06:43.127Z","2023-09-04T23:07:46.176Z",TRUE,FALSE,FALSE,TRUE,24,1,1,3,680869,"Zack Gelof","/api/v1/people/680869","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.5,85.3,12,0.87,0.4016,7.6067,34.0839,-12.4314,-3.0178,10.5115,0.8433,2.5899,9.6184,-137.087,-6.3091,-2.3394,50.0002,5.7924,-5.6681,13.2,3.6,24,2229,210,NA,NA,NA,NA,NA,NA,FALSE,-13.6,17.6,3.1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716726,"2023-09-04",4,"2023-09-04T23:06:21.569Z","2023-09-04T23:06:29.028Z",TRUE,"pitch","604a9285-3990-4599-8a06-fb200454cce3",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,1,1,NA,NA,3.0886,1.3537,NA,151.08,136.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Tony Kemp walks.",0,6,5,79,"bottom",10,"2023-09-04T23:05:13.185Z","2023-09-04T23:06:29.028Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,643393,"Tony Kemp","/api/v1/people/643393","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Toronto Blue Jays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.6,85.1,11,0.86,0.403,7.6552,31.4146,-14.3639,-2.8769,9.5324,-0.8941,3.8044,6.1291,-136.2072,-2.7356,-2.8052,50.0061,5.8217,-5.3775,14.4,3.6,24,2055,207,NA,NA,NA,NA,NA,NA,FALSE,-14.5,16.8,3.8,NA,NA,NA,NA,NA,NA,FALSE,FALSE,643393,"Tony Kemp","/api/v1/people/643393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716726,"2023-09-04",3,"2023-09-04T23:06:04.453Z","2023-09-04T23:06:09.259Z",TRUE,"pitch","18c02851-0a47-4769-8a33-b2a0ff2752e1",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.184,1.4487,NA,154.96,124.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Tony Kemp walks.",0,6,5,79,"bottom",10,"2023-09-04T23:05:13.185Z","2023-09-04T23:06:29.028Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,643393,"Tony Kemp","/api/v1/people/643393","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94,86,11,0.85,0.4,7.6575,29.6135,-16.1065,-2.3685,8.4571,-0.9958,4.2276,5.788,-136.8257,-1.607,-2.829,50.0018,5.9238,-4.4997,10.8,3.6,24,2088,208,NA,NA,NA,NA,NA,NA,FALSE,-15.7,15.2,3.1,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716726,"2023-09-04",2,"2023-09-04T23:05:46.572Z","2023-09-04T23:05:51.177Z",TRUE,"pitch","01c0313e-9703-4c52-94b3-7ac156d64497",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.1522,1.4487,NA,63.84,212.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Tony Kemp walks.",0,6,5,79,"bottom",10,"2023-09-04T23:05:13.185Z","2023-09-04T23:06:29.028Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,643393,"Tony Kemp","/api/v1/people/643393","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.7,80.4,14,0.91,0.4349,7.5277,25.147,-37.5585,0.6686,-3.3483,1.3947,0.9592,9.5166,-125.868,-4.7881,-2.5195,50.0043,5.9219,1.0737,3.6,9.6,24,2153,67,NA,NA,NA,NA,NA,NA,FALSE,-43.4,-7,-3.4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716726,"2023-09-04",1,"2023-09-04T23:05:28.399Z","2023-09-04T23:05:32.164Z",TRUE,"pitch","eaf35c21-6618-4cf7-a082-05a769277f6b",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,1,NA,NA,3.12,1.48,NA,98.82,182.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Tony Kemp walks.",0,6,5,79,"bottom",10,"2023-09-04T23:05:13.185Z","2023-09-04T23:06:29.028Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,643393,"Tony Kemp","/api/v1/people/643393","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.7,81.1,6,0.89,0.4285,7.5174,25.0413,-31.0662,-0.0652,0.6639,0.4768,2.0806,8.1162,-127.6015,-3.2274,-2.7298,50.0001,5.7968,-0.1102,2.4,7.2,24,1991,94,NA,NA,NA,NA,NA,NA,FALSE,-34.7,0.7,-1.7,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716726,"2023-09-04",0,"2023-09-04T23:05:13.185Z","2023-09-04T23:05:17.052Z",TRUE,"pitch","edfa78db-a22e-4c50-a520-71a3779a9df5",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.2159,1.417,NA,98.41,131.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Tony Kemp walks.",0,6,5,79,"bottom",10,"2023-09-04T23:05:13.185Z","2023-09-04T23:06:29.028Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,643393,"Tony Kemp","/api/v1/people/643393","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.6,88,12,0.87,0.3906,7.6555,32.6642,-14.3472,-3.3684,8.9559,0.4878,3.9889,9.5692,-140.3929,-2.8263,-2.5316,50.0003,5.9459,-6.704,16.8,3.6,24,2123,206,NA,NA,NA,NA,NA,NA,FALSE,-13.7,15.8,4.1,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716726,"2023-09-04",4,"2023-09-04T23:04:43.104Z","2023-09-04T23:04:48.411Z",TRUE,"pitch","9b578a70-81de-46cf-bd4d-3b2206b8823f",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,0,NA,NA,3.4,1.54,NA,139.39,140.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Strikeout","strikeout","Tyler Soderstrom strikes out swinging.",0,6,5,78,"bottom",10,"2023-09-04T23:03:50.883Z","2023-09-04T23:04:48.411Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,691016,"Tyler Soderstrom","/api/v1/people/691016","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.9,89.3,11,0.88,0.3848,7.6202,33.5717,-12.0182,-2.4209,9.8271,-0.5874,3.6514,5.8499,-142.4957,-4.7782,-2.3548,50.0012,6.1128,-4.9654,15.6,2.4,24,2196,202,NA,NA,NA,NA,NA,NA,TRUE,-11.6,16.9,3.1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716726,"2023-09-04",3,"2023-09-04T23:04:24.270Z","2023-09-04T23:04:28.437Z",TRUE,"pitch","9c61dc30-94d3-45ed-98f2-f143f3be2a0b",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,0,NA,NA,3.3685,1.477,NA,96.99,175.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Strikeout","strikeout","Tyler Soderstrom strikes out swinging.",0,6,5,78,"bottom",10,"2023-09-04T23:03:50.883Z","2023-09-04T23:04:48.411Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,691016,"Tyler Soderstrom","/api/v1/people/691016","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.8,87.5,6,0.87,0.394,7.7188,31.57,-11.6109,-3.4235,10.5084,0.5248,2.3426,9.8622,-139.091,-7.4304,-2.624,50.004,5.8209,-6.7012,19.2,2.4,24,2297,205,NA,NA,NA,NA,NA,NA,FALSE,-12.4,17.6,4.1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
