"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
745663,"2024-05-25",3,"2024-05-25T04:11:17.945Z","2024-05-25T04:11:22.148Z",TRUE,"pitch","eaa99a91-9334-4e1d-9878-711b7a8d7c0f",4,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",1,3,2,NA,NA,3.6,1.72,NA,149.95,225.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Brent Rooker strikes out swinging.",0,6,3,79,"bottom",9,"2024-05-25T04:10:00.196Z","2024-05-25T04:11:22.148Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,667670,"Brent Rooker","/api/v1/people/667670","R","Right",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.9,78.2,13,0.9,0.4449,6.6056,25.5968,-31.2622,-1.6717,0.5898,-0.8644,0.4808,-8.7033,-123.3267,-5.5264,2.9341,50.0005,5.4022,-2.5602,7.2,8.4,24,2466,336,NA,NA,NA,NA,NA,NA,TRUE,-38.3,-0.1,5.2,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745663,"2024-05-25",2,"2024-05-25T04:10:55.908Z","2024-05-25T04:10:59.547Z",TRUE,"pitch","c48e3e75-4ee2-4bca-be78-21c8194affd5",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.6,1.7375,NA,92.28,240.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Brent Rooker strikes out swinging.",0,6,3,79,"bottom",9,"2024-05-25T04:10:00.196Z","2024-05-25T04:11:22.148Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,667670,"Brent Rooker","/api/v1/people/667670","R","Right",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.9,81.7,14,0.89,0.4245,6.8405,26.8107,-21.8895,8.1719,6.1012,0.6485,-0.0815,-8.6462,-129.0146,-9.0524,2.9814,50.0041,5.1596,13.7787,27.6,6,24,1572,120,NA,NA,NA,NA,NA,NA,FALSE,-25.7,9.1,-12.8,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745663,"2024-05-25",1,"2024-05-25T04:10:36.871Z","2024-05-25T04:10:40.885Z",TRUE,"pitch","c827c912-b61c-4337-a298-32f23c10e137",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.6,1.72,NA,89.67,167.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Brent Rooker strikes out swinging.",0,6,3,79,"bottom",9,"2024-05-25T04:10:00.196Z","2024-05-25T04:11:22.148Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,667670,"Brent Rooker","/api/v1/people/667670","R","Right",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.9,76.9,6,0.9,0.4518,6.4659,21.4748,-29.8673,-0.1651,1.5449,0.717,2.6268,-5.5064,-120.7948,-0.8678,3.0386,50.0024,5.5951,-0.2448,2.4,8.4,24,2375,341,NA,NA,NA,NA,NA,NA,FALSE,-36.6,2.9,1.4,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745663,"2024-05-25",0,"2024-05-25T04:10:20.502Z","2024-05-25T04:10:24.867Z",TRUE,"pitch","2e03aa9c-868a-4bbb-9643-15e6caeaeda4",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.6,1.7204,NA,120.43,159.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Brent Rooker strikes out swinging.",0,6,3,79,"bottom",9,"2024-05-25T04:10:00.196Z","2024-05-25T04:11:22.148Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,667670,"Brent Rooker","/api/v1/people/667670","R","Right",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.5,77.7,5,0.9,0.4453,6.5769,23.6286,-29.9447,0.7005,1.4579,-0.0899,2.9397,-7.4055,-122.8452,-0.2822,2.8689,50.0056,5.5949,1.0746,0,8.4,24,2324,342,NA,NA,NA,NA,NA,NA,FALSE,-35.5,2.9,0.4,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745663,"2024-05-25",4,"2024-05-25T04:09:52.321Z","2024-05-25T04:09:56.531Z",TRUE,"pitch","4ee832c3-9a9f-4c4c-95d3-2a39ac12911a",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,1,NA,NA,3.26,1.58,NA,111.76,141.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Strikeout","strikeout","JJ Bleday strikes out swinging.",0,6,3,78,"bottom",9,"2024-05-25T04:08:25.171Z","2024-05-25T04:09:56.531Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,668709,"JJ Bleday","/api/v1/people/668709","L","Left",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.4,86,12,0.9,0.3972,6.7331,34.5269,-9.5567,4.9447,11.7806,0.1375,3.5997,-8.9702,-138.5455,-3.63,2.7931,50.003,5.5791,9.4941,34.8,2.4,24,2167,147,NA,NA,NA,NA,NA,NA,TRUE,-9.8,20.6,-6.8,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745663,"2024-05-25",3,"2024-05-25T04:09:31.033Z","2024-05-25T04:09:34.606Z",TRUE,"pitch","28d8a2f8-60b4-4fab-a034-5853f2f8bf69",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.1818,1.5661,NA,184.17,229.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Strikeout","strikeout","JJ Bleday strikes out swinging.",0,6,3,78,"bottom",9,"2024-05-25T04:08:25.171Z","2024-05-25T04:09:56.531Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,668709,"JJ Bleday","/api/v1/people/668709","L","Left",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.4,75.5,13,0.9,0.4608,6.6104,25.3216,-31.3956,-0.9309,0.5397,-1.7621,0.3355,-10.7006,-119.3702,-5.2471,2.9199,50.0006,5.4248,-1.3254,6,9.6,24,2307,323,NA,NA,NA,NA,NA,NA,FALSE,-41.2,-0.2,4.6,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745663,"2024-05-25",1,"2024-05-25T04:09:10.100Z","2024-05-25T04:09:14.146Z",TRUE,"pitch","fa51d40a-edce-4347-976d-6225cef7e28e",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,1,NA,NA,3.26,1.58,NA,122.96,178.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Strikeout","strikeout","JJ Bleday strikes out swinging.",0,6,3,78,"bottom",9,"2024-05-25T04:08:25.171Z","2024-05-25T04:09:56.531Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,668709,"JJ Bleday","/api/v1/people/668709","L","Left",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.9,85.2,5,0.88,0.403,6.5957,32.4355,-13.5452,5.0871,9.9826,-0.1565,2.2195,-9.0179,-136.3594,-6.469,2.546,50.0067,5.573,9.4979,26.4,3.6,24,2046,149,NA,NA,NA,NA,NA,NA,FALSE,-14.6,16.7,-7.1,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745663,"2024-05-25",0,"2024-05-25T04:08:48.930Z","2024-05-25T04:08:53.216Z",TRUE,"pitch","5e7a92b9-d7fb-4aba-9cb1-144ee86759e6",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.26,1.58,NA,112.9,167.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Strikeout","strikeout","JJ Bleday strikes out swinging.",0,6,3,78,"bottom",9,"2024-05-25T04:08:25.171Z","2024-05-25T04:09:56.531Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,668709,"JJ Bleday","/api/v1/people/668709","L","Left",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.9,85.3,5,0.89,0.4028,6.6597,31.5664,-11.9696,5.6272,10.8059,0.1075,2.6464,-9.0976,-136.2771,-5.7027,2.7669,50.0039,5.602,10.5234,32.4,3.6,24,2125,142,NA,NA,NA,NA,NA,NA,FALSE,-13,18.4,-8.2,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745663,"2024-05-25",2,"2024-05-25T04:09:19.844Z","2024-05-25T04:09:31.033Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",6,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,2,1,668709,"/api/v1/people/668709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"78","atBat","Strikeout","strikeout","JJ Bleday strikes out swinging.",0,6,3,78,"bottom",9,"2024-05-25T04:08:25.171Z","2024-05-25T04:09:56.531Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,668709,"JJ Bleday","/api/v1/people/668709","L","Left",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745663,"2024-05-25",2,"2024-05-25T04:08:14.187Z","2024-05-25T04:08:21.199Z",TRUE,"pitch","2bcefc25-7b76-4260-b493-49f2ca6f238a",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,0,NA,NA,3.36,1.63,NA,104.03,193.46,"line_drive","hard","8",115.86,53.22,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Lineout","field_out","Abraham Toro lines out sharply to center fielder Jake Meyers.",0,6,3,77,"bottom",9,"2024-05-25T04:07:59.716Z","2024-05-25T04:08:21.199Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,647351,"Abraham Toro","/api/v1/people/647351","R","Right",623352,"Josh Hader","/api/v1/people/623352","L","Left","vs_LHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Houston Astros",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93,85.3,9,0.87,0.4051,6.694,28.6381,-13.3691,7.069,10.1486,0.3402,1.6787,-8.5793,-135.0559,-7.8794,2.6353,50.0001,5.5685,13.0945,37.2,3.6,24,2227,150,106.6,16,363,NA,NA,NA,TRUE,-14.8,16.9,-11,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
