"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","details.disengagementNum","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717333,"2023-07-20",5,"2023-07-20T02:22:45.282Z","2023-07-20T02:22:50.403Z",TRUE,"pitch","22306240-3fe6-4a7c-a8c4-1a9b959f25bc",3,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",0,3,2,NA,NA,3.35,1.61,NA,116.36,224.75,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Kyle Isbel strikes out swinging.",0,3,2,70,"bottom",9,"2023-07-20T02:21:43.653Z","2023-07-20T02:22:50.403Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,664728,"Kyle Isbel","/api/v1/people/664728","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.7,82,14,2,0.427,6.3702,23.1819,-34.7013,0.684,-1.5129,0.0167,0.5195,5.5068,-127.6698,-5.7917,-2.2459,50.0036,5.5086,1.142,3.6,8.4,24,2401,15,NA,NA,NA,NA,NA,NA,TRUE,-38.9,-3.7,-2.3,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717333,"2023-07-20",2,"2023-07-20T02:22:02.171Z","2023-07-20T02:22:05.593Z",TRUE,"pitch","d8c75062-9573-4163-a768-0028e1e165ff",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.35,1.61,NA,98.63,210.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Kyle Isbel strikes out swinging.",0,3,2,70,"bottom",9,"2023-07-20T02:21:43.653Z","2023-07-20T02:22:50.403Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,664728,"Kyle Isbel","/api/v1/people/664728","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",86.8,81.1,14,2,0.4312,6.0662,22.6456,-34.92,0.8743,-1.6755,0.4819,1.0351,6.377,-126.3921,-4.3846,-2.174,50.0025,5.5573,1.4324,3.6,8.4,24,2328,21,NA,NA,NA,NA,NA,NA,FALSE,-39.6,-3.7,-2.9,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717333,"2023-07-20",1,"2023-07-20T02:21:46.010Z","2023-07-20T02:21:49.289Z",TRUE,"pitch","96ef996a-7341-41cc-ac1e-dafe0651ffbf",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.35,1.61,NA,106.68,201.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Kyle Isbel strikes out swinging.",0,3,2,70,"bottom",9,"2023-07-20T02:21:43.653Z","2023-07-20T02:22:50.403Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,664728,"Kyle Isbel","/api/v1/people/664728","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.9,81.9,14,2,0.426,6.0985,23.66,-35.079,0.2147,-1.7258,0.2708,1.3792,6.0883,-128.0407,-3.7237,-2.1548,50.0055,5.5651,0.3606,2.4,8.4,24,2298,9,NA,NA,NA,NA,NA,NA,FALSE,-38.8,-3.7,-1.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717333,"2023-07-20",0,"2023-07-20T02:20:54.355Z","2023-07-20T02:21:46.010Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",3,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Kyle Isbel strikes out swinging.",0,3,2,70,"bottom",9,"2023-07-20T02:21:43.653Z","2023-07-20T02:22:50.403Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,664728,"Kyle Isbel","/api/v1/people/664728","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Detroit Tigers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717333,"2023-07-20",3,"2023-07-20T02:22:13.635Z","2023-07-20T02:22:28.676Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",3,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,2,2,664728,"/api/v1/people/664728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Kyle Isbel strikes out swinging.",0,3,2,70,"bottom",9,"2023-07-20T02:21:43.653Z","2023-07-20T02:22:50.403Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,664728,"Kyle Isbel","/api/v1/people/664728","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Detroit Tigers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717333,"2023-07-20",4,"2023-07-20T02:22:28.676Z","2023-07-20T02:22:33.676Z",FALSE,"stepoff","62be0dc0-f40d-4766-8a9e-44e402d6b634",NA,"Pitcher Step Off",NA,NA,NA,NA,FALSE,"PSO",NA,NA,NA,NA,NA,NA,0,2,2,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Kyle Isbel strikes out swinging.",0,3,2,70,"bottom",9,"2023-07-20T02:21:43.653Z","2023-07-20T02:22:50.403Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,664728,"Kyle Isbel","/api/v1/people/664728","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Detroit Tigers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717333,"2023-07-20",1,"2023-07-20T02:20:23.335Z","2023-07-20T02:20:35.355Z",TRUE,"pitch","6126cb45-c23b-4dc0-bb9f-639b9258d362",2,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,1,2,NA,NA,3.51,1.64,NA,138.03,177.37,"line_drive","medium","8",140.26,66.19,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Single","single","Drew Waters singles on a line drive to center fielder Riley Greene. Michael Massey to 3rd.",0,3,2,69,"bottom",9,"2023-07-20T02:20:03.561Z","2023-07-20T02:20:35.355Z",TRUE,FALSE,FALSE,FALSE,33,0,1,2,671221,"Drew Waters","/api/v1/people/671221","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Detroit Tigers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.7,88.6,4,0.91,0.3914,6.2018,27.454,-22.7558,-8.7043,4.7322,-0.5518,2.2744,7.7282,-139.2401,-5.0717,-2.2149,50.001,5.5992,-17.3126,33.6,6,24,2232,213,98.9,16,285,NA,NA,NA,FALSE,-21.7,7.8,14.4,NA,NA,NA,NA,NA,FALSE,FALSE,671221,"Drew Waters","/api/v1/people/671221",NA,NA,NA,686681,"Michael Massey","/api/v1/people/686681"
717333,"2023-07-20",0,"2023-07-20T02:20:06.093Z","2023-07-20T02:20:10.104Z",TRUE,"pitch","0e7dbbfe-7b2e-4d4b-945b-e45aea6447ef",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.5547,1.799,NA,159.94,165.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Single","single","Drew Waters singles on a line drive to center fielder Riley Greene. Michael Massey to 3rd.",0,3,2,69,"bottom",9,"2023-07-20T02:20:03.561Z","2023-07-20T02:20:35.355Z",TRUE,FALSE,FALSE,FALSE,33,0,1,2,671221,"Drew Waters","/api/v1/people/671221","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.1,89.1,11,0.91,0.3894,6.1468,27.3163,-23.3077,-7.863,4.4092,-1.1266,2.7188,6.2729,-139.886,-3.8008,-2.3607,50.0011,5.597,-15.8052,31.2,6,24,2176,237,NA,NA,NA,NA,NA,NA,FALSE,-21.7,7.6,13.2,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717333,"2023-07-20",3,"2023-07-20T02:19:37.228Z","2023-07-20T02:19:41.085Z",TRUE,"pitch","efb9beb1-1a66-4dea-a33c-36578d1c1da7",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,0,2,NA,NA,3.4888,1.706,NA,76.64,217.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Walk","walk","Michael Massey walks.",0,3,2,68,"bottom",9,"2023-07-20T02:18:52.988Z","2023-07-20T02:19:41.085Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,686681,"Michael Massey","/api/v1/people/686681","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Detroit Tigers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.1,88.4,14,0.9,0.3947,6.5857,26.0405,-23.1859,-8.7307,4.5925,1.0588,0.7917,12.1241,-137.9198,-8.3342,-2.2273,50.0056,5.3756,-17.0949,31.2,6,24,2068,230,NA,NA,NA,NA,NA,NA,FALSE,-23.2,7,13.8,NA,NA,NA,NA,NA,FALSE,FALSE,686681,"Michael Massey","/api/v1/people/686681",NA,NA,NA,NA,NA,NA
717333,"2023-07-20",2,"2023-07-20T02:19:19.078Z","2023-07-20T02:19:22.906Z",TRUE,"pitch","0e3f0397-8d02-4f84-b75b-55ea0c5eae53",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,2,NA,NA,3.4888,1.764,NA,51.1,237.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Walk","walk","Michael Massey walks.",0,3,2,68,"bottom",9,"2023-07-20T02:18:52.988Z","2023-07-20T02:19:41.085Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,686681,"Michael Massey","/api/v1/people/686681","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Detroit Tigers","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.6,81.1,14,2,0.4306,6.5819,25.3261,-31.3369,-2.7431,0.5122,1.729,0.0416,10.2609,-127.0669,-7.4898,-2,50.0042,5.5076,-4.4997,4.8,8.4,24,2261,349,NA,NA,NA,NA,NA,NA,FALSE,-36.4,-0.6,2.8,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
