"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","base","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716747,"2023-09-03",2,"2023-09-03T02:59:17.880Z","2023-09-03T02:59:26.020Z",TRUE,"pitch","77a225fa-6e96-4389-8cc2-e1b10d9e8e97",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.41,1.55,NA,108.37,161.47,"fly_ball","medium","7",67.01,129.07,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Geraldo Perdomo flies out to left fielder Austin Hays.",0,7,3,75,"bottom",9,"2023-09-03T02:58:54.222Z","2023-09-03T02:59:26.020Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,672695,"Geraldo Perdomo","/api/v1/people/672695","L","Left",607216,"Joey Krehbiel","/api/v1/people/607216","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Baltimore Orioles",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.2,86.6,2,0.9,0.3961,6.0459,32.5867,-15.5071,-6.5475,8.6177,0.2264,2.8634,4.34,-138.5808,-4.4425,-0.5138,50.0038,5.5317,-12.6646,34.8,4.8,24,2176,228,72.7,45,229,NA,NA,NA,TRUE,-15.5,14.8,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716747,"2023-09-03",0,"2023-09-03T02:58:58.292Z","2023-09-03T02:59:01.501Z",TRUE,"pitch","2059bb2f-3cca-410e-9e92-e4ddc0d31b00",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.5062,1.6452,NA,133.35,200.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Geraldo Perdomo flies out to left fielder Austin Hays.",0,7,3,75,"bottom",9,"2023-09-03T02:58:54.222Z","2023-09-03T02:59:26.020Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,672695,"Geraldo Perdomo","/api/v1/people/672695","L","Left",607216,"Joey Krehbiel","/api/v1/people/607216","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Baltimore Orioles",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95,86.6,13,0.9,0.3973,6.202,32.1176,-15.3403,-5.8885,8.756,-0.4289,1.3997,3.3924,-138.106,-7.7452,-0.9112,50.0035,5.282,-11.3213,31.2,4.8,24,2040,228,NA,NA,NA,NA,NA,NA,FALSE,-16.1,14.3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716747,"2023-09-03",1,"2023-09-03T02:59:08.771Z","2023-09-03T02:59:17.880Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",7,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,1,2,672695,"/api/v1/people/672695",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Geraldo Perdomo flies out to left fielder Austin Hays.",0,7,3,75,"bottom",9,"2023-09-03T02:58:54.222Z","2023-09-03T02:59:26.020Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,672695,"Geraldo Perdomo","/api/v1/people/672695","L","Left",607216,"Joey Krehbiel","/api/v1/people/607216","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Baltimore Orioles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716747,"2023-09-03",2,"2023-09-03T02:58:20.619Z","2023-09-03T02:58:29.811Z",TRUE,"pitch","d282bd19-baf7-479f-bab5-ea28ab546a07",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,1,NA,NA,3.64,1.79,NA,122.48,180.89,"fly_ball","medium","8",121.81,43.49,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Nick Ahmed flies out to center fielder Cedric Mullins.",0,7,3,74,"bottom",9,"2023-09-03T02:57:49.720Z","2023-09-03T02:58:29.811Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,605113,"Nick Ahmed","/api/v1/people/605113","R","Right",607216,"Joey Krehbiel","/api/v1/people/607216","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Baltimore Orioles","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",88.9,81.9,8,0.9,0.4222,6.4634,25.9051,-22.0956,0.9418,5.9061,-0.1438,2.1442,2.6268,-129.5154,-4.2118,-1.2917,50.0023,5.4718,1.6072,4.8,6,24,2507,182,99.4,28,386,NA,NA,NA,TRUE,-24.4,10.1,-2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716747,"2023-09-03",1,"2023-09-03T02:58:07.785Z","2023-09-03T02:58:11.528Z",TRUE,"pitch","60bdc6ec-1b35-4663-97dc-0d7fa2d2a319",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.5717,1.7222,NA,88.03,196.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Nick Ahmed flies out to center fielder Cedric Mullins.",0,7,3,74,"bottom",9,"2023-09-03T02:57:49.720Z","2023-09-03T02:58:29.811Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,605113,"Nick Ahmed","/api/v1/people/605113","R","Right",607216,"Joey Krehbiel","/api/v1/people/607216","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Baltimore Orioles","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",87.5,80.6,14,0.91,0.4297,6.1422,25.5501,-24.2039,2.1284,4.8367,0.7599,1.576,3.2113,-127.3618,-4.732,-0.7925,50.0008,5.3663,3.5039,9.6,6,24,2542,171,NA,NA,NA,NA,NA,NA,FALSE,-27.7,7.9,-4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716747,"2023-09-03",0,"2023-09-03T02:57:55.626Z","2023-09-03T02:57:59.109Z",TRUE,"pitch","6993cd40-b33a-4ed7-bda7-e8ae6d86c964",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.7697,1.7864,NA,107.2,192.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Nick Ahmed flies out to center fielder Cedric Mullins.",0,7,3,74,"bottom",9,"2023-09-03T02:57:49.720Z","2023-09-03T02:58:29.811Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,605113,"Nick Ahmed","/api/v1/people/605113","R","Right",607216,"Joey Krehbiel","/api/v1/people/607216","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Baltimore Orioles","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.6,84.8,8,0.9,0.4043,6.2245,32.8499,-14.6907,-6.7722,9.4296,0.257,1.6968,4.0993,-136.0402,-7.0277,-0.3981,50.0026,5.353,-12.5564,34.8,4.8,24,2149,232,NA,NA,NA,NA,NA,NA,FALSE,-16,15.6,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716747,"2023-09-03",4,"2023-09-03T02:57:06.196Z","2023-09-03T02:57:34.662Z",TRUE,"pitch","b12d1734-9b67-424d-92bf-e446fe0feed2",5,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",3,1,1,NA,NA,3.42,1.58,NA,135.16,180.23,"fly_ball","medium","78",67.69,46.09,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Home Run","home_run","Gabriel Moreno homers (7) on a fly ball to left center field.",1,7,3,73,"bottom",9,"2023-09-03T02:55:50.137Z","2023-09-03T02:57:34.662Z",TRUE,TRUE,FALSE,FALSE,38,3,1,1,672515,"Gabriel Moreno","/api/v1/people/672515","R","Right",607216,"Joey Krehbiel","/api/v1/people/607216","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Baltimore Orioles","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.6,86.2,4,0.91,0.3986,6.0413,31.367,-13.1759,-7.5131,9.9402,-0.4763,2.1686,3.4269,-137.5815,-5.9185,-0.7638,50.0063,5.2459,-14.3629,43.2,4.8,24,2267,228,105.8,37,404,NA,NA,NA,FALSE,-13.8,16.9,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716747,"2023-09-03",3,"2023-09-03T02:56:50.282Z","2023-09-03T02:56:53.282Z",TRUE,"pitch","69a7260a-7fb0-4305-814c-c45e4cfa2280",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.1525,1.4464,NA,42.02,180.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Home Run","home_run","Gabriel Moreno homers (7) on a fly ball to left center field.",1,7,3,73,"bottom",9,"2023-09-03T02:55:50.137Z","2023-09-03T02:57:34.662Z",TRUE,TRUE,FALSE,FALSE,38,3,1,1,672515,"Gabriel Moreno","/api/v1/people/672515","R","Right",607216,"Joey Krehbiel","/api/v1/people/607216","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Baltimore Orioles","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.7,85.5,14,0.91,0.4027,6.2348,30.5515,-12.2777,-5.8597,10.6259,1.967,2.1698,8.1116,-136.1317,-6.7739,-0.2933,50.0027,5.5446,-10.9722,33.6,3.6,24,2241,218,NA,NA,NA,NA,NA,NA,FALSE,-13.4,17.9,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716747,"2023-09-03",2,"2023-09-03T02:56:34.752Z","2023-09-03T02:56:38.581Z",TRUE,"pitch","877e86c7-179a-4392-b6db-75f5bfcc0d61",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.2853,1.5123,NA,82.26,186.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Home Run","home_run","Gabriel Moreno homers (7) on a fly ball to left center field.",1,7,3,73,"bottom",9,"2023-09-03T02:55:50.137Z","2023-09-03T02:57:34.662Z",TRUE,TRUE,FALSE,FALSE,38,3,1,1,672515,"Gabriel Moreno","/api/v1/people/672515","R","Right",607216,"Joey Krehbiel","/api/v1/people/607216","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Baltimore Orioles","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.4,86.2,14,0.91,0.3994,6.2912,30.5835,-12.2139,-6.6437,10.4807,0.9115,1.9494,5.9971,-137.1929,-7.5969,-0.4405,50.0034,5.5884,-12.6546,39.6,3.6,24,2392,218,NA,NA,NA,NA,NA,NA,FALSE,-13.2,17.5,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716747,"2023-09-03",1,"2023-09-03T02:56:21.688Z","2023-09-03T02:56:24.911Z",TRUE,"pitch","b6932df0-6920-4711-aa18-cc2904d9ab73",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,1,NA,NA,3.2189,1.5452,NA,94.7,186.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Home Run","home_run","Gabriel Moreno homers (7) on a fly ball to left center field.",1,7,3,73,"bottom",9,"2023-09-03T02:55:50.137Z","2023-09-03T02:57:34.662Z",TRUE,TRUE,FALSE,FALSE,38,3,1,1,672515,"Gabriel Moreno","/api/v1/people/672515","R","Right",607216,"Joey Krehbiel","/api/v1/people/607216","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Arizona Diamondbacks","Baltimore Orioles","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",86.1,79.3,9,0.9,0.4363,5.8421,25.0873,-29.7982,4.683,1.491,0.5849,1.9504,1.9465,-125.4742,-2.5292,-0.8092,50.0056,5.3966,7.477,14.4,8.4,24,2530,147,NA,NA,NA,NA,NA,NA,FALSE,-34.4,2.4,-8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
