"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717413,"2023-07-14",0,"2023-07-15T01:58:29.985Z","2023-07-15T01:58:38.006Z",TRUE,"pitch","96e7e2d9-0881-4a8f-96d9-6cf8128ca932",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.43,1.66,NA,133.68,165.57,"ground_ball","medium","3",155.09,153.89,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Pete Alonso grounds out, first baseman Freddie Freeman to pitcher Ryan Brasier.",0,6,0,72,"bottom",9,"2023-07-15T01:58:10.941Z","2023-07-15T01:58:38.006Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,624413,"Pete Alonso","/api/v1/people/624413","R","Right",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Los Angeles Dodgers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.3,88.4,4,0.9,0.3901,6.8234,30.7443,-18.7773,-9.3379,6.7078,-0.4375,2.7117,5.266,-140.221,-4.5669,-1.1234,50.0042,5.581,-18.6567,42,4.8,24,2225,213,92,-2,39,NA,NA,NA,TRUE,-18,11.4,15.8,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717413,"2023-07-14",5,"2023-07-15T01:58:01.694Z","2023-07-15T01:58:06.342Z",TRUE,"pitch","f73d717d-cd3a-48ae-bc75-d0416d8b6600",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,1,NA,NA,3.34,1.55,NA,72.55,191.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Francisco Lindor strikes out swinging.",0,6,0,71,"bottom",9,"2023-07-15T01:56:05.240Z","2023-07-15T01:58:06.342Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Los Angeles Dodgers","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.1,83.7,14,0.92,0.4155,6.7354,24.7575,-23.714,2.334,4.7913,1.166,1.7564,5.1012,-131.2472,-5.463,-1.0971,50.0013,5.6039,4.1173,12,6,24,2367,184,NA,NA,NA,NA,NA,NA,TRUE,-25.4,7.8,-5.3,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717413,"2023-07-14",4,"2023-07-15T01:57:43.733Z","2023-07-15T01:57:49.846Z",TRUE,"pitch","a0cd8abb-e3f3-4e04-923d-12edc77a1e0d",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,2,1,NA,NA,3.2304,1.393,NA,127.45,146.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Francisco Lindor strikes out swinging.",0,6,0,71,"bottom",9,"2023-07-15T01:56:05.240Z","2023-07-15T01:58:06.342Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Los Angeles Dodgers","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.1,84,11,0.9,0.4113,6.5833,26.519,-22.7487,1.6168,5.2403,-0.2741,3.4097,2.799,-132.7954,-1.6081,-1.5489,50.0043,5.6664,2.9078,8.4,4.8,24,2301,184,NA,NA,NA,NA,NA,NA,FALSE,-23.3,9.4,-3.5,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717413,"2023-07-14",3,"2023-07-15T01:57:25.528Z","2023-07-15T01:57:31.168Z",TRUE,"pitch","7a33b71b-0c93-4748-b96f-d71961f7af53",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.2306,1.4504,NA,108.61,138.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Francisco Lindor strikes out swinging.",0,6,0,71,"bottom",9,"2023-07-15T01:56:05.240Z","2023-07-15T01:58:06.342Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Los Angeles Dodgers","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.4,84.1,12,0.88,0.4104,6.512,27.3156,-22.1482,1.2778,5.5531,0.2202,3.6965,3.3283,-133.2217,-1.2686,-1.209,50.0051,5.7723,2.3083,7.2,4.8,24,2329,185,NA,NA,NA,NA,NA,NA,FALSE,-22.6,10,-3,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717413,"2023-07-14",2,"2023-07-15T01:57:08.832Z","2023-07-15T01:57:12.447Z",TRUE,"pitch","1c7a8692-a4a9-4f52-8171-1dc5c4bc0079",3,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",2,1,1,NA,NA,3.34,1.55,NA,103.94,169.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Francisco Lindor strikes out swinging.",0,6,0,71,"bottom",9,"2023-07-15T01:56:05.240Z","2023-07-15T01:58:06.342Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Los Angeles Dodgers","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.7,83.8,6,0.91,0.4133,6.666,25.9681,-22.9812,1.8837,5.1551,0.3427,2.5479,3.4414,-132.1178,-3.7479,-1.2172,50.0003,5.6574,3.3564,9.6,6,24,2385,181,NA,NA,NA,NA,NA,NA,FALSE,-24.1,8.8,-4.1,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717413,"2023-07-14",1,"2023-07-15T01:56:42.969Z","2023-07-15T01:56:48.727Z",TRUE,"pitch","0b9d8663-7094-4493-8d57-84ef31dba573",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.3167,1.4504,NA,130.07,141.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Francisco Lindor strikes out swinging.",0,6,0,71,"bottom",9,"2023-07-15T01:56:05.240Z","2023-07-15T01:58:06.342Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Los Angeles Dodgers","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.8,83.3,11,0.59,0.4135,6.6423,27.602,-16.8128,-0.5566,8.641,-0.3429,3.6095,2.5293,-132.3429,-2.1853,-1.2377,50.0049,5.6741,-0.9899,1.2,3.6,24,2291,194,NA,NA,NA,NA,NA,NA,FALSE,-17.6,15.4,0.5,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717413,"2023-07-14",0,"2023-07-15T01:56:25.777Z","2023-07-15T01:56:31.040Z",TRUE,"pitch","c3da508e-636c-4d0f-8c7c-ba9189fd1965",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.3454,1.5364,NA,120.64,113.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Francisco Lindor strikes out swinging.",0,6,0,71,"bottom",9,"2023-07-15T01:56:05.240Z","2023-07-15T01:58:06.342Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Los Angeles Dodgers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.9,86.8,11,0.9,0.3939,6.9871,33.9071,-13.7662,-4.2322,9.4197,-0.0956,4.6483,5.7176,-139.5126,-0.2054,-1.63,50.0038,5.637,-8.2722,26.4,3.6,24,2317,208,NA,NA,NA,NA,NA,NA,FALSE,-12.7,17.2,6.4,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717413,"2023-07-14",3,"2023-07-15T01:55:49.933Z","2023-07-15T01:55:59.444Z",TRUE,"pitch","9dcd417a-110f-4550-a6c0-1d6ff948c849",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,0,NA,NA,3.5,1.66,NA,104.78,168.65,"ground_ball","hard","3",136.93,186.11,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Tommy Pham grounds out sharply to first baseman Freddie Freeman.",0,6,0,70,"bottom",9,"2023-07-15T01:55:11.496Z","2023-07-15T01:55:59.444Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,502054,"Tommy Pham","/api/v1/people/502054","R","Right",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Los Angeles Dodgers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,88.2,6,0.92,0.3904,6.6508,31.8135,-14.753,-6.3732,8.7394,0.3205,2.5974,6.9815,-140.3152,-5.3962,-1.3721,50.0024,5.507,-12.7051,34.8,3.6,24,2152,220,105,0,51,NA,NA,NA,TRUE,-14.5,14.9,10.1,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717413,"2023-07-14",2,"2023-07-15T01:55:30.800Z","2023-07-15T01:55:35.992Z",TRUE,"pitch","47116a11-2768-4405-8120-0fa9b88852b5",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.5,1.66,NA,118.05,167.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Tommy Pham grounds out sharply to first baseman Freddie Freeman.",0,6,0,70,"bottom",9,"2023-07-15T01:55:11.496Z","2023-07-15T01:55:59.444Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,502054,"Tommy Pham","/api/v1/people/502054","R","Right",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Los Angeles Dodgers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.1,88.1,5,0.92,0.3911,6.8223,30.3907,-13.4551,-6.0416,9.4161,-0.0276,2.6435,6.4937,-139.8288,-5.3457,-1.5907,50.003,5.457,-12.0105,36,3.6,24,2206,216,NA,NA,NA,NA,NA,NA,FALSE,-13.3,16.2,9.7,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717413,"2023-07-14",1,"2023-07-15T01:55:13.912Z","2023-07-15T01:55:17.422Z",TRUE,"pitch","ea9477fc-2eeb-4d7e-b1ca-a6ec89f981f9",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.4998,1.6224,NA,129.6,166.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Tommy Pham grounds out sharply to first baseman Freddie Freeman.",0,6,0,70,"bottom",9,"2023-07-15T01:55:11.496Z","2023-07-15T01:55:59.444Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,502054,"Tommy Pham","/api/v1/people/502054","R","Right",518489,"Ryan Brasier","/api/v1/people/518489","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Los Angeles Dodgers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.9,88,4,0.9,0.3918,6.6815,30.3689,-12.3897,-5.0084,9.9873,-0.3306,2.6881,4.2086,-139.5986,-5.9764,-1.2043,50.0023,5.6667,-9.9204,33.6,3.6,24,2191,208,NA,NA,NA,NA,NA,NA,FALSE,-12.6,17,8.3,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
