"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
718210,"2023-05-12",4,"2023-05-13T01:44:19.811Z","2023-05-13T01:44:27.802Z",TRUE,"pitch","7434db58-31e0-40b5-9773-61e148f43021",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.32,1.57,NA,130.2,193.44,"ground_ball","medium","1",121.9,190.63,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Manuel Margot grounds out, pitcher Wandy Peralta to first baseman Anthony Rizzo.",0,5,6,74,"top",9,"2023-05-13T01:43:36.933Z","2023-05-13T01:44:27.802Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,622534,"Manuel Margot","/api/v1/people/622534","R","Right",593974,"Wandy Peralta","/api/v1/people/593974","L","Left","vs_LHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.2,88.5,7,2,0.3889,5.8798,34.22,-17.6078,10.2886,7.2632,-0.3464,1.6793,-4.1946,-141.2089,-8.3059,-0.1725,50.003,5.8067,20.6347,45.6,6,24,2391,136,61.9,-70,2,NA,NA,NA,TRUE,-17.8,11.5,-17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718210,"2023-05-12",3,"2023-05-13T01:43:56.308Z","2023-05-13T01:43:59.569Z",TRUE,"pitch","6197be4f-cf08-484a-8562-2c051b6123c1",2,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,1,2,NA,NA,3.3158,1.5701,NA,94.24,241.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Manuel Margot grounds out, pitcher Wandy Peralta to first baseman Anthony Rizzo.",0,5,6,74,"top",9,"2023-05-13T01:43:36.933Z","2023-05-13T01:44:27.802Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,622534,"Manuel Margot","/api/v1/people/622534","R","Right",593974,"Wandy Peralta","/api/v1/people/593974","L","Left","vs_LHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","New York Yankees",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90.3,82.9,14,2,0.4183,6.1106,29.1031,-24.2267,10.721,4.5821,0.5971,-0.0967,-2.5008,-131.2061,-9.7501,0.1729,50.0052,5.4892,18.5969,34.8,7.2,24,2315,127,NA,NA,NA,NA,NA,NA,FALSE,-27.5,6.2,-18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718210,"2023-05-12",2,"2023-05-13T01:43:39.282Z","2023-05-13T01:43:42.500Z",TRUE,"pitch","cdcbaa0f-1756-41fe-ade8-f2bf6031ce66",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.32,1.57,NA,103.69,198.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Manuel Margot grounds out, pitcher Wandy Peralta to first baseman Anthony Rizzo.",0,5,6,74,"top",9,"2023-05-13T01:43:36.933Z","2023-05-13T01:44:27.802Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,622534,"Manuel Margot","/api/v1/people/622534","R","Right",593974,"Wandy Peralta","/api/v1/people/593974","L","Left","vs_LHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","New York Yankees",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90.3,82.7,9,2,0.4176,6.0303,28.8871,-26.2678,10.9859,3.3901,0.3493,1.4764,-3.2319,-131.3722,-5.5914,0.1714,50.0012,5.5952,19.1218,33.6,7.2,24,2290,123,NA,NA,NA,NA,NA,NA,FALSE,-28.6,5,-19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718210,"2023-05-12",0,"2023-05-13T01:42:29.399Z","2023-05-13T01:42:40.332Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Manuel Margot replaces Josh Lowe.","Offensive Substitution",5,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,622534,"/api/v1/people/622534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","701","74","atBat","Groundout","field_out","Manuel Margot grounds out, pitcher Wandy Peralta to first baseman Anthony Rizzo.",0,5,6,74,"top",9,"2023-05-13T01:43:36.933Z","2023-05-13T01:44:27.802Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,622534,"Manuel Margot","/api/v1/people/622534","R","Right",593974,"Wandy Peralta","/api/v1/people/593974","L","Left","vs_LHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,666139,"/api/v1/people/666139",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718210,"2023-05-12",1,"2023-05-13T01:42:40.332Z","2023-05-13T01:43:39.282Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",5,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Manuel Margot grounds out, pitcher Wandy Peralta to first baseman Anthony Rizzo.",0,5,6,74,"top",9,"2023-05-13T01:43:36.933Z","2023-05-13T01:44:27.802Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,622534,"Manuel Margot","/api/v1/people/622534","R","Right",593974,"Wandy Peralta","/api/v1/people/593974","L","Left","vs_LHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718210,"2023-05-12",1,"2023-05-13T01:41:56.928Z","2023-05-13T01:42:08.945Z",TRUE,"pitch","837825e2-a020-42be-b2e5-9ac44c3297e0",2,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,0,2,NA,NA,3.13,1.5,NA,106.96,207.33,"line_drive","medium","7",57.32,114.61,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Single","single","Isaac Paredes singles on a line drive to left fielder Jake Bauers.",0,5,6,73,"top",9,"2023-05-13T01:41:28.026Z","2023-05-13T01:42:08.945Z",TRUE,FALSE,FALSE,FALSE,33,1,0,2,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",593974,"Wandy Peralta","/api/v1/people/593974","L","Left","vs_LHP","vs_RHB","Men_On",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","New York Yankees","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90.8,83.4,14,2,0.4147,6.0545,28.5671,-23.8054,10.3485,4.7397,0.2634,1.1647,-3.0297,-132.1476,-6.8745,0.0813,50.0036,5.5526,18.2749,34.8,7.2,24,2354,127,92.7,12,167,NA,NA,NA,FALSE,-25.9,7.3,-18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,670623,"Isaac Paredes","/api/v1/people/670623",NA,NA,NA,NA,NA,NA
718210,"2023-05-12",0,"2023-05-13T01:41:40.786Z","2023-05-13T01:41:45.089Z",TRUE,"pitch","44e6c8d8-90a9-4786-8fcc-3ab22dd2a097",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3158,1.5701,NA,111.31,209.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Single","single","Isaac Paredes singles on a line drive to left fielder Jake Bauers.",0,5,6,73,"top",9,"2023-05-13T01:41:28.026Z","2023-05-13T01:42:08.945Z",TRUE,FALSE,FALSE,FALSE,33,1,0,2,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",593974,"Wandy Peralta","/api/v1/people/593974","L","Left","vs_LHP","vs_RHB","Men_On",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","New York Yankees","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90.1,82.7,14,2,0.4182,6.0742,28.264,-22.7624,10.062,5.4204,0.1494,1.0711,-2.9479,-131.0874,-7.3433,-0.0173,50.0028,5.6135,17.4741,34.8,7.2,24,2295,127,NA,NA,NA,NA,NA,NA,FALSE,-25.4,8.4,-17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718210,"2023-05-12",4,"2023-05-13T01:41:15.064Z","2023-05-13T01:41:23.250Z",TRUE,"pitch","60aacd0c-a222-45c1-9f2f-367bc2ed2a19",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,1,NA,NA,3.09,1.44,NA,105.66,204.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Harold Ramirez strikes out swinging.",0,5,6,72,"top",9,"2023-05-13T01:40:01.403Z","2023-05-13T01:41:23.250Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,623912,"Harold Ramírez","/api/v1/people/623912","R","Right",593974,"Wandy Peralta","/api/v1/people/593974","L","Left","vs_LHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","New York Yankees","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",91.3,83.8,14,2,0.4126,6.2159,28.9478,-24.942,10.1633,4.0517,0.2975,1.2718,-2.4973,-132.8497,-6.4777,-0.0695,50.0024,5.5594,18.1319,33.6,7.2,24,2284,127,NA,NA,NA,NA,NA,NA,TRUE,-26.8,6.1,-17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718210,"2023-05-12",3,"2023-05-13T01:40:55.817Z","2023-05-13T01:40:59.021Z",TRUE,"pitch","671e637b-5df0-4fa5-b5d8-713e1353bf76",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.1839,1.4401,NA,126.73,232.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Harold Ramirez strikes out swinging.",0,5,6,72,"top",9,"2023-05-13T01:40:01.403Z","2023-05-13T01:41:23.250Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,623912,"Harold Ramírez","/api/v1/people/623912","R","Right",593974,"Wandy Peralta","/api/v1/people/593974","L","Left","vs_LHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","New York Yankees","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90.6,83.3,13,2,0.4162,5.995,28.0416,-25.8475,10.0094,3.603,-0.2552,0.2217,-4.388,-131.6241,-8.3658,0.1336,50.0001,5.3563,17.5526,31.2,7.2,24,2292,123,NA,NA,NA,NA,NA,NA,FALSE,-28.6,4.9,-17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718210,"2023-05-12",2,"2023-05-13T01:40:35.849Z","2023-05-13T01:40:39.219Z",TRUE,"pitch","9ba5bb16-6aae-4971-bbe0-93b0c29abc03",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.1839,1.4648,NA,97.81,227.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Harold Ramirez strikes out swinging.",0,5,6,72,"top",9,"2023-05-13T01:40:01.403Z","2023-05-13T01:41:23.250Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,623912,"Harold Ramírez","/api/v1/people/623912","R","Right",593974,"Wandy Peralta","/api/v1/people/593974","L","Left","vs_LHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","New York Yankees","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90,82.2,14,2,0.4201,5.9557,30.1752,-27.8169,10.3554,2.5381,0.5034,0.4126,-2.2813,-130.8746,-7.4409,0.0469,50.0028,5.4051,17.7859,30,8.4,24,2274,125,NA,NA,NA,NA,NA,NA,FALSE,-31.1,3,-18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
