"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
746965,"2024-05-12",1,"2024-05-12T20:07:20.263Z","2024-05-12T20:07:27.386Z",TRUE,"pitch","0f1c7ed0-d041-4240-a266-937a97e667de",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.1855,1.3029,NA,133.42,139.22,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"68","atBat","Caught Stealing 2B","caught_stealing_2b","Nationals challenged (tag play), call on the field was upheld: Jacob Young caught stealing 2nd base, catcher Connor Wong to shortstop Ceddanne Rafaela.",0,2,3,68,"top",9,"2024-05-12T20:07:17.949Z","2024-05-12T20:07:27.386Z",TRUE,FALSE,TRUE,TRUE,17,1,0,3,545121,"Ildemaro Vargas","/api/v1/people/545121","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.2,84.2,11,0.84,0.4062,6.7081,32.842,-10.1749,-0.5912,11.977,-0.4307,3.6875,5.0896,-135.467,-4.5365,-2.2665,50.0002,6.1104,-1.0858,1.2,2.4,24,2677,182,NA,NA,NA,NA,NA,NA,TRUE,-11,20.8,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"MA",120
746965,"2024-05-12",0,"2024-05-12T20:06:58.903Z","2024-05-12T20:07:01.903Z",FALSE,"pickoff","06ce0717-7bf0-4f22-90b8-edb75b0a64c1",NA,"Pickoff Attempt 1B",NA,NA,NA,NA,FALSE,"1",NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Caught Stealing 2B","caught_stealing_2b","Nationals challenged (tag play), call on the field was upheld: Jacob Young caught stealing 2nd base, catcher Connor Wong to shortstop Ceddanne Rafaela.",0,2,3,68,"top",9,"2024-05-12T20:07:17.949Z","2024-05-12T20:07:27.386Z",TRUE,FALSE,TRUE,TRUE,17,1,0,3,545121,"Ildemaro Vargas","/api/v1/people/545121","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746965,"2024-05-12",4,"2024-05-12T20:06:21.025Z","2024-05-12T20:06:32.598Z",TRUE,"pitch","5dd77d15-79b1-4ec9-bcf5-71c7b489b659",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,1,NA,NA,3.42,1.65,NA,88,161.85,"fly_ball","medium","9",201.7,82.13,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Eddie Rosario flies out to right fielder Wilyer Abreu.",0,2,3,67,"top",9,"2024-05-12T20:05:58.034Z","2024-05-12T20:06:32.598Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,592696,"Eddie Rosario","/api/v1/people/592696","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.8,85.2,6,0.9,0.4033,6.9425,32.1322,-9.8042,2.0926,11.9969,0.7608,2.8493,7.1209,-136.2327,-6.8357,-2.1672,50.0042,6.0816,3.9027,26.4,2.4,24,2721,168,102.7,35,362,NA,NA,NA,TRUE,-11,20.3,-5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,696285,"Jacob Young","/api/v1/people/696285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746965,"2024-05-12",3,"2024-05-12T20:06:00.383Z","2024-05-12T20:06:07.414Z",TRUE,"pitch","1c60167f-526d-403b-9410-a8f1bcd16a0d",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.3581,1.6556,NA,95.83,138.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Eddie Rosario flies out to right fielder Wilyer Abreu.",0,2,3,67,"top",9,"2024-05-12T20:05:58.034Z","2024-05-12T20:06:32.598Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,592696,"Eddie Rosario","/api/v1/people/592696","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.3,82.2,12,0.89,0.418,6.8167,29.3977,-13.1035,0.3677,10.9852,0.5553,3.7206,6.9484,-131.327,-3.7041,-2.1793,50.0015,6.1326,0.6384,8.4,3.6,24,2578,181,NA,NA,NA,NA,NA,NA,FALSE,-14.5,19.2,-2.3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,TRUE,TRUE,696285,"Jacob Young","/api/v1/people/696285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746965,"2024-05-12",0,"2024-05-12T20:04:45.419Z","2024-05-12T20:04:56.510Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-runner Jacob Young replaces Nick Senzel.","Offensive Substitution",2,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,696285,"/api/v1/people/696285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"12","Pinch Runner","Runner","PR","501","67","atBat","Flyout","field_out","Eddie Rosario flies out to right fielder Wilyer Abreu.",0,2,3,67,"top",9,"2024-05-12T20:05:58.034Z","2024-05-12T20:06:32.598Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,592696,"Eddie Rosario","/api/v1/people/592696","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,669222,"/api/v1/people/669222",1,TRUE,TRUE,696285,"Jacob Young","/api/v1/people/696285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746965,"2024-05-12",1,"2024-05-12T20:04:56.510Z","2024-05-12T20:05:38.711Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",2,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Eddie Rosario flies out to right fielder Wilyer Abreu.",0,2,3,67,"top",9,"2024-05-12T20:05:58.034Z","2024-05-12T20:06:32.598Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,592696,"Eddie Rosario","/api/v1/people/592696","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,696285,"Jacob Young","/api/v1/people/696285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746965,"2024-05-12",2,"2024-05-12T20:05:38.711Z","2024-05-12T20:05:41.711Z",FALSE,"pickoff","1111d063-c912-4bfc-a16e-d1c3dddcef43",NA,"Pickoff Attempt 1B",NA,NA,NA,NA,FALSE,"1",NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Eddie Rosario flies out to right fielder Wilyer Abreu.",0,2,3,67,"top",9,"2024-05-12T20:05:58.034Z","2024-05-12T20:06:32.598Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,592696,"Eddie Rosario","/api/v1/people/592696","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,TRUE,TRUE,696285,"Jacob Young","/api/v1/people/696285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746965,"2024-05-12",3,"2024-05-12T20:04:14.007Z","2024-05-12T20:04:22.158Z",TRUE,"pitch","a1b3150c-85b2-47c2-8f98-66535b8e605d",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,2,1,NA,NA,3.35,1.56,NA,118.91,169,"ground_ball","medium","7",99.29,87.2,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","Nick Senzel singles on a ground ball to left fielder Tyler O'Neill.",0,2,3,66,"top",9,"2024-05-12T20:02:56.052Z","2024-05-12T20:04:22.158Z",TRUE,FALSE,FALSE,FALSE,33,1,2,1,669222,"Nick Senzel","/api/v1/people/669222","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.1,85.6,5,0.91,0.4038,6.7828,28.5291,-11.6295,2.9105,11.0142,-0.0501,2.5846,4.1631,-135.4577,-7.5978,-1.9829,50.0032,6.2318,5.4296,25.2,3.6,24,2674,169,103.9,6,135,NA,NA,NA,FALSE,-12.8,18.6,-6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,669222,"Nick Senzel","/api/v1/people/669222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746965,"2024-05-12",2,"2024-05-12T20:03:53.170Z","2024-05-12T20:03:59.598Z",TRUE,"pitch","6a41b960-0b6f-4691-bb3f-01e6d3d560ce",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.3315,1.6133,NA,98.7,195.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","Nick Senzel singles on a ground ball to left fielder Tyler O'Neill.",0,2,3,66,"top",9,"2024-05-12T20:02:56.052Z","2024-05-12T20:04:22.158Z",TRUE,FALSE,FALSE,FALSE,33,1,2,1,669222,"Nick Senzel","/api/v1/people/669222","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",95.9,87.7,9,0.89,0.3936,6.8251,31.9537,-10.0651,1.5319,11.2772,0.4802,1.6046,5.2083,-139.2881,-10.6464,-1.6147,50.004,6.147,3.0021,18,2.4,24,2719,169,NA,NA,NA,NA,NA,NA,FALSE,-11.5,18.4,-3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,669222,"Nick Senzel","/api/v1/people/669222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746965,"2024-05-12",1,"2024-05-12T20:03:35.602Z","2024-05-12T20:03:39.253Z",TRUE,"pitch","389e4fe3-1ece-495d-ac80-a1aef94b0df1",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,1,NA,NA,3.195,1.4403,NA,86.5,166.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","Nick Senzel singles on a ground ball to left fielder Tyler O'Neill.",0,2,3,66,"top",9,"2024-05-12T20:02:56.052Z","2024-05-12T20:04:22.158Z",TRUE,FALSE,FALSE,FALSE,33,1,2,1,669222,"Nick Senzel","/api/v1/people/669222","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93,84.8,3,0.91,0.406,6.7972,30.9009,-10.8413,3.541,11.5872,0.8001,2.6845,5.8181,-135.1823,-7.304,-1.8445,50.0037,6.1918,6.5192,32.4,3.6,24,2759,163,NA,NA,NA,NA,NA,NA,FALSE,-12.4,19.6,-7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,669222,"Nick Senzel","/api/v1/people/669222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
