"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717648,"2023-06-23",5,"2023-06-24T01:32:39.173Z","2023-06-24T01:32:43.753Z",TRUE,"pitch","a5088d09-b0c8-46cc-b0b4-098c19bb0bda",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,2,NA,NA,3.82,1.82,NA,79.8,156.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Josh Bell strikes out swinging.",0,7,1,72,"bottom",9,"2023-06-24T01:30:42.769Z","2023-06-24T01:32:43.753Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605137,"Josh Bell","/api/v1/people/605137","L","Left",456713,"Matt Bush","/api/v1/people/456713","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.8,86,12,2,0.3983,6.5221,32.6661,-10.8028,-2.4985,11.18,0.9758,3.0381,4.8858,-137.8737,-4.0595,-0.5003,50.0043,5.2673,-4.7771,16.8,2.4,24,2490,202,NA,NA,NA,NA,NA,NA,TRUE,-11.2,19.4,3.5,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717648,"2023-06-23",4,"2023-06-24T01:32:15.116Z","2023-06-24T01:32:19.340Z",TRUE,"pitch","f7867548-8da2-4032-a5f9-400cae0f5231",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.6813,1.7836,NA,118.63,220.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Josh Bell strikes out swinging.",0,7,1,72,"bottom",9,"2023-06-24T01:30:42.769Z","2023-06-24T01:32:43.753Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605137,"Josh Bell","/api/v1/people/605137","L","Left",456713,"Matt Bush","/api/v1/people/456713","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians","Milwaukee Brewers",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",78.3,72.4,13,0.9,0.4809,6.2954,21.3812,-39.3914,6.5533,-5.4933,-0.0427,0.6592,0.0993,-113.9974,-1.3899,-0.938,50.0045,5.173,8.6068,12,12,24,2437,55,NA,NA,NA,NA,NA,NA,FALSE,-54.6,-10,-11.9,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717648,"2023-06-23",3,"2023-06-24T01:31:53.558Z","2023-06-24T01:31:59.796Z",TRUE,"pitch","48593fcb-ca0b-4083-ab13-a7bcd9ce35fd",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.82,1.82,NA,130.86,147.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Josh Bell strikes out swinging.",0,7,1,72,"bottom",9,"2023-06-24T01:30:42.769Z","2023-06-24T01:32:43.753Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605137,"Josh Bell","/api/v1/people/605137","L","Left",456713,"Matt Bush","/api/v1/people/456713","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.6,86.9,1,0.91,0.3943,6.3252,32.5447,-11.4931,-3.3712,10.5925,-0.3636,3.3755,2.0258,-139.1597,-3.3003,-0.6647,50.0014,5.3433,-6.5817,26.4,2.4,24,2545,200,NA,NA,NA,NA,NA,NA,FALSE,-11.4,18.6,5.6,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717648,"2023-06-23",1,"2023-06-24T01:31:30.697Z","2023-06-24T01:31:35.014Z",TRUE,"pitch","fa4d14f1-a89a-46a1-a42f-5a2b5ce17b4c",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.82,1.82,NA,110.51,167.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Josh Bell strikes out swinging.",0,7,1,72,"bottom",9,"2023-06-24T01:30:42.769Z","2023-06-24T01:32:43.753Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605137,"Josh Bell","/api/v1/people/605137","L","Left",456713,"Matt Bush","/api/v1/people/456713","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,86.6,5,0.9,0.3968,6.3064,31.3549,-9.0478,-4.0433,11.9868,0.1703,2.6266,3.8962,-138.1545,-5.4627,-0.7343,50.0018,5.2404,-7.8002,33.6,2.4,24,2464,207,NA,NA,NA,NA,NA,NA,FALSE,-9.7,20.8,6.5,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717648,"2023-06-23",0,"2023-06-24T01:31:09.021Z","2023-06-24T01:31:13.291Z",TRUE,"pitch","269359d4-9cbb-455d-a53a-d730172fc490",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.8204,1.8335,NA,169.57,99.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Josh Bell strikes out swinging.",0,7,1,72,"bottom",9,"2023-06-24T01:30:42.769Z","2023-06-24T01:32:43.753Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605137,"Josh Bell","/api/v1/people/605137","L","Left",456713,"Matt Bush","/api/v1/people/456713","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.8,85.3,11,0.89,0.3992,6.3011,34.9978,-12.455,-4.2206,10.3821,-1.3791,5.1548,-0.0872,-137.9945,1.424,-0.7998,50.0062,5.4784,-8.0192,33.6,3.6,24,2541,204,NA,NA,NA,NA,NA,NA,FALSE,-11.5,19.3,7.7,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717648,"2023-06-23",2,"2023-06-24T01:31:42.550Z","2023-06-24T01:31:53.558Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",7,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,1,2,605137,"/api/v1/people/605137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Josh Bell strikes out swinging.",0,7,1,72,"bottom",9,"2023-06-24T01:30:42.769Z","2023-06-24T01:32:43.753Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,605137,"Josh Bell","/api/v1/people/605137","L","Left",456713,"Matt Bush","/api/v1/people/456713","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians","Milwaukee Brewers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717648,"2023-06-23",0,"2023-06-24T01:30:29.560Z","2023-06-24T01:30:39.218Z",TRUE,"pitch","b91a73d6-bbe6-4499-8a8b-fb7a5222386d",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.09,1.51,NA,123.99,184.33,"fly_ball","medium","7",95.04,84.13,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Josh Naylor flies out to left fielder Christian Yelich.",0,7,1,71,"bottom",9,"2023-06-24T01:30:09.076Z","2023-06-24T01:30:39.218Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,647304,"Josh Naylor","/api/v1/people/647304","L","Left",456713,"Matt Bush","/api/v1/people/456713","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians","Milwaukee Brewers","true",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",77.2,70.7,5,0.9,0.4892,6.476,22.1821,-41.4685,6.7319,-7.3411,-0.1835,2.0168,-0.3916,-112.3708,1.964,-0.8794,50.0016,5.3747,8.5257,12,13.2,24,2503,53,91.5,45,298,NA,NA,NA,TRUE,-58.6,-12.4,-12,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717648,"2023-06-23",3,"2023-06-24T01:29:49.567Z","2023-06-24T01:29:57.072Z",TRUE,"pitch","29361421-8d43-424b-8a26-3686c24d1aa0",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,0,NA,NA,3.36,1.61,NA,149.04,204.52,"ground_ball","medium","4",140.54,162.33,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Jose Ramirez grounds out, second baseman Luis Urias to pitcher Matt Bush.",0,7,1,70,"bottom",9,"2023-06-24T01:29:11.348Z","2023-06-24T01:29:57.072Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,608070,"José Ramírez","/api/v1/people/608070","L","Left",456713,"Matt Bush","/api/v1/people/456713","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians","Milwaukee Brewers",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",78.3,72.2,13,0.9,0.4808,6.4368,21.7205,-38.6342,5.9819,-4.9224,-0.8405,1.2689,-1.2441,-114.0818,-0.328,-1.0639,50.0022,5.2349,7.8545,10.8,12,24,2487,52,65.4,-10,8,NA,NA,NA,TRUE,-53.3,-8.6,-10.4,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717648,"2023-06-23",2,"2023-06-24T01:29:28.389Z","2023-06-24T01:29:32.773Z",TRUE,"pitch","f49494a5-c69d-472a-b811-a91eb904bada",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.36,1.61,NA,90.72,173.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Jose Ramirez grounds out, second baseman Luis Urias to pitcher Matt Bush.",0,7,1,70,"bottom",9,"2023-06-24T01:29:11.348Z","2023-06-24T01:29:57.072Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,608070,"José Ramírez","/api/v1/people/608070","L","Left",456713,"Matt Bush","/api/v1/people/456713","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians","Milwaukee Brewers",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",79.5,73.1,6,0.9,0.474,6.2872,22.1731,-38.9521,4.8248,-5.0188,0.6893,2.4183,1.8766,-115.6817,1.8111,-0.7599,50.0018,5.3675,6.5186,9.6,12,24,2548,56,NA,NA,NA,NA,NA,NA,FALSE,-51.7,-8.3,-9.2,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717648,"2023-06-23",1,"2023-06-24T01:29:13.608Z","2023-06-24T01:29:17.514Z",TRUE,"pitch","545aebf8-ac47-4131-b3ea-858be1a5f823",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,0,NA,NA,3.36,1.61,NA,111.61,143.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Jose Ramirez grounds out, second baseman Luis Urias to pitcher Matt Bush.",0,7,1,70,"bottom",9,"2023-06-24T01:29:11.348Z","2023-06-24T01:29:57.072Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,608070,"José Ramírez","/api/v1/people/608070","L","Left",456713,"Matt Bush","/api/v1/people/456713","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.8,87.3,12,0.91,0.3932,6.4206,31.9566,-10.8265,-3.3768,10.8662,0.1414,3.5119,3.5314,-139.4212,-3.0478,-0.7042,50.0007,5.3358,-6.6333,26.4,2.4,24,2433,206,NA,NA,NA,NA,NA,NA,FALSE,-10.7,19.2,5.4,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
