"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
716970,"2023-08-16",1,"2023-08-17T01:28:08.099Z","2023-08-17T01:28:14.230Z",TRUE,"pitch","6517d597-d333-4f9a-8005-f9f3e9f8cb59",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,2,NA,NA,3.21,1.46,NA,144.79,181.59,"ground_ball","medium","5",107.63,165.61,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Groundout","field_out","Isiah Kiner-Falefa grounds out, third baseman Austin Riley to first baseman Matt Olson.",0,0,2,61,"top",9,"2023-08-17T01:27:39.733Z","2023-08-17T01:28:14.230Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,643396,"Isiah Kiner-Falefa","/api/v1/people/643396","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Atlanta Braves","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.3,88.1,4,0.9,0.3934,6.1732,28.2061,-23.522,-9.476,4.395,-0.729,2.1182,6.0849,-138.7255,-4.596,-1.7089,50.0006,5.3449,-18.6469,36,6,24,2374,224,80.3,-7,15,NA,NA,NA,TRUE,-22.6,7.3,16.1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716970,"2023-08-16",0,"2023-08-17T01:27:55.369Z","2023-08-17T01:27:58.369Z",TRUE,"pitch","22860875-73c8-4631-867c-8644039252d7",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.1867,1.5046,NA,168.35,151.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Groundout","field_out","Isiah Kiner-Falefa grounds out, third baseman Austin Riley to first baseman Matt Olson.",0,0,2,61,"top",9,"2023-08-17T01:27:39.733Z","2023-08-17T01:28:14.230Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,643396,"Isiah Kiner-Falefa","/api/v1/people/643396","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Atlanta Braves","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.5,79,11,0.87,0.438,5.9472,23.2979,-28.1768,2.3852,2.5176,-1.3471,3.2305,0.894,-124.6777,0.154,-2.0194,50.0002,5.479,3.7826,8.4,7.2,24,2673,98,NA,NA,NA,NA,NA,NA,FALSE,-32.2,4.8,-4.6,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716970,"2023-08-16",3,"2023-08-17T01:27:23.439Z","2023-08-17T01:27:31.454Z",TRUE,"pitch","e7d048bf-08db-4f5e-8492-6799bb998bbc",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,1,NA,NA,3.5,1.7,NA,99.59,195.56,"ground_ball","medium","4",151.87,148.04,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Groundout","field_out","Giancarlo Stanton grounds out, second baseman Nicky Lopez to first baseman Matt Olson.",0,0,2,60,"top",9,"2023-08-17T01:26:24.325Z","2023-08-17T01:27:31.454Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Atlanta Braves","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85,78.7,9,0.9,0.4413,5.9309,23.5694,-26.4089,5.4708,3.6873,0.4567,1.6009,3.515,-123.8785,-3.7268,-1.6887,50.0008,5.32,8.5433,19.2,7.2,24,2715,75,80.1,-8,14,NA,NA,NA,TRUE,-31.4,6.1,-10.7,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716970,"2023-08-16",2,"2023-08-17T01:27:09.481Z","2023-08-17T01:27:13.052Z",TRUE,"pitch","096864fb-d15f-4953-9d9d-1bb31b1a7dae",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.4767,1.6765,NA,125.92,213.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Groundout","field_out","Giancarlo Stanton grounds out, second baseman Nicky Lopez to first baseman Matt Olson.",0,0,2,60,"top",9,"2023-08-17T01:26:24.325Z","2023-08-17T01:27:31.454Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Atlanta Braves","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",91.1,84.4,13,0.91,0.412,6.2774,25.8664,-30.0098,-9.4404,1.2028,-0.2339,0.9248,6.9611,-132.4965,-5.5755,-1.6567,50.0012,5.2245,-16.938,26.4,8.4,24,1931,248,NA,NA,NA,NA,NA,NA,FALSE,-31.6,1.2,15.7,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716970,"2023-08-16",1,"2023-08-17T01:26:55.928Z","2023-08-17T01:26:59.491Z",TRUE,"pitch","a7f1c3e5-62cf-41f0-ab6b-af0806fd4f54",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,1,NA,NA,3.4994,1.7219,NA,122.82,187.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Groundout","field_out","Giancarlo Stanton grounds out, second baseman Nicky Lopez to first baseman Matt Olson.",0,0,2,60,"top",9,"2023-08-17T01:26:24.325Z","2023-08-17T01:27:31.454Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Atlanta Braves","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.8,88.6,8,0.9,0.3914,6.4935,27.9815,-23.1805,-9.4025,4.5227,-0.1527,1.901,7.4148,-139.3431,-5.1918,-1.6116,50.003,5.2967,-18.7,36,6,24,2284,222,NA,NA,NA,NA,NA,NA,FALSE,-22.2,7.4,15.7,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716970,"2023-08-16",0,"2023-08-17T01:26:42.825Z","2023-08-17T01:26:46.850Z",TRUE,"pitch","2842ff3f-fe62-4d9f-b3c6-979fe7388e1f",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.6127,1.7446,NA,154.26,190.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Groundout","field_out","Giancarlo Stanton grounds out, second baseman Nicky Lopez to first baseman Matt Olson.",0,0,2,60,"top",9,"2023-08-17T01:26:24.325Z","2023-08-17T01:27:31.454Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Atlanta Braves","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.6,88.1,13,0.89,0.3928,6.2259,29.333,-23.4469,-9.9863,4.4265,-0.9776,1.7816,5.8827,-139.0922,-5.3591,-1.8154,50.0026,5.2746,-19.692,37.2,6,24,2236,225,NA,NA,NA,NA,NA,NA,FALSE,-22.7,7.2,16.9,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716970,"2023-08-16",5,"2023-08-17T01:26:16.028Z","2023-08-17T01:26:19.942Z",TRUE,"pitch","0cb94c27-84de-438a-a37a-b89535e3e7bb",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,0,NA,NA,3.89,1.82,NA,150.42,190.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Strikeout","strikeout","Aaron Judge strikes out swinging.",0,0,2,59,"top",9,"2023-08-17T01:25:14.880Z","2023-08-17T01:26:19.942Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,592450,"Aaron Judge","/api/v1/people/592450","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Atlanta Braves",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",91.3,84.4,13,0.9,0.411,6.2329,26.5052,-29.6208,-9.4521,1.413,-0.8767,1.7827,5.4178,-132.8926,-3.7414,-1.706,50.0006,5.3429,-17.0288,27.6,7.2,24,2007,246,NA,NA,NA,NA,NA,NA,TRUE,-30.6,2,16.1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716970,"2023-08-16",3,"2023-08-17T01:25:46.127Z","2023-08-17T01:25:52.152Z",TRUE,"pitch","9bea015b-90bb-4db3-adb0-1aceb6542bd3",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,0,NA,NA,3.89,1.82,NA,155.15,175.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Strikeout","strikeout","Aaron Judge strikes out swinging.",0,0,2,59,"top",9,"2023-08-17T01:25:14.880Z","2023-08-17T01:26:19.942Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,592450,"Aaron Judge","/api/v1/people/592450","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Atlanta Braves",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.7,77.8,13,0.9,0.4468,5.7951,21.1235,-27.81,4.3854,2.8605,-1.0008,2.3502,1.1527,-121.986,-1.5034,-2.0479,50.0045,5.3436,6.6935,13.2,7.2,24,2737,80,NA,NA,NA,NA,NA,NA,FALSE,-33.5,5.2,-8.2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716970,"2023-08-16",2,"2023-08-17T01:25:29.523Z","2023-08-17T01:25:33.226Z",TRUE,"pitch","d49a0449-cace-45af-a166-29517cec2dab",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.9574,1.7966,NA,113.29,230.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Strikeout","strikeout","Aaron Judge strikes out swinging.",0,0,2,59,"top",9,"2023-08-17T01:25:14.880Z","2023-08-17T01:26:19.942Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,592450,"Aaron Judge","/api/v1/people/592450","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Atlanta Braves",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90,82.9,14,0.91,0.4187,6.2729,27.2369,-27.5993,-10.2534,2.6372,0.0972,0.3111,7.9922,-130.7532,-7.1393,-1.6649,50.0006,5.1439,-17.7743,28.8,7.2,24,1849,247,NA,NA,NA,NA,NA,NA,FALSE,-30.5,3.4,16.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716970,"2023-08-16",1,"2023-08-17T01:25:17.178Z","2023-08-17T01:25:21.023Z",TRUE,"pitch","edf74aca-d51d-4ac9-9ef5-9410ce635118",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.98,1.8873,NA,131.83,170.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Strikeout","strikeout","Aaron Judge strikes out swinging.",0,0,2,59,"top",9,"2023-08-17T01:25:14.880Z","2023-08-17T01:26:19.942Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,592450,"Aaron Judge","/api/v1/people/592450","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.7,87.8,7,0.91,0.3926,6.1084,29.9281,-14.8756,-5.032,8.7662,-0.3891,2.5431,5.8014,-139.2718,-4.8781,-1.8408,50.0058,5.2942,-9.933,28.8,3.6,24,2385,225,NA,NA,NA,NA,NA,NA,FALSE,-14.6,15.1,8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
