"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717354,"2023-07-19",2,"2023-07-19T02:44:26.655Z","2023-07-19T02:44:34.146Z",TRUE,"pitch","71e864f7-adfc-48ac-b5d0-2f9e0c8b8353",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.49,1.7,NA,146.98,166.92,"ground_ball","medium","4",145.82,152.19,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Yandy Diaz grounds out, second baseman Marcus Semien to first baseman Nathaniel Lowe.",0,3,5,72,"top",9,"2023-07-19T02:43:37.397Z","2023-07-19T02:44:34.146Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,650490,"Yandy Díaz","/api/v1/people/650490","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Texas Rangers","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.4,85.2,4,0.89,0.4063,6.3191,27.2128,-17.0982,5.0624,8.1759,-0.7865,2.6614,-5.9822,-134.459,-6.9484,0.802,50.0055,6.4777,9.3374,24,4.8,24,2111,145,78.8,0,41,NA,NA,NA,TRUE,-18.2,13.6,-8,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717354,"2023-07-19",1,"2023-07-19T02:44:04.783Z","2023-07-19T02:44:07.876Z",TRUE,"pitch","e2184ca9-b811-41af-996d-8b81a9aafe51",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.5406,1.7499,NA,137.13,251.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Yandy Diaz grounds out, second baseman Marcus Semien to first baseman Nathaniel Lowe.",0,3,5,72,"top",9,"2023-07-19T02:43:37.397Z","2023-07-19T02:44:34.146Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,650490,"Yandy Díaz","/api/v1/people/650490","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Texas Rangers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",79.2,73.2,13,2,0.4774,6.3793,23.3012,-33.3683,-4.1061,-0.9012,-0.5281,-0.4663,-3.0234,-115.1542,-7.7419,1.3397,50.0018,6.2071,-5.4603,9.6,10.8,24,2331,318,NA,NA,NA,NA,NA,NA,FALSE,-47.4,-3.5,8.3,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717354,"2023-07-19",0,"2023-07-19T02:43:48.123Z","2023-07-19T02:43:51.276Z",TRUE,"pitch","03fdef2b-5938-41e4-9a03-93960bcad77f",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.4148,1.6978,NA,99.12,173.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Yandy Diaz grounds out, second baseman Marcus Semien to first baseman Nathaniel Lowe.",0,3,5,72,"top",9,"2023-07-19T02:43:37.397Z","2023-07-19T02:44:34.146Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,650490,"Yandy Díaz","/api/v1/people/650490","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Texas Rangers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",79.5,72.2,6,0.72,0.477,6.2046,25.1812,-32.058,-5.5467,0.0846,0.4691,2.4219,-0.55,-115.6283,-2.0469,1.4302,50.0006,6.4481,-7.3743,13.2,10.8,24,2212,324,NA,NA,NA,NA,NA,NA,FALSE,-44,-0.1,10.2,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717354,"2023-07-19",2,"2023-07-19T02:43:15.358Z","2023-07-19T02:43:25.458Z",TRUE,"pitch","cde5181a-bd69-4562-b238-7ab6a4ee2b21",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,1,NA,NA,3.27,1.51,NA,97.53,193.72,"fly_ball","medium","4",160.58,133.26,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Francisco Mejia flies out to second baseman Marcus Semien.",0,3,5,71,"top",9,"2023-07-19T02:42:18.197Z","2023-07-19T02:43:25.458Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,642336,"Francisco Mejía","/api/v1/people/642336","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Texas Rangers","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",80.8,74.4,9,0.91,0.4663,6.1071,23.0083,-27.885,-5.3925,3.0759,0.5107,1.6689,-0.3082,-117.6029,-4.8767,1.3439,50.0046,6.3662,-7.5287,14.4,8.4,24,2160,320,77.6,57,190,NA,NA,NA,TRUE,-37.3,4.6,9.8,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717354,"2023-07-19",1,"2023-07-19T02:42:39.905Z","2023-07-19T02:42:45.983Z",TRUE,"pitch","14792583-03f5-4afd-b833-b4269156ce3b",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.27,1.51,NA,122.52,159.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Francisco Mejia flies out to second baseman Marcus Semien.",0,3,5,71,"top",9,"2023-07-19T02:42:18.197Z","2023-07-19T02:43:25.458Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,642336,"Francisco Mejía","/api/v1/people/642336","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Texas Rangers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",80,73.3,2,0.91,0.4713,6.0701,23.0629,-29.8141,-5.656,1.7244,-0.1449,2.9318,-1.644,-116.4703,-1.8428,1.3058,50.0014,6.5684,-7.7237,14.4,9.6,24,2226,310,NA,NA,NA,NA,NA,NA,FALSE,-40,2.9,10.7,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717354,"2023-07-19",0,"2023-07-19T02:42:25.254Z","2023-07-19T02:42:28.397Z",TRUE,"pitch","60f8c372-4a90-4154-bf4d-6d8e447ca3fd",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.3897,1.6801,NA,113.78,155.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Francisco Mejia flies out to second baseman Marcus Semien.",0,3,5,71,"top",9,"2023-07-19T02:42:18.197Z","2023-07-19T02:43:25.458Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,642336,"Francisco Mejía","/api/v1/people/642336","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Texas Rangers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93,85.2,2,0.9,0.4045,6.1813,29.3472,-16.1381,5.6578,8.6364,0.0845,3.0753,-4.2085,-135.3562,-6.085,0.9239,50.0045,6.4813,10.5069,28.8,4.8,24,2184,145,NA,NA,NA,NA,NA,NA,FALSE,-17,14.5,-9.4,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717354,"2023-07-19",5,"2023-07-19T02:41:49.041Z","2023-07-19T02:41:57.389Z",TRUE,"pitch","42fcf682-bbbb-427b-93f3-2d781524bef5",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,0,NA,NA,3.42,1.63,NA,120.56,194.14,"ground_ball","medium","5",101.7,164.88,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Manuel Margot grounds out, third baseman Josh Jung to first baseman Nathaniel Lowe.",0,3,5,70,"top",9,"2023-07-19T02:40:52.450Z","2023-07-19T02:41:57.389Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,622534,"Manuel Margot","/api/v1/people/622534","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Texas Rangers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",79.7,74.3,8,0.91,0.4699,6.2041,19.7187,-29.9175,-4.5966,1.6407,-0.0934,1.6532,-1.8662,-116.1116,-4.3494,1.3158,50.0051,6.3663,-6.3396,12,9.6,24,2295,310,102.3,-9,14,NA,NA,NA,TRUE,-40.3,2.3,8.8,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717354,"2023-07-19",4,"2023-07-19T02:41:31.178Z","2023-07-19T02:41:34.264Z",TRUE,"pitch","e9515569-5332-46d1-baf4-ffb882d4b95f",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,0,NA,NA,3.42,1.63,NA,137.59,190.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Manuel Margot grounds out, third baseman Josh Jung to first baseman Nathaniel Lowe.",0,3,5,70,"top",9,"2023-07-19T02:40:52.450Z","2023-07-19T02:41:57.389Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,622534,"Manuel Margot","/api/v1/people/622534","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Texas Rangers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",79.4,73.9,7,2,0.4725,6.305,20.1773,-34.5407,-2.397,-1.7356,-0.5402,1.7919,-3.4518,-115.617,-2.9062,1.2796,50.0042,6.3579,-3.2666,6,10.8,24,2281,303,NA,NA,NA,NA,NA,NA,FALSE,-46.7,-3.6,5.2,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717354,"2023-07-19",3,"2023-07-19T02:41:14.525Z","2023-07-19T02:41:17.897Z",TRUE,"pitch","8b0ec6bc-e6d8-46b1-8dbf-fa1ca27316a7",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.3185,1.5303,NA,135.07,210.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Manuel Margot grounds out, third baseman Josh Jung to first baseman Nathaniel Lowe.",0,3,5,70,"top",9,"2023-07-19T02:40:52.450Z","2023-07-19T02:41:57.389Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,622534,"Manuel Margot","/api/v1/people/622534","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Texas Rangers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",78.1,72.3,13,0.9,0.482,6.1709,20.9025,-27.474,-4.6511,3.5952,-0.474,1.0462,-2.6797,-113.6594,-5.671,1.3248,50.0053,6.3034,-6.0829,13.2,9.6,24,2298,317,NA,NA,NA,NA,NA,NA,FALSE,-39.5,5.4,9.1,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717354,"2023-07-19",2,"2023-07-19T02:40:54.604Z","2023-07-19T02:40:57.916Z",TRUE,"pitch","c4190a56-22cf-449a-ac21-f84ad80c3d3f",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,0,NA,NA,3.42,1.63,NA,111.18,202.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Manuel Margot grounds out, third baseman Josh Jung to first baseman Nathaniel Lowe.",0,3,5,70,"top",9,"2023-07-19T02:40:52.450Z","2023-07-19T02:41:57.389Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,622534,"Manuel Margot","/api/v1/people/622534","R","Right",519293,"Will Smith","/api/v1/people/519293","L","Left","vs_LHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Texas Rangers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",77.6,71.7,14,2,0.4858,6.0891,21.5078,-35.1201,-4.5551,-2.2935,0.1527,1.3428,-1.6464,-112.9699,-3.3957,1.4837,50.0023,6.4131,-5.8581,9.6,12,24,2268,315,NA,NA,NA,NA,NA,NA,FALSE,-50.3,-4.7,8.6,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
