"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
745517,"2024-04-09",3,"2024-04-09T18:56:57.160Z","2024-04-09T18:57:03.342Z",TRUE,"pitch","e30bf770-d0a6-4194-b95e-5f8db9d936b8",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.72,1.81,NA,126.62,161.87,"ground_ball","medium","6",114.6,140.91,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Forceout","force_out","Oneil Cruz grounds into a force out, fielded by shortstop Javier Báez. Henry Davis out at 2nd.",0,5,3,73,"bottom",9,"2024-04-09T18:56:15.109Z","2024-04-09T18:57:03.342Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,665833,"Oneil Cruz","/api/v1/people/665833","L","Left",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Detroit Tigers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.2,88.6,5,0.89,0.3881,6.504,33.385,-24.7394,-10.3788,3.6944,-0.2523,2.8486,7.376,-141.3259,-3.5215,-1.5527,50.0069,5.707,-20.9174,37.2,6,24,2160,237,110.7,-2,41,NA,NA,NA,TRUE,-22.9,6.1,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745517,"2024-04-09",2,"2024-04-09T18:56:34.459Z","2024-04-09T18:56:39.687Z",TRUE,"pitch","4b5de900-5482-4948-8d21-e3296b583ade",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.72,1.81,NA,116.22,145.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Forceout","force_out","Oneil Cruz grounds into a force out, fielded by shortstop Javier Báez. Henry Davis out at 2nd.",0,5,3,73,"bottom",9,"2024-04-09T18:56:15.109Z","2024-04-09T18:57:03.342Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,665833,"Oneil Cruz","/api/v1/people/665833","L","Left",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Detroit Tigers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.7,89.2,2,0.82,0.3837,6.837,36.7541,-20.812,-9.3205,5.5212,0.0072,3.2172,7.9871,-143.3826,-3.2866,-1.6197,50.0044,5.6954,-19.1827,38.4,6,24,2055,230,NA,NA,NA,NA,NA,NA,FALSE,-19,9.4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745517,"2024-04-09",1,"2024-04-09T18:56:17.458Z","2024-04-09T18:56:23.119Z",TRUE,"pitch","8567bcf2-2b61-44de-a5e1-b072693b04e0",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.856,1.8576,NA,71.32,179.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Forceout","force_out","Oneil Cruz grounds into a force out, fielded by shortstop Javier Báez. Henry Davis out at 2nd.",0,5,3,73,"bottom",9,"2024-04-09T18:56:15.109Z","2024-04-09T18:57:03.342Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,665833,"Oneil Cruz","/api/v1/people/665833","L","Left",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Detroit Tigers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.2,89.7,14,0.85,0.3823,6.8321,36.9544,-21.9501,-9.5039,4.9295,1.1985,2.2051,11.273,-143.9035,-5.9024,-1.5563,50.0022,5.6656,-19.7054,36,6,24,2073,233,NA,NA,NA,NA,NA,NA,FALSE,-20.5,7.7,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745517,"2024-04-09",0,"2024-04-09T18:56:07.766Z","2024-04-09T18:56:17.458Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Oneil Cruz replaces Alika Williams.","Offensive Substitution",5,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,665833,"/api/v1/people/665833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","73","atBat","Forceout","force_out","Oneil Cruz grounds into a force out, fielded by shortstop Javier Báez. Henry Davis out at 2nd.",0,5,3,73,"bottom",9,"2024-04-09T18:56:15.109Z","2024-04-09T18:57:03.342Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,665833,"Oneil Cruz","/api/v1/people/665833","L","Left",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Detroit Tigers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,675961,"/api/v1/people/675961",NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745517,"2024-04-09",1,"2024-04-09T18:55:35.699Z","2024-04-09T18:55:46.267Z",TRUE,"pitch","d8d9670e-c0cf-47a8-b271-544e9d6f2beb",2,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,1,2,NA,NA,3.37,1.67,NA,76.81,201.19,"ground_ball","medium","8",116.01,112.72,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Single","single","Henry Davis singles on a ground ball to center fielder Parker Meadows.",0,5,3,72,"bottom",9,"2024-04-09T18:55:17.651Z","2024-04-09T18:55:46.267Z",TRUE,FALSE,FALSE,FALSE,33,0,1,2,680779,"Henry Davis","/api/v1/people/680779","R","Right",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Detroit Tigers","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.4,83,14,2,0.4195,6.7149,25.187,-28.3826,0.0921,2.1901,1.0544,1.3922,6.0634,-130.159,-5.8749,-1.3091,50.0014,5.8051,0.1588,2.4,7.2,24,2297,72,82.3,11,128,NA,NA,NA,FALSE,-31,3,-1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,680779,"Henry Davis","/api/v1/people/680779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745517,"2024-04-09",0,"2024-04-09T18:55:17.651Z","2024-04-09T18:55:21.571Z",TRUE,"pitch","725d0e2c-3589-41d2-9061-1af0bafb7b27",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.37,1.67,NA,131.13,161.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Single","single","Henry Davis singles on a ground ball to center fielder Parker Meadows.",0,5,3,72,"bottom",9,"2024-04-09T18:55:17.651Z","2024-04-09T18:55:46.267Z",TRUE,FALSE,FALSE,FALSE,33,0,1,2,680779,"Henry Davis","/api/v1/people/680779","R","Right",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.4,92.3,1,0.87,0.3761,6.5536,28.8544,-23.9037,-8.1134,3.8356,-0.3706,2.8444,6.5852,-144.7899,-4.3219,-1.6028,50.0034,5.7907,-17.4964,33.6,6,24,2105,233,NA,NA,NA,NA,NA,NA,FALSE,-20.9,6.4,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,680779,"Henry Davis","/api/v1/people/680779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745517,"2024-04-09",1,"2024-04-09T18:54:42.457Z","2024-04-09T18:54:50.771Z",TRUE,"pitch","ed36d416-b102-4a5f-9e96-9ca9fa7ef9b6",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,0,NA,NA,3.51,1.67,NA,143.57,175.38,"ground_ball","medium","4",126.59,151.8,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Grounded Into DP","grounded_into_double_play","Michael A. Taylor grounds into a double play, second baseman Colt Keith to first baseman Mark Canha. Rowdy Tellez out at 2nd. Michael A. Taylor out at 1st.",0,5,3,71,"bottom",9,"2024-04-09T18:54:24.632Z","2024-04-09T18:54:50.771Z",TRUE,FALSE,FALSE,TRUE,24,0,1,2,572191,"Michael A. Taylor","/api/v1/people/572191","R","Right",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Detroit Tigers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.8,90.8,4,0.87,0.3805,6.633,32.0336,-22.9151,-9.1035,4.4069,-0.6972,2.348,5.9792,-143.7432,-5.5299,-1.6171,50.0034,5.7113,-19.1294,36,6,24,2096,228,63.3,10,103,NA,NA,NA,TRUE,-20.9,7.1,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,680779,"Henry Davis","/api/v1/people/680779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745517,"2024-04-09",0,"2024-04-09T18:54:24.632Z","2024-04-09T18:54:31.289Z",TRUE,"pitch","05fde454-8b07-4144-8f6d-582a02d39063",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.6651,1.697,NA,126.65,147.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Grounded Into DP","grounded_into_double_play","Michael A. Taylor grounds into a double play, second baseman Colt Keith to first baseman Mark Canha. Rowdy Tellez out at 2nd. Michael A. Taylor out at 1st.",0,5,3,71,"bottom",9,"2024-04-09T18:54:24.632Z","2024-04-09T18:54:50.771Z",TRUE,FALSE,FALSE,TRUE,24,0,1,2,572191,"Michael A. Taylor","/api/v1/people/572191","R","Right",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.7,90.3,2,0.84,0.3814,6.7604,33.0979,-24.7368,-8.5427,3.5633,-0.2531,3.398,7.0671,-143.582,-2.3569,-1.6358,50.0055,5.768,-17.8478,32.4,6,24,2050,230,NA,NA,NA,NA,NA,NA,FALSE,-22,6.1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,680779,"Henry Davis","/api/v1/people/680779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745517,"2024-04-09",9,"2024-04-09T18:53:49.829Z","2024-04-09T18:54:00.249Z",TRUE,"pitch","d6eace19-cbe7-4247-a4fc-0d77ea3e6bd8",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,2,0,NA,NA,3.61,1.71,NA,126.28,182.15,"line_drive","medium","8",205.51,122.73,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","Rowdy Tellez singles on a line drive to center fielder Parker Meadows.",0,5,3,70,"bottom",9,"2024-04-09T18:52:32.358Z","2024-04-09T18:54:00.249Z",TRUE,FALSE,FALSE,FALSE,33,1,2,0,642133,"Rowdy Tellez","/api/v1/people/642133","L","Left",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Detroit Tigers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.1,92,8,0.89,0.3778,6.8032,28.9525,-25.2349,-8.4654,3.25,-0.2435,2.0975,7.1375,-144.1753,-5.8352,-1.6336,50.0049,5.6744,-18.0832,32.4,6,24,2064,234,101,7,184,NA,NA,NA,FALSE,-22.6,5,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,642133,"Rowdy Tellez","/api/v1/people/642133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745517,"2024-04-09",8,"2024-04-09T18:53:05.093Z","2024-04-09T18:53:09.125Z",TRUE,"pitch","732fbe17-4939-4660-9e92-5527df39652f",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,0,NA,NA,3.61,1.71,NA,85.83,190.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","Rowdy Tellez singles on a line drive to center fielder Parker Meadows.",0,5,3,70,"bottom",9,"2024-04-09T18:52:32.358Z","2024-04-09T18:54:00.249Z",TRUE,FALSE,FALSE,FALSE,33,1,2,0,642133,"Rowdy Tellez","/api/v1/people/642133","L","Left",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Detroit Tigers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",93.4,86.4,9,2,0.4019,6.8619,26.7139,-24.423,-7.8165,4.1067,0.8176,1.7777,9.6797,-135.7302,-5.168,-1.7614,50.0011,5.3835,-14.7412,26.4,6,24,1814,246,NA,NA,NA,NA,NA,NA,FALSE,-24.6,6.6,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,642133,"Rowdy Tellez","/api/v1/people/642133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
