"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716481,"2023-09-22",1,"2023-09-23T02:15:05.439Z","2023-09-23T02:15:14.885Z",TRUE,"pitch","4822d3a8-0f2e-4303-a32f-ca6a0cf4b699",2,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,1,0,NA,NA,3.53,1.58,NA,153.88,149.82,"line_drive","medium","9",176.49,150.25,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Single","single","Alec Bohm singles on a line drive to right fielder Jeff McNeil. Trea Turner scores. Bryce Harper to 2nd.",1,4,5,79,"bottom",10,"2023-09-23T02:14:19.466Z","2023-09-23T02:15:14.885Z",TRUE,TRUE,FALSE,FALSE,60,0,1,0,664761,"Alec Bohm","/api/v1/people/664761","R","Right",493603,"Adam Ottavino","/api/v1/people/493603","R","Right","vs_RHP","vs_RHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","New York Mets","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91.4,83.8,11,0.89,0.4116,6.8712,28.0084,-27.5171,-9.4437,2.5966,-0.9676,3.2949,7.49,-132.9774,-0.8101,-2.5912,50.0051,5.5965,-16.9473,28.8,7.2,24,2277,224,59.8,20,143,NA,NA,NA,FALSE,-28,4.8,15.5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,664761,"Alec Bohm","/api/v1/people/664761",547180,"Bryce Harper","/api/v1/people/547180",NA,NA,NA
716481,"2023-09-22",0,"2023-09-23T02:14:42.282Z","2023-09-23T02:14:46.125Z",TRUE,"pitch","ebe38cbe-e7bc-463d-9070-8c4c1c71b765",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.5302,1.4766,NA,118.5,190.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Single","single","Alec Bohm singles on a line drive to right fielder Jeff McNeil. Trea Turner scores. Bryce Harper to 2nd.",1,4,5,79,"bottom",10,"2023-09-23T02:14:19.466Z","2023-09-23T02:15:14.885Z",TRUE,TRUE,FALSE,FALSE,60,0,1,0,664761,"Alec Bohm","/api/v1/people/664761","R","Right",493603,"Adam Ottavino","/api/v1/people/493603","R","Right","vs_RHP","vs_RHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","New York Mets","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91.8,83.3,8,0.88,0.4129,6.9086,31.6348,-30.1284,-9.2007,1.1493,-0.0394,1.8001,9.8166,-133.2321,-3.7645,-2.5962,50.0024,5.4362,-16.3549,24,7.2,24,2316,230,NA,NA,NA,NA,NA,NA,FALSE,-31.6,1.3,14.3,NA,NA,NA,NA,NA,NA,FALSE,FALSE,664761,"Alec Bohm","/api/v1/people/664761",NA,NA,NA,NA,NA,NA
716481,"2023-09-22",2,"2023-09-23T02:14:06.974Z","2023-09-23T02:14:07.010Z",FALSE,"no_pitch","07164816-0796-1003-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Intent Walk","intent_walk","Adam Ottavino intentionally walks Bryce Harper.",0,4,4,78,"bottom",10,"2023-09-23T02:13:22.084Z","2023-09-23T02:14:08.646Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,547180,"Bryce Harper","/api/v1/people/547180","L","Left",493603,"Adam Ottavino","/api/v1/people/493603","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","New York Mets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,547180,"Bryce Harper","/api/v1/people/547180",NA,NA,NA,NA,NA,NA
716481,"2023-09-22",3,"2023-09-23T02:14:07.010Z","2023-09-23T02:14:07.019Z",FALSE,"no_pitch","07164816-0796-1013-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Intent Walk","intent_walk","Adam Ottavino intentionally walks Bryce Harper.",0,4,4,78,"bottom",10,"2023-09-23T02:13:22.084Z","2023-09-23T02:14:08.646Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,547180,"Bryce Harper","/api/v1/people/547180","L","Left",493603,"Adam Ottavino","/api/v1/people/493603","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","New York Mets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,547180,"Bryce Harper","/api/v1/people/547180",NA,NA,NA,NA,NA,NA
716481,"2023-09-22",4,"2023-09-23T02:14:07.019Z","2023-09-23T02:14:07.023Z",FALSE,"no_pitch","07164816-0796-1023-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Intent Walk","intent_walk","Adam Ottavino intentionally walks Bryce Harper.",0,4,4,78,"bottom",10,"2023-09-23T02:13:22.084Z","2023-09-23T02:14:08.646Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,547180,"Bryce Harper","/api/v1/people/547180","L","Left",493603,"Adam Ottavino","/api/v1/people/493603","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","New York Mets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,547180,"Bryce Harper","/api/v1/people/547180",NA,NA,NA,NA,NA,NA
716481,"2023-09-22",5,"2023-09-23T02:14:07.023Z","2023-09-23T02:14:08.646Z",FALSE,"no_pitch","07164816-0796-1033-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Intent Walk","intent_walk","Adam Ottavino intentionally walks Bryce Harper.",0,4,4,78,"bottom",10,"2023-09-23T02:13:22.084Z","2023-09-23T02:14:08.646Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,547180,"Bryce Harper","/api/v1/people/547180","L","Left",493603,"Adam Ottavino","/api/v1/people/493603","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","New York Mets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,547180,"Bryce Harper","/api/v1/people/547180",607208,"Trea Turner","/api/v1/people/607208",NA,NA,NA
716481,"2023-09-22",0,"2023-09-23T02:13:22.084Z","2023-09-23T02:13:41.827Z",FALSE,"action",NA,NA,"Pitching Change: Adam Ottavino replaces Brooks Raley.","Pitching Substitution",4,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,493603,"/api/v1/people/493603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"78","atBat","Intent Walk","intent_walk","Adam Ottavino intentionally walks Bryce Harper.",0,4,4,78,"bottom",10,"2023-09-23T02:13:22.084Z","2023-09-23T02:14:08.646Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,547180,"Bryce Harper","/api/v1/people/547180","L","Left",493603,"Adam Ottavino","/api/v1/people/493603","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","New York Mets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,FALSE,FALSE,547180,"Bryce Harper","/api/v1/people/547180",NA,NA,NA,NA,NA,NA
716481,"2023-09-22",1,"2023-09-23T02:13:41.827Z","2023-09-23T02:14:06.974Z",FALSE,"action",NA,NA,"Trea Turner starts inning at 2nd base.","Runner Placed On Base",4,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,607208,"/api/v1/people/607208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"runner_placed",NA,NA,NA,NA,NA,NA,"78","atBat","Intent Walk","intent_walk","Adam Ottavino intentionally walks Bryce Harper.",0,4,4,78,"bottom",10,"2023-09-23T02:13:22.084Z","2023-09-23T02:14:08.646Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,547180,"Bryce Harper","/api/v1/people/547180","L","Left",493603,"Adam Ottavino","/api/v1/people/493603","R","Right","vs_RHP","vs_LHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","New York Mets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,FALSE,FALSE,547180,"Bryce Harper","/api/v1/people/547180",NA,NA,NA,NA,NA,NA
716481,"2023-09-22",6,"2023-09-23T02:11:16.068Z","2023-09-23T02:11:21.108Z",TRUE,"pitch","bccaf093-5f54-458d-8a08-572e546f440d",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,2,NA,NA,3.33,1.57,NA,94.08,222.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Pete Alonso strikes out swinging.",0,4,4,77,"top",10,"2023-09-23T02:09:29.188Z","2023-09-23T02:11:21.108Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,624413,"Pete Alonso","/api/v1/people/624413","R","Right",622554,"Seranthony Domínguez","/api/v1/people/622554","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Philadelphia Phillies",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.5,82.3,14,0.91,0.4214,6.7115,28.014,-28.0253,2.2431,2.4209,0.6014,0.6201,4.7296,-130.1322,-6.8822,-1.5329,50.0006,5.4301,3.834,9.6,7.2,24,2561,127,NA,NA,NA,NA,NA,NA,TRUE,-31.2,3,-5.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,547180,"Bryce Harper","/api/v1/people/547180",NA,NA,NA,NA,NA,NA
716481,"2023-09-22",4,"2023-09-23T02:10:41.654Z","2023-09-23T02:10:45.441Z",TRUE,"pitch","ef2754a4-c44a-44fc-859c-3ce70610a09a",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.2008,1.4408,NA,61.72,202.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Pete Alonso strikes out swinging.",0,4,4,77,"top",10,"2023-09-23T02:09:29.188Z","2023-09-23T02:11:21.108Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,624413,"Pete Alonso","/api/v1/people/624413","R","Right",622554,"Seranthony Domínguez","/api/v1/people/622554","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.9,88.9,14,0.92,0.3868,6.7252,34.8952,-12.3754,-1.1909,9.7689,1.4503,1.3455,8.8497,-142.0106,-8.5538,-1.562,50.0003,5.1988,-2.4139,1.2,2.4,24,2407,212,NA,NA,NA,NA,NA,NA,FALSE,-13,16,0.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,547180,"Bryce Harper","/api/v1/people/547180",NA,NA,NA,NA,NA,NA
