"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","isSubstitution","details.disengagementNum","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717774,"2023-06-14",4,"2023-06-14T04:00:00.755Z","2023-06-14T04:00:06.438Z",TRUE,"pitch","02500077-a85e-41c7-a706-11342ded8742",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,2,NA,NA,3.39,1.64,NA,164.96,143.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Jose Siri strikes out swinging.",0,1,2,66,"top",9,"2023-06-14T03:58:57.737Z","2023-06-14T04:00:06.438Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,642350,"Jose Siri","/api/v1/people/642350","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Oakland Athletics",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.7,86.8,11,0.91,0.3945,7.0037,33.7124,-13.1417,-4.0182,9.77,-1.2583,3.523,0.6993,-139.2738,-3.7392,-0.9922,50.0025,5.7629,-7.828,28.8,3.6,24,2182,207,NA,NA,NA,NA,NA,NA,TRUE,-13.1,17,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717774,"2023-06-14",3,"2023-06-14T03:59:32.337Z","2023-06-14T03:59:39.649Z",TRUE,"pitch","c737c51a-945c-445f-93c1-be64521afff3",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.39,1.64,NA,164.82,162.7,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Jose Siri strikes out swinging.",0,1,2,66,"top",9,"2023-06-14T03:58:57.737Z","2023-06-14T04:00:06.438Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,642350,"Jose Siri","/api/v1/people/642350","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Oakland Athletics",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.8,77.8,11,0.91,0.4466,6.69,21.5902,-35.2531,2.1718,-2.0104,-1.2546,2.8177,-0.3164,-122.1399,0.1722,-1.4067,50.0058,5.7506,3.3178,4.8,9.6,24,2378,97,NA,NA,NA,NA,NA,NA,FALSE,-41.9,-3.4,-3.8,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717774,"2023-06-14",1,"2023-06-14T03:59:00.028Z","2023-06-14T03:59:04.538Z",TRUE,"pitch","0c941d85-989e-44a9-bd83-af188e8e16da",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.3898,1.6124,NA,133.14,177.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Jose Siri strikes out swinging.",0,1,2,66,"top",9,"2023-06-14T03:58:57.737Z","2023-06-14T04:00:06.438Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,642350,"Jose Siri","/api/v1/people/642350","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Oakland Athletics",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.7,78.4,4,0.9,0.4424,6.9278,22.9219,-30.4279,1.4976,1.1241,-0.4234,2.2815,2.0663,-123.4639,-1.9792,-1.4635,50.0044,5.6367,2.3283,4.8,8.4,24,2298,102,NA,NA,NA,NA,NA,NA,FALSE,-36,1.8,-3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717774,"2023-06-14",0,"2023-06-14T03:58:43.005Z","2023-06-14T03:59:00.028Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-runner Josh Lowe replaces Isaac Paredes.","Offensive Substitution",1,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,666139,"/api/v1/people/666139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"12","Pinch Runner","Runner","PR","501","66","atBat","Strikeout","strikeout","Jose Siri strikes out swinging.",0,1,2,66,"top",9,"2023-06-14T03:58:57.737Z","2023-06-14T04:00:06.438Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,642350,"Jose Siri","/api/v1/people/642350","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Oakland Athletics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,670623,"/api/v1/people/670623",1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717774,"2023-06-14",2,"2023-06-14T03:59:16.569Z","2023-06-14T03:59:20.040Z",FALSE,"pickoff","838af488-1522-40ec-b951-84f922efbf49",NA,"Pickoff Attempt 1B",NA,NA,NA,NA,FALSE,"1",NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Jose Siri strikes out swinging.",0,1,2,66,"top",9,"2023-06-14T03:58:57.737Z","2023-06-14T04:00:06.438Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,642350,"Jose Siri","/api/v1/people/642350","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Oakland Athletics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717774,"2023-06-14",8,"2023-06-14T03:58:14.866Z","2023-06-14T03:58:23.136Z",TRUE,"pitch","539f24ef-33cd-42d8-8a8b-8839fd4dccf1",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,2,NA,NA,3.0992,1.549,NA,108.75,201.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Walk","walk","Isaac Paredes walks.",0,1,2,65,"top",9,"2023-06-14T03:51:37.651Z","2023-06-14T03:58:23.136Z",TRUE,FALSE,FALSE,TRUE,0,4,2,2,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Oakland Athletics",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",87.2,80.5,14,0.9,0.4311,6.9925,24.4726,-27.2622,-10.3258,2.9978,0.2165,1.3679,6.7646,-126.7557,-4.9796,-1.1373,50.0011,5.519,-16.9005,28.8,8.4,24,1587,233,NA,NA,NA,NA,NA,NA,FALSE,-31.3,4.6,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,670623,"Isaac Paredes","/api/v1/people/670623",NA,NA,NA,NA,NA,NA
717774,"2023-06-14",6,"2023-06-14T03:57:52.717Z","2023-06-14T03:57:56.947Z",TRUE,"pitch","613d543f-0211-459e-88d8-30fdb7e5f692",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,2,2,NA,NA,3.17,1.51,NA,106.68,200.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Walk","walk","Isaac Paredes walks.",0,1,2,65,"top",9,"2023-06-14T03:51:37.651Z","2023-06-14T03:58:23.136Z",TRUE,FALSE,FALSE,TRUE,0,4,2,2,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Oakland Athletics",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",86.6,79.7,8,0.91,0.4346,6.967,24.6824,-26.0556,-9.5143,3.8016,0.2706,1.4053,6.7714,-125.8629,-4.8641,-1.2136,50.0041,5.4637,-15.3211,27.6,7.2,24,1393,229,NA,NA,NA,NA,NA,NA,FALSE,-30.5,6,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717774,"2023-06-14",5,"2023-06-14T03:57:36.917Z","2023-06-14T03:57:41.700Z",TRUE,"pitch","0de89f3f-c612-4757-9409-187cc80ab0e1",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,2,NA,NA,3.0992,1.5807,NA,82.37,208.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Walk","walk","Isaac Paredes walks.",0,1,2,65,"top",9,"2023-06-14T03:51:37.651Z","2023-06-14T03:58:23.136Z",TRUE,FALSE,FALSE,TRUE,0,4,2,2,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Oakland Athletics",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.1,79.4,14,0.91,0.44,6.8935,21.8923,-33.7218,2.2886,-0.9858,0.9084,1.1207,5.0027,-123.9052,-3.9132,-1.4242,50.0018,5.5015,3.601,7.2,8.4,24,2342,97,NA,NA,NA,NA,NA,NA,FALSE,-39.7,-2.4,-5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717774,"2023-06-14",4,"2023-06-14T03:57:21.678Z","2023-06-14T03:57:25.477Z",TRUE,"pitch","0f5b4770-a066-43c5-aba7-d85828b80d09",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.0037,1.454,NA,8.35,186.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Walk","walk","Isaac Paredes walks.",0,1,2,65,"top",9,"2023-06-14T03:51:37.651Z","2023-06-14T03:58:23.136Z",TRUE,FALSE,FALSE,TRUE,0,4,2,2,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Oakland Athletics",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",82,75.5,14,0.66,0.4603,6.9158,23.9705,-32.2661,7.0744,-0.0693,2.8503,1.9389,7.1647,-119.2195,-1.6731,-1.1181,50.0007,5.5755,10.1291,19.2,9.6,24,2514,59,NA,NA,NA,NA,NA,NA,FALSE,-41.2,-0.2,-14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717774,"2023-06-14",1,"2023-06-14T03:52:20.955Z","2023-06-14T03:52:28.398Z",TRUE,"pitch","cd474bf6-5c99-4ee4-bc08-cb58b0079ce0",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.1628,1.5097,NA,130.07,143.3,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"65","atBat","Walk","walk","Isaac Paredes walks.",0,1,2,65,"top",9,"2023-06-14T03:51:37.651Z","2023-06-14T03:58:23.136Z",TRUE,FALSE,FALSE,TRUE,0,4,2,2,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",543507,"Trevor May","/api/v1/people/543507","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Oakland Athletics",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.7,86,11,0.92,0.3982,7.0229,32.7017,-12.0073,-3.3599,10.545,-0.3429,3.5361,2.5074,-137.9096,-3.9721,-0.8306,50.0019,5.814,-6.4256,24,3.6,24,2107,211,NA,NA,NA,NA,NA,NA,FALSE,-12.2,18.4,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
