"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","details.disengagementNum","isBaseRunningPlay","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y"
745103,"2024-05-05",4,"2024-05-05T21:08:00.073Z","2024-05-05T21:08:15.535Z",TRUE,"pitch","77e0f372-55dd-4307-9d30-f800e3c46058",5,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,2,0,NA,NA,3.2,1.54,NA,82.54,184.83,"line_drive","medium","8",104.96,45.8,NA,NA,NA,NA,NA,NA,NA,NA,"91","atBat","Triple","triple","Jonny DeLuca triples (1) on a line drive to center fielder Harrison Bader. José Caballero scores. Ben Rortvedt scores.",2,6,7,91,"bottom",10,"2024-05-05T21:05:12.358Z","2024-05-05T21:08:15.535Z",TRUE,TRUE,FALSE,FALSE,62,0,2,0,676356,"Jonny DeLuca","/api/v1/people/676356","R","Right",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_RHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","New York Mets","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.6,80.9,14,0.9,0.4264,6.2933,26.9989,-25.6511,12.0769,3.903,0.9041,1.9983,-10.966,-128.5269,-3.5244,3.66,50.0017,5.3826,20.175,34.8,7.2,24,1921,108,93.4,16,307,NA,NA,NA,FALSE,-28.7,6.5,-19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,676356,"Jonny DeLuca","/api/v1/people/676356",NA,NA,NA
745103,"2024-05-05",3,"2024-05-05T21:07:21.780Z","2024-05-05T21:07:29.199Z",TRUE,"pitch","1f23ffdf-385e-445b-84a3-deba2c81e522",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.2,1.54,NA,127.84,183.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91","atBat","Triple","triple","Jonny DeLuca triples (1) on a line drive to center fielder Harrison Bader. José Caballero scores. Ben Rortvedt scores.",2,6,7,91,"bottom",10,"2024-05-05T21:05:12.358Z","2024-05-05T21:08:15.535Z",TRUE,TRUE,FALSE,FALSE,62,0,2,0,676356,"Jonny DeLuca","/api/v1/people/676356","R","Right",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_RHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","New York Mets","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",82.9,75.9,7,0.91,0.4563,6.2092,25.8502,-28.1853,-9.5905,2.7373,-0.2844,2.0382,-7.3312,-120.5568,-1.8313,4.0536,50.0017,5.3221,-13.9571,28.8,9.6,24,3035,304,NA,NA,NA,NA,NA,NA,FALSE,-35.4,4.8,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745103,"2024-05-05",2,"2024-05-05T21:06:58.311Z","2024-05-05T21:07:01.311Z",TRUE,"pitch","1b88126e-9b52-49ba-a5ba-8f2410dd88db",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.2,1.54,NA,93.18,181.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91","atBat","Triple","triple","Jonny DeLuca triples (1) on a line drive to center fielder Harrison Bader. José Caballero scores. Ben Rortvedt scores.",2,6,7,91,"bottom",10,"2024-05-05T21:05:12.358Z","2024-05-05T21:08:15.535Z",TRUE,TRUE,FALSE,FALSE,62,0,2,0,676356,"Jonny DeLuca","/api/v1/people/676356","R","Right",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_RHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","New York Mets","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",87.5,79.9,6,0.9,0.4318,6.2889,26.5191,-25.8754,10.974,3.8643,0.6248,2.1203,-11.1471,-126.9576,-3.1278,3.6511,50.0005,5.4325,17.8736,30,7.2,24,1617,103,NA,NA,NA,NA,NA,NA,FALSE,-29.5,6.5,-17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745103,"2024-05-05",1,"2024-05-05T21:06:06.990Z","2024-05-05T21:06:12.598Z",TRUE,"pitch","d1f70078-c500-40cd-bd4f-6cf3b1baed86",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.2,1.54,NA,122.69,193.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91","atBat","Triple","triple","Jonny DeLuca triples (1) on a line drive to center fielder Harrison Bader. José Caballero scores. Ben Rortvedt scores.",2,6,7,91,"bottom",10,"2024-05-05T21:05:12.358Z","2024-05-05T21:08:15.535Z",TRUE,TRUE,FALSE,FALSE,62,0,2,0,676356,"Jonny DeLuca","/api/v1/people/676356","R","Right",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_RHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","New York Mets","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",82.6,75.7,8,0.91,0.4577,6.2239,25.27,-28.4374,-7.0309,2.5794,-0.1492,1.6929,-7.5369,-120.084,-2.6248,3.9541,50.0002,5.3539,-10.1702,21.6,8.4,24,2934,299,NA,NA,NA,NA,NA,NA,FALSE,-36.2,4.2,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745103,"2024-05-05",0,"2024-05-05T21:05:41.027Z","2024-05-05T21:05:44.297Z",TRUE,"pitch","371bee7b-1602-4517-aa87-b6ef1e1534a9",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,0,NA,NA,3.2,1.54,NA,68.06,156.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91","atBat","Triple","triple","Jonny DeLuca triples (1) on a line drive to center fielder Harrison Bader. José Caballero scores. Ben Rortvedt scores.",2,6,7,91,"bottom",10,"2024-05-05T21:05:12.358Z","2024-05-05T21:08:15.535Z",TRUE,TRUE,FALSE,FALSE,62,0,2,0,676356,"Jonny DeLuca","/api/v1/people/676356","R","Right",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_RHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","New York Mets","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,86.2,12,0.9,0.3982,6.2405,32.0112,-21.1359,12.5162,5.7701,1.2838,3.0638,-10.663,-137.8034,-2.7454,3.5865,50.0064,5.5088,23.9601,44.4,6,24,2340,119,NA,NA,NA,NA,NA,NA,FALSE,-20.6,10,-20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745103,"2024-05-05",8,"2024-05-05T21:04:47.336Z","2024-05-05T21:04:53.956Z",TRUE,"pitch","2f9795b2-28a7-4a58-8f7f-83d8ad42a3af",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,0,NA,NA,3.16,1.4209,NA,166.35,173.48,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"90","atBat","Walk","walk","Ben Rortvedt walks. José Caballero to 3rd. José Caballero steals (13) 3rd base. José Caballero to 3rd.",0,6,5,90,"bottom",10,"2024-05-05T21:02:26.599Z","2024-05-05T21:04:53.956Z",TRUE,FALSE,FALSE,FALSE,0,4,2,0,666163,"Ben Rortvedt","/api/v1/people/666163","L","Left",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_LHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","New York Mets",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.5,87.3,11,0.91,0.396,6.3859,29.505,-19.3824,11.2897,6.6002,-1.2946,2.4185,-16.465,-138.0689,-4.697,3.2676,50.0057,5.4384,21.8937,42,6,24,2245,117,NA,NA,NA,NA,NA,NA,FALSE,-19.2,11,-17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,666163,"Ben Rortvedt","/api/v1/people/666163",NA,NA,NA,676609,"José Caballero","/api/v1/people/676609",NA,NA,NA
745103,"2024-05-05",7,"2024-05-05T21:04:25.856Z","2024-05-05T21:04:28.856Z",TRUE,"pitch","27eb722a-fc6c-42e8-ad3d-25d828615f49",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,0,NA,NA,3.1509,1.4209,NA,182.89,207.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90","atBat","Walk","walk","Ben Rortvedt walks. José Caballero to 3rd. José Caballero steals (13) 3rd base. José Caballero to 3rd.",0,6,5,90,"bottom",10,"2024-05-05T21:02:26.599Z","2024-05-05T21:04:53.956Z",TRUE,FALSE,FALSE,FALSE,0,4,2,0,666163,"Ben Rortvedt","/api/v1/people/666163","L","Left",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_LHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","New York Mets",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",81.6,75.3,13,0.9,0.4635,6.2358,23.8804,-31.5033,-6.6288,0.4736,-1.7286,1.1484,-10.9329,-118.4336,-3.0994,3.8194,50.0031,5.3731,-9.3571,19.2,9.6,24,2763,306,NA,NA,NA,NA,NA,NA,FALSE,-41.2,0.4,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745103,"2024-05-05",5,"2024-05-05T21:03:42.298Z","2024-05-05T21:03:46.415Z",TRUE,"pitch","9c369ece-35af-4a3e-8e58-95f3d730bec0",4,"Foul Bunt",NA,NA,NA,NA,FALSE,"L","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"L","Foul Bunt",2,2,0,NA,NA,3.16,1.43,NA,99.95,145.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90","atBat","Walk","walk","Ben Rortvedt walks. José Caballero to 3rd. José Caballero steals (13) 3rd base. José Caballero to 3rd.",0,6,5,90,"bottom",10,"2024-05-05T21:02:26.599Z","2024-05-05T21:04:53.956Z",TRUE,FALSE,FALSE,FALSE,0,4,2,0,666163,"Ben Rortvedt","/api/v1/people/666163","L","Left",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_LHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","New York Mets",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.6,85.4,12,0.9,0.4009,6.3333,33.119,-19.1541,11.6054,6.9041,0.4472,3.4531,-12.4702,-137.1501,-2.0493,3.5666,50.0056,5.5303,21.8959,44.4,6,24,2364,127,NA,NA,NA,NA,NA,NA,FALSE,-18.8,12.2,-18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745103,"2024-05-05",4,"2024-05-05T21:03:12.001Z","2024-05-05T21:03:16.089Z",TRUE,"pitch","356ab5b6-0e40-4343-8c95-60ee8f12b793",3,"Foul Bunt",NA,NA,NA,NA,FALSE,"L","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"L","Foul Bunt",2,1,0,NA,NA,3.16,1.43,NA,104.65,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90","atBat","Walk","walk","Ben Rortvedt walks. José Caballero to 3rd. José Caballero steals (13) 3rd base. José Caballero to 3rd.",0,6,5,90,"bottom",10,"2024-05-05T21:02:26.599Z","2024-05-05T21:04:53.956Z",TRUE,FALSE,FALSE,FALSE,0,4,2,0,666163,"Ben Rortvedt","/api/v1/people/666163","L","Left",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_LHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","New York Mets",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.1,84.7,3,0.9,0.4062,6.2933,30.5028,-17.675,10.4811,7.8802,0.3241,2.6587,-12.0414,-135.037,-4.4931,3.4877,50.0011,5.5946,19.2788,42,6,24,2131,123,NA,NA,NA,NA,NA,NA,FALSE,-18.5,13.4,-16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745103,"2024-05-05",3,"2024-05-05T21:02:45.858Z","2024-05-05T21:02:49.113Z",TRUE,"pitch","559972d1-be0d-4801-869b-296f4d7a2504",2,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,0,0,NA,NA,3.1509,1.43,NA,210.32,228.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90","atBat","Walk","walk","Ben Rortvedt walks. José Caballero to 3rd. José Caballero steals (13) 3rd base. José Caballero to 3rd.",0,6,5,90,"bottom",10,"2024-05-05T21:02:26.599Z","2024-05-05T21:04:53.956Z",TRUE,FALSE,FALSE,FALSE,0,4,2,0,666163,"Ben Rortvedt","/api/v1/people/666163","L","Left",518617,"Jake Diekman","/api/v1/people/518617","L","Left","vs_LHP","vs_LHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays","New York Mets",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",80.7,74.6,13,0.91,0.4697,6.0938,22.8592,-26.828,-6.6455,3.8846,-2.4483,0.3855,-12.1318,-116.807,-5.3704,3.6845,50.002,5.2497,-9.1435,21.6,8.4,24,2925,314,NA,NA,NA,NA,NA,NA,FALSE,-36.7,5.8,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
