"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717197,"2023-07-30",3,"2023-07-30T23:18:28.024Z","2023-07-30T23:18:37.612Z",TRUE,"pitch","8fbcae8f-a5c1-4aab-bfd3-e0c65568fb1c",4,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",2,1,0,NA,NA,3.49,1.74,NA,130.76,171.28,"ground_ball","medium","9",172.58,117.33,NA,NA,NA,NA,NA,NA,NA,NA,"88","atBat","Single","single","Joc Pederson singles on a ground ball to right fielder Alex Verdugo. Patrick Bailey scores. Casey Schmitt to 3rd. Brandon Crawford to 2nd.",1,3,4,88,"bottom",11,"2023-07-30T23:17:01.747Z","2023-07-30T23:18:37.612Z",TRUE,TRUE,FALSE,FALSE,60,2,1,0,592626,"Joc Pederson","/api/v1/people/592626","L","Left",661440,"Mauricio Llovera","/api/v1/people/661440","R","Right","vs_RHP","vs_LHB","Loaded",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants","Boston Red Sox","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96,87.7,4,0.9,0.3927,6.4631,31.6632,-23.1712,-10.0036,4.5681,-0.361,2.5001,8.2823,-139.5434,-3.5901,-2.0691,50.003,5.3316,-19.7113,37.2,6,24,2111,232,103.1,5,96,NA,NA,NA,FALSE,-22.1,7.7,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,592626,"Joc Pederson","/api/v1/people/592626",543063,"Brandon Crawford","/api/v1/people/543063",669477,"Casey Schmitt","/api/v1/people/669477"
717197,"2023-07-30",2,"2023-07-30T23:18:09.943Z","2023-07-30T23:18:14.209Z",TRUE,"pitch","34638211-5652-467d-89e1-51ee9255446e",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,0,NA,NA,3.4481,1.7335,NA,81.99,173.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88","atBat","Single","single","Joc Pederson singles on a ground ball to right fielder Alex Verdugo. Patrick Bailey scores. Casey Schmitt to 3rd. Brandon Crawford to 2nd.",1,3,4,88,"bottom",11,"2023-07-30T23:17:01.747Z","2023-07-30T23:18:37.612Z",TRUE,TRUE,FALSE,FALSE,60,2,1,0,592626,"Joc Pederson","/api/v1/people/592626","L","Left",661440,"Mauricio Llovera","/api/v1/people/661440","R","Right","vs_RHP","vs_LHB","Loaded",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants","Boston Red Sox","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.6,86.7,14,0.9,0.4004,6.6209,25.7387,-24.7872,-9.7033,3.887,0.9184,2.4021,10.9081,-136.0249,-3.3025,-1.8555,50.0061,5.3226,-18.4545,32.4,6,24,2026,241,NA,NA,NA,NA,NA,NA,FALSE,-24.4,6.6,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717197,"2023-07-30",1,"2023-07-30T23:17:50.898Z","2023-07-30T23:17:57.366Z",TRUE,"pitch","3709f639-c9b2-471a-9d94-6fefd2148dbc",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,0,NA,NA,3.6317,1.5581,NA,116.35,171.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88","atBat","Single","single","Joc Pederson singles on a ground ball to right fielder Alex Verdugo. Patrick Bailey scores. Casey Schmitt to 3rd. Brandon Crawford to 2nd.",1,3,4,88,"bottom",11,"2023-07-30T23:17:01.747Z","2023-07-30T23:18:37.612Z",TRUE,TRUE,FALSE,FALSE,60,2,1,0,592626,"Joc Pederson","/api/v1/people/592626","L","Left",661440,"Mauricio Llovera","/api/v1/people/661440","R","Right","vs_RHP","vs_LHB","Loaded",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants","Boston Red Sox","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.2,88.5,5,0.9,0.3907,6.6567,29.546,-25.6268,-9.9023,3.2822,0.0169,2.4893,9.4102,-139.8466,-3.1705,-2.0941,50.003,5.3062,-19.7468,33.6,6,24,2160,223,NA,NA,NA,NA,NA,NA,FALSE,-24,5.5,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717197,"2023-07-30",0,"2023-07-30T23:17:34.774Z","2023-07-30T23:17:39.356Z",TRUE,"pitch","bc3b9df3-9a0a-4664-a029-886041cf0005",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.7237,1.9194,NA,80.41,202.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88","atBat","Single","single","Joc Pederson singles on a ground ball to right fielder Alex Verdugo. Patrick Bailey scores. Casey Schmitt to 3rd. Brandon Crawford to 2nd.",1,3,4,88,"bottom",11,"2023-07-30T23:17:01.747Z","2023-07-30T23:18:37.612Z",TRUE,TRUE,FALSE,FALSE,60,2,1,0,592626,"Joc Pederson","/api/v1/people/592626","L","Left",661440,"Mauricio Llovera","/api/v1/people/661440","R","Right","vs_RHP","vs_LHB","Loaded",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants","Boston Red Sox","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.9,76.3,14,0.9,0.4553,6.1897,24.9003,-32.3381,11.44,-0.1161,0.9599,1.3503,4.4233,-120.5979,-2.7397,-2.3874,50.0002,5.3724,16.7356,27.6,10.8,24,2736,56,NA,NA,NA,NA,NA,NA,FALSE,-40.7,-0.6,-21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717197,"2023-07-30",1,"2023-07-30T23:16:47.505Z","2023-07-30T23:16:55.464Z",TRUE,"pitch","1c52242d-ad90-4538-ae1d-f145645d6a43",1,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,0,0,NA,NA,3.38,1.57,NA,124.21,160.49,"bunt_grounder","soft","2",121.46,198.62,NA,NA,NA,NA,NA,NA,NA,NA,"87","atBat","Single","single","Brandon Crawford singles on a soft bunt ground ball to catcher Connor Wong. Patrick Bailey to 3rd. Casey Schmitt to 2nd.",0,3,3,87,"bottom",11,"2023-07-30T23:16:45.140Z","2023-07-30T23:16:55.464Z",TRUE,FALSE,FALSE,FALSE,33,0,0,0,543063,"Brandon Crawford","/api/v1/people/543063","L","Left",661440,"Mauricio Llovera","/api/v1/people/661440","R","Right","vs_RHP","vs_LHB","Loaded",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants","Boston Red Sox",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95,87.8,2,0.9,0.3943,6.5402,27.129,-20.9348,-9.5928,5.7338,-0.1891,2.8995,8.302,-138.2246,-3.0318,-1.9666,50.0022,5.3957,-18.7989,38.4,6,24,2194,221,37.7,-64,1,NA,NA,NA,FALSE,-20,10.1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,543063,"Brandon Crawford","/api/v1/people/543063",669477,"Casey Schmitt","/api/v1/people/669477",672275,"Patrick Bailey","/api/v1/people/672275"
717197,"2023-07-30",0,"2023-07-30T23:15:43.005Z","2023-07-30T23:16:47.505Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",3,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"87","atBat","Single","single","Brandon Crawford singles on a soft bunt ground ball to catcher Connor Wong. Patrick Bailey to 3rd. Casey Schmitt to 2nd.",0,3,3,87,"bottom",11,"2023-07-30T23:16:45.140Z","2023-07-30T23:16:55.464Z",TRUE,FALSE,FALSE,FALSE,33,0,0,0,543063,"Brandon Crawford","/api/v1/people/543063","L","Left",661440,"Mauricio Llovera","/api/v1/people/661440","R","Right","vs_RHP","vs_LHB","Loaded",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants","Boston Red Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717197,"2023-07-30",8,"2023-07-30T23:15:09.037Z","2023-07-30T23:15:14.136Z",TRUE,"pitch","842b5010-61fd-48de-b843-21ced447b604",7,"Hit By Pitch",NA,NA,NA,NA,FALSE,"H","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"H","Hit By Pitch",4,2,0,NA,NA,3.27,1.55,NA,186.83,141.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Hit By Pitch","hit_by_pitch","Casey Schmitt hit by pitch.",0,3,3,86,"bottom",11,"2023-07-30T23:12:59.798Z","2023-07-30T23:15:14.136Z",TRUE,FALSE,FALSE,FALSE,11,4,2,0,669477,"Casey Schmitt","/api/v1/people/669477","R","Right",661440,"Mauricio Llovera","/api/v1/people/661440","R","Right","vs_RHP","vs_RHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants","Boston Red Sox",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.3,85.9,11,0.9,0.3997,6.4195,31.536,-20.6535,-9.7603,6.0619,-1.8319,3.6173,5.04,-137.2552,-1.1377,-2.4279,50.0022,5.4492,-18.5455,39.6,6,24,2188,216,NA,NA,NA,NA,NA,NA,FALSE,-19.9,10.9,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,669477,"Casey Schmitt","/api/v1/people/669477",672275,"Patrick Bailey","/api/v1/people/672275",NA,NA,NA
717197,"2023-07-30",7,"2023-07-30T23:14:47.539Z","2023-07-30T23:14:51.503Z",TRUE,"pitch","6750d69b-aa61-456a-aae0-0d51a2c0fa21",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,0,NA,NA,3.27,1.55,NA,111.69,178.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Hit By Pitch","hit_by_pitch","Casey Schmitt hit by pitch.",0,3,3,86,"bottom",11,"2023-07-30T23:12:59.798Z","2023-07-30T23:15:14.136Z",TRUE,FALSE,FALSE,FALSE,11,4,2,0,669477,"Casey Schmitt","/api/v1/people/669477","R","Right",661440,"Mauricio Llovera","/api/v1/people/661440","R","Right","vs_RHP","vs_RHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants","Boston Red Sox",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95,86.3,5,0.9,0.3981,6.6269,32.6714,-22.6756,-9.5434,4.9592,0.1393,2.226,9.9832,-137.969,-4.3234,-2.2981,50.0015,5.3549,-18.2713,33.6,6,24,2166,218,NA,NA,NA,NA,NA,NA,FALSE,-22.4,8.2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717197,"2023-07-30",6,"2023-07-30T23:14:26.835Z","2023-07-30T23:14:31.624Z",TRUE,"pitch","d16ddd9f-393a-4fce-9df7-38816973e589",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,0,NA,NA,3.2623,1.5881,NA,77.81,209.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Hit By Pitch","hit_by_pitch","Casey Schmitt hit by pitch.",0,3,3,86,"bottom",11,"2023-07-30T23:12:59.798Z","2023-07-30T23:15:14.136Z",TRUE,FALSE,FALSE,FALSE,11,4,2,0,669477,"Casey Schmitt","/api/v1/people/669477","R","Right",661440,"Mauricio Llovera","/api/v1/people/661440","R","Right","vs_RHP","vs_RHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants","Boston Red Sox",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81,75.2,14,0.9,0.4645,6.2189,22.5302,-35.4489,10.8827,-2.3233,1.0281,1.0786,4.6816,-117.9421,-2.5043,-2.3969,50.0047,5.425,15.3246,24,10.8,24,2626,58,NA,NA,NA,NA,NA,NA,FALSE,-46.2,-4.6,-20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717197,"2023-07-30",5,"2023-07-30T23:14:00.914Z","2023-07-30T23:14:05.842Z",TRUE,"pitch","5978c47b-1706-443e-9511-8eca73ed7484",4,"Missed Bunt",NA,NA,NA,NA,FALSE,"M","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"M","Missed Bunt",2,2,0,NA,NA,3.27,1.55,NA,108.47,173.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Hit By Pitch","hit_by_pitch","Casey Schmitt hit by pitch.",0,3,3,86,"bottom",11,"2023-07-30T23:12:59.798Z","2023-07-30T23:15:14.136Z",TRUE,FALSE,FALSE,FALSE,11,4,2,0,669477,"Casey Schmitt","/api/v1/people/669477","R","Right",661440,"Mauricio Llovera","/api/v1/people/661440","R","Right","vs_RHP","vs_RHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants","Boston Red Sox",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.2,87.6,5,0.9,0.3947,6.509,28.6744,-20.9942,-9.6873,5.7246,0.2237,2.4214,10.0134,-138.3561,-4.2344,-2.1707,50.0046,5.365,-18.9258,37.2,6,24,2210,219,NA,NA,NA,NA,NA,NA,FALSE,-20.4,9.7,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
