"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
718550,"2023-04-16",1,"2023-04-16T19:52:10.146Z","2023-04-16T19:52:18.946Z",TRUE,"pitch","db16d91f-6548-499a-9a26-5cd7fe16fdd6",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,1,NA,NA,3.6,1.76,NA,132.73,188.14,"ground_ball","medium","5",100.64,162.07,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Grounded Into DP","grounded_into_double_play","Jorge Soler grounds into a double play, third baseman Josh Rojas to second baseman Geraldo Perdomo to first baseman Christian Walker. Garrett Cooper out at 2nd. Jorge Soler out at 1st.",0,5,0,65,"bottom",9,"2023-04-16T19:51:41.804Z","2023-04-16T19:52:18.946Z",TRUE,FALSE,FALSE,TRUE,24,0,1,3,624585,"Jorge Soler","/api/v1/people/624585","R","Right",669459,"Kyle Nelson","/api/v1/people/669459","L","Left","vs_LHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Arizona Diamondbacks","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87,80,7,0.74,0.4322,6.0198,26.16,-31.045,-3.1826,0.6955,-0.4126,1.8757,-1.751,-126.7899,-2.8191,0.7007,50.0046,5.482,-5.1764,9.6,8.4,24,2733,256,101.1,2,64,NA,NA,NA,TRUE,-35.2,0.8,6.1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718550,"2023-04-16",0,"2023-04-16T19:51:54.714Z","2023-04-16T19:51:59.271Z",TRUE,"pitch","3bec388a-5182-467b-9f33-d2dfbb256759",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.5764,1.7852,NA,148.8,178.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Grounded Into DP","grounded_into_double_play","Jorge Soler grounds into a double play, third baseman Josh Rojas to second baseman Geraldo Perdomo to first baseman Christian Walker. Garrett Cooper out at 2nd. Jorge Soler out at 1st.",0,5,0,65,"bottom",9,"2023-04-16T19:51:41.804Z","2023-04-16T19:52:18.946Z",TRUE,FALSE,FALSE,TRUE,24,0,1,3,624585,"Jorge Soler","/api/v1/people/624585","R","Right",669459,"Kyle Nelson","/api/v1/people/669459","L","Left","vs_LHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Arizona Diamondbacks","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.7,79.8,13,0.76,0.4335,5.9835,25.4961,-29.6742,-2.6201,1.5462,-0.8344,2.2191,-2.9746,-126.3108,-2.2247,0.6985,50.0029,5.4949,-4.2376,9.6,7.2,24,2705,255,NA,NA,NA,NA,NA,NA,FALSE,-33.7,2.5,5.4,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718550,"2023-04-16",2,"2023-04-16T19:51:13.763Z","2023-04-16T19:51:26.344Z",TRUE,"pitch","e6efd80f-54c0-4e25-ab68-b97b8b32ded3",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,0,NA,NA,3.17,1.49,NA,116.93,175.03,"fly_ball","medium","8",124.6,52.14,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Flyout","field_out","Luis Arraez flies out to center fielder Alek Thomas. Jazz Chisholm Jr. to 3rd.",0,5,0,64,"bottom",9,"2023-04-16T19:50:55.619Z","2023-04-16T19:51:26.344Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,650333,"Luis Arraez","/api/v1/people/650333","L","Left",669459,"Kyle Nelson","/api/v1/people/669459","L","Left","vs_LHP","vs_LHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Arizona Diamondbacks",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.9,84.3,5,0.91,0.4088,5.932,28.4621,-19.3816,2.8514,7.0348,0.0018,2.3611,-2.5342,-133.8907,-4.4407,0.5893,50.0025,5.425,5.1853,13.2,4.8,24,2246,158,94.1,26,365,NA,NA,NA,TRUE,-20.3,12,-4.7,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,665862,"Jazz Chisholm Jr.","/api/v1/people/665862",643265,"Garrett Cooper","/api/v1/people/643265"
718550,"2023-04-16",1,"2023-04-16T19:50:57.929Z","2023-04-16T19:51:03.545Z",TRUE,"pitch","e86c7e5e-04c8-4fbd-8c6a-3e78c6cff2fc",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,2.9747,1.4363,NA,110.22,134.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Flyout","field_out","Luis Arraez flies out to center fielder Alek Thomas. Jazz Chisholm Jr. to 3rd.",0,5,0,64,"bottom",9,"2023-04-16T19:50:55.619Z","2023-04-16T19:51:26.344Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,650333,"Luis Arraez","/api/v1/people/650333","L","Left",669459,"Kyle Nelson","/api/v1/people/669459","L","Left","vs_LHP","vs_LHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Arizona Diamondbacks",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.5,77.5,12,0.89,0.4448,5.7665,24.3002,-30.6418,-3.907,0.9946,0.1778,3.8661,-0.4061,-123.1191,1.8655,0.8524,50.001,5.6906,-6.0005,10.8,8.4,24,2606,266,NA,NA,NA,NA,NA,NA,FALSE,-35.6,2.5,7.2,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718550,"2023-04-16",0,"2023-04-16T19:50:47.770Z","2023-04-16T19:50:57.929Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",5,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"64","atBat","Flyout","field_out","Luis Arraez flies out to center fielder Alek Thomas. Jazz Chisholm Jr. to 3rd.",0,5,0,64,"bottom",9,"2023-04-16T19:50:55.619Z","2023-04-16T19:51:26.344Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,650333,"Luis Arraez","/api/v1/people/650333","L","Left",669459,"Kyle Nelson","/api/v1/people/669459","L","Left","vs_LHP","vs_LHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Arizona Diamondbacks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718550,"2023-04-16",2,"2023-04-16T19:49:39.546Z","2023-04-16T19:49:49.258Z",TRUE,"pitch","e93f98b3-ac5d-4d62-b3f6-d9c27185a693",2,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,1,0,NA,NA,3.54,1.75,NA,155.61,151.51,"line_drive","medium","7",76.38,113.42,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Single","single","Garrett Cooper singles on a line drive to left fielder Corbin Carroll. Jazz Chisholm Jr. to 2nd.",0,5,0,63,"bottom",9,"2023-04-16T19:49:08.606Z","2023-04-16T19:49:49.258Z",TRUE,FALSE,FALSE,FALSE,33,1,1,0,643265,"Garrett Cooper","/api/v1/people/643265","R","Right",669459,"Kyle Nelson","/api/v1/people/669459","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Arizona Diamondbacks","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.8,84.9,11,0.92,0.4053,6.0482,29.3801,-14.8855,2.2482,9.3469,-1.0129,3.2321,-4.5518,-135.1351,-3.2002,0.401,50.0055,5.4772,4.1601,12,3.6,24,2207,160,75.7,16,154,NA,NA,NA,FALSE,-15.2,16.4,-3.1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,665862,"Jazz Chisholm Jr.","/api/v1/people/665862",NA,NA,NA,643265,"Garrett Cooper","/api/v1/people/643265"
718550,"2023-04-16",1,"2023-04-16T19:49:25.145Z","2023-04-16T19:49:30.140Z",TRUE,"pitch","b59ca562-97d2-4f04-8956-52f81ce68723",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,0,NA,NA,3.54,1.7252,NA,115.26,159.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Single","single","Garrett Cooper singles on a line drive to left fielder Corbin Carroll. Jazz Chisholm Jr. to 2nd.",0,5,0,63,"bottom",9,"2023-04-16T19:49:08.606Z","2023-04-16T19:49:49.258Z",TRUE,FALSE,FALSE,FALSE,33,1,1,0,643265,"Garrett Cooper","/api/v1/people/643265","R","Right",669459,"Kyle Nelson","/api/v1/people/669459","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Arizona Diamondbacks","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89.7,82.2,5,0.93,0.4192,5.903,27.5834,-24.2309,-2.7508,4.5967,0.0456,2.9279,-0.9323,-130.6544,-1.9694,0.7645,50.0037,5.5128,-4.7549,10.8,6,24,2477,197,NA,NA,NA,NA,NA,NA,FALSE,-25.8,8.2,5.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718550,"2023-04-16",0,"2023-04-16T19:49:08.606Z","2023-04-16T19:49:13.606Z",FALSE,"no_pitch","943f7cdf-9d7c-4707-8d34-b2fad9281014",0,"Automatic Ball - Pitcher Pitch Timer Violation",NA,NA,NA,NA,FALSE,"VP",NA,FALSE,FALSE,TRUE,"VP","Automatic Ball - Pitcher Pitch Timer Violation",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Single","single","Garrett Cooper singles on a line drive to left fielder Corbin Carroll. Jazz Chisholm Jr. to 2nd.",0,5,0,63,"bottom",9,"2023-04-16T19:49:08.606Z","2023-04-16T19:49:49.258Z",TRUE,FALSE,FALSE,FALSE,33,1,1,0,643265,"Garrett Cooper","/api/v1/people/643265","R","Right",669459,"Kyle Nelson","/api/v1/people/669459","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Arizona Diamondbacks","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"pitcher_pitch_timer","Pitcher Pitch Timer Violation",669459,"Kyle Nelson",NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718550,"2023-04-16",5,"2023-04-16T19:48:35.132Z","2023-04-16T19:48:42.124Z",TRUE,"pitch","56231b6f-4820-49f7-8d10-5f51bd32f720",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,1,0,NA,NA,3.7304,1.8165,NA,157.35,177.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Walk","walk","Jazz Chisholm Jr. walks.",0,5,0,62,"bottom",9,"2023-04-16T19:47:30.760Z","2023-04-16T19:48:42.124Z",TRUE,FALSE,FALSE,FALSE,0,4,1,0,665862,"Jazz Chisholm Jr.","/api/v1/people/665862","L","Left",669459,"Kyle Nelson","/api/v1/people/669459","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Arizona Diamondbacks",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.2,84.6,13,0.92,0.4077,6.0177,28.3636,-15.8566,3.0721,8.921,-1.0586,2.2678,-5.1361,-134.2293,-5.3953,0.4783,50.0059,5.4285,5.6217,15.6,3.6,24,2227,163,NA,NA,NA,NA,NA,NA,FALSE,-16.8,15.2,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,665862,"Jazz Chisholm Jr.","/api/v1/people/665862"
718550,"2023-04-16",4,"2023-04-16T19:48:17.105Z","2023-04-16T19:48:23.857Z",TRUE,"pitch","cdd49077-1f15-4b6e-950c-b0bd29ca776c",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,0,NA,NA,3.7626,1.8172,NA,124.1,223.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Walk","walk","Jazz Chisholm Jr. walks.",0,5,0,62,"bottom",9,"2023-04-16T19:47:30.760Z","2023-04-16T19:48:42.124Z",TRUE,FALSE,FALSE,FALSE,0,4,1,0,665862,"Jazz Chisholm Jr.","/api/v1/people/665862","L","Left",669459,"Kyle Nelson","/api/v1/people/669459","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Arizona Diamondbacks",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.4,77.9,13,0.94,0.4458,5.9183,24.8177,-31.6945,-1.9675,0.3141,-0.1862,0.5688,-1.7956,-122.9479,-5.1491,0.8098,50.0021,5.3859,-3.0062,6,8.4,24,2720,259,NA,NA,NA,NA,NA,NA,FALSE,-38.8,-0.4,4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
