"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
746161,"2024-04-14",3,"2024-04-14T06:01:14.233Z","2024-04-14T06:01:22.645Z",TRUE,"pitch","a943812c-272e-47f8-9f08-c1a5bb39acaa",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,2,NA,NA,3.2,1.57,NA,99.87,176.2,"ground_ball","medium","4",152.98,139.59,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Tyler Wade grounds out, second baseman Gavin Lux to first baseman Freddie Freeman.",0,2,5,71,"top",9,"2024-04-14T06:00:26.868Z","2024-04-14T06:01:22.645Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,642180,"Tyler Wade","/api/v1/people/642180","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Los Angeles Dodgers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.4,78.2,6,0.9,0.4415,6.719,26.5746,-30.1193,9.8024,1.3206,0.4495,2.3177,2.7743,-124.3824,-1.1792,-1.9556,50.0028,5.3114,15.2509,27.6,8.4,24,2594,53,83.2,10,117,NA,NA,NA,TRUE,-35.3,2.4,-18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746161,"2024-04-14",2,"2024-04-14T06:00:52.612Z","2024-04-14T06:00:56.166Z",TRUE,"pitch","c6f0f75e-6538-42d4-8d10-3695f2d12f29",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.2,1.57,NA,127.45,173.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Tyler Wade grounds out, second baseman Gavin Lux to first baseman Freddie Freeman.",0,2,5,71,"top",9,"2024-04-14T06:00:26.868Z","2024-04-14T06:01:22.645Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,642180,"Tyler Wade","/api/v1/people/642180","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Los Angeles Dodgers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.3,79,5,0.9,0.4394,6.4582,23.4336,-29.9438,9.5599,1.4182,-0.2741,2.4106,1.0487,-124.3583,-1.0269,-1.9437,50.0052,5.2984,15.0717,26.4,8.4,24,2603,56,NA,NA,NA,NA,NA,NA,FALSE,-34.7,2.5,-17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746161,"2024-04-14",0,"2024-04-14T06:00:35.330Z","2024-04-14T06:00:46.731Z",TRUE,"pitch","f5b93a8c-8df8-44af-a09e-91ad2ee079e1",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.3454,1.5669,NA,137.86,198.9,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Tyler Wade grounds out, second baseman Gavin Lux to first baseman Freddie Freeman.",0,2,5,71,"top",9,"2024-04-14T06:00:26.868Z","2024-04-14T06:01:22.645Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,642180,"Tyler Wade","/api/v1/people/642180","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Los Angeles Dodgers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.3,79.1,7,0.9,0.4394,6.7615,23.5303,-29.0011,8.3782,2.0164,-0.5473,1.4772,0.9011,-124.3583,-3.4013,-2.0032,50.004,5.2528,13.2029,24,8.4,24,2609,58,NA,NA,NA,NA,NA,NA,FALSE,-34.1,3.1,-15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746161,"2024-04-14",1,"2024-04-14T06:00:46.731Z","2024-04-14T06:00:52.612Z",FALSE,"action",NA,NA,"Ha-Seong Kim advances to 2nd on defensive indifference.","Defensive Indiff",2,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,1,2,673490,"/api/v1/people/673490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f5b93a8c-8df8-44af-a09e-91ad2ee079e1","defensive_indiff",NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Tyler Wade grounds out, second baseman Gavin Lux to first baseman Freddie Freeman.",0,2,5,71,"top",9,"2024-04-14T06:00:26.868Z","2024-04-14T06:01:22.645Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,642180,"Tyler Wade","/api/v1/people/642180","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Los Angeles Dodgers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746161,"2024-04-14",4,"2024-04-14T05:59:36.425Z","2024-04-14T05:59:44.460Z",TRUE,"pitch","c4beb00e-8b1f-43a6-9f19-bd16382c3a10",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,1,NA,NA,3.36,1.59,NA,85.13,200.73,"ground_ball","medium","4",132.33,137.32,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Forceout","force_out","Ha-Seong Kim grounds into a force out, second baseman Gavin Lux to shortstop Mookie Betts. Manny Machado to 3rd. Jurickson Profar out at 2nd. Ha-Seong Kim to 1st.",0,2,5,70,"top",9,"2024-04-14T05:58:02.976Z","2024-04-14T05:59:44.460Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,673490,"Ha-Seong Kim","/api/v1/people/673490","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","RISP",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Los Angeles Dodgers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",86,79.6,14,0.91,0.4367,6.5389,24.653,-29.4164,10.1966,1.7309,0.836,1.4093,3.4912,-125.2934,-3.6403,-1.8993,50.0047,5.2777,16.257,28.8,8.4,24,2515,48,88.6,-4,24,NA,NA,NA,TRUE,-34.3,2.5,-19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,673490,"Ha-Seong Kim","/api/v1/people/673490",NA,NA,NA,592518,"Manny Machado","/api/v1/people/592518"
746161,"2024-04-14",3,"2024-04-14T05:59:18.022Z","2024-04-14T05:59:22.473Z",TRUE,"pitch","49dad102-237a-4798-ab39-9c652d0b3237",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,1,NA,NA,3.6007,1.7131,NA,89.85,179.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Forceout","force_out","Ha-Seong Kim grounds into a force out, second baseman Gavin Lux to shortstop Mookie Betts. Manny Machado to 3rd. Jurickson Profar out at 2nd. Ha-Seong Kim to 1st.",0,2,5,70,"top",9,"2024-04-14T05:58:02.976Z","2024-04-14T05:59:44.460Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,673490,"Ha-Seong Kim","/api/v1/people/673490","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","RISP",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Los Angeles Dodgers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96,88.3,9,0.92,0.3912,6.3576,29.1866,-14.1293,-6.3136,9.0723,0.7122,2.2127,8.1535,-139.6047,-6.0282,-1.4156,50.0033,5.3174,-12.5584,34.8,3.6,24,2303,221,NA,NA,NA,NA,NA,NA,FALSE,-14,15.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746161,"2024-04-14",2,"2024-04-14T05:58:58.076Z","2024-04-14T05:59:01.861Z",TRUE,"pitch","a316c742-24dc-4176-83b4-a7c01556a3de",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,1,NA,NA,3.3743,1.7446,NA,113.21,185.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Forceout","force_out","Ha-Seong Kim grounds into a force out, second baseman Gavin Lux to shortstop Mookie Betts. Manny Machado to 3rd. Jurickson Profar out at 2nd. Ha-Seong Kim to 1st.",0,2,5,70,"top",9,"2024-04-14T05:58:02.976Z","2024-04-14T05:59:44.460Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,673490,"Ha-Seong Kim","/api/v1/people/673490","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","RISP",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Los Angeles Dodgers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.4,78.9,8,0.91,0.4397,6.5633,24.4644,-29.0352,11.3023,1.9945,0.0994,1.9841,1.3689,-124.4598,-2.3454,-1.926,50.0019,5.3381,17.7679,31.2,8.4,24,2555,53,NA,NA,NA,NA,NA,NA,FALSE,-34,3.4,-20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746161,"2024-04-14",0,"2024-04-14T05:58:10.399Z","2024-04-14T05:58:14.050Z",TRUE,"pitch","72c6a6d3-91f9-48ac-8ab0-a966de0517be",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.5053,1.7142,NA,156.6,143.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Forceout","force_out","Ha-Seong Kim grounds into a force out, second baseman Gavin Lux to shortstop Mookie Betts. Manny Machado to 3rd. Jurickson Profar out at 2nd. Ha-Seong Kim to 1st.",0,2,5,70,"top",9,"2024-04-14T05:58:02.976Z","2024-04-14T05:59:44.460Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,673490,"Ha-Seong Kim","/api/v1/people/673490","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","RISP",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Los Angeles Dodgers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.8,78.3,11,0.89,0.4421,6.5174,23.0174,-28.577,11.0488,2.3134,-1.0389,3.5382,-1.1679,-123.5731,1.1356,-1.9989,50.0057,5.4609,17.2091,31.2,8.4,24,2481,61,NA,NA,NA,NA,NA,NA,FALSE,-33,4.7,-19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746161,"2024-04-14",1,"2024-04-14T05:58:24.755Z","2024-04-14T05:58:58.076Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",2,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"70","atBat","Forceout","force_out","Ha-Seong Kim grounds into a force out, second baseman Gavin Lux to shortstop Mookie Betts. Manny Machado to 3rd. Jurickson Profar out at 2nd. Ha-Seong Kim to 1st.",0,2,5,70,"top",9,"2024-04-14T05:58:02.976Z","2024-04-14T05:59:44.460Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,673490,"Ha-Seong Kim","/api/v1/people/673490","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","RISP",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Los Angeles Dodgers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746161,"2024-04-14",5,"2024-04-14T05:57:32.631Z","2024-04-14T05:57:43.737Z",TRUE,"pitch","757ed7e2-9c7a-4044-b295-f7a8c5554d75",5,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,2,1,NA,NA,3.32,1.61,NA,127.18,165.25,"line_drive","medium","7",55.34,118.49,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Single","single","Jurickson Profar singles on a line drive to left fielder Enrique Hernández. Manny Machado to 2nd.",0,2,5,69,"top",9,"2024-04-14T05:55:54.122Z","2024-04-14T05:57:43.737Z",TRUE,FALSE,FALSE,FALSE,33,1,2,1,595777,"Jurickson Profar","/api/v1/people/595777","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","RISP",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Los Angeles Dodgers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.1,87.2,5,0.87,0.393,6.3927,33.6672,-13.6516,-5.7462,9.4322,-0.267,2.7233,5.9912,-139.7666,-4.5908,-1.6994,50.0034,5.2942,-11.2855,33.6,3.6,24,2414,222,88.8,14,203,NA,NA,NA,FALSE,-13.6,16.2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,595777,"Jurickson Profar","/api/v1/people/595777",592518,"Manny Machado","/api/v1/people/592518",NA,NA,NA
