"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","isBaseRunningPlay","details.disengagementNum","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718286,"2023-05-06",1,"2023-05-07T01:07:30.894Z","2023-05-07T01:07:39.907Z",TRUE,"pitch","c1cb516d-b4cc-4c2e-8b7b-3241b2e6995c",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.22,1.52,NA,119.19,167.23,"popup","medium","6",108.42,151.47,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Pop Out","field_out","Miguel Andujar pops out to shortstop Bo Bichette.",0,8,2,79,"bottom",9,"2023-05-07T01:06:49.628Z","2023-05-07T01:07:39.907Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,609280,"Miguel Andujar","/api/v1/people/609280","R","Right",543351,"Jay Jackson","/api/v1/people/543351","R","Right","vs_RHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94,85.1,5,2,0.4025,6.7252,32.5301,-12.4892,-4.6897,10.5174,-0.0575,2.6499,7.1953,-136.5437,-5.0625,-2.1282,50.0021,5.4005,-8.7776,27.6,3.6,24,2330,214,73.2,61,152,NA,NA,NA,TRUE,-13.2,18,6.8,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718286,"2023-05-06",0,"2023-05-07T01:07:09.593Z","2023-05-07T01:07:13.149Z",TRUE,"pitch","a6265715-64ff-42b5-a65c-168aaf7d2d01",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.3133,1.6015,NA,131.16,175.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Pop Out","field_out","Miguel Andujar pops out to shortstop Bo Bichette.",0,8,2,79,"bottom",9,"2023-05-07T01:06:49.628Z","2023-05-07T01:07:39.907Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,609280,"Miguel Andujar","/api/v1/people/609280","R","Right",543351,"Jay Jackson","/api/v1/people/543351","R","Right","vs_RHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93,84.5,4,2,0.4062,6.8143,31.0304,-13.4494,-4.388,10.1842,-0.3716,2.3523,6.1977,-135.1365,-5.742,-2.1308,50.0055,5.4592,-8.0705,24,3.6,24,2275,211,NA,NA,NA,NA,NA,NA,FALSE,-14.5,17.3,6.5,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718286,"2023-05-06",3,"2023-05-07T01:06:22.762Z","2023-05-07T01:06:35.513Z",TRUE,"pitch","83ad68d8-9e72-4358-abb2-2f6485b30efe",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,1,NA,NA,3.11,1.51,NA,120.61,193.51,"ground_ball","medium","6",113.88,151.47,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Forceout","force_out","Ke'Bryan Hayes grounds into a force out, shortstop Bo Bichette to second baseman Whit Merrifield. Jack Suwinski out at 2nd. Ke'Bryan Hayes to 1st.",0,8,2,78,"bottom",9,"2023-05-07T01:04:54.097Z","2023-05-07T01:06:35.513Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,663647,"Ke'Bryan Hayes","/api/v1/people/663647","R","Right",543351,"Jay Jackson","/api/v1/people/543351","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.7,79.2,8,2,0.4357,6.6877,27.631,-28.8858,2.9608,2.0568,-0.0946,1.6765,4.6022,-126.1185,-3.6312,-2.3334,50.0007,5.4857,4.7296,10.8,7.2,24,2288,114,104.6,0,51,NA,NA,NA,TRUE,-33.6,3.1,-6.5,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,663647,"Ke'Bryan Hayes","/api/v1/people/663647",NA,NA,NA,NA,NA,NA
718286,"2023-05-06",2,"2023-05-07T01:06:01.793Z","2023-05-07T01:06:06.431Z",TRUE,"pitch","8c95582b-1d83-4b0c-9a2a-203b1b9be7f3",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.1103,1.4987,NA,119.97,202.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Forceout","force_out","Ke'Bryan Hayes grounds into a force out, shortstop Bo Bichette to second baseman Whit Merrifield. Jack Suwinski out at 2nd. Ke'Bryan Hayes to 1st.",0,8,2,78,"bottom",9,"2023-05-07T01:04:54.097Z","2023-05-07T01:06:35.513Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,663647,"Ke'Bryan Hayes","/api/v1/people/663647","R","Right",543351,"Jay Jackson","/api/v1/people/543351","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.1,78.7,13,2,0.4388,6.6814,27.5606,-28.6304,3.2615,2.2487,-0.0778,1.3613,4.207,-125.2938,-4.4299,-2.2084,50.0027,5.5178,5.1348,10.8,7.2,24,2303,150,NA,NA,NA,NA,NA,NA,FALSE,-34,3.2,-7,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,663647,"Ke'Bryan Hayes","/api/v1/people/663647",NA,NA,NA,NA,NA,NA
718286,"2023-05-06",1,"2023-05-07T01:05:40.797Z","2023-05-07T01:05:44.448Z",TRUE,"pitch","bfeed193-1f4c-454e-8532-8a8b355746e5",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,1,NA,NA,3.1103,1.4987,NA,90.58,188.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Forceout","force_out","Ke'Bryan Hayes grounds into a force out, shortstop Bo Bichette to second baseman Whit Merrifield. Jack Suwinski out at 2nd. Ke'Bryan Hayes to 1st.",0,8,2,78,"bottom",9,"2023-05-07T01:04:54.097Z","2023-05-07T01:06:35.513Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,663647,"Ke'Bryan Hayes","/api/v1/people/663647","R","Right",543351,"Jay Jackson","/api/v1/people/543351","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.9,77.6,9,2,0.4453,6.5359,26.6451,-31.6996,3.5481,0.3104,0.6932,1.8729,5.912,-123.4278,-2.5322,-2.2025,50.0023,5.6056,5.4246,12,8.4,24,2304,134,NA,NA,NA,NA,NA,NA,FALSE,-38,0.2,-7.9,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,663647,"Ke'Bryan Hayes","/api/v1/people/663647",NA,NA,NA,NA,NA,NA
718286,"2023-05-06",0,"2023-05-07T01:05:17.853Z","2023-05-07T01:05:21.598Z",TRUE,"pitch","545b49fa-9cb1-4d24-a53f-877d3462c730",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.1849,1.5501,NA,115.94,208.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Forceout","force_out","Ke'Bryan Hayes grounds into a force out, shortstop Bo Bichette to second baseman Whit Merrifield. Jack Suwinski out at 2nd. Ke'Bryan Hayes to 1st.",0,8,2,78,"bottom",9,"2023-05-07T01:04:54.097Z","2023-05-07T01:06:35.513Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,663647,"Ke'Bryan Hayes","/api/v1/people/663647","R","Right",543351,"Jay Jackson","/api/v1/people/543351","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85,77.7,14,2,0.4448,6.3166,26.9508,-31.0603,3.8078,0.7275,0.0278,1.1044,4.2234,-123.6086,-4.3492,-2.2041,50.0026,5.524,5.833,12,8.4,24,2242,76,NA,NA,NA,NA,NA,NA,FALSE,-37.7,0.5,-7.9,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,663647,"Ke'Bryan Hayes","/api/v1/people/663647",NA,NA,NA,NA,NA,NA
718286,"2023-05-06",3,"2023-05-07T01:04:44.425Z","2023-05-07T01:04:49.346Z",TRUE,"pitch","d0d6ef55-8192-4f5d-88d7-07e3ee3e987d",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,0,1,NA,NA,3.4103,1.6015,NA,129.66,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Walk","walk","Jack Suwinski walks.",0,8,2,77,"bottom",9,"2023-05-07T01:03:22.816Z","2023-05-07T01:04:49.346Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,669261,"Jack Suwinski","/api/v1/people/669261","L","Left",543351,"Jay Jackson","/api/v1/people/543351","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.8,86.1,11,2,0.3979,6.7134,31.9234,-14.3246,-3.7293,9.3116,-0.3321,4.1769,5.8865,-137.8852,-1.0432,-2.0144,50.0026,5.5309,-7.1491,21.6,3.6,24,2283,211,NA,NA,NA,NA,NA,NA,FALSE,-13.8,16.8,5.4,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,669261,"Jack Suwinski","/api/v1/people/669261",NA,NA,NA,NA,NA,NA
718286,"2023-05-06",2,"2023-05-07T01:04:26.506Z","2023-05-07T01:04:30.186Z",TRUE,"pitch","3803c582-5970-4aed-9c4b-8603acfd2b62",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,1,NA,NA,3.4103,1.5244,NA,141.68,140.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Walk","walk","Jack Suwinski walks.",0,8,2,77,"bottom",9,"2023-05-07T01:03:22.816Z","2023-05-07T01:04:49.346Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,669261,"Jack Suwinski","/api/v1/people/669261","L","Left",543351,"Jay Jackson","/api/v1/people/543351","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94,85.7,11,2,0.4007,6.5357,30.6708,-14.3398,-4.097,9.4288,-0.6475,3.6223,5.2143,-136.7853,-2.621,-2.0477,50.0036,5.5782,-7.7505,24,3.6,24,2201,216,NA,NA,NA,NA,NA,NA,FALSE,-14.3,16.7,6.2,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,669261,"Jack Suwinski","/api/v1/people/669261",NA,NA,NA,NA,NA,NA
718286,"2023-05-06",1,"2023-05-07T01:04:05.658Z","2023-05-07T01:04:10.019Z",TRUE,"pitch","2bfe1877-778c-429f-97e2-fe1f929aecab",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.4103,1.4472,NA,161.83,176.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Walk","walk","Jack Suwinski walks.",0,8,2,77,"bottom",9,"2023-05-07T01:03:22.816Z","2023-05-07T01:04:49.346Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,669261,"Jack Suwinski","/api/v1/people/669261","L","Left",543351,"Jay Jackson","/api/v1/people/543351","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85,77.6,13,2,0.4441,6.4166,26.7768,-33.0732,3.4328,-0.5831,-1.1762,2.2954,2.2092,-123.7647,-1.316,-2.5292,50.004,5.6269,5.2775,9.6,8.4,24,2203,88,NA,NA,NA,NA,NA,NA,FALSE,-39.2,-1.1,-6.7,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,669261,"Jack Suwinski","/api/v1/people/669261",NA,NA,NA,NA,NA,NA
718286,"2023-05-06",0,"2023-05-07T01:03:47.694Z","2023-05-07T01:03:51.669Z",TRUE,"pitch","39d18cda-7ee4-458d-b54f-508c9345d292",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.4103,1.5501,NA,206.07,159.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Walk","walk","Jack Suwinski walks.",0,8,2,77,"bottom",9,"2023-05-07T01:03:22.816Z","2023-05-07T01:04:49.346Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,669261,"Jack Suwinski","/api/v1/people/669261","L","Left",543351,"Jay Jackson","/api/v1/people/543351","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.8,77.5,11,2,0.4444,6.3979,25.6927,-33.2054,4.015,-0.6736,-2.3367,2.9529,-0.6442,-123.4829,0.1844,-2.593,50.002,5.6821,6.1697,10.8,8.4,24,2218,88,NA,NA,NA,NA,NA,NA,FALSE,-39,-1,-7.1,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,669261,"Jack Suwinski","/api/v1/people/669261",NA,NA,NA,NA,NA,NA
