"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","details.disengagementNum","base","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717907,"2023-06-03",3,"2023-06-03T23:37:05.011Z","2023-06-03T23:37:13.069Z",TRUE,"pitch","8097cd86-3a58-4e6f-b887-e59d49fc34ab",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.24,1.57,NA,115.98,155.85,"fly_ball","medium","7",77.07,71.44,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Flyout","field_out","Brendan Donovan flies out to left fielder Bryan Reynolds.",0,3,4,68,"top",9,"2023-06-03T23:35:51.511Z","2023-06-03T23:37:13.069Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,680977,"Brendan Donovan","/api/v1/people/680977","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Pittsburgh Pirates","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.2,88.9,2,0.91,0.3873,6.6141,31.493,-12.3352,-5.4461,9.7874,0.0268,3.0713,7.3624,-141.2993,-5.2542,-1.9022,50.0022,5.7442,-11.0387,34.8,3.6,24,2415,214,93.1,28,339,NA,NA,NA,TRUE,-12.1,16.8,8.4,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717907,"2023-06-03",2,"2023-06-03T23:36:40.131Z","2023-06-03T23:36:43.171Z",TRUE,"pitch","c7e725bd-0fc9-49d3-9cb1-159caae661eb",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.24,1.57,NA,102.45,184.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Flyout","field_out","Brendan Donovan flies out to left fielder Bryan Reynolds.",0,3,4,68,"top",9,"2023-06-03T23:35:51.511Z","2023-06-03T23:37:13.069Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,680977,"Brendan Donovan","/api/v1/people/680977","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Pittsburgh Pirates","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",90.7,84.6,9,0.89,0.412,6.2733,23.649,-30.9356,-3.9929,0.6866,0.3816,2.0018,7.4024,-132.0897,-3.5227,-1.9169,50.0017,5.5862,-7.1767,10.8,7.2,24,1448,226,NA,NA,NA,NA,NA,NA,FALSE,-32,0.7,5.9,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717907,"2023-06-03",1,"2023-06-03T23:36:22.045Z","2023-06-03T23:36:25.247Z",TRUE,"pitch","2c67edf2-3907-4a1f-8c28-8b1a412f6ed9",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.24,1.57,NA,122.17,148.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Flyout","field_out","Brendan Donovan flies out to left fielder Bryan Reynolds.",0,3,4,68,"top",9,"2023-06-03T23:35:51.511Z","2023-06-03T23:37:13.069Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,680977,"Brendan Donovan","/api/v1/people/680977","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Pittsburgh Pirates","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,87.9,2,0.89,0.3907,6.6585,32.8076,-13.5879,-6.4419,9.3454,-0.1357,3.3332,7.1816,-140.3719,-4.2691,-1.8946,50.0005,5.7631,-12.8092,37.2,3.6,24,2569,219,NA,NA,NA,NA,NA,NA,FALSE,-13.3,16.2,10.1,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717907,"2023-06-03",0,"2023-06-03T23:36:05.040Z","2023-06-03T23:36:08.111Z",TRUE,"pitch","0376a6f0-8673-417c-b400-00159ea8d042",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.2644,1.6072,NA,116.8,208.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Flyout","field_out","Brendan Donovan flies out to left fielder Bryan Reynolds.",0,3,4,68,"top",9,"2023-06-03T23:35:51.511Z","2023-06-03T23:37:13.069Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,680977,"Brendan Donovan","/api/v1/people/680977","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Pittsburgh Pirates","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",92.7,86.3,14,0.91,0.4042,6.5618,25.0185,-26.2094,-7.7279,3.1966,0.0052,1.1037,8.0193,-134.7212,-6.9362,-1.9842,50.0057,5.5244,-14.4285,25.2,6,24,1775,224,NA,NA,NA,NA,NA,NA,FALSE,-26.9,4.7,12.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717907,"2023-06-03",0,"2023-06-03T23:35:33.167Z","2023-06-03T23:35:44.022Z",TRUE,"pitch","947bb5bd-dcc9-49ab-91ad-5168f1158853",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.11,1.48,NA,118.24,189.2,"fly_ball","medium","8",123.41,51.76,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Tommy Edman flies out to center fielder Ji Hwan Bae.",0,3,4,67,"top",9,"2023-06-03T23:35:16.497Z","2023-06-03T23:35:44.022Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,669242,"Tommy Edman","/api/v1/people/669242","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Pittsburgh Pirates","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.3,88.1,8,0.86,0.3916,6.6207,31.4457,-13.7989,-6.6151,9.2699,-0.0324,1.8361,7.453,-139.8569,-8.0639,-1.8719,50.0005,5.6612,-13.1081,36,3.6,24,2561,214,99.8,23,366,NA,NA,NA,TRUE,-14.3,15.2,10.4,NA,NA,NA,NA,NA,NA,TRUE,TRUE,691023,"Jordan Walker","/api/v1/people/691023",NA,NA,NA,NA,NA,NA
717907,"2023-06-03",5,"2023-06-03T23:34:56.792Z","2023-06-03T23:35:07.321Z",TRUE,"pitch","7f656e3b-d318-435e-9699-891504c156f7",6,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",3,2,1,NA,NA,3.72,1.84,NA,108.88,177.22,"ground_ball","medium","7",93.86,111.99,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","Jordan Walker singles on a ground ball to left fielder Bryan Reynolds.",0,3,4,66,"top",9,"2023-06-03T23:32:59.322Z","2023-06-03T23:35:07.321Z",TRUE,FALSE,FALSE,FALSE,33,3,2,1,691023,"Jordan Walker","/api/v1/people/691023","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Pittsburgh Pirates","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.6,89.1,8,0.91,0.3863,6.6572,32.4788,-10.9714,-6.1978,10.4136,0.213,2.28,7.8991,-141.791,-7.5211,-1.804,50.0011,5.6673,-12.6171,40.8,3.6,24,2552,218,96.5,3,84,NA,NA,NA,FALSE,-11.4,17.5,9.6,NA,NA,NA,NA,NA,NA,FALSE,TRUE,691023,"Jordan Walker","/api/v1/people/691023",NA,NA,NA,NA,NA,NA
717907,"2023-06-03",4,"2023-06-03T23:34:40.372Z","2023-06-03T23:34:43.800Z",TRUE,"pitch","086c9c37-7f80-4dc0-9ad5-b50292806e08",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,1,NA,NA,3.616,1.7229,NA,95.02,207.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","Jordan Walker singles on a ground ball to left fielder Bryan Reynolds.",0,3,4,66,"top",9,"2023-06-03T23:32:59.322Z","2023-06-03T23:35:07.321Z",TRUE,FALSE,FALSE,FALSE,33,3,2,1,691023,"Jordan Walker","/api/v1/people/691023","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Pittsburgh Pirates","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",92.9,86.3,14,0.92,0.4038,6.6465,26.1853,-30.6396,-6.3164,0.822,0.5767,1.1632,8.7527,-135.032,-5.9595,-1.8687,50.0026,5.5229,-11.8005,18,7.2,24,1660,225,NA,NA,NA,NA,NA,NA,FALSE,-31,0.5,9.8,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717907,"2023-06-03",3,"2023-06-03T23:34:22.201Z","2023-06-03T23:34:26.663Z",TRUE,"pitch","ecd5782a-6e1c-440a-8155-50123d9fc9c4",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.6417,1.6844,NA,80.45,186.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","Jordan Walker singles on a ground ball to left fielder Bryan Reynolds.",0,3,4,66,"top",9,"2023-06-03T23:32:59.322Z","2023-06-03T23:35:07.321Z",TRUE,FALSE,FALSE,FALSE,33,3,2,1,691023,"Jordan Walker","/api/v1/people/691023","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Pittsburgh Pirates","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.7,89.5,14,0.91,0.3858,6.7268,31.55,-10.7738,-5.2416,10.4773,0.9588,1.9346,8.9636,-141.8016,-8.8557,-1.558,50.0011,5.7799,-10.705,34.8,3.6,24,2614,209,NA,NA,NA,NA,NA,NA,FALSE,-11.4,17.4,7.7,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717907,"2023-06-03",2,"2023-06-03T23:34:05.187Z","2023-06-03T23:34:08.259Z",TRUE,"pitch","73b75381-8c01-4093-9736-c0013eb839e4",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.5775,1.6201,NA,55.97,210.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","Jordan Walker singles on a ground ball to left fielder Bryan Reynolds.",0,3,4,66,"top",9,"2023-06-03T23:32:59.322Z","2023-06-03T23:35:07.321Z",TRUE,FALSE,FALSE,FALSE,33,3,2,1,691023,"Jordan Walker","/api/v1/people/691023","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Pittsburgh Pirates","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",78.3,72.4,14,0.9,0.4822,6.3065,21.8912,-40.1577,2.8344,-6.1133,1.6011,1.0612,6.9241,-113.8145,-1.5352,-1.8553,50.0057,5.7401,3.6983,7.2,13.2,24,2584,43,NA,NA,NA,NA,NA,NA,FALSE,-56,-11.2,-7,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717907,"2023-06-03",1,"2023-06-03T23:33:48.061Z","2023-06-03T23:33:51.623Z",TRUE,"pitch","3cd2125b-80ad-4f6a-967c-a24eb175d7b8",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,1,NA,NA,3.72,1.84,NA,92.06,201.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Single","single","Jordan Walker singles on a ground ball to left fielder Bryan Reynolds.",0,3,4,66,"top",9,"2023-06-03T23:32:59.322Z","2023-06-03T23:35:07.321Z",TRUE,FALSE,FALSE,FALSE,33,3,2,1,691023,"Jordan Walker","/api/v1/people/691023","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Pittsburgh Pirates","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",91.8,84.9,14,0.9,0.4093,6.8315,26.4796,-26.2751,-3.9326,3.2429,0.6542,1.3968,8.3106,-133.3984,-6.0097,-1.979,50.0004,5.5523,-7.1464,12,6,24,1580,224,NA,NA,NA,NA,NA,NA,FALSE,-27.5,4.8,5.5,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
